
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,6.16329,um^2,Surface,,,,1,196,
Area,29.6763,um^2,Surface,,,,1,197,
Area,18.9459,um^2,Surface,,,,1,199,
Area,9.83445,um^2,Surface,,,,1,201,
Area,3.70798,um^2,Surface,,,,1,203,
Area,29.8893,um^2,Surface,,,,1,204,
Area,34.5721,um^2,Surface,,,,1,208,
Area,8.75491,um^2,Surface,,,,1,209,
Area,8.51385,um^2,Surface,,,,1,210,
Area,1.36922,um^2,Surface,,,,1,214,
Area,14.2253,um^2,Surface,,,,1,215,
Area,17.4083,um^2,Surface,,,,1,217,
Area,4.62783,um^2,Surface,,,,1,219,
Area,7.79731,um^2,Surface,,,,1,220,
Area,14.4337,um^2,Surface,,,,1,223,
Area,9.86127,um^2,Surface,,,,1,228,
Area,3.25191,um^2,Surface,,,,1,231,
Area,8.68138,um^2,Surface,,,,1,233,
Area,2.21713,um^2,Surface,,,,1,240,
Area,7.95371,um^2,Surface,,,,1,250,
Area,6.52113,um^2,Surface,,,,1,256,
Area,4.38795,um^2,Surface,,,,1,260,
Area,16.3067,um^2,Surface,,,,1,264,
Area,28.7355,um^2,Surface,,,,1,266,
Area,2.29678,um^2,Surface,,,,1,277,
Area,11.8051,um^2,Surface,,,,1,286,
Area,11.5638,um^2,Surface,,,,1,288,
Area,2.84817,um^2,Surface,,,,1,290,
Area,2.99209,um^2,Surface,,,,1,292,
Area,20.8793,um^2,Surface,,,,1,303,
Area,2.51377,um^2,Surface,,,,1,305,
Area,2.96026,um^2,Surface,,,,1,306,
Area,26.0927,um^2,Surface,,,,1,314,
Area,3.73311,um^2,Surface,,,,1,316,
Area,4.18338,um^2,Surface,,,,1,325,
Area,3.5426,um^2,Surface,,,,1,329,
Area,29.068,um^2,Surface,,,,1,332,
Area,4.93678,um^2,Surface,,,,1,340,
Area,9.00919,um^2,Surface,,,,1,344,
Area,16.119,um^2,Surface,,,,1,352,
Area,11.8253,um^2,Surface,,,,1,356,
Area,6.11882,um^2,Surface,,,,1,360,
Area,2.71574,um^2,Surface,,,,1,368,
Area,5.08288,um^2,Surface,,,,1,370,
Area,8.83801,um^2,Surface,,,,1,372,
Area,3.35523,um^2,Surface,,,,1,374,
Area,1.06794,um^2,Surface,,,,1,378,
Area,3.16796,um^2,Surface,,,,1,381,
