
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Area,6.79789,um^2,Surface,,,1,131,
Area,6.30137,um^2,Surface,,,1,135,
Area,8.56916,um^2,Surface,,,1,136,
Area,2.87313,um^2,Surface,,,1,137,
Area,1.14901,um^2,Surface,,,1,138,
Area,3.66177,um^2,Surface,,,1,139,
Area,3.90601,um^2,Surface,,,1,143,
Area,1.38025,um^2,Surface,,,1,145,
Area,1.23183,um^2,Surface,,,1,146,
Area,11.3585,um^2,Surface,,,1,147,
Area,1.09452,um^2,Surface,,,1,148,
Area,6.07741,um^2,Surface,,,1,149,
Area,3.48992,um^2,Surface,,,1,150,
Area,2.33053,um^2,Surface,,,1,152,
Area,7.45236,um^2,Surface,,,1,153,
Area,23.8776,um^2,Surface,,,1,154,
Area,3.49873,um^2,Surface,,,1,155,
Area,48.206,um^2,Surface,,,1,156,
Area,68.4093,um^2,Surface,,,1,158,
Area,5.8898,um^2,Surface,,,1,159,
Area,20.4992,um^2,Surface,,,1,161,
Area,7.32835,um^2,Surface,,,1,162,
Area,1.09796,um^2,Surface,,,1,163,
Area,2.28109,um^2,Surface,,,1,164,
Area,5.47688,um^2,Surface,,,1,166,
Area,6.94283,um^2,Surface,,,1,167,
Area,1.69586,um^2,Surface,,,1,169,
Area,1.6906,um^2,Surface,,,1,171,
Area,7.37352,um^2,Surface,,,1,173,
Area,4.07645,um^2,Surface,,,1,174,
Area,8.69581,um^2,Surface,,,1,176,
Area,3.68085,um^2,Surface,,,1,177,
Area,1.24234,um^2,Surface,,,1,178,
Area,5.82069,um^2,Surface,,,1,179,
Area,3.83368,um^2,Surface,,,1,180,
Area,0.991777,um^2,Surface,,,1,181,
Area,14.3092,um^2,Surface,,,1,182,
Area,4.65351,um^2,Surface,,,1,183,
Area,7.34476,um^2,Surface,,,1,184,
Area,2.34551,um^2,Surface,,,1,185,
Area,5.59538,um^2,Surface,,,1,186,
Area,5.12798,um^2,Surface,,,1,188,
Area,4.63622,um^2,Surface,,,1,189,
Area,7.24535,um^2,Surface,,,1,190,
Area,4.27311,um^2,Surface,,,1,191,
Area,3.1112,um^2,Surface,,,1,192,
Area,4.1846,um^2,Surface,,,1,193,
Area,3.04022,um^2,Surface,,,1,194,
Area,2.01554,um^2,Surface,,,1,195,
Area,5.17881,um^2,Surface,,,1,196,
Area,3.03961,um^2,Surface,,,1,197,
Area,1.64694,um^2,Surface,,,1,198,
Area,2.16817,um^2,Surface,,,1,200,
Area,2.0164,um^2,Surface,,,1,202,
Area,13.432,um^2,Surface,,,1,203,
Area,8.81335,um^2,Surface,,,1,205,
Area,2.72137,um^2,Surface,,,1,206,
Area,9.87614,um^2,Surface,,,1,208,
Area,8.63218,um^2,Surface,,,1,209,
Area,1.3643,um^2,Surface,,,1,210,
Area,11.8633,um^2,Surface,,,1,211,
Area,0.964481,um^2,Surface,,,1,212,
Area,7.26227,um^2,Surface,,,1,213,
Area,18.0583,um^2,Surface,,,1,214,
Area,46.3355,um^2,Surface,,,1,215,
Area,16.2555,um^2,Surface,,,1,216,
Area,3.27427,um^2,Surface,,,1,217,
Area,16.4097,um^2,Surface,,,1,218,
Area,1.78537,um^2,Surface,,,1,219,
Area,1.88801,um^2,Surface,,,1,221,
Area,8.77693,um^2,Surface,,,1,222,
Area,6.45137,um^2,Surface,,,1,223,
Area,7.11258,um^2,Surface,,,1,224,
Area,2.24385,um^2,Surface,,,1,225,
Area,1.59855,um^2,Surface,,,1,226,
Area,17.306,um^2,Surface,,,1,228,
Area,3.65574,um^2,Surface,,,1,229,
Area,10.3621,um^2,Surface,,,1,231,
Area,3.63028,um^2,Surface,,,1,233,
Area,3.4336,um^2,Surface,,,1,234,
Area,4.3142,um^2,Surface,,,1,235,
Area,3.36248,um^2,Surface,,,1,236,
Area,3.79322,um^2,Surface,,,1,238,
Area,5.05185,um^2,Surface,,,1,239,
Area,7.44976,um^2,Surface,,,1,240,
Area,10.4677,um^2,Surface,,,1,241,
Area,2.53244,um^2,Surface,,,1,242,
Area,1.83897,um^2,Surface,,,1,245,
Area,2.77497,um^2,Surface,,,1,246,
Area,1.56486,um^2,Surface,,,1,248,
Area,7.47318,um^2,Surface,,,1,251,
Area,4.75396,um^2,Surface,,,1,252,
Area,7.15681,um^2,Surface,,,1,253,
Area,25.152,um^2,Surface,,,1,254,
Area,7.99136,um^2,Surface,,,1,256,
Area,2.37958,um^2,Surface,,,1,257,
Area,5.13768,um^2,Surface,,,1,258,
Area,4.14097,um^2,Surface,,,1,259,
Area,8.61528,um^2,Surface,,,1,260,
Area,9.76912,um^2,Surface,,,1,261,
Distance from Origin,85.6558,um,Surface,Distance from Origin,,1,131,
Distance from Origin,84.9074,um,Surface,Distance from Origin,,1,135,
Distance from Origin,82.0157,um,Surface,Distance from Origin,,1,136,
Distance from Origin,83.6106,um,Surface,Distance from Origin,,1,137,
Distance from Origin,89.6114,um,Surface,Distance from Origin,,1,138,
Distance from Origin,92.8323,um,Surface,Distance from Origin,,1,139,
Distance from Origin,79.614,um,Surface,Distance from Origin,,1,143,
Distance from Origin,75.3388,um,Surface,Distance from Origin,,1,145,
Distance from Origin,83.7485,um,Surface,Distance from Origin,,1,146,
Distance from Origin,87.8428,um,Surface,Distance from Origin,,1,147,
Distance from Origin,76.3461,um,Surface,Distance from Origin,,1,148,
Distance from Origin,82.8413,um,Surface,Distance from Origin,,1,149,
Distance from Origin,77.158,um,Surface,Distance from Origin,,1,150,
Distance from Origin,73.4031,um,Surface,Distance from Origin,,1,152,
Distance from Origin,73.5743,um,Surface,Distance from Origin,,1,153,
Distance from Origin,71.8316,um,Surface,Distance from Origin,,1,154,
Distance from Origin,62.2607,um,Surface,Distance from Origin,,1,155,
Distance from Origin,77.8082,um,Surface,Distance from Origin,,1,156,
Distance from Origin,69.1028,um,Surface,Distance from Origin,,1,158,
Distance from Origin,67.0419,um,Surface,Distance from Origin,,1,159,
Distance from Origin,62.0906,um,Surface,Distance from Origin,,1,161,
Distance from Origin,67.7431,um,Surface,Distance from Origin,,1,162,
Distance from Origin,66.0602,um,Surface,Distance from Origin,,1,163,
Distance from Origin,62.4325,um,Surface,Distance from Origin,,1,164,
Distance from Origin,61.3182,um,Surface,Distance from Origin,,1,166,
Distance from Origin,76.8961,um,Surface,Distance from Origin,,1,167,
Distance from Origin,91.6348,um,Surface,Distance from Origin,,1,169,
Distance from Origin,112.565,um,Surface,Distance from Origin,,1,171,
Distance from Origin,86.8134,um,Surface,Distance from Origin,,1,173,
Distance from Origin,96.2146,um,Surface,Distance from Origin,,1,174,
Distance from Origin,86.2243,um,Surface,Distance from Origin,,1,176,
Distance from Origin,96.3523,um,Surface,Distance from Origin,,1,177,
Distance from Origin,84.694,um,Surface,Distance from Origin,,1,178,
Distance from Origin,82.3254,um,Surface,Distance from Origin,,1,179,
Distance from Origin,83.9559,um,Surface,Distance from Origin,,1,180,
Distance from Origin,71.2678,um,Surface,Distance from Origin,,1,181,
Distance from Origin,76.1343,um,Surface,Distance from Origin,,1,182,
Distance from Origin,74.3788,um,Surface,Distance from Origin,,1,183,
Distance from Origin,57.7614,um,Surface,Distance from Origin,,1,184,
Distance from Origin,60.8708,um,Surface,Distance from Origin,,1,185,
Distance from Origin,72.7155,um,Surface,Distance from Origin,,1,186,
Distance from Origin,58.7076,um,Surface,Distance from Origin,,1,188,
Distance from Origin,59.7888,um,Surface,Distance from Origin,,1,189,
Distance from Origin,56.1319,um,Surface,Distance from Origin,,1,190,
Distance from Origin,54.1034,um,Surface,Distance from Origin,,1,191,
Distance from Origin,55.5118,um,Surface,Distance from Origin,,1,192,
Distance from Origin,44.3413,um,Surface,Distance from Origin,,1,193,
Distance from Origin,48.7709,um,Surface,Distance from Origin,,1,194,
Distance from Origin,53.2365,um,Surface,Distance from Origin,,1,195,
Distance from Origin,106.823,um,Surface,Distance from Origin,,1,196,
Distance from Origin,50.3322,um,Surface,Distance from Origin,,1,197,
Distance from Origin,51.9455,um,Surface,Distance from Origin,,1,198,
Distance from Origin,102.125,um,Surface,Distance from Origin,,1,200,
Distance from Origin,84.3278,um,Surface,Distance from Origin,,1,202,
Distance from Origin,103.915,um,Surface,Distance from Origin,,1,203,
Distance from Origin,86.5194,um,Surface,Distance from Origin,,1,205,
Distance from Origin,85.49,um,Surface,Distance from Origin,,1,206,
Distance from Origin,86.3397,um,Surface,Distance from Origin,,1,208,
Distance from Origin,88.1714,um,Surface,Distance from Origin,,1,209,
Distance from Origin,90.3886,um,Surface,Distance from Origin,,1,210,
Distance from Origin,84.285,um,Surface,Distance from Origin,,1,211,
Distance from Origin,82.1518,um,Surface,Distance from Origin,,1,212,
Distance from Origin,92.9039,um,Surface,Distance from Origin,,1,213,
Distance from Origin,63.9197,um,Surface,Distance from Origin,,1,214,
Distance from Origin,64.2755,um,Surface,Distance from Origin,,1,215,
Distance from Origin,81.3126,um,Surface,Distance from Origin,,1,216,
Distance from Origin,55.8665,um,Surface,Distance from Origin,,1,217,
Distance from Origin,61.1807,um,Surface,Distance from Origin,,1,218,
Distance from Origin,55.6389,um,Surface,Distance from Origin,,1,219,
Distance from Origin,51.3745,um,Surface,Distance from Origin,,1,221,
Distance from Origin,56.6649,um,Surface,Distance from Origin,,1,222,
Distance from Origin,39.415,um,Surface,Distance from Origin,,1,223,
Distance from Origin,46.0813,um,Surface,Distance from Origin,,1,224,
Distance from Origin,43.8171,um,Surface,Distance from Origin,,1,225,
Distance from Origin,99.74,um,Surface,Distance from Origin,,1,226,
Distance from Origin,40.9035,um,Surface,Distance from Origin,,1,228,
Distance from Origin,88.6546,um,Surface,Distance from Origin,,1,229,
Distance from Origin,101.785,um,Surface,Distance from Origin,,1,231,
Distance from Origin,73.6611,um,Surface,Distance from Origin,,1,233,
Distance from Origin,74.5945,um,Surface,Distance from Origin,,1,234,
Distance from Origin,60.8678,um,Surface,Distance from Origin,,1,235,
Distance from Origin,64.031,um,Surface,Distance from Origin,,1,236,
Distance from Origin,62.0378,um,Surface,Distance from Origin,,1,238,
Distance from Origin,58.6393,um,Surface,Distance from Origin,,1,239,
Distance from Origin,60.9804,um,Surface,Distance from Origin,,1,240,
Distance from Origin,48.328,um,Surface,Distance from Origin,,1,241,
Distance from Origin,43.009,um,Surface,Distance from Origin,,1,242,
Distance from Origin,41.2004,um,Surface,Distance from Origin,,1,245,
Distance from Origin,43.0634,um,Surface,Distance from Origin,,1,246,
Distance from Origin,40.0225,um,Surface,Distance from Origin,,1,248,
Distance from Origin,80.8677,um,Surface,Distance from Origin,,1,251,
Distance from Origin,81.7717,um,Surface,Distance from Origin,,1,252,
Distance from Origin,67.2303,um,Surface,Distance from Origin,,1,253,
Distance from Origin,66.1756,um,Surface,Distance from Origin,,1,254,
Distance from Origin,40.827,um,Surface,Distance from Origin,,1,256,
Distance from Origin,59.9319,um,Surface,Distance from Origin,,1,257,
Distance from Origin,63.0496,um,Surface,Distance from Origin,,1,258,
Distance from Origin,55.015,um,Surface,Distance from Origin,,1,259,
Distance from Origin,68.8799,um,Surface,Distance from Origin,,1,260,
Distance from Origin,86.3403,um,Surface,Distance from Origin,,1,261,
