
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Area,82.9404,um^2,Surface,,,1,297,
Area,159.628,um^2,Surface,,,1,298,
Area,38.8986,um^2,Surface,,,1,299,
Area,17.3715,um^2,Surface,,,1,300,
Area,85.77,um^2,Surface,,,1,303,
Area,51.0564,um^2,Surface,,,1,308,
Area,16.8341,um^2,Surface,,,1,314,
Area,85.9764,um^2,Surface,,,1,318,
Area,18.4302,um^2,Surface,,,1,319,
Area,69.1084,um^2,Surface,,,1,320,
Area,27.067,um^2,Surface,,,1,322,
Area,9.88384,um^2,Surface,,,1,324,
Area,20.8944,um^2,Surface,,,1,325,
Area,35.571,um^2,Surface,,,1,326,
Area,8.89716,um^2,Surface,,,1,328,
Area,116.564,um^2,Surface,,,1,329,
Area,13.7388,um^2,Surface,,,1,330,
Area,61.6986,um^2,Surface,,,1,331,
Area,18.2167,um^2,Surface,,,1,332,
Area,17.3093,um^2,Surface,,,1,333,
Area,2653.86,um^2,Surface,,,1,334,
Distance from Origin,65.5508,um,Surface,Distance from Origin,,1,297,
Distance from Origin,88.5014,um,Surface,Distance from Origin,,1,298,
Distance from Origin,80.066,um,Surface,Distance from Origin,,1,299,
Distance from Origin,84.709,um,Surface,Distance from Origin,,1,300,
Distance from Origin,61.3304,um,Surface,Distance from Origin,,1,303,
Distance from Origin,63.3493,um,Surface,Distance from Origin,,1,308,
Distance from Origin,89.4944,um,Surface,Distance from Origin,,1,314,
Distance from Origin,52.8237,um,Surface,Distance from Origin,,1,318,
Distance from Origin,42.6397,um,Surface,Distance from Origin,,1,319,
Distance from Origin,59.8653,um,Surface,Distance from Origin,,1,320,
Distance from Origin,77.0791,um,Surface,Distance from Origin,,1,322,
Distance from Origin,67.3582,um,Surface,Distance from Origin,,1,324,
Distance from Origin,88.8481,um,Surface,Distance from Origin,,1,325,
Distance from Origin,57.3842,um,Surface,Distance from Origin,,1,326,
Distance from Origin,35.5037,um,Surface,Distance from Origin,,1,328,
Distance from Origin,76.1973,um,Surface,Distance from Origin,,1,329,
Distance from Origin,55.2438,um,Surface,Distance from Origin,,1,330,
Distance from Origin,60.3627,um,Surface,Distance from Origin,,1,331,
Distance from Origin,69.0083,um,Surface,Distance from Origin,,1,332,
Distance from Origin,85.7588,um,Surface,Distance from Origin,,1,333,
Distance from Origin,74.8826,um,Surface,Distance from Origin,,1,334,
Distance to Image Border XY,12.9622,um,Surface,,Image 1,1,297,
Distance to Image Border XY,5.82543,um,Surface,,Image 1,1,298,
Distance to Image Border XY,20.0279,um,Surface,,Image 1,1,299,
