
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.61538,um^2,Surface,,,,1,35,
Area,7.93639,um^2,Surface,,,,1,36,
Area,5.82839,um^2,Surface,,,,1,37,
Area,5.0479,um^2,Surface,,,,1,38,
Area,4.14881,um^2,Surface,,,,1,39,
Area,8.70819,um^2,Surface,,,,1,42,
Area,6.50563,um^2,Surface,,,,1,43,
Area,4.98644,um^2,Surface,,,,1,44,
Area,9.82981,um^2,Surface,,,,1,45,
Area,3.00434,um^2,Surface,,,,1,48,
Area,8.97992,um^2,Surface,,,,1,49,
Area,5.54816,um^2,Surface,,,,1,51,
Area,12.4994,um^2,Surface,,,,1,52,
Area,5.75283,um^2,Surface,,,,1,53,
Area,4.93985,um^2,Surface,,,,1,56,
Area,16.2626,um^2,Surface,,,,1,59,
Area,8.59259,um^2,Surface,,,,1,61,
Area,4.65758,um^2,Surface,,,,1,63,
Area,5.61521,um^2,Surface,,,,1,64,
Area,5.48476,um^2,Surface,,,,1,65,
Distance from Origin,155.104,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,152.532,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,154.566,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,167.906,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,164.209,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,156.406,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,154.755,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,153.617,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,151.634,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,129.966,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,157.323,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,153.246,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,154.381,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,141.272,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,149.271,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,151.498,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,149.444,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,148.538,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,151.226,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,132.061,um,Surface,,Distance from Origin,,1,65,
Distance to Image Border XY,19.7879,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,31.8554,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,26.8,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,16.4805,um,Surface,,,Image 1,1,38,
Distance to Image Border XY,19.0542,um,Surface,,,Image 1,1,39,
Distance to Image Border XY,27.6751,um,Surface,,,Image 1,1,42,
Distance to Image Border XY,32.6403,um,Surface,,,Image 1,1,43,
Distance to Image Border XY,35.4878,um,Surface,,,Image 1,1,44,
Distance to Image Border XY,41.9253,um,Surface,,,Image 1,1,45,
Distance to Image Border XY,13.8071,um,Surface,,,Image 1,1,48,
Distance to Image Border XY,43.5869,um,Surface,,,Image 1,1,49,
Distance to Image Border XY,40.1163,um,Surface,,,Image 1,1,51,
Distance to Image Border XY,46.4725,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,34.7075,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,42.8742,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,45.4214,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,42.0125,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,38.88,um,Surface,,,Image 1,1,63,
Distance to Image Border XY,36.5643,um,Surface,,,Image 1,1,64,
Distance to Image Border XY,23.9827,um,Surface,,,Image 1,1,65,
Ellipticity (oblate),0.29857,,Surface,,,,1,35,
Ellipticity (oblate),0.315617,,Surface,,,,1,36,
Ellipticity (oblate),0.451719,,Surface,,,,1,37,
Ellipticity (oblate),0.268175,,Surface,,,,1,38,
Ellipticity (oblate),0.370558,,Surface,,,,1,39,
Ellipticity (oblate),0.2955,,Surface,,,,1,42,
Ellipticity (oblate),0.362412,,Surface,,,,1,43,
Ellipticity (oblate),0.370837,,Surface,,,,1,44,
Ellipticity (oblate),0.518359,,Surface,,,,1,45,
Ellipticity (oblate),0.350698,,Surface,,,,1,48,
Ellipticity (oblate),0.195221,,Surface,,,,1,49,
Ellipticity (oblate),0.312201,,Surface,,,,1,51,
Ellipticity (oblate),0.349499,,Surface,,,,1,52,
Ellipticity (oblate),0.23084,,Surface,,,,1,53,
Ellipticity (oblate),0.34872,,Surface,,,,1,56,
Ellipticity (oblate),0.184212,,Surface,,,,1,59,
Ellipticity (oblate),0.323839,,Surface,,,,1,61,
Ellipticity (oblate),0.4446,,Surface,,,,1,63,
Ellipticity (oblate),0.812515,,Surface,,,,1,64,
Ellipticity (oblate),0.324204,,Surface,,,,1,65,
Ellipticity (prolate),0.638456,,Surface,,,,1,35,
Ellipticity (prolate),0.575361,,Surface,,,,1,36,
Ellipticity (prolate),0.25807,,Surface,,,,1,37,
Ellipticity (prolate),0.466832,,Surface,,,,1,38,
Ellipticity (prolate),0.206194,,Surface,,,,1,39,
Ellipticity (prolate),0.408005,,Surface,,,,1,42,
Ellipticity (prolate),0.351018,,Surface,,,,1,43,
Ellipticity (prolate),0.402712,,Surface,,,,1,44,
Ellipticity (prolate),0.265861,,Surface,,,,1,45,
Ellipticity (prolate),0.330359,,Surface,,,,1,48,
Ellipticity (prolate),0.721625,,Surface,,,,1,49,
Ellipticity (prolate),0.303658,,Surface,,,,1,51,
Ellipticity (prolate),0.543133,,Surface,,,,1,52,
Ellipticity (prolate),0.307562,,Surface,,,,1,53,
Ellipticity (prolate),0.524,,Surface,,,,1,56,
Ellipticity (prolate),0.782981,,Surface,,,,1,59,
Ellipticity (prolate),0.589516,,Surface,,,,1,61,
Ellipticity (prolate),0.407862,,Surface,,,,1,63,
Ellipticity (prolate),0.126582,,Surface,,,,1,64,
Ellipticity (prolate),0.341325,,Surface,,,,1,65,
Generation,0,,Surface,,,,1,35,
Generation,0,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,37,
Generation,0,,Surface,,,,1,38,
Generation,0,,Surface,,,,1,39,
Generation,0,,Surface,,,,1,42,
Generation,0,,Surface,,,,1,43,
Generation,0,,Surface,,,,1,44,
Generation,0,,Surface,,,,1,45,
Generation,0,,Surface,,,,1,48,
Generation,0,,Surface,,,,1,49,
Generation,0,,Surface,,,,1,51,
Generation,0,,Surface,,,,1,52,
Generation,0,,Surface,,,,1,53,
Generation,0,,Surface,,,,1,56,
Generation,0,,Surface,,,,1,59,
Generation,0,,Surface,,,,1,61,
Generation,0,,Surface,,,,1,63,
Generation,0,,Surface,,,,1,64,
Generation,0,,Surface,,,,1,65,
Intensity Max,10,,Surface,1,,Image 1,1,35,
Intensity Max,96,,Surface,2,,Image 1,1,35,
Intensity Max,8,,Surface,3,,Image 1,1,35,
Intensity Max,105,,Surface,4,,Image 1,1,35,
Intensity Max,10,,Surface,5,,Image 1,1,35,
Intensity Max,96,,Surface,6,,Image 1,1,35,
Intensity Max,47,,Surface,1,,Image 1,1,36,
Intensity Max,69,,Surface,2,,Image 1,1,36,
Intensity Max,9,,Surface,3,,Image 1,1,36,
Intensity Max,78,,Surface,4,,Image 1,1,36,
Intensity Max,47,,Surface,5,,Image 1,1,36,
Intensity Max,69,,Surface,6,,Image 1,1,36,
Intensity Max,35,,Surface,1,,Image 1,1,37,
Intensity Max,67,,Surface,2,,Image 1,1,37,
Intensity Max,9,,Surface,3,,Image 1,1,37,
Intensity Max,71,,Surface,4,,Image 1,1,37,
Intensity Max,35,,Surface,5,,Image 1,1,37,
Intensity Max,67,,Surface,6,,Image 1,1,37,
Intensity Max,3,,Surface,1,,Image 1,1,38,
Intensity Max,51,,Surface,2,,Image 1,1,38,
Intensity Max,20,,Surface,3,,Image 1,1,38,
Intensity Max,44,,Surface,4,,Image 1,1,38,
Intensity Max,3,,Surface,5,,Image 1,1,38,
Intensity Max,51,,Surface,6,,Image 1,1,38,
Intensity Max,3,,Surface,1,,Image 1,1,39,
Intensity Max,51,,Surface,2,,Image 1,1,39,
Intensity Max,16,,Surface,3,,Image 1,1,39,
Intensity Max,28,,Surface,4,,Image 1,1,39,
Intensity Max,3,,Surface,5,,Image 1,1,39,
