
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,76.4768,um^2,Surface,,,,1,1102,
Area,23.0129,um^2,Surface,,,,1,1108,
Area,334.613,um^2,Surface,,,,1,1109,
Area,50.5054,um^2,Surface,,,,1,1112,
Area,26.2541,um^2,Surface,,,,1,1113,
Area,340.033,um^2,Surface,,,,1,1120,
Area,483.964,um^2,Surface,,,,1,1126,
Area,1128.97,um^2,Surface,,,,1,1142,
Distance from Origin,124.986,um,Surface,,Distance from Origin,,1,1102,
Distance from Origin,130.454,um,Surface,,Distance from Origin,,1,1108,
Distance from Origin,118.836,um,Surface,,Distance from Origin,,1,1109,
Distance from Origin,132.095,um,Surface,,Distance from Origin,,1,1112,
Distance from Origin,133.83,um,Surface,,Distance from Origin,,1,1113,
Distance from Origin,130.634,um,Surface,,Distance from Origin,,1,1120,
Distance from Origin,156.736,um,Surface,,Distance from Origin,,1,1126,
Distance from Origin,158.954,um,Surface,,Distance from Origin,,1,1142,
Distance to Image Border XY,15.1159,um,Surface,,,Image 1,1,1102,
Distance to Image Border XY,20.3237,um,Surface,,,Image 1,1,1108,
Distance to Image Border XY,5.50883,um,Surface,,,Image 1,1,1109,
Distance to Image Border XY,13.3264,um,Surface,,,Image 1,1,1112,
Distance to Image Border XY,15.9211,um,Surface,,,Image 1,1,1113,
Distance to Image Border XY,7.73989,um,Surface,,,Image 1,1,1120,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,1126,
Distance to Image Border XY,6.13535,um,Surface,,,Image 1,1,1142,
Ellipticity (oblate),0.152785,,Surface,,,,1,1102,
Ellipticity (oblate),0.321753,,Surface,,,,1,1108,
Ellipticity (oblate),0.571002,,Surface,,,,1,1109,
Ellipticity (oblate),0.0716227,,Surface,,,,1,1112,
Ellipticity (oblate),0.409797,,Surface,,,,1,1113,
Ellipticity (oblate),0.356451,,Surface,,,,1,1120,
Ellipticity (oblate),0.0622249,,Surface,,,,1,1126,
Ellipticity (oblate),0.361934,,Surface,,,,1,1142,
Ellipticity (prolate),0.463616,,Surface,,,,1,1102,
Ellipticity (prolate),0.553841,,Surface,,,,1,1108,
Ellipticity (prolate),0.0783901,,Surface,,,,1,1109,
Ellipticity (prolate),0.810303,,Surface,,,,1,1112,
Ellipticity (prolate),0.463251,,Surface,,,,1,1113,
Ellipticity (prolate),0.0979309,,Surface,,,,1,1120,
Ellipticity (prolate),0.236366,,Surface,,,,1,1126,
Ellipticity (prolate),0.138629,,Surface,,,,1,1142,
Generation,0,,Surface,,,,1,1102,
Generation,0,,Surface,,,,1,1108,
Generation,0,,Surface,,,,1,1109,
Generation,0,,Surface,,,,1,1112,
Generation,0,,Surface,,,,1,1113,
Generation,0,,Surface,,,,1,1120,
Generation,0,,Surface,,,,1,1126,
