
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,9.14516,um^2,Surface,,,,1,59,
Area,11.5567,um^2,Surface,,,,1,60,
Area,5.63748,um^2,Surface,,,,1,61,
Area,1.96926,um^2,Surface,,,,1,62,
Area,3.23853,um^2,Surface,,,,1,63,
Area,3.0316,um^2,Surface,,,,1,65,
Area,4.34161,um^2,Surface,,,,1,68,
Area,2.65555,um^2,Surface,,,,1,69,
Area,5.02085,um^2,Surface,,,,1,71,
Area,11.0372,um^2,Surface,,,,1,73,
Area,3.90453,um^2,Surface,,,,1,74,
Area,7.51308,um^2,Surface,,,,1,76,
Area,1.46602,um^2,Surface,,,,1,77,
Area,10.81,um^2,Surface,,,,1,78,
Area,17.6109,um^2,Surface,,,,1,79,
Area,10.7605,um^2,Surface,,,,1,80,
Area,3.53986,um^2,Surface,,,,1,81,
Area,6.4195,um^2,Surface,,,,1,82,
Area,6.44238,um^2,Surface,,,,1,83,
Area,8.37484,um^2,Surface,,,,1,86,
Area,5.38499,um^2,Surface,,,,1,89,
Area,3.36797,um^2,Surface,,,,1,91,
Area,5.00944,um^2,Surface,,,,1,92,
Area,7.60096,um^2,Surface,,,,1,93,
Area,6.46865,um^2,Surface,,,,1,98,
Area,8.50285,um^2,Surface,,,,1,99,
Area,5.7546,um^2,Surface,,,,1,100,
Area,8.22406,um^2,Surface,,,,1,101,
Area,12.0358,um^2,Surface,,,,1,102,
Area,22.701,um^2,Surface,,,,1,103,
Distance from Origin,155.444,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,154.467,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,155.68,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,182.517,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,155.936,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,175.569,um,Surface,,Distance from Origin,,1,65,
Distance from Origin,155.806,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,163.524,um,Surface,,Distance from Origin,,1,69,
Distance from Origin,152.841,um,Surface,,Distance from Origin,,1,71,
Distance from Origin,151.676,um,Surface,,Distance from Origin,,1,73,
Distance from Origin,154.78,um,Surface,,Distance from Origin,,1,74,
Distance from Origin,153.492,um,Surface,,Distance from Origin,,1,76,
Distance from Origin,151.313,um,Surface,,Distance from Origin,,1,77,
Distance from Origin,137.268,um,Surface,,Distance from Origin,,1,78,
Distance from Origin,124.88,um,Surface,,Distance from Origin,,1,79,
Distance from Origin,133.418,um,Surface,,Distance from Origin,,1,80,
Distance from Origin,152.902,um,Surface,,Distance from Origin,,1,81,
Distance from Origin,153.055,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,153.701,um,Surface,,Distance from Origin,,1,83,
Distance from Origin,149.88,um,Surface,,Distance from Origin,,1,86,
Distance from Origin,153.559,um,Surface,,Distance from Origin,,1,89,
Distance from Origin,142.914,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,151.017,um,Surface,,Distance from Origin,,1,92,
Distance from Origin,155.515,um,Surface,,Distance from Origin,,1,93,
Distance from Origin,153.453,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,122.711,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,119.375,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,162.532,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,159.934,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,151.474,um,Surface,,Distance from Origin,,1,103,
Distance to Image Border XY,19.5882,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,23.551,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,18.1439,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,8.70913,um,Surface,,,Image 1,1,62,
Distance to Image Border XY,17.3422,um,Surface,,,Image 1,1,63,
Distance to Image Border XY,10.2724,um,Surface,,,Image 1,1,65,
Distance to Image Border XY,25.2688,um,Surface,,,Image 1,1,68,
Distance to Image Border XY,20.7059,um,Surface,,,Image 1,1,69,
Distance to Image Border XY,38.6199,um,Surface,,,Image 1,1,71,
Distance to Image Border XY,41.3501,um,Surface,,,Image 1,1,73,
Distance to Image Border XY,42.5175,um,Surface,,,Image 1,1,74,
Distance to Image Border XY,39.6147,um,Surface,,,Image 1,1,76,
Distance to Image Border XY,44.9231,um,Surface,,,Image 1,1,77,
Distance to Image Border XY,29.166,um,Surface,,,Image 1,1,78,
Distance to Image Border XY,16.9687,um,Surface,,,Image 1,1,79,
Distance to Image Border XY,24.8459,um,Surface,,,Image 1,1,80,
Distance to Image Border XY,32.2775,um,Surface,,,Image 1,1,81,
Distance to Image Border XY,29.2069,um,Surface,,,Image 1,1,82,
Distance to Image Border XY,37.4977,um,Surface,,,Image 1,1,83,
Distance to Image Border XY,40.3238,um,Surface,,,Image 1,1,86,
Distance to Image Border XY,40.469,um,Surface,,,Image 1,1,89,
Distance to Image Border XY,36.4238,um,Surface,,,Image 1,1,91,
Distance to Image Border XY,36.0711,um,Surface,,,Image 1,1,92,
Distance to Image Border XY,29.5638,um,Surface,,,Image 1,1,93,
Distance to Image Border XY,35.2111,um,Surface,,,Image 1,1,98,
Distance to Image Border XY,18.6096,um,Surface,,,Image 1,1,99,
Distance to Image Border XY,15.2046,um,Surface,,,Image 1,1,100,
Distance to Image Border XY,8.93822,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,12.1502,um,Surface,,,Image 1,1,102,
Distance to Image Border XY,44.5325,um,Surface,,,Image 1,1,103,
Ellipticity (oblate),0.0990787,,Surface,,,,1,59,
Ellipticity (oblate),0.0787891,,Surface,,,,1,60,
Ellipticity (oblate),0.376591,,Surface,,,,1,61,
Ellipticity (oblate),0.340758,,Surface,,,,1,62,
Ellipticity (oblate),0.311519,,Surface,,,,1,63,
Ellipticity (oblate),0.445579,,Surface,,,,1,65,
Ellipticity (oblate),0.300914,,Surface,,,,1,68,
Ellipticity (oblate),0.457685,,Surface,,,,1,69,
Ellipticity (oblate),0.165888,,Surface,,,,1,71,
Ellipticity (oblate),0.0849493,,Surface,,,,1,73,
Ellipticity (oblate),0.28189,,Surface,,,,1,74,
Ellipticity (oblate),0.24287,,Surface,,,,1,76,
Ellipticity (oblate),0.416789,,Surface,,,,1,77,
Ellipticity (oblate),0.0702135,,Surface,,,,1,78,
Ellipticity (oblate),0.0216473,,Surface,,,,1,79,
Ellipticity (oblate),0.0773128,,Surface,,,,1,80,
Ellipticity (oblate),0.496694,,Surface,,,,1,81,
Ellipticity (oblate),0.0981523,,Surface,,,,1,82,
Ellipticity (oblate),0.245815,,Surface,,,,1,83,
Ellipticity (oblate),0.114554,,Surface,,,,1,86,
Ellipticity (oblate),0.397198,,Surface,,,,1,89,
Ellipticity (oblate),0.399374,,Surface,,,,1,91,
Ellipticity (oblate),0.208512,,Surface,,,,1,92,
Ellipticity (oblate),0.0881571,,Surface,,,,1,93,
Ellipticity (oblate),0.130554,,Surface,,,,1,98,
Ellipticity (oblate),0.0927748,,Surface,,,,1,99,
Ellipticity (oblate),0.165796,,Surface,,,,1,100,
Ellipticity (oblate),0.2723,,Surface,,,,1,101,
Ellipticity (oblate),0.0775512,,Surface,,,,1,102,
Ellipticity (oblate),0.420639,,Surface,,,,1,103,
Ellipticity (prolate),0.649981,,Surface,,,,1,59,
Ellipticity (prolate),0.641454,,Surface,,,,1,60,
Ellipticity (prolate),0.363236,,Surface,,,,1,61,
Ellipticity (prolate),0.564036,,Surface,,,,1,62,
Ellipticity (prolate),0.564846,,Surface,,,,1,63,
Ellipticity (prolate),0.420134,,Surface,,,,1,65,
Ellipticity (prolate),0.518105,,Surface,,,,1,68,
Ellipticity (prolate),0.40546,,Surface,,,,1,69,
Ellipticity (prolate),0.451117,,Surface,,,,1,71,
Ellipticity (prolate),0.562159,,Surface,,,,1,73,
Ellipticity (prolate),0.483707,,Surface,,,,1,74,
Ellipticity (prolate),0.43384,,Surface,,,,1,76,
Ellipticity (prolate),0.453018,,Surface,,,,1,77,
Ellipticity (prolate),0.517374,,Surface,,,,1,78,
Ellipticity (prolate),0.700969,,Surface,,,,1,79,
Ellipticity (prolate),0.536795,,Surface,,,,1,80,
Ellipticity (prolate),0.363148,,Surface,,,,1,81,
Ellipticity (prolate),0.626477,,Surface,,,,1,82,
Ellipticity (prolate),0.591651,,Surface,,,,1,83,
Ellipticity (prolate),0.666772,,Surface,,,,1,86,
Ellipticity (prolate),0.412865,,Surface,,,,1,89,
Ellipticity (prolate),0.479029,,Surface,,,,1,91,
Ellipticity (prolate),0.395226,,Surface,,,,1,92,
Ellipticity (prolate),0.506366,,Surface,,,,1,93,
Ellipticity (prolate),0.469563,,Surface,,,,1,98,
Ellipticity (prolate),0.354966,,Surface,,,,1,99,
Ellipticity (prolate),0.487053,,Surface,,,,1,100,
Ellipticity (prolate),0.354195,,Surface,,,,1,101,
Ellipticity (prolate),0.439989,,Surface,,,,1,102,
Ellipticity (prolate),0.448633,,Surface,,,,1,103,
Generation,0,,Surface,,,,1,59,
Generation,0,,Surface,,,,1,60,
Generation,0,,Surface,,,,1,61,
Generation,0,,Surface,,,,1,62,
Generation,0,,Surface,,,,1,63,
Generation,0,,Surface,,,,1,65,
Generation,0,,Surface,,,,1,68,
Generation,0,,Surface,,,,1,69,
Generation,0,,Surface,,,,1,71,
Generation,0,,Surface,,,,1,73,
Generation,0,,Surface,,,,1,74,
Generation,0,,Surface,,,,1,76,
Generation,0,,Surface,,,,1,77,
Generation,0,,Surface,,,,1,78,
Generation,0,,Surface,,,,1,79,
Generation,0,,Surface,,,,1,80,
Generation,0,,Surface,,,,1,81,
Generation,0,,Surface,,,,1,82,
Generation,0,,Surface,,,,1,83,
Generation,0,,Surface,,,,1,86,
Generation,0,,Surface,,,,1,89,
Generation,0,,Surface,,,,1,91,
Generation,0,,Surface,,,,1,92,
Generation,0,,Surface,,,,1,93,
Generation,0,,Surface,,,,1,98,
Generation,0,,Surface,,,,1,99,
Generation,0,,Surface,,,,1,100,
Generation,0,,Surface,,,,1,101,
Generation,0,,Surface,,,,1,102,
Generation,0,,Surface,,,,1,103,
Intensity Max,70,,Surface,1,,Image 1,1,59,
Intensity Max,20,,Surface,2,,Image 1,1,59,
Intensity Max,16,,Surface,3,,Image 1,1,59,
Intensity Max,79,,Surface,4,,Image 1,1,59,
Intensity Max,70,,Surface,5,,Image 1,1,59,
Intensity Max,20,,Surface,6,,Image 1,1,59,
Intensity Max,46,,Surface,1,,Image 1,1,60,
Intensity Max,46,,Surface,2,,Image 1,1,60,
Intensity Max,9,,Surface,3,,Image 1,1,60,
Intensity Max,71,,Surface,4,,Image 1,1,60,
Intensity Max,46,,Surface,5,,Image 1,1,60,
Intensity Max,46,,Surface,6,,Image 1,1,60,
Intensity Max,35,,Surface,1,,Image 1,1,61,
Intensity Max,11,,Surface,2,,Image 1,1,61,
Intensity Max,20,,Surface,3,,Image 1,1,61,
Intensity Max,123,,Surface,4,,Image 1,1,61,
Intensity Max,35,,Surface,5,,Image 1,1,61,
Intensity Max,11,,Surface,6,,Image 1,1,61,
Intensity Max,23,,Surface,1,,Image 1,1,62,
Intensity Max,19,,Surface,2,,Image 1,1,62,
Intensity Max,5,,Surface,3,,Image 1,1,62,
Intensity Max,69,,Surface,4,,Image 1,1,62,
Intensity Max,23,,Surface,5,,Image 1,1,62,
Intensity Max,19,,Surface,6,,Image 1,1,62,
Intensity Max,23,,Surface,1,,Image 1,1,63,
Intensity Max,29,,Surface,2,,Image 1,1,63,
Intensity Max,8,,Surface,3,,Image 1,1,63,
Intensity Max,144,,Surface,4,,Image 1,1,63,
Intensity Max,23,,Surface,5,,Image 1,1,63,
Intensity Max,29,,Surface,6,,Image 1,1,63,
Intensity Max,28,,Surface,1,,Image 1,1,65,
Intensity Max,24,,Surface,2,,Image 1,1,65,
Intensity Max,6,,Surface,3,,Image 1,1,65,
Intensity Max,87,,Surface,4,,Image 1,1,65,
Intensity Max,28,,Surface,5,,Image 1,1,65,
Intensity Max,24,,Surface,6,,Image 1,1,65,
Intensity Max,35,,Surface,1,,Image 1,1,68,
Intensity Max,28,,Surface,2,,Image 1,1,68,
Intensity Max,10,,Surface,3,,Image 1,1,68,
Intensity Max,105,,Surface,4,,Image 1,1,68,
Intensity Max,35,,Surface,5,,Image 1,1,68,
Intensity Max,28,,Surface,6,,Image 1,1,68,
Intensity Max,41,,Surface,1,,Image 1,1,69,
Intensity Max,12,,Surface,2,,Image 1,1,69,
Intensity Max,9,,Surface,3,,Image 1,1,69,
Intensity Max,93,,Surface,4,,Image 1,1,69,
Intensity Max,41,,Surface,5,,Image 1,1,69,
Intensity Max,12,,Surface,6,,Image 1,1,69,
Intensity Max,34,,Surface,1,,Image 1,1,71,
Intensity Max,39,,Surface,2,,Image 1,1,71,
Intensity Max,10,,Surface,3,,Image 1,1,71,
Intensity Max,79,,Surface,4,,Image 1,1,71,
Intensity Max,34,,Surface,5,,Image 1,1,71,
Intensity Max,39,,Surface,6,,Image 1,1,71,
Intensity Max,38,,Surface,1,,Image 1,1,73,
Intensity Max,90,,Surface,2,,Image 1,1,73,
Intensity Max,12,,Surface,3,,Image 1,1,73,
Intensity Max,93,,Surface,4,,Image 1,1,73,
Intensity Max,38,,Surface,5,,Image 1,1,73,
Intensity Max,90,,Surface,6,,Image 1,1,73,
Intensity Max,34,,Surface,1,,Image 1,1,74,
Intensity Max,6,,Surface,2,,Image 1,1,74,
Intensity Max,9,,Surface,3,,Image 1,1,74,
Intensity Max,60,,Surface,4,,Image 1,1,74,
Intensity Max,34,,Surface,5,,Image 1,1,74,
Intensity Max,6,,Surface,6,,Image 1,1,74,
Intensity Max,62,,Surface,1,,Image 1,1,76,
