
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.114831,um^2,Surface,,,,1,0,
Area,0.333254,um^2,Surface,,,,1,1,
Area,0.321696,um^2,Surface,,,,1,2,
Area,7.25625,um^2,Surface,,,,1,3,
Area,5.01985,um^2,Surface,,,,1,4,
Area,1.0467,um^2,Surface,,,,1,5,
Area,0.0875452,um^2,Surface,,,,1,6,
Area,4.72396,um^2,Surface,,,,1,7,
Area,0.403521,um^2,Surface,,,,1,8,
Area,0.803927,um^2,Surface,,,,1,9,
Area,6.02135,um^2,Surface,,,,1,10,
Area,9.5051,um^2,Surface,,,,1,11,
Area,4.6746,um^2,Surface,,,,1,12,
Area,2.1912,um^2,Surface,,,,1,13,
Area,12.9395,um^2,Surface,,,,1,14,
Area,4.50597,um^2,Surface,,,,1,15,
Contact surface area,2.37,um,Surface,,,,,0,
Contact surface area,7.1375,um,Surface,,,,,1,
Contact surface area,0.4275,um,Surface,,,,,2,
Contact surface area,1.18,um,Surface,,,,,3,
Contact surface area,0.5325,um,Surface,,,,,4,
Contact surface area,0.04,um,Surface,,,,,5,
Contact surface area,2.5075,um,Surface,,,,,6,
Contact surface area,2.5125,um,Surface,,,,,7,
Contact surface area,3.21,um,Surface,,,,,8,
Contact surface area,5.0775,um,Surface,,,,,9,
Contact surface area,0.2,um,Surface,,,,,10,
Contact surface area,0.17,um,Surface,,,,,11,
Contact surface area,3.93,um,Surface,,,,,12,
Contact surface area,2.6475,um,Surface,,,,,13,
Contact surface area,0.06,um,Surface,,,,,14,
Contact surface area,0.1725,um,Surface,,,,,15,
Distance from Origin,155.237,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,155.382,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,152.716,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,154.53,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,152.771,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,151.073,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,151.036,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,153.34,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,156.055,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,154.982,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,153.609,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,151.713,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,153.489,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,132.281,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,151.564,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,151.025,um,Surface,,Distance from Origin,,1,15,
Distance to Image Border XY,20.375,um,Surface,,,Image 1,1,0,
