
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,32.6104,um^2,Dendrite,,2,,2,,1,,100000006,510000000913,
Dendrite Area,25.3971,um^2,Dendrite,,0,,1,,1,,100000006,510000002747,
Dendrite Area,66.0934,um^2,Dendrite,,1,,2,,1,,100000006,510000002779,
Dendrite Area,38.8287,um^2,Dendrite,,2,,3,,1,,100000006,510000002901,
Dendrite Area,14.3338,um^2,Dendrite,,3,,3,,1,,100000006,510000003000,
Dendrite Area,18.9498,um^2,Dendrite,,0,,1,,1,,100000006,510000003028,
Dendrite Area,6.96374,um^2,Dendrite,,3,,4,,1,,100000006,510000003029,
Dendrite Area,17.3432,um^2,Dendrite,,1,,1,,1,,100000006,510000003080,
Dendrite Area,20.5623,um^2,Dendrite,,2,,1,,1,,100000006,510000003122,
Dendrite Area,51.0317,um^2,Dendrite,,3,,1,,1,,100000006,510000003168,
Dendrite Area,11.9871,um^2,Dendrite,,2,,2,,1,,100000006,510000003254,
Dendrite Area,52.4185,um^2,Dendrite,,3,,3,,1,,100000006,510000003273,
Dendrite Area,7.03476,um^2,Dendrite,,4,,4,,1,,100000006,510000003390,
Dendrite Area,7.30954,um^2,Dendrite,,5,,5,,1,,100000006,510000003403,
Dendrite Area,45.7612,um^2,Dendrite,,6,,5,,1,,100000006,510000003420,
Dendrite Area,24.1958,um^2,Dendrite,,5,,4,,1,,100000006,510000003509,
Dendrite Area,26.04,um^2,Dendrite,,6,,6,,1,,100000006,510000003566,
Dendrite Area,10.8791,um^2,Dendrite,,4,,3,,1,,100000006,510000003619,
Dendrite Area,2.19159,um^2,Dendrite,,1,,1,,1,,100000006,510000003634,
Dendrite Area,32.0599,um^2,Dendrite,,2,,1,,1,,100000006,510000003636,
Dendrite Area,38.3342,um^2,Dendrite,,3,,1,,1,,100000006,510000003690,
Dendrite Area,21.4983,um^2,Dendrite,,4,,1,,1,,100000006,510000003745,
Dendrite Area,64.5297,um^2,Dendrite,,5,,2,,1,,100000006,510000003772,
Dendrite Area,8.09106,um^2,Dendrite,,6,,3,,1,,100000006,510000003904,
Dendrite Area,10.7313,um^2,Dendrite,,2,,2,,1,,100000006,510000003923,
Dendrite Area,42.4217,um^2,Dendrite,,6,,2,,1,,100000006,510000003949,
Dendrite Area,8.74048,um^2,Dendrite,,4,,2,,1,,100000006,510000004038,
Dendrite Area,18.4074,um^2,Dendrite,,4,,1,,1,,100000006,510000004056,
Dendrite Area,14.5018,um^2,Dendrite,,3,,2,,1,,100000006,510000004087,
Dendrite Area,7.40909,um^2,Dendrite,,3,,2,,1,,100000006,510000004119,
Dendrite Area,16.115,um^2,Dendrite,,4,,2,,1,,100000006,510000004138,
Dendrite Area,11.6744,um^2,Dendrite,,5,,2,,1,,100000006,510000004163,
Dendrite Area,53.1569,um^2,Dendrite,,6,,2,,1,,100000006,510000004182,
Dendrite Area,11.2165,um^2,Dendrite,,6,,3,,1,,100000006,510000004258,
Dendrite Area,9.5192,um^2,Dendrite,,5,,3,,1,,100000006,510000004281,
Dendrite Area,11.4867,um^2,Dendrite,,5,,1,,1,,100000006,510000004298,
Dendrite Area,9.96615,um^2,Dendrite,,1,,2,,1,,100000006,510000004318,
Dendrite Area,8.26625,um^2,Dendrite,,3,,2,,1,,100000006,510000004345,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000006,510000000913,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000006,510000002747,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000006,510000002779,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000006,510000002901,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000006,510000003000,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000006,510000003028,
Dendrite Branch Depth,3,,Dendrite,,3,,4,,1,,100000006,510000003029,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000006,510000003080,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000006,510000003122,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000006,510000003168,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000006,510000003254,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000006,510000003273,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000006,510000003390,
Dendrite Branch Depth,5,,Dendrite,,5,,5,,1,,100000006,510000003403,
Dendrite Branch Depth,6,,Dendrite,,6,,5,,1,,100000006,510000003420,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000006,510000003509,
Dendrite Branch Depth,6,,Dendrite,,6,,6,,1,,100000006,510000003566,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000006,510000003619,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000006,510000003634,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000006,510000003636,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000006,510000003690,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000006,510000003745,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000006,510000003772,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000006,510000003904,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000006,510000003923,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000006,510000003949,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000006,510000004038,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000006,510000004056,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000006,510000004087,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000006,510000004119,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000006,510000004138,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000006,510000004163,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000006,510000004182,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000006,510000004258,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000006,510000004281,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000006,510000004298,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000006,510000004318,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000006,510000004345,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000006,510000000913,
Dendrite Branch Level,1,,Dendrite,,0,,1,,1,,100000006,510000002747,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000006,510000002779,
Dendrite Branch Level,3,,Dendrite,,2,,3,,1,,100000006,510000002901,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000006,510000003000,
Dendrite Branch Level,1,,Dendrite,,0,,1,,1,,100000006,510000003028,
Dendrite Branch Level,4,,Dendrite,,3,,4,,1,,100000006,510000003029,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000006,510000003080,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000006,510000003122,
Dendrite Branch Level,1,,Dendrite,,3,,1,,1,,100000006,510000003168,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000006,510000003254,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000006,510000003273,
Dendrite Branch Level,4,,Dendrite,,4,,4,,1,,100000006,510000003390,
Dendrite Branch Level,5,,Dendrite,,5,,5,,1,,100000006,510000003403,
Dendrite Branch Level,5,,Dendrite,,6,,5,,1,,100000006,510000003420,
Dendrite Branch Level,4,,Dendrite,,5,,4,,1,,100000006,510000003509,
Dendrite Branch Level,6,,Dendrite,,6,,6,,1,,100000006,510000003566,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000006,510000003619,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000006,510000003634,
Dendrite Branch Level,1,,Dendrite,,2,,1,,1,,100000006,510000003636,
Dendrite Branch Level,1,,Dendrite,,3,,1,,1,,100000006,510000003690,
Dendrite Branch Level,1,,Dendrite,,4,,1,,1,,100000006,510000003745,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000006,510000003772,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000006,510000003904,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000006,510000003923,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000006,510000003949,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000006,510000004038,
Dendrite Branch Level,1,,Dendrite,,4,,1,,1,,100000006,510000004056,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000006,510000004087,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000006,510000004119,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000006,510000004138,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000006,510000004163,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000006,510000004182,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000006,510000004258,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000006,510000004281,
Dendrite Branch Level,1,,Dendrite,,5,,1,,1,,100000006,510000004298,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000006,510000004318,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000006,510000004345,
Dendrite Branching Angle,75.8759,°,Dendrite,,2,,2,,1,,100000006,510000000913,
Dendrite Branching Angle,0,°,Dendrite,,0,,1,,1,,100000006,510000002747,
Dendrite Branching Angle,31.2528,°,Dendrite,,1,,2,,1,,100000006,510000002779,
Dendrite Branching Angle,15.0262,°,Dendrite,,2,,3,,1,,100000006,510000002901,
Dendrite Branching Angle,11.3291,°,Dendrite,,3,,3,,1,,100000006,510000003000,
Dendrite Branching Angle,0,°,Dendrite,,0,,1,,1,,100000006,510000003028,
Dendrite Branching Angle,5.7984,°,Dendrite,,3,,4,,1,,100000006,510000003029,
Dendrite Branching Angle,8.88044,°,Dendrite,,1,,1,,1,,100000006,510000003080,
Dendrite Branching Angle,6.78622,°,Dendrite,,2,,1,,1,,100000006,510000003122,
Dendrite Branching Angle,8.35712,°,Dendrite,,3,,1,,1,,100000006,510000003168,
Dendrite Branching Angle,39.0043,°,Dendrite,,2,,2,,1,,100000006,510000003254,
