
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,15.5054,um^2,Surface,,,,1,190,
Area,4.36018,um^2,Surface,,,,1,191,
Area,10.3027,um^2,Surface,,,,1,192,
Area,15.3153,um^2,Surface,,,,1,193,
Area,9.1476,um^2,Surface,,,,1,194,
Area,34.0587,um^2,Surface,,,,1,195,
Area,4.75582,um^2,Surface,,,,1,197,
Area,3.78749,um^2,Surface,,,,1,198,
Area,7.18062,um^2,Surface,,,,1,199,
Area,2.90048,um^2,Surface,,,,1,200,
Area,7.27088,um^2,Surface,,,,1,202,
Area,20.8608,um^2,Surface,,,,1,204,
Area,2.85531,um^2,Surface,,,,1,206,
Area,7.76554,um^2,Surface,,,,1,207,
Area,6.21777,um^2,Surface,,,,1,208,
Area,5.39402,um^2,Surface,,,,1,209,
Area,4.96342,um^2,Surface,,,,1,210,
Area,10.2636,um^2,Surface,,,,1,213,
Area,8.98379,um^2,Surface,,,,1,214,
Area,4.02213,um^2,Surface,,,,1,215,
Area,1.95099,um^2,Surface,,,,1,217,
Area,17.8569,um^2,Surface,,,,1,219,
Area,9.11742,um^2,Surface,,,,1,220,
Area,15.1485,um^2,Surface,,,,1,221,
Area,1.98176,um^2,Surface,,,,1,222,
Area,0.0527979,um^2,Surface,,,,1,223,
Area,16.2622,um^2,Surface,,,,1,225,
Area,3.18844,um^2,Surface,,,,1,226,
Area,5.74122,um^2,Surface,,,,1,227,
Area,2.97794,um^2,Surface,,,,1,230,
Area,9.666,um^2,Surface,,,,1,231,
Area,103.083,um^2,Surface,,,,1,233,
Area,0.0470676,um^2,Surface,,,,1,234,
Area,0.0547176,um^2,Surface,,,,1,235,
Area,0.0555311,um^2,Surface,,,,1,236,
Area,0.0546436,um^2,Surface,,,,1,237,
Area,1.2308,um^2,Surface,,,,1,238,
Area,0.0782429,um^2,Surface,,,,1,239,
Area,1.07777,um^2,Surface,,,,1,240,
Area,0.11817,um^2,Surface,,,,1,241,
Area,0.0226634,um^2,Surface,,,,1,242,
Area,0.0684714,um^2,Surface,,,,1,243,
Area,0.0343067,um^2,Surface,,,,1,244,
Area,0.208774,um^2,Surface,,,,1,245,
Area,0.011609,um^2,Surface,,,,1,246,
Area,0.0485425,um^2,Surface,,,,1,247,
Area,0.123994,um^2,Surface,,,,1,248,
Area,0.0293818,um^2,Surface,,,,1,249,
Area,0.271118,um^2,Surface,,,,1,250,
Area,0.0946529,um^2,Surface,,,,1,251,
Area,0.27446,um^2,Surface,,,,1,252,
Area,0.137531,um^2,Surface,,,,1,253,
Area,90.1372,um^2,Surface,,,,1,254,
Area,0.0530852,um^2,Surface,,,,1,255,
Area,16.3042,um^2,Surface,,,,1,256,
Distance from Origin,163.763,um,Surface,,Distance from Origin,,1,190,
Distance from Origin,170.205,um,Surface,,Distance from Origin,,1,191,
Distance from Origin,168.3,um,Surface,,Distance from Origin,,1,192,
Distance from Origin,174.466,um,Surface,,Distance from Origin,,1,193,
Distance from Origin,181.408,um,Surface,,Distance from Origin,,1,194,
Distance from Origin,189.981,um,Surface,,Distance from Origin,,1,195,
Distance from Origin,132.847,um,Surface,,Distance from Origin,,1,197,
Distance from Origin,173.863,um,Surface,,Distance from Origin,,1,198,
Distance from Origin,139.24,um,Surface,,Distance from Origin,,1,199,
Distance from Origin,148.569,um,Surface,,Distance from Origin,,1,200,
Distance from Origin,150.062,um,Surface,,Distance from Origin,,1,202,
Distance from Origin,153.9,um,Surface,,Distance from Origin,,1,204,
Distance from Origin,182.085,um,Surface,,Distance from Origin,,1,206,
Distance from Origin,143.393,um,Surface,,Distance from Origin,,1,207,
Distance from Origin,132.685,um,Surface,,Distance from Origin,,1,208,
Distance from Origin,174.5,um,Surface,,Distance from Origin,,1,209,
Distance from Origin,173.538,um,Surface,,Distance from Origin,,1,210,
Distance from Origin,151.68,um,Surface,,Distance from Origin,,1,213,
Distance from Origin,154.995,um,Surface,,Distance from Origin,,1,214,
Distance from Origin,155.847,um,Surface,,Distance from Origin,,1,215,
Distance from Origin,159.352,um,Surface,,Distance from Origin,,1,217,
Distance from Origin,160.449,um,Surface,,Distance from Origin,,1,219,
Distance from Origin,163.072,um,Surface,,Distance from Origin,,1,220,
Distance from Origin,160.883,um,Surface,,Distance from Origin,,1,221,
Distance from Origin,172.244,um,Surface,,Distance from Origin,,1,222,
Distance from Origin,171.846,um,Surface,,Distance from Origin,,1,223,
Distance from Origin,171.594,um,Surface,,Distance from Origin,,1,225,
Distance from Origin,172.601,um,Surface,,Distance from Origin,,1,226,
Distance from Origin,140.973,um,Surface,,Distance from Origin,,1,227,
Distance from Origin,154.967,um,Surface,,Distance from Origin,,1,230,
Distance from Origin,159.77,um,Surface,,Distance from Origin,,1,231,
Distance from Origin,154.695,um,Surface,,Distance from Origin,,1,233,
Distance from Origin,159.977,um,Surface,,Distance from Origin,,1,234,
Distance from Origin,162.491,um,Surface,,Distance from Origin,,1,235,
Distance from Origin,162.599,um,Surface,,Distance from Origin,,1,236,
Distance from Origin,162.067,um,Surface,,Distance from Origin,,1,237,
Distance from Origin,166.806,um,Surface,,Distance from Origin,,1,238,
Distance from Origin,165.926,um,Surface,,Distance from Origin,,1,239,
Distance from Origin,165.886,um,Surface,,Distance from Origin,,1,240,
Distance from Origin,165.862,um,Surface,,Distance from Origin,,1,241,
Distance from Origin,166.187,um,Surface,,Distance from Origin,,1,242,
Distance from Origin,166.124,um,Surface,,Distance from Origin,,1,243,
Distance from Origin,165.706,um,Surface,,Distance from Origin,,1,244,
Distance from Origin,165.916,um,Surface,,Distance from Origin,,1,245,
Distance from Origin,167.2,um,Surface,,Distance from Origin,,1,246,
Distance from Origin,167.302,um,Surface,,Distance from Origin,,1,247,
Distance from Origin,167.234,um,Surface,,Distance from Origin,,1,248,
Distance from Origin,167.342,um,Surface,,Distance from Origin,,1,249,
Distance from Origin,167.12,um,Surface,,Distance from Origin,,1,250,
Distance from Origin,167.27,um,Surface,,Distance from Origin,,1,251,
Distance from Origin,167.157,um,Surface,,Distance from Origin,,1,252,
Distance from Origin,167.251,um,Surface,,Distance from Origin,,1,253,
Distance from Origin,166.975,um,Surface,,Distance from Origin,,1,254,
Distance from Origin,168.984,um,Surface,,Distance from Origin,,1,255,
Distance from Origin,170.902,um,Surface,,Distance from Origin,,1,256,
Distance to Image Border XY,41.24,um,Surface,,,Image 1,1,190,
Distance to Image Border XY,40.6126,um,Surface,,,Image 1,1,191,
Distance to Image Border XY,39.7267,um,Surface,,,Image 1,1,192,
Distance to Image Border XY,32.9578,um,Surface,,,Image 1,1,193,
Distance to Image Border XY,27.8585,um,Surface,,,Image 1,1,194,
Distance to Image Border XY,20.7543,um,Surface,,,Image 1,1,195,
Distance to Image Border XY,16.4115,um,Surface,,,Image 1,1,197,
Distance to Image Border XY,38.8078,um,Surface,,,Image 1,1,198,
Distance to Image Border XY,29.2168,um,Surface,,,Image 1,1,199,
Distance to Image Border XY,34.4918,um,Surface,,,Image 1,1,200,
Distance to Image Border XY,9.33235,um,Surface,,,Image 1,1,202,
Distance to Image Border XY,15.5182,um,Surface,,,Image 1,1,204,
Distance to Image Border XY,21.6237,um,Surface,,,Image 1,1,206,
Distance to Image Border XY,43.4104,um,Surface,,,Image 1,1,207,
Distance to Image Border XY,39.2764,um,Surface,,,Image 1,1,208,
