
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,9.15797,um^2,Surface,,,,1,10,
Area,10.2417,um^2,Surface,,,,1,11,
Area,9.43348,um^2,Surface,,,,1,12,
Area,16.0188,um^2,Surface,,,,1,13,
Area,9.85727,um^2,Surface,,,,1,14,
Area,18.6334,um^2,Surface,,,,1,15,
Area,35.3054,um^2,Surface,,,,1,16,
Distance from Origin,160.458,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,141.145,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,147.699,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,156.006,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,137.517,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,147.7,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,145.245,um,Surface,,Distance from Origin,,1,16,
Distance to Image Border XY,40.7433,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,40.1928,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,53.4706,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,55.0207,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,41.772,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,51.8896,um,Surface,,,Image 1,1,15,
Distance to Image Border XY,47.8803,um,Surface,,,Image 1,1,16,
Ellipticity (oblate),0.44017,,Surface,,,,1,10,
Ellipticity (oblate),0.259865,,Surface,,,,1,11,
Ellipticity (oblate),0.584769,,Surface,,,,1,12,
Ellipticity (oblate),0.246771,,Surface,,,,1,13,
Ellipticity (oblate),0.354831,,Surface,,,,1,14,
Ellipticity (oblate),0.258584,,Surface,,,,1,15,
Ellipticity (oblate),0.47969,,Surface,,,,1,16,
Ellipticity (prolate),0.421235,,Surface,,,,1,10,
Ellipticity (prolate),0.712911,,Surface,,,,1,11,
Ellipticity (prolate),0.279773,,Surface,,,,1,12,
Ellipticity (prolate),0.743476,,Surface,,,,1,13,
Ellipticity (prolate),0.542166,,Surface,,,,1,14,
Ellipticity (prolate),0.717768,,Surface,,,,1,15,
Ellipticity (prolate),0.356566,,Surface,,,,1,16,
Generation,0,,Surface,,,,1,10,
Generation,0,,Surface,,,,1,11,
Generation,0,,Surface,,,,1,12,
Generation,0,,Surface,,,,1,13,
Generation,0,,Surface,,,,1,14,
Generation,0,,Surface,,,,1,15,
Generation,0,,Surface,,,,1,16,
Intensity Max,5,,Surface,1,,Image 1,1,10,
Intensity Max,23,,Surface,2,,Image 1,1,10,
Intensity Max,15,,Surface,3,,Image 1,1,10,
Intensity Max,23,,Surface,4,,Image 1,1,10,
Intensity Max,23,,Surface,5,,Image 1,1,10,
Intensity Max,5,,Surface,6,,Image 1,1,10,
Intensity Max,23,,Surface,7,,Image 1,1,10,
Intensity Max,8,,Surface,1,,Image 1,1,11,
Intensity Max,23,,Surface,2,,Image 1,1,11,
Intensity Max,12,,Surface,3,,Image 1,1,11,
Intensity Max,35,,Surface,4,,Image 1,1,11,
Intensity Max,35,,Surface,5,,Image 1,1,11,
Intensity Max,8,,Surface,6,,Image 1,1,11,
Intensity Max,23,,Surface,7,,Image 1,1,11,
Intensity Max,5,,Surface,1,,Image 1,1,12,
Intensity Max,23,,Surface,2,,Image 1,1,12,
Intensity Max,30,,Surface,3,,Image 1,1,12,
Intensity Max,20,,Surface,4,,Image 1,1,12,
Intensity Max,20,,Surface,5,,Image 1,1,12,
Intensity Max,5,,Surface,6,,Image 1,1,12,
Intensity Max,23,,Surface,7,,Image 1,1,12,
Intensity Max,8,,Surface,1,,Image 1,1,13,
Intensity Max,54,,Surface,2,,Image 1,1,13,
Intensity Max,19,,Surface,3,,Image 1,1,13,
Intensity Max,19,,Surface,4,,Image 1,1,13,
Intensity Max,19,,Surface,5,,Image 1,1,13,
Intensity Max,8,,Surface,6,,Image 1,1,13,
Intensity Max,54,,Surface,7,,Image 1,1,13,
Intensity Max,5,,Surface,1,,Image 1,1,14,
Intensity Max,25,,Surface,2,,Image 1,1,14,
Intensity Max,10,,Surface,3,,Image 1,1,14,
Intensity Max,23,,Surface,4,,Image 1,1,14,
Intensity Max,23,,Surface,5,,Image 1,1,14,
Intensity Max,5,,Surface,6,,Image 1,1,14,
Intensity Max,25,,Surface,7,,Image 1,1,14,
Intensity Max,5,,Surface,1,,Image 1,1,15,
Intensity Max,41,,Surface,2,,Image 1,1,15,
Intensity Max,47,,Surface,3,,Image 1,1,15,
Intensity Max,22,,Surface,4,,Image 1,1,15,
Intensity Max,22,,Surface,5,,Image 1,1,15,
Intensity Max,5,,Surface,6,,Image 1,1,15,
Intensity Max,41,,Surface,7,,Image 1,1,15,
Intensity Max,10,,Surface,1,,Image 1,1,16,
Intensity Max,90,,Surface,2,,Image 1,1,16,
Intensity Max,37,,Surface,3,,Image 1,1,16,
Intensity Max,36,,Surface,4,,Image 1,1,16,
Intensity Max,36,,Surface,5,,Image 1,1,16,
