
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,36.315,um^2,Surface,,,,1,442,
Area,13.8748,um^2,Surface,,,,1,453,
Area,7.56071,um^2,Surface,,,,1,454,
Area,30.1563,um^2,Surface,,,,1,456,
Area,27.8465,um^2,Surface,,,,1,460,
Area,36.4594,um^2,Surface,,,,1,461,
Area,14.567,um^2,Surface,,,,1,462,
Area,83.0233,um^2,Surface,,,,1,464,
Area,12.1252,um^2,Surface,,,,1,465,
Area,143.278,um^2,Surface,,,,1,466,
Area,20.0688,um^2,Surface,,,,1,467,
Area,285.168,um^2,Surface,,,,1,468,
Area,158.208,um^2,Surface,,,,1,469,
Area,73.2758,um^2,Surface,,,,1,472,
Area,50.9425,um^2,Surface,,,,1,473,
Area,25.6525,um^2,Surface,,,,1,474,
Area,11.2154,um^2,Surface,,,,1,476,
Area,19.1072,um^2,Surface,,,,1,477,
Area,34.4022,um^2,Surface,,,,1,478,
Area,26.3997,um^2,Surface,,,,1,479,
Area,30.8633,um^2,Surface,,,,1,480,
Area,13.8243,um^2,Surface,,,,1,481,
Area,6.02046,um^2,Surface,,,,1,482,
Area,11.6351,um^2,Surface,,,,1,483,
Area,5.28103,um^2,Surface,,,,1,487,
Area,99.8201,um^2,Surface,,,,1,489,
Area,28.178,um^2,Surface,,,,1,490,
Area,6.54703,um^2,Surface,,,,1,491,
Area,290.48,um^2,Surface,,,,1,492,
Area,32.6374,um^2,Surface,,,,1,493,
Area,39.6884,um^2,Surface,,,,1,494,
Area,25.218,um^2,Surface,,,,1,495,
Area,74.4484,um^2,Surface,,,,1,496,
Area,21.0992,um^2,Surface,,,,1,497,
Area,8.11609,um^2,Surface,,,,1,498,
Area,32.4144,um^2,Surface,,,,1,499,
Area,37.9115,um^2,Surface,,,,1,501,
Area,8.74515,um^2,Surface,,,,1,502,
Area,61.3232,um^2,Surface,,,,1,503,
Area,7.60227,um^2,Surface,,,,1,504,
Area,444.045,um^2,Surface,,,,1,505,
Area,58.2611,um^2,Surface,,,,1,506,
Area,6.14244,um^2,Surface,,,,1,509,
Area,34.6739,um^2,Surface,,,,1,510,
Area,34.542,um^2,Surface,,,,1,511,
Area,32.9599,um^2,Surface,,,,1,513,
Area,33.3574,um^2,Surface,,,,1,514,
Area,82.1289,um^2,Surface,,,,1,515,
Area,7.25632,um^2,Surface,,,,1,516,
Area,11.7719,um^2,Surface,,,,1,517,
Area,18.184,um^2,Surface,,,,1,518,
Area,99.9435,um^2,Surface,,,,1,519,
Area,6.15026,um^2,Surface,,,,1,520,
Area,21.0773,um^2,Surface,,,,1,522,
Area,5.77462,um^2,Surface,,,,1,530,
Area,21.1523,um^2,Surface,,,,1,531,
Area,5.19129,um^2,Surface,,,,1,532,
Area,16.0689,um^2,Surface,,,,1,533,
Area,27.3611,um^2,Surface,,,,1,534,
Area,41.5696,um^2,Surface,,,,1,535,
Area,35.2735,um^2,Surface,,,,1,537,
Area,29.6489,um^2,Surface,,,,1,538,
Area,7.57645,um^2,Surface,,,,1,539,
Area,43.8481,um^2,Surface,,,,1,553,
Area,20.9282,um^2,Surface,,,,1,554,
Area,12.7407,um^2,Surface,,,,1,555,
Area,52.1363,um^2,Surface,,,,1,556,
Area,1763.05,um^2,Surface,,,,1,557,
Distance from Origin,180.431,um,Surface,,Distance from Origin,,1,442,
Distance from Origin,181.163,um,Surface,,Distance from Origin,,1,453,
Distance from Origin,184.271,um,Surface,,Distance from Origin,,1,454,
Distance from Origin,178.002,um,Surface,,Distance from Origin,,1,456,
Distance from Origin,187.439,um,Surface,,Distance from Origin,,1,460,
Distance from Origin,202.162,um,Surface,,Distance from Origin,,1,461,
Distance from Origin,195.928,um,Surface,,Distance from Origin,,1,462,
Distance from Origin,175.197,um,Surface,,Distance from Origin,,1,464,
Distance from Origin,178.625,um,Surface,,Distance from Origin,,1,465,
Distance from Origin,184.32,um,Surface,,Distance from Origin,,1,466,
Distance from Origin,161.615,um,Surface,,Distance from Origin,,1,467,
Distance from Origin,172.689,um,Surface,,Distance from Origin,,1,468,
Distance from Origin,176.193,um,Surface,,Distance from Origin,,1,469,
Distance from Origin,160.717,um,Surface,,Distance from Origin,,1,472,
Distance from Origin,161.773,um,Surface,,Distance from Origin,,1,473,
Distance from Origin,190.148,um,Surface,,Distance from Origin,,1,474,
Distance from Origin,186.223,um,Surface,,Distance from Origin,,1,476,
Distance from Origin,162.231,um,Surface,,Distance from Origin,,1,477,
Distance from Origin,160.247,um,Surface,,Distance from Origin,,1,478,
Distance from Origin,164.362,um,Surface,,Distance from Origin,,1,479,
Distance from Origin,152.642,um,Surface,,Distance from Origin,,1,480,
Distance from Origin,155.244,um,Surface,,Distance from Origin,,1,481,
Distance from Origin,155.359,um,Surface,,Distance from Origin,,1,482,
Distance from Origin,148.594,um,Surface,,Distance from Origin,,1,483,
Distance from Origin,138.595,um,Surface,,Distance from Origin,,1,487,
Distance from Origin,168.567,um,Surface,,Distance from Origin,,1,489,
Distance from Origin,153.248,um,Surface,,Distance from Origin,,1,490,
Distance from Origin,156.188,um,Surface,,Distance from Origin,,1,491,
Distance from Origin,176.347,um,Surface,,Distance from Origin,,1,492,
Distance from Origin,154.082,um,Surface,,Distance from Origin,,1,493,
Distance from Origin,156.619,um,Surface,,Distance from Origin,,1,494,
Distance from Origin,136.256,um,Surface,,Distance from Origin,,1,495,
