
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,4.01412,um^2,Surface,,,,1,236,
Area,31.2757,um^2,Surface,,,,1,237,
Area,23.256,um^2,Surface,,,,1,238,
Area,9.26534,um^2,Surface,,,,1,245,
Area,6.00051,um^2,Surface,,,,1,247,
Area,2.47039,um^2,Surface,,,,1,249,
Area,3.3451,um^2,Surface,,,,1,251,
Area,9.70257,um^2,Surface,,,,1,257,
Area,12.19,um^2,Surface,,,,1,258,
Area,3.7383,um^2,Surface,,,,1,259,
Area,5.59979,um^2,Surface,,,,1,261,
Area,1.8883,um^2,Surface,,,,1,262,
Area,2.7493,um^2,Surface,,,,1,264,
Area,10.2632,um^2,Surface,,,,1,268,
Area,6.36382,um^2,Surface,,,,1,271,
Area,25.0846,um^2,Surface,,,,1,272,
Area,4.93158,um^2,Surface,,,,1,273,
Area,2.72102,um^2,Surface,,,,1,274,
Area,24.7872,um^2,Surface,,,,1,275,
Area,3.63122,um^2,Surface,,,,1,276,
Area,12.4239,um^2,Surface,,,,1,277,
Area,9.67703,um^2,Surface,,,,1,278,
Area,4.98878,um^2,Surface,,,,1,280,
Area,13.2612,um^2,Surface,,,,1,284,
Area,5.21785,um^2,Surface,,,,1,287,
Area,79.7932,um^2,Surface,,,,1,289,
Area,30.8925,um^2,Surface,,,,1,291,
Distance from Origin,161.499,um,Surface,,Distance from Origin,,1,236,
Distance from Origin,157.859,um,Surface,,Distance from Origin,,1,237,
Distance from Origin,165.088,um,Surface,,Distance from Origin,,1,238,
Distance from Origin,141.149,um,Surface,,Distance from Origin,,1,245,
Distance from Origin,140.249,um,Surface,,Distance from Origin,,1,247,
Distance from Origin,140.466,um,Surface,,Distance from Origin,,1,249,
Distance from Origin,120.54,um,Surface,,Distance from Origin,,1,251,
Distance from Origin,178.172,um,Surface,,Distance from Origin,,1,257,
Distance from Origin,173.94,um,Surface,,Distance from Origin,,1,258,
Distance from Origin,201.078,um,Surface,,Distance from Origin,,1,259,
Distance from Origin,162.525,um,Surface,,Distance from Origin,,1,261,
Distance from Origin,189.885,um,Surface,,Distance from Origin,,1,262,
Distance from Origin,170.554,um,Surface,,Distance from Origin,,1,264,
Distance from Origin,161.941,um,Surface,,Distance from Origin,,1,268,
Distance from Origin,151.611,um,Surface,,Distance from Origin,,1,271,
Distance from Origin,157.014,um,Surface,,Distance from Origin,,1,272,
Distance from Origin,147.228,um,Surface,,Distance from Origin,,1,273,
Distance from Origin,146.498,um,Surface,,Distance from Origin,,1,274,
Distance from Origin,150.97,um,Surface,,Distance from Origin,,1,275,
Distance from Origin,145.152,um,Surface,,Distance from Origin,,1,276,
Distance from Origin,146.796,um,Surface,,Distance from Origin,,1,277,
Distance from Origin,141.881,um,Surface,,Distance from Origin,,1,278,
Distance from Origin,144.147,um,Surface,,Distance from Origin,,1,280,
Distance from Origin,135.948,um,Surface,,Distance from Origin,,1,284,
Distance from Origin,132.552,um,Surface,,Distance from Origin,,1,287,
Distance from Origin,144.963,um,Surface,,Distance from Origin,,1,289,
Distance from Origin,144.311,um,Surface,,Distance from Origin,,1,291,
Distance to Image Border XY,31.4656,um,Surface,,,Image 1,1,236,
Distance to Image Border XY,39.1866,um,Surface,,,Image 1,1,237,
Distance to Image Border XY,30.5087,um,Surface,,,Image 1,1,238,
Distance to Image Border XY,39.5668,um,Surface,,,Image 1,1,245,
Distance to Image Border XY,43.1271,um,Surface,,,Image 1,1,247,
Distance to Image Border XY,38.0385,um,Surface,,,Image 1,1,249,
Distance to Image Border XY,23.9289,um,Surface,,,Image 1,1,251,
Distance to Image Border XY,25.0439,um,Surface,,,Image 1,1,257,
Distance to Image Border XY,35.9545,um,Surface,,,Image 1,1,258,
Distance to Image Border XY,10.5081,um,Surface,,,Image 1,1,259,
Distance to Image Border XY,33.0609,um,Surface,,,Image 1,1,261,
Distance to Image Border XY,18.1896,um,Surface,,,Image 1,1,262,
Distance to Image Border XY,38.6637,um,Surface,,,Image 1,1,264,
Distance to Image Border XY,51.0193,um,Surface,,,Image 1,1,268,
Distance to Image Border XY,42.3173,um,Surface,,,Image 1,1,271,
Distance to Image Border XY,53.7795,um,Surface,,,Image 1,1,272,
Distance to Image Border XY,52.4028,um,Surface,,,Image 1,1,273,
Distance to Image Border XY,52.3337,um,Surface,,,Image 1,1,274,
Distance to Image Border XY,52.9682,um,Surface,,,Image 1,1,275,
Distance to Image Border XY,42.4609,um,Surface,,,Image 1,1,276,
Distance to Image Border XY,41.5242,um,Surface,,,Image 1,1,277,
Distance to Image Border XY,49.3859,um,Surface,,,Image 1,1,278,
Distance to Image Border XY,43.4205,um,Surface,,,Image 1,1,280,
Distance to Image Border XY,38.5968,um,Surface,,,Image 1,1,284,
Distance to Image Border XY,35.7509,um,Surface,,,Image 1,1,287,
Distance to Image Border XY,52.0373,um,Surface,,,Image 1,1,289,
Distance to Image Border XY,44.4796,um,Surface,,,Image 1,1,291,
Ellipticity (oblate),0.280618,,Surface,,,,1,236,
Ellipticity (oblate),0.110962,,Surface,,,,1,237,
Ellipticity (oblate),0.280309,,Surface,,,,1,238,
Ellipticity (oblate),0.416794,,Surface,,,,1,245,
Ellipticity (oblate),0.147755,,Surface,,,,1,247,
Ellipticity (oblate),0.330495,,Surface,,,,1,249,
Ellipticity (oblate),0.123916,,Surface,,,,1,251,
Ellipticity (oblate),0.367163,,Surface,,,,1,257,
Ellipticity (oblate),0.12793,,Surface,,,,1,258,
Ellipticity (oblate),0.50724,,Surface,,,,1,259,
Ellipticity (oblate),0.63107,,Surface,,,,1,261,
Ellipticity (oblate),0.246296,,Surface,,,,1,262,
Ellipticity (oblate),0.0538496,,Surface,,,,1,264,
