
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.28936,um^2,Surface,,,,1,0,
Area,0.0100807,um^2,Surface,,,,1,1,
Area,0.432674,um^2,Surface,,,,1,2,
Area,0.023264,um^2,Surface,,,,1,3,
Area,0.0166088,um^2,Surface,,,,1,4,
Area,12.4643,um^2,Surface,,,,1,5,
Area,1.746,um^2,Surface,,,,1,6,
Area,10.2652,um^2,Surface,,,,1,7,
Area,0.437149,um^2,Surface,,,,1,8,
Area,1.98727,um^2,Surface,,,,1,9,
Area,3.49533,um^2,Surface,,,,1,10,
Area,6.52683,um^2,Surface,,,,1,11,
Area,0.0166088,um^2,Surface,,,,1,12,
Area,35.1582,um^2,Surface,,,,1,13,
Contact surface area,0.0075,um,Surface,,,,,0,
Contact surface area,20.595,um,Surface,,,,,1,
Contact surface area,0.235,um,Surface,,,,,2,
Contact surface area,1.11,um,Surface,,,,,3,
Contact surface area,2.03,um,Surface,,,,,4,
Contact surface area,3.7225,um,Surface,,,,,5,
Contact surface area,5.9875,um,Surface,,,,,6,
Contact surface area,0.995,um,Surface,,,,,7,
Contact surface area,0.235,um,Surface,,,,,8,
Contact surface area,0.015,um,Surface,,,,,9,
Contact surface area,0.0075,um,Surface,,,,,10,
Contact surface area,0.0075,um,Surface,,,,,11,
Contact surface area,1.335,um,Surface,,,,,12,
Contact surface area,7.205,um,Surface,,,,,13,
Distance from Origin,159.887,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,159.662,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,155.973,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,155.964,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,155.309,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,141.195,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,137.32,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,156.014,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,147.332,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,148.126,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,147.496,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,147.538,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,144.28,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,145.179,um,Surface,,Distance from Origin,,1,13,
Distance to Image Border XY,41.448,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,42.1333,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,56.4436,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,56.7333,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,56.775,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,40.3166,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,41.831,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,55.6154,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,54.016,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,53.3464,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,52.473,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,53.6144,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,47.825,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,48.0707,um,Surface,,,Image 1,1,13,
Ellipticity (oblate),0.281994,,Surface,,,,1,0,
Ellipticity (oblate),0.475863,,Surface,,,,1,1,
Ellipticity (oblate),0.600122,,Surface,,,,1,2,
Ellipticity (oblate),0.40599,,Surface,,,,1,3,
Ellipticity (oblate),0.13293,,Surface,,,,1,4,
Ellipticity (oblate),0.410807,,Surface,,,,1,5,
Ellipticity (oblate),0.321452,,Surface,,,,1,6,
Ellipticity (oblate),0.671187,,Surface,,,,1,7,
Ellipticity (oblate),0.30773,,Surface,,,,1,8,
Ellipticity (oblate),0.704072,,Surface,,,,1,9,
Ellipticity (oblate),0.314947,,Surface,,,,1,10,
Ellipticity (oblate),0.563475,,Surface,,,,1,11,
Ellipticity (oblate),0.133006,,Surface,,,,1,12,
Ellipticity (oblate),0.726582,,Surface,,,,1,13,
Ellipticity (prolate),0.535736,,Surface,,,,1,0,
Ellipticity (prolate),0.371596,,Surface,,,,1,1,
Ellipticity (prolate),0.26633,,Surface,,,,1,2,
Ellipticity (prolate),0.296156,,Surface,,,,1,3,
Ellipticity (prolate),0.914315,,Surface,,,,1,4,
Ellipticity (prolate),0.445741,,Surface,,,,1,5,
Ellipticity (prolate),0.261747,,Surface,,,,1,6,
Ellipticity (prolate),0.193143,,Surface,,,,1,7,
Ellipticity (prolate),0.146279,,Surface,,,,1,8,
Ellipticity (prolate),0.0894187,,Surface,,,,1,9,
Ellipticity (prolate),0.405786,,Surface,,,,1,10,
Ellipticity (prolate),0.270731,,Surface,,,,1,11,
Ellipticity (prolate),0.91401,,Surface,,,,1,12,
