
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,9.68133,um^2,Dendrite,,2,,1,,1,,100000001,510000000003,
Dendrite Area,4.79421,um^2,Dendrite,,3,,1,,1,,100000001,510000000015,
Dendrite Area,14.6238,um^2,Dendrite,,4,,1,,1,,100000001,510000000019,
Dendrite Area,3.79807,um^2,Dendrite,,5,,1,,1,,100000001,510000000035,
Dendrite Area,2.19831,um^2,Dendrite,,6,,2,,1,,100000001,510000000043,
Dendrite Area,11.174,um^2,Dendrite,,7,,2,,1,,100000001,510000000050,
Dendrite Area,2.92555,um^2,Dendrite,,8,,2,,1,,100000001,510000000078,
Dendrite Area,11.3015,um^2,Dendrite,,9,,3,,1,,100000001,510000000085,
Dendrite Area,12.5437,um^2,Dendrite,,10,,3,,1,,100000001,510000000115,
Dendrite Area,2.0056,um^2,Dendrite,,11,,4,,1,,100000001,510000000143,
Dendrite Area,14.3656,um^2,Dendrite,,12,,4,,1,,100000001,510000000149,
Dendrite Area,10.3692,um^2,Dendrite,,13,,4,,1,,100000001,510000000177,
Dendrite Area,12.2401,um^2,Dendrite,,14,,4,,1,,100000001,510000000203,
Dendrite Area,4.19957,um^2,Dendrite,,15,,4,,1,,100000001,510000000230,
Dendrite Area,12.9015,um^2,Dendrite,,14,,5,,1,,100000001,510000000242,
Dendrite Area,6.09031,um^2,Dendrite,,15,,6,,1,,100000001,510000000277,
Dendrite Area,5.35154,um^2,Dendrite,,16,,7,,1,,100000001,510000000292,
Dendrite Area,15.3099,um^2,Dendrite,,17,,7,,1,,100000001,510000000306,
Dendrite Area,7.90223,um^2,Dendrite,,18,,8,,1,,100000001,510000000346,
Dendrite Area,19.947,um^2,Dendrite,,9,,2,,1,,100000001,510000000368,
Dendrite Area,7.97715,um^2,Dendrite,,10,,2,,1,,100000001,510000000402,
Dendrite Area,12.4184,um^2,Dendrite,,11,,2,,1,,100000001,510000000413,
Dendrite Area,22.623,um^2,Dendrite,,13,,2,,1,,100000001,510000000433,
Dendrite Area,11.472,um^2,Dendrite,,14,,3,,1,,100000001,510000000483,
Dendrite Area,69.7151,um^2,Dendrite,,15,,3,,1,,100000001,510000000512,
Dendrite Area,12.922,um^2,Dendrite,,15,,4,,1,,100000001,510000000681,
Dendrite Area,1.55481,um^2,Dendrite,,16,,4,,1,,100000001,510000000713,
Dendrite Area,7.07276,um^2,Dendrite,,17,,5,,1,,100000001,510000000716,
Dendrite Area,13.3385,um^2,Dendrite,,18,,6,,1,,100000001,510000000734,
Dendrite Area,33.3409,um^2,Dendrite,,19,,7,,1,,100000001,510000000769,
Dendrite Area,12.9595,um^2,Dendrite,,2,,2,,1,,100000001,510000000853,
Dendrite Area,3.5055,um^2,Dendrite,,3,,2,,1,,100000001,510000000878,
Dendrite Area,14.3996,um^2,Dendrite,,4,,2,,1,,100000001,510000000887,
Dendrite Area,7.78798,um^2,Dendrite,,6,,2,,1,,100000001,510000000920,
Dendrite Area,7.98187,um^2,Dendrite,,7,,2,,1,,100000001,510000000934,
Dendrite Area,8.64428,um^2,Dendrite,,8,,2,,1,,100000001,510000000951,
Dendrite Area,1.19102,um^2,Dendrite,,9,,2,,1,,100000001,510000000963,
Dendrite Area,9.04199,um^2,Dendrite,,10,,3,,1,,100000001,510000000965,
Dendrite Area,14.5988,um^2,Dendrite,,11,,4,,1,,100000001,510000000989,
Dendrite Area,10.2956,um^2,Dendrite,,12,,5,,1,,100000001,510000001028,
Dendrite Area,18.5291,um^2,Dendrite,,13,,5,,1,,100000001,510000001054,
Dendrite Area,29.3126,um^2,Dendrite,,,,,,1,,100000002,510000001129,
Dendrite Area,12.8226,um^2,Dendrite,,,,,,1,,100000002,510000001131,
Dendrite Area,6.74075,um^2,Dendrite,,,,,,1,,100000002,510000001164,
Dendrite Area,9.106,um^2,Dendrite,,,,,,1,,100000002,510000001176,
Dendrite Area,15.2904,um^2,Dendrite,,9,,3,,1,,100000001,510000001193,
Dendrite Area,4.85292,um^2,Dendrite,,17,,4,,1,,100000001,510000001238,
Dendrite Area,6.99624,um^2,Dendrite,,18,,5,,1,,100000001,510000001249,
Dendrite Area,16.8603,um^2,Dendrite,,19,,6,,1,,100000001,510000001270,
Dendrite Area,15.1602,um^2,Dendrite,,20,,6,,1,,100000001,510000001321,
Dendrite Area,19.558,um^2,Dendrite,,12,,4,,1,,100000001,510000001361,
Dendrite Area,24.2722,um^2,Dendrite,,13,,4,,1,,100000001,510000001399,
Dendrite Area,16.1712,um^2,Dendrite,,14,,5,,1,,100000001,510000001461,
Dendrite Area,16.5095,um^2,Dendrite,,15,,5,,1,,100000001,510000001506,
Dendrite Area,14.1593,um^2,Dendrite,,,,,,1,,100000002,510000001561,
Dendrite Area,4.97037,um^2,Dendrite,,,,,,1,,100000002,510000001594,
Dendrite Area,15.3655,um^2,Dendrite,,,,,,1,,100000002,510000001605,
Dendrite Area,16.7993,um^2,Dendrite,,,,,,1,,100000002,510000001641,
Dendrite Area,4.22947,um^2,Dendrite,,,,,,1,,100000002,510000001680,
Dendrite Area,17.0159,um^2,Dendrite,,,,,,1,,100000002,510000001690,
Dendrite Area,23.5067,um^2,Dendrite,,,,,,1,,100000002,510000001730,
Dendrite Area,7.19927,um^2,Dendrite,,,,,,1,,100000002,510000001790,
Dendrite Area,4.29463,um^2,Dendrite,,,,,,1,,100000002,510000001810,
Dendrite Area,37.8499,um^2,Dendrite,,10,,3,,1,,100000001,510000001823,
Dendrite Area,7.74445,um^2,Dendrite,,11,,4,,1,,100000001,510000001910,
Dendrite Area,9.82809,um^2,Dendrite,,19,,6,,1,,100000001,510000001931,
Dendrite Area,23.5441,um^2,Dendrite,,20,,7,,1,,100000001,510000001957,
Dendrite Area,25.2648,um^2,Dendrite,,10,,2,,1,,100000001,510000002016,
Dendrite Area,6.5081,um^2,Dendrite,,11,,2,,1,,100000001,510000002074,
Dendrite Area,11.5217,um^2,Dendrite,,5,,3,,1,,100000001,510000002090,
Dendrite Area,36.0212,um^2,Dendrite,,6,,3,,1,,100000001,510000002120,
Dendrite Area,23.1741,um^2,Dendrite,,17,,8,,1,,100000001,510000002220,
Dendrite Area,12.3488,um^2,Dendrite,,18,,7,,1,,100000001,510000002289,
Dendrite Area,9.39169,um^2,Dendrite,,15,,6,,1,,100000001,510000002318,
Dendrite Area,18.3757,um^2,Dendrite,,,,,,1,,100000002,510000002343,
Dendrite Area,11.5397,um^2,Dendrite,,20,,7,,1,,100000001,510000002387,
Dendrite Area,12.3945,um^2,Dendrite,,20,,6,,1,,100000001,510000002421,
Dendrite Area,12.5593,um^2,Dendrite,,14,,4,,1,,100000001,510000002448,
Dendrite Area,7.37013,um^2,Dendrite,,,,,,1,,100000002,510000002482,
Dendrite Area,22.4571,um^2,Dendrite,,16,,6,,1,,100000001,510000002503,
Dendrite Area,14.02,um^2,Dendrite,,15,,5,,1,,100000001,510000002559,
Dendrite Area,17.3511,um^2,Dendrite,,13,,6,,1,,100000001,510000002611,
Dendrite Area,20.3869,um^2,Dendrite,,15,,5,,1,,100000001,510000002654,
Dendrite Area,52.8709,um^2,Dendrite,,11,,3,,1,,100000001,510000002706,
Dendrite Area,11.625,um^2,Dendrite,,13,,5,,1,,100000001,510000002813,
Dendrite Area,5.85897,um^2,Dendrite,,19,,5,,1,,100000001,510000002848,
Dendrite Area,6.75924,um^2,Dendrite,,,,,,1,,100000002,510000002864,
Dendrite Area,11.9377,um^2,Dendrite,,18,,4,,1,,100000001,510000002883,
Dendrite Area,8.67098,um^2,Dendrite,,13,,5,,1,,100000001,510000002927,
Dendrite Area,6.13996,um^2,Dendrite,,18,,5,,1,,100000001,510000002951,
Dendrite Area,9.77538,um^2,Dendrite,,,,,,1,,100000002,510000002969,
Dendrite Area,20.3809,um^2,Dendrite,,12,,5,,1,,100000001,510000003000,
Dendrite Area,8.11863,um^2,Dendrite,,7,,3,,1,,100000001,510000003054,
Dendrite Area,9.31056,um^2,Dendrite,,11,,3,,1,,100000001,510000003075,
Dendrite Area,9.47378,um^2,Dendrite,,,,,,1,,100000002,510000003108,
Dendrite Area,7.41251,um^2,Dendrite,,16,,5,,1,,100000001,510000003131,
Dendrite Area,7.32685,um^2,Dendrite,,,,,,1,,100000002,510000003150,
Dendrite Area,9.67354,um^2,Dendrite,,11,,3,,1,,100000001,510000003169,
Dendrite Area,19.7026,um^2,Dendrite,,12,,3,,1,,100000001,510000003189,
Dendrite Area,10.2188,um^2,Dendrite,,,,,,1,,100000002,510000003244,
Dendrite Area,17.0607,um^2,Dendrite,,3,,2,,1,,100000001,510000003266,
Dendrite Area,6.24761,um^2,Dendrite,,11,,3,,1,,100000001,510000003304,
Dendrite Area,7.42248,um^2,Dendrite,,14,,2,,1,,100000001,510000003322,
Dendrite Area,8.19448,um^2,Dendrite,,,,,,1,,100000002,510000003339,
Dendrite Area,19.739,um^2,Dendrite,,13,,3,,1,,100000001,510000003361,
Dendrite Area,8.54531,um^2,Dendrite,,10,,4,,1,,100000001,510000003406,
Dendrite Area,20.9899,um^2,Dendrite,,3,,3,,1,,100000001,510000003431,
Dendrite Area,13.4649,um^2,Dendrite,,11,,3,,1,,100000001,510000003494,
Dendrite Area,5.77525,um^2,Dendrite,,6,,4,,1,,100000001,510000003538,
Dendrite Area,9.06704,um^2,Dendrite,,11,,3,,1,,100000001,510000003552,
Dendrite Area,22.1233,um^2,Dendrite,,7,,3,,1,,100000001,510000003569,
Dendrite Area,9.20014,um^2,Dendrite,,8,,3,,1,,100000001,510000003675,
Dendrite Area,16.0886,um^2,Dendrite,,,,,,1,,100000002,510000003699,
Dendrite Area,10.775,um^2,Dendrite,,,,,,1,,100000002,510000003738,
Dendrite Area,9.94451,um^2,Dendrite,,6,,3,,1,,100000001,510000003770,
Dendrite Area,14.2318,um^2,Dendrite,,,,,,1,,100000002,510000003833,
Dendrite Area,15.5914,um^2,Dendrite,,8,,3,,1,,100000001,510000003866,
Dendrite Area,7.22375,um^2,Dendrite,,,,,,1,,100000002,510000003902,
Dendrite Area,18.4275,um^2,Dendrite,,1,,2,,1,,100000001,510000003921,
Dendrite Area,15.1725,um^2,Dendrite,,4,,3,,1,,100000001,510000003973,
Dendrite Area,20.0207,um^2,Dendrite,,0,,1,,1,,100000001,510000004033,
Dendrite Area,11.2297,um^2,Dendrite,,4,,2,,1,,100000001,510000004230,
Dendrite Area,13.1206,um^2,Dendrite,,6,,1,,1,,100000001,510000004351,
