
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2086.76,um^2,Surface,,,,1,797,
Area,9.30314,um^2,Surface,,,,1,806,
Area,20.6581,um^2,Surface,,,,1,807,
Area,14.6777,um^2,Surface,,,,1,808,
Area,36.7348,um^2,Surface,,,,1,809,
Area,11.1234,um^2,Surface,,,,1,810,
Area,47.7831,um^2,Surface,,,,1,811,
Area,8.84894,um^2,Surface,,,,1,812,
Area,13.0023,um^2,Surface,,,,1,813,
Area,8.17594,um^2,Surface,,,,1,814,
Area,9.79901,um^2,Surface,,,,1,815,
Area,11.9543,um^2,Surface,,,,1,816,
Area,9.723,um^2,Surface,,,,1,817,
Area,47.8309,um^2,Surface,,,,1,822,
Area,19.2101,um^2,Surface,,,,1,823,
Area,12.3291,um^2,Surface,,,,1,824,
Area,25.3202,um^2,Surface,,,,1,826,
Area,24.4366,um^2,Surface,,,,1,827,
Area,9.90307,um^2,Surface,,,,1,834,
Area,92.3042,um^2,Surface,,,,1,836,
Area,54.4235,um^2,Surface,,,,1,837,
Area,30.0003,um^2,Surface,,,,1,838,
Area,202.449,um^2,Surface,,,,1,841,
Area,71.4219,um^2,Surface,,,,1,842,
Area,15.6482,um^2,Surface,,,,1,843,
Area,21.6813,um^2,Surface,,,,1,844,
Area,19.5057,um^2,Surface,,,,1,845,
Area,24.2682,um^2,Surface,,,,1,846,
Area,69.1432,um^2,Surface,,,,1,847,
Area,10.6332,um^2,Surface,,,,1,848,
Area,11.547,um^2,Surface,,,,1,849,
Area,10.9717,um^2,Surface,,,,1,850,
Area,16.158,um^2,Surface,,,,1,851,
Area,17.467,um^2,Surface,,,,1,862,
Distance from Origin,165.688,um,Surface,,Distance from Origin,,1,797,
Distance from Origin,178.105,um,Surface,,Distance from Origin,,1,806,
Distance from Origin,177.505,um,Surface,,Distance from Origin,,1,807,
Distance from Origin,190.323,um,Surface,,Distance from Origin,,1,808,
Distance from Origin,123.343,um,Surface,,Distance from Origin,,1,809,
Distance from Origin,128.626,um,Surface,,Distance from Origin,,1,810,
Distance from Origin,169.423,um,Surface,,Distance from Origin,,1,811,
Distance from Origin,178.858,um,Surface,,Distance from Origin,,1,812,
Distance from Origin,173.52,um,Surface,,Distance from Origin,,1,813,
Distance from Origin,188.829,um,Surface,,Distance from Origin,,1,814,
Distance from Origin,139.896,um,Surface,,Distance from Origin,,1,815,
Distance from Origin,166.084,um,Surface,,Distance from Origin,,1,816,
Distance from Origin,163.517,um,Surface,,Distance from Origin,,1,817,
Distance from Origin,145.574,um,Surface,,Distance from Origin,,1,822,
Distance from Origin,164.068,um,Surface,,Distance from Origin,,1,823,
Distance from Origin,162.404,um,Surface,,Distance from Origin,,1,824,
Distance from Origin,162.603,um,Surface,,Distance from Origin,,1,826,
Distance from Origin,166.894,um,Surface,,Distance from Origin,,1,827,
Distance from Origin,164.884,um,Surface,,Distance from Origin,,1,834,
Distance from Origin,162.071,um,Surface,,Distance from Origin,,1,836,
Distance from Origin,185.098,um,Surface,,Distance from Origin,,1,837,
Distance from Origin,200.382,um,Surface,,Distance from Origin,,1,838,
Distance from Origin,129.387,um,Surface,,Distance from Origin,,1,841,
Distance from Origin,153.999,um,Surface,,Distance from Origin,,1,842,
Distance from Origin,165.541,um,Surface,,Distance from Origin,,1,843,
Distance from Origin,172.014,um,Surface,,Distance from Origin,,1,844,
Distance from Origin,176.668,um,Surface,,Distance from Origin,,1,845,
Distance from Origin,151.927,um,Surface,,Distance from Origin,,1,846,
Distance from Origin,150.116,um,Surface,,Distance from Origin,,1,847,
Distance from Origin,161.146,um,Surface,,Distance from Origin,,1,848,
