
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.016608,um^2,Surface,,,,1,0,
Area,4.00444,um^2,Surface,,,,1,1,
Area,0.158161,um^2,Surface,,,,1,2,
Area,2.71084,um^2,Surface,,,,1,3,
Area,0.0166083,um^2,Surface,,,,1,4,
Area,0.180841,um^2,Surface,,,,1,5,
Area,0.0294826,um^2,Surface,,,,1,6,
Area,10.9107,um^2,Surface,,,,1,7,
Area,0.0959895,um^2,Surface,,,,1,8,
Area,1.59899,um^2,Surface,,,,1,9,
Area,0.0606636,um^2,Surface,,,,1,10,
Area,0.0166094,um^2,Surface,,,,1,11,
Area,0.720442,um^2,Surface,,,,1,12,
Area,6.20389,um^2,Surface,,,,1,13,
Area,0.169445,um^2,Surface,,,,1,14,
Area,4.60081,um^2,Surface,,,,1,15,
Area,8.55588,um^2,Surface,,,,1,16,
Area,0.131966,um^2,Surface,,,,1,17,
Area,0.0360592,um^2,Surface,,,,1,18,
Area,4.19938,um^2,Surface,,,,1,19,
Area,2.11255,um^2,Surface,,,,1,20,
Area,0.033092,um^2,Surface,,,,1,21,
Area,1.55055,um^2,Surface,,,,1,22,
Area,0.0330918,um^2,Surface,,,,1,23,
Area,0.000520954,um^2,Surface,,,,1,24,
Area,4.00348,um^2,Surface,,,,1,25,
Area,0.034764,um^2,Surface,,,,1,26,
Area,3.11006,um^2,Surface,,,,1,27,
Area,2.83981,um^2,Surface,,,,1,28,
Area,1.86103,um^2,Surface,,,,1,29,
Area,7.02673,um^2,Surface,,,,1,30,
Area,3.28958,um^2,Surface,,,,1,31,
Area,2.32615,um^2,Surface,,,,1,32,
Area,0.0112785,um^2,Surface,,,,1,33,
Area,3.1901,um^2,Surface,,,,1,34,
Area,3.49939,um^2,Surface,,,,1,35,
Area,15.085,um^2,Surface,,,,1,36,
Area,0.652662,um^2,Surface,,,,1,37,
Area,6.95656,um^2,Surface,,,,1,38,
Area,0.310614,um^2,Surface,,,,1,39,
Area,0.0166094,um^2,Surface,,,,1,40,
Area,0.044176,um^2,Surface,,,,1,41,
Area,0.0166094,um^2,Surface,,,,1,42,
Area,0.0620568,um^2,Surface,,,,1,43,
Area,10.5551,um^2,Surface,,,,1,44,
Contact surface area,0.0075,um,Surface,,,,,0,
Contact surface area,0.0225,um,Surface,,,,,1,
Contact surface area,0.0075,um,Surface,,,,,2,
Contact surface area,0.03,um,Surface,,,,,3,
Contact surface area,6.2475,um,Surface,,,,,4,
Contact surface area,0.1725,um,Surface,,,,,5,
Contact surface area,0.3525,um,Surface,,,,,6,
Contact surface area,0.015,um,Surface,,,,,7,
Contact surface area,2.17,um,Surface,,,,,8,
Contact surface area,1.875,um,Surface,,,,,9,
Contact surface area,1.36,um,Surface,,,,,10,
Contact surface area,0.015,um,Surface,,,,,11,
Contact surface area,1.8975,um,Surface,,,,,12,
Contact surface area,0.015,um,Surface,,,,,13,
Contact surface area,0.0025,um,Surface,,,,,14,
Contact surface area,0.02,um,Surface,,,,,15,
Contact surface area,1.825,um,Surface,,,,,16,
Contact surface area,1.6475,um,Surface,,,,,17,
Contact surface area,1.1175,um,Surface,,,,,18,
Contact surface area,4.19,um,Surface,,,,,19,
Contact surface area,8.7825,um,Surface,,,,,20,
Contact surface area,4.0875,um,Surface,,,,,21,
Contact surface area,2.1325,um,Surface,,,,,22,
Contact surface area,0.0525,um,Surface,,,,,23,
Contact surface area,0.94,um,Surface,,,,,24,
Contact surface area,0.84,um,Surface,,,,,25,
Contact surface area,0.03,um,Surface,,,,,26,
Contact surface area,0.0075,um,Surface,,,,,27,
Contact surface area,3.5575,um,Surface,,,,,28,
