
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,7.5388,um^2,Dendrite,,1,,1,,1,,100000003,510000000002,
Dendrite Area,36.7355,um^2,Dendrite,,2,,1,,1,,100000003,510000000036,
Dendrite Area,13.1528,um^2,Dendrite,,3,,1,,1,,100000003,510000000198,
Dendrite Area,16.4279,um^2,Dendrite,,4,,1,,1,,100000003,510000000265,
Dendrite Area,20.7711,um^2,Dendrite,,5,,1,,1,,100000003,510000000339,
Dendrite Area,7.421,um^2,Dendrite,,6,,1,,1,,100000003,510000000465,
Dendrite Area,19.5097,um^2,Dendrite,,7,,1,,1,,100000003,510000000518,
Dendrite Area,22.0937,um^2,Dendrite,,8,,1,,1,,100000003,510000000641,
Dendrite Area,5.0597,um^2,Dendrite,,9,,1,,1,,100000003,510000000765,
Dendrite Area,41.0349,um^2,Dendrite,,10,,1,,1,,100000003,510000000801,
Dendrite Area,7.05387,um^2,Dendrite,,11,,2,,1,,100000003,510000001106,
Dendrite Area,8.66333,um^2,Dendrite,,12,,3,,1,,100000003,510000001155,
Dendrite Area,34.3959,um^2,Dendrite,,10,,2,,1,,100000003,510000001191,
Dendrite Area,32.4949,um^2,Dendrite,,11,,3,,1,,100000003,510000001475,
Dendrite Area,44.6437,um^2,Dendrite,,2,,2,,1,,100000003,510000001718,
Dendrite Area,13.4039,um^2,Dendrite,,3,,2,,1,,100000003,510000001938,
Dendrite Area,1.37441,um^2,Dendrite,,4,,2,,1,,100000003,510000002015,
Dendrite Area,7.88714,um^2,Dendrite,,5,,2,,1,,100000003,510000002024,
Dendrite Area,8.90348,um^2,Dendrite,,6,,2,,1,,100000003,510000002083,
Dendrite Area,0.652173,um^2,Dendrite,,7,,3,,1,,100000003,510000002143,
Dendrite Area,0.778671,um^2,Dendrite,,8,,3,,1,,100000003,510000002146,
Dendrite Area,23.9722,um^2,Dendrite,,9,,4,,1,,100000003,510000002149,
Dendrite Area,3.58494,um^2,Dendrite,,10,,5,,1,,100000003,510000002306,
Dendrite Area,14.7491,um^2,Dendrite,,11,,5,,1,,100000003,510000002332,
Dendrite Area,38.6579,um^2,Dendrite,,1,,2,,1,,100000003,510000002432,
Dendrite Area,36.3764,um^2,Dendrite,,2,,2,,1,,100000003,510000002611,
Dendrite Area,21.5702,um^2,Dendrite,,9,,3,,1,,100000003,510000002775,
Dendrite Area,25.4916,um^2,Dendrite,,10,,3,,1,,100000003,510000002887,
Dendrite Area,5.79385,um^2,Dendrite,,11,,3,,1,,100000003,510000003067,
Dendrite Area,0.881755,um^2,Dendrite,,12,,3,,1,,100000003,510000003102,
Dendrite Area,16.6701,um^2,Dendrite,,13,,4,,1,,100000003,510000003106,
Dendrite Area,7.58701,um^2,Dendrite,,10,,4,,1,,100000003,510000003234,
Dendrite Area,41.2706,um^2,Dendrite,,11,,4,,1,,100000003,510000003286,
Dendrite Area,16.3664,um^2,Dendrite,,8,,4,,1,,100000003,510000003570,
Dendrite Area,9.69576,um^2,Dendrite,,9,,4,,1,,100000003,510000003694,
Dendrite Area,20.0815,um^2,Dendrite,,6,,2,,1,,100000003,510000003767,
Dendrite Area,8.41028,um^2,Dendrite,,7,,2,,1,,100000003,510000003960,
Dendrite Area,11.5494,um^2,Dendrite,,11,,4,,1,,100000003,510000004734,
Dendrite Area,16.8624,um^2,Dendrite,,0,,1,,1,,100000003,510000004931,
Dendrite Area,21.2098,um^2,Dendrite,,1,,1,,1,,100000003,510000004998,
Dendrite Area,0.97497,um^2,Dendrite,,2,,1,,1,,100000003,510000005129,
Dendrite Area,7.09985,um^2,Dendrite,,3,,1,,1,,100000003,510000005133,
Dendrite Area,11.5865,um^2,Dendrite,,4,,1,,1,,100000003,510000005189,
Dendrite Area,10.5621,um^2,Dendrite,,5,,1,,1,,100000003,510000005281,
Dendrite Area,0.434301,um^2,Dendrite,,6,,1,,1,,100000003,510000005360,
Dendrite Area,12.2541,um^2,Dendrite,,7,,1,,1,,100000003,510000005362,
Dendrite Area,4.35537,um^2,Dendrite,,8,,1,,1,,100000003,510000005447,
Dendrite Area,17.7963,um^2,Dendrite,,9,,2,,1,,100000003,510000005471,
Dendrite Area,1.76121,um^2,Dendrite,,10,,2,,1,,100000003,510000005583,
Dendrite Area,6.33505,um^2,Dendrite,,9,,5,,1,,100000003,510000005679,
Dendrite Area,15.2204,um^2,Dendrite,,7,,2,,1,,100000003,510000005731,
Dendrite Area,38.3316,um^2,Dendrite,,1,,2,,1,,100000003,510000006880,
Dendrite Area,15.7033,um^2,Dendrite,,2,,3,,1,,100000003,510000007201,
Dendrite Area,27.9989,um^2,Dendrite,,10,,3,,1,,100000003,510000007275,
Dendrite Area,1.18235,um^2,Dendrite,,7,,2,,1,,100000003,510000007505,
Dendrite Area,10.2276,um^2,Dendrite,,8,,2,,1,,100000003,510000007507,
Dendrite Area,13.1677,um^2,Dendrite,,12,,4,,1,,100000003,510000007558,
Dendrite Area,9.44745,um^2,Dendrite,,13,,5,,1,,100000003,510000007637,
Dendrite Area,12.3374,um^2,Dendrite,,4,,2,,1,,100000003,510000008143,
Dendrite Area,13.3934,um^2,Dendrite,,5,,2,,1,,100000003,510000008634,
Dendrite Area,4.0189,um^2,Dendrite,,6,,2,,1,,100000003,510000008735,
Dendrite Area,1.61734,um^2,Dendrite,,11,,1,,1,,100000003,510000012513,
Dendrite Area,16.0795,um^2,Dendrite,,12,,2,,1,,100000003,510000012519,
Dendrite Area,17.1528,um^2,Dendrite,,12,,2,,1,,100000003,510000012943,
Dendrite Area,22.5947,um^2,Dendrite,,13,,4,,1,,100000003,510000013042,
Dendrite Area,7.67296,um^2,Dendrite,,4,,2,,1,,100000003,510000013511,
Dendrite Area,30.855,um^2,Dendrite,,5,,3,,1,,100000003,510000013557,
Dendrite Area,12.8107,um^2,Dendrite,,6,,4,,1,,100000003,510000013843,
Dendrite Area,1.33635,um^2,Dendrite,,9,,2,,1,,100000003,510000013941,
Dendrite Area,8.22607,um^2,Dendrite,,12,,1,,1,,100000003,510000014094,
Dendrite Area,9.27425,um^2,Dendrite,,11,,2,,1,,100000003,510000014260,
Dendrite Area,7.93448,um^2,Dendrite,,6,,3,,1,,100000003,510000014324,
Dendrite Area,9.86028,um^2,Dendrite,,11,,6,,1,,100000003,510000014373,
Dendrite Area,26.5909,um^2,Dendrite,,7,,2,,1,,100000003,510000014472,
Dendrite Area,33.3644,um^2,Dendrite,,4,,3,,1,,100000003,510000014656,
Dendrite Area,10.1907,um^2,Dendrite,,13,,3,,1,,100000003,510000014961,
Dendrite Area,14.4313,um^2,Dendrite,,10,,4,,1,,100000003,510000015115,
Dendrite Area,9.41415,um^2,Dendrite,,11,,5,,1,,100000003,510000015186,
Dendrite Area,15.3813,um^2,Dendrite,,6,,2,,1,,100000003,510000015263,
Dendrite Area,9.60787,um^2,Dendrite,,7,,3,,1,,100000003,510000015416,
Dendrite Area,0.562289,um^2,Dendrite,,9,,1,,1,,100000003,510000015485,
Dendrite Area,16.263,um^2,Dendrite,,10,,2,,1,,100000003,510000015487,
Dendrite Area,9.03326,um^2,Dendrite,,8,,2,,1,,100000003,510000015582,
Dendrite Area,26.5387,um^2,Dendrite,,3,,3,,1,,100000003,510000015642,
Dendrite Area,12.9739,um^2,Dendrite,,10,,1,,1,,100000003,510000015827,
Dendrite Area,6.87866,um^2,Dendrite,,6,,3,,1,,100000003,510000015894,
Dendrite Area,8.99534,um^2,Dendrite,,8,,2,,1,,100000003,510000015958,
Dendrite Area,15.3723,um^2,Dendrite,,3,,2,,1,,100000003,510000016032,
Dendrite Area,17.755,um^2,Dendrite,,5,,3,,1,,100000003,510000016157,
Dendrite Area,9.74795,um^2,Dendrite,,8,,3,,1,,100000003,510000016296,
Dendrite Area,11.2098,um^2,Dendrite,,5,,2,,1,,100000003,510000016339,
Dendrite Area,6.59631,um^2,Dendrite,,6,,3,,1,,100000003,510000016421,
Dendrite Area,9.52385,um^2,Dendrite,,6,,2,,1,,100000003,510000016483,
Dendrite Area,16.7989,um^2,Dendrite,,5,,2,,1,,100000003,510000016614,
Dendrite Area,11.5498,um^2,Dendrite,,2,,2,,1,,100000003,510000016761,
Dendrite Area,6.08444,um^2,Dendrite,,6,,3,,1,,100000003,510000016821,
Dendrite Area,22.2727,um^2,Dendrite,,1,,2,,1,,100000003,510000017036,
Dendrite Area,16.8251,um^2,Dendrite,,2,,2,,1,,100000003,510000017308,
Dendrite Area,17.5524,um^2,Dendrite,,2,,3,,1,,100000003,510000017428,
Dendrite Area,7.37573,um^2,Dendrite,,3,,2,,1,,100000003,510000017629,
Dendrite Area,0.504376,um^2,Dendrite,,0,,1,,1,,100000003,510000018697,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000003,510000000002,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000003,510000000036,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000003,510000000198,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000003,510000000265,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000003,510000000339,
Dendrite Branch Depth,6,,Dendrite,,6,,1,,1,,100000003,510000000465,
Dendrite Branch Depth,7,,Dendrite,,7,,1,,1,,100000003,510000000518,
Dendrite Branch Depth,8,,Dendrite,,8,,1,,1,,100000003,510000000641,
Dendrite Branch Depth,9,,Dendrite,,9,,1,,1,,100000003,510000000765,
Dendrite Branch Depth,10,,Dendrite,,10,,1,,1,,100000003,510000000801,
Dendrite Branch Depth,11,,Dendrite,,11,,2,,1,,100000003,510000001106,
Dendrite Branch Depth,12,,Dendrite,,12,,3,,1,,100000003,510000001155,
Dendrite Branch Depth,10,,Dendrite,,10,,2,,1,,100000003,510000001191,
Dendrite Branch Depth,11,,Dendrite,,11,,3,,1,,100000003,510000001475,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000003,510000001718,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000003,510000001938,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000003,510000002015,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000003,510000002024,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000003,510000002083,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000003,510000002143,
Dendrite Branch Depth,8,,Dendrite,,8,,3,,1,,100000003,510000002146,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000003,510000002149,
Dendrite Branch Depth,10,,Dendrite,,10,,5,,1,,100000003,510000002306,
Dendrite Branch Depth,11,,Dendrite,,11,,5,,1,,100000003,510000002332,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000003,510000002432,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000003,510000002611,
Dendrite Branch Depth,9,,Dendrite,,9,,3,,1,,100000003,510000002775,
Dendrite Branch Depth,10,,Dendrite,,10,,3,,1,,100000003,510000002887,
Dendrite Branch Depth,11,,Dendrite,,11,,3,,1,,100000003,510000003067,
Dendrite Branch Depth,12,,Dendrite,,12,,3,,1,,100000003,510000003102,
Dendrite Branch Depth,13,,Dendrite,,13,,4,,1,,100000003,510000003106,
Dendrite Branch Depth,10,,Dendrite,,10,,4,,1,,100000003,510000003234,
Dendrite Branch Depth,11,,Dendrite,,11,,4,,1,,100000003,510000003286,
Dendrite Branch Depth,8,,Dendrite,,8,,4,,1,,100000003,510000003570,
Dendrite Branch Depth,9,,Dendrite,,9,,4,,1,,100000003,510000003694,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000003,510000003767,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000003,510000003960,
Dendrite Branch Depth,11,,Dendrite,,11,,4,,1,,100000003,510000004734,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000003,510000004931,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000003,510000004998,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000003,510000005129,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000003,510000005133,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000003,510000005189,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000003,510000005281,
Dendrite Branch Depth,6,,Dendrite,,6,,1,,1,,100000003,510000005360,
Dendrite Branch Depth,7,,Dendrite,,7,,1,,1,,100000003,510000005362,
Dendrite Branch Depth,8,,Dendrite,,8,,1,,1,,100000003,510000005447,
Dendrite Branch Depth,9,,Dendrite,,9,,2,,1,,100000003,510000005471,
Dendrite Branch Depth,10,,Dendrite,,10,,2,,1,,100000003,510000005583,
Dendrite Branch Depth,9,,Dendrite,,9,,5,,1,,100000003,510000005679,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000003,510000005731,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000003,510000006880,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000003,510000007201,
Dendrite Branch Depth,10,,Dendrite,,10,,3,,1,,100000003,510000007275,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000003,510000007505,
Dendrite Branch Depth,8,,Dendrite,,8,,2,,1,,100000003,510000007507,
Dendrite Branch Depth,12,,Dendrite,,12,,4,,1,,100000003,510000007558,
Dendrite Branch Depth,13,,Dendrite,,13,,5,,1,,100000003,510000007637,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000003,510000008143,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000003,510000008634,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000003,510000008735,
Dendrite Branch Depth,11,,Dendrite,,11,,1,,1,,100000003,510000012513,
Dendrite Branch Depth,12,,Dendrite,,12,,2,,1,,100000003,510000012519,
Dendrite Branch Depth,12,,Dendrite,,12,,2,,1,,100000003,510000012943,
Dendrite Branch Depth,13,,Dendrite,,13,,4,,1,,100000003,510000013042,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000003,510000013511,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000003,510000013557,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000003,510000013843,
Dendrite Branch Depth,9,,Dendrite,,9,,2,,1,,100000003,510000013941,
Dendrite Branch Depth,12,,Dendrite,,12,,1,,1,,100000003,510000014094,
Dendrite Branch Depth,11,,Dendrite,,11,,2,,1,,100000003,510000014260,
