
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0330934,um^2,Surface,,,,1,0,
Area,3.0979,um^2,Surface,,,,1,1,
Area,0.0216091,um^2,Surface,,,,1,2,
Area,0.124737,um^2,Surface,,,,1,3,
Area,0.010125,um^2,Surface,,,,1,4,
Area,0.0101248,um^2,Surface,,,,1,5,
Area,0.12474,um^2,Surface,,,,1,6,
Area,21.675,um^2,Surface,,,,1,7,
Area,0.0216091,um^2,Surface,,,,1,8,
Area,8.55203,um^2,Surface,,,,1,9,
Area,7.5899,um^2,Surface,,,,1,10,
Area,6.72482,um^2,Surface,,,,1,11,
Area,7.06324,um^2,Surface,,,,1,12,
Area,0.0831375,um^2,Surface,,,,1,13,
Area,5.25361,um^2,Surface,,,,1,14,
Contact surface area,0.04,um,Surface,,,,,0,
Contact surface area,0.06,um,Surface,,,,,1,
Contact surface area,12.64,um,Surface,,,,,2,
Contact surface area,0.01,um,Surface,,,,,3,
Contact surface area,0.005,um,Surface,,,,,4,
Contact surface area,3.0525,um,Surface,,,,,5,
Contact surface area,0.005,um,Surface,,,,,6,
Contact surface area,3.895,um,Surface,,,,,7,
Contact surface area,4.0275,um,Surface,,,,,8,
Contact surface area,4.165,um,Surface,,,,,9,
Contact surface area,0.01,um,Surface,,,,,10,
Contact surface area,0.06,um,Surface,,,,,11,
Contact surface area,4.81,um,Surface,,,,,12,
Contact surface area,0.015,um,Surface,,,,,13,
Contact surface area,1.74,um,Surface,,,,,14,
Distance from Origin,73.375,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,73.4556,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,93.5135,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,93.8771,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,71.8969,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,72.1453,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,70.7866,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,71.1945,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,70.1271,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,93.5397,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,86.7411,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,71.2412,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,71.2687,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,70.8772,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,72.5437,um,Surface,,Distance from Origin,,1,14,
Distance to Image Border XY,28.225,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,28.0767,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,20.275,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,19.7229,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,36.175,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,34.775,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,36.3271,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,34.3109,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,35.775,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,18.5644,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,22.0125,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,34.7113,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,31.6368,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,31.8375,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,33.9073,um,Surface,,,Image 1,1,14,
Ellipticity (oblate),0.528007,,Surface,,,,1,0,
Ellipticity (oblate),0.237911,,Surface,,,,1,1,
Ellipticity (oblate),0.800047,,Surface,,,,1,2,
Ellipticity (oblate),0.544906,,Surface,,,,1,3,
Ellipticity (oblate),0.222251,,Surface,,,,1,4,
Ellipticity (oblate),0.222258,,Surface,,,,1,5,
Ellipticity (oblate),0.544895,,Surface,,,,1,6,
Ellipticity (oblate),0.178751,,Surface,,,,1,7,
Ellipticity (oblate),0.800051,,Surface,,,,1,8,
Ellipticity (oblate),0.156904,,Surface,,,,1,9,
Ellipticity (oblate),0.186205,,Surface,,,,1,10,
Ellipticity (oblate),0.212141,,Surface,,,,1,11,
Ellipticity (oblate),0.204102,,Surface,,,,1,12,
Ellipticity (oblate),0.629735,,Surface,,,,1,13,
Ellipticity (oblate),0.461131,,Surface,,,,1,14,
Ellipticity (prolate),0.247605,,Surface,,,,1,0,
Ellipticity (prolate),0.424991,,Surface,,,,1,1,
Ellipticity (prolate),0.133318,,Surface,,,,1,2,
Ellipticity (prolate),0.27793,,Surface,,,,1,3,
Ellipticity (prolate),0.79992,,Surface,,,,1,4,
Ellipticity (prolate),0.799904,,Surface,,,,1,5,
Ellipticity (prolate),0.277941,,Surface,,,,1,6,
Ellipticity (prolate),0.526602,,Surface,,,,1,7,
Ellipticity (prolate),0.133318,,Surface,,,,1,8,
Ellipticity (prolate),0.854827,,Surface,,,,1,9,
