
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,8.2327,um^2,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Area,41.9045,um^2,Dendrite,,2,,2,,1,,100000000,510000000033,
Dendrite Area,15.3812,um^2,Dendrite,,3,,2,,1,,100000000,510000000220,
Dendrite Area,23.7412,um^2,Dendrite,,4,,3,,1,,100000000,510000000273,
Dendrite Area,22.6298,um^2,Dendrite,,3,,3,,1,,100000000,510000000364,
Dendrite Area,9.87044,um^2,Dendrite,,2,,3,,1,,100000000,510000000459,
Dendrite Area,22.4935,um^2,Dendrite,,3,,3,,1,,100000000,510000000509,
Dendrite Area,7.69377,um^2,Dendrite,,4,,2,,1,,100000000,510000000608,
Dendrite Area,23.7053,um^2,Dendrite,,6,,2,,1,,100000000,510000000634,
Dendrite Area,17.4335,um^2,Dendrite,,7,,2,,1,,100000000,510000000727,
Dendrite Area,9.98532,um^2,Dendrite,,2,,1,,1,,100000000,510000000796,
Dendrite Area,9.53971,um^2,Dendrite,,3,,2,,1,,100000000,510000000817,
Dendrite Area,5.98328,um^2,Dendrite,,4,,3,,1,,100000000,510000000853,
Dendrite Area,9.01603,um^2,Dendrite,,5,,4,,1,,100000000,510000000883,
Dendrite Area,5.91561,um^2,Dendrite,,6,,5,,1,,100000000,510000000920,
Dendrite Area,37.8318,um^2,Dendrite,,7,,5,,1,,100000000,510000000950,
Dendrite Area,37.5811,um^2,Dendrite,,8,,5,,1,,100000000,510000001078,
Dendrite Area,7.72313,um^2,Dendrite,,9,,6,,1,,100000000,510000001202,
Dendrite Area,13.9263,um^2,Dendrite,,9,,5,,1,,100000000,510000001237,
Dendrite Area,6.71155,um^2,Dendrite,,7,,3,,1,,100000000,510000001294,
Dendrite Area,15.3266,um^2,Dendrite,,6,,3,,1,,100000000,510000001318,
Dendrite Area,16.5545,um^2,Dendrite,,8,,6,,1,,100000000,510000001379,
Dendrite Area,7.19733,um^2,Dendrite,,5,,3,,1,,100000000,510000001439,
Dendrite Area,9.79831,um^2,Dendrite,,3,,1,,1,,100000000,510000001464,
Dendrite Area,26.6208,um^2,Dendrite,,4,,1,,1,,100000000,510000001499,
Dendrite Area,24.0938,um^2,Dendrite,,5,,1,,1,,100000000,510000001605,
Dendrite Area,7.26036,um^2,Dendrite,,5,,2,,1,,100000000,510000001699,
Dendrite Area,11.6028,um^2,Dendrite,,3,,4,,1,,100000000,510000001736,
Dendrite Area,10.5168,um^2,Dendrite,,7,,6,,1,,100000000,510000001786,
