
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,56.1065,um^2,Surface,,,,1,308,
Area,26.4143,um^2,Surface,,,,1,312,
Area,23.3787,um^2,Surface,,,,1,313,
Area,28.3284,um^2,Surface,,,,1,314,
Area,16.6988,um^2,Surface,,,,1,315,
Area,80.8152,um^2,Surface,,,,1,316,
Area,27.394,um^2,Surface,,,,1,317,
Area,16.9504,um^2,Surface,,,,1,318,
Area,40.0485,um^2,Surface,,,,1,319,
Area,21.8196,um^2,Surface,,,,1,320,
Area,20.9822,um^2,Surface,,,,1,322,
Area,15.7442,um^2,Surface,,,,1,323,
Area,16.7976,um^2,Surface,,,,1,324,
Area,21.4695,um^2,Surface,,,,1,325,
Area,245.527,um^2,Surface,,,,1,326,
Area,18.0049,um^2,Surface,,,,1,327,
Area,34.8902,um^2,Surface,,,,1,329,
Area,23.8271,um^2,Surface,,,,1,330,
Area,19.2205,um^2,Surface,,,,1,331,
Area,32.8831,um^2,Surface,,,,1,332,
Area,30.9554,um^2,Surface,,,,1,333,
Area,35.5615,um^2,Surface,,,,1,334,
Area,27.2853,um^2,Surface,,,,1,340,
Area,88.7949,um^2,Surface,,,,1,341,
Area,67.3865,um^2,Surface,,,,1,342,
Area,2027.84,um^2,Surface,,,,1,343,
Area,132.325,um^2,Surface,,,,1,345,
Distance from Origin,144.099,um,Surface,,Distance from Origin,,1,308,
Distance from Origin,175.503,um,Surface,,Distance from Origin,,1,312,
Distance from Origin,179.389,um,Surface,,Distance from Origin,,1,313,
Distance from Origin,179.652,um,Surface,,Distance from Origin,,1,314,
Distance from Origin,156.984,um,Surface,,Distance from Origin,,1,315,
Distance from Origin,164.628,um,Surface,,Distance from Origin,,1,316,
Distance from Origin,161.753,um,Surface,,Distance from Origin,,1,317,
Distance from Origin,160.422,um,Surface,,Distance from Origin,,1,318,
Distance from Origin,159.632,um,Surface,,Distance from Origin,,1,319,
Distance from Origin,163.968,um,Surface,,Distance from Origin,,1,320,
Distance from Origin,158.244,um,Surface,,Distance from Origin,,1,322,
Distance from Origin,142.252,um,Surface,,Distance from Origin,,1,323,
Distance from Origin,143.205,um,Surface,,Distance from Origin,,1,324,
Distance from Origin,151.09,um,Surface,,Distance from Origin,,1,325,
Distance from Origin,146.629,um,Surface,,Distance from Origin,,1,326,
Distance from Origin,153.711,um,Surface,,Distance from Origin,,1,327,
Distance from Origin,154.071,um,Surface,,Distance from Origin,,1,329,
Distance from Origin,125.723,um,Surface,,Distance from Origin,,1,330,
Distance from Origin,104.241,um,Surface,,Distance from Origin,,1,331,
Distance from Origin,104.279,um,Surface,,Distance from Origin,,1,332,
Distance from Origin,120.473,um,Surface,,Distance from Origin,,1,333,
Distance from Origin,114.847,um,Surface,,Distance from Origin,,1,334,
Distance from Origin,143.797,um,Surface,,Distance from Origin,,1,340,
Distance from Origin,139.361,um,Surface,,Distance from Origin,,1,341,
Distance from Origin,94.587,um,Surface,,Distance from Origin,,1,342,
Distance from Origin,150.36,um,Surface,,Distance from Origin,,1,343,
Distance from Origin,123.556,um,Surface,,Distance from Origin,,1,345,
Distance to Image Border XY,39.6008,um,Surface,,,Image 1,1,308,
Distance to Image Border XY,25.4609,um,Surface,,,Image 1,1,312,
Distance to Image Border XY,24.256,um,Surface,,,Image 1,1,313,
Distance to Image Border XY,18.6917,um,Surface,,,Image 1,1,314,
Distance to Image Border XY,36.3818,um,Surface,,,Image 1,1,315,
Distance to Image Border XY,28.5322,um,Surface,,,Image 1,1,316,
Distance to Image Border XY,34.4929,um,Surface,,,Image 1,1,317,
Distance to Image Border XY,38.8779,um,Surface,,,Image 1,1,318,
Distance to Image Border XY,24.5487,um,Surface,,,Image 1,1,319,
Distance to Image Border XY,20.8762,um,Surface,,,Image 1,1,320,
Distance to Image Border XY,19.0336,um,Surface,,,Image 1,1,322,
Distance to Image Border XY,19.0317,um,Surface,,,Image 1,1,323,
Distance to Image Border XY,13.8127,um,Surface,,,Image 1,1,324,
Distance to Image Border XY,23.0008,um,Surface,,,Image 1,1,325,
Distance to Image Border XY,24.3011,um,Surface,,,Image 1,1,326,
Distance to Image Border XY,18.4135,um,Surface,,,Image 1,1,327,
Distance to Image Border XY,44.6805,um,Surface,,,Image 1,1,329,
Distance to Image Border XY,29.2449,um,Surface,,,Image 1,1,330,
Distance to Image Border XY,8.45127,um,Surface,,,Image 1,1,331,
Distance to Image Border XY,11.1621,um,Surface,,,Image 1,1,332,
Distance to Image Border XY,23.7246,um,Surface,,,Image 1,1,333,
Distance to Image Border XY,18.629,um,Surface,,,Image 1,1,334,
Distance to Image Border XY,36.3533,um,Surface,,,Image 1,1,340,
Distance to Image Border XY,33.7908,um,Surface,,,Image 1,1,341,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,342,
Distance to Image Border XY,17.495,um,Surface,,,Image 1,1,343,
Distance to Image Border XY,18.6307,um,Surface,,,Image 1,1,345,
Ellipticity (oblate),0.158373,,Surface,,,,1,308,
Ellipticity (oblate),0.414775,,Surface,,,,1,312,
Ellipticity (oblate),0.308063,,Surface,,,,1,313,
Ellipticity (oblate),0.191802,,Surface,,,,1,314,
Ellipticity (oblate),0.369247,,Surface,,,,1,315,
Ellipticity (oblate),0.163254,,Surface,,,,1,316,
Ellipticity (oblate),0.259903,,Surface,,,,1,317,
Ellipticity (oblate),0.212249,,Surface,,,,1,318,
Ellipticity (oblate),0.0981878,,Surface,,,,1,319,
Ellipticity (oblate),0.372402,,Surface,,,,1,320,
Ellipticity (oblate),0.268109,,Surface,,,,1,322,
Ellipticity (oblate),0.346836,,Surface,,,,1,323,
Ellipticity (oblate),0.260738,,Surface,,,,1,324,
Ellipticity (oblate),0.267504,,Surface,,,,1,325,
Ellipticity (oblate),0.12812,,Surface,,,,1,326,
Ellipticity (oblate),0.359548,,Surface,,,,1,327,
Ellipticity (oblate),0.331532,,Surface,,,,1,329,
Ellipticity (oblate),0.330954,,Surface,,,,1,330,
Ellipticity (oblate),0.170013,,Surface,,,,1,331,
Ellipticity (oblate),0.145166,,Surface,,,,1,332,
Ellipticity (oblate),0.277454,,Surface,,,,1,333,
Ellipticity (oblate),0.276364,,Surface,,,,1,334,
Ellipticity (oblate),0.33674,,Surface,,,,1,340,
Ellipticity (oblate),0.107953,,Surface,,,,1,341,
Ellipticity (oblate),0.499952,,Surface,,,,1,342,
Ellipticity (oblate),0.519085,,Surface,,,,1,343,
Ellipticity (oblate),0.0358605,,Surface,,,,1,345,
Ellipticity (prolate),0.712966,,Surface,,,,1,308,
Ellipticity (prolate),0.282242,,Surface,,,,1,312,
Ellipticity (prolate),0.397274,,Surface,,,,1,313,
Ellipticity (prolate),0.724682,,Surface,,,,1,314,
Ellipticity (prolate),0.521474,,Surface,,,,1,315,
Ellipticity (prolate),0.595914,,Surface,,,,1,316,
Ellipticity (prolate),0.693008,,Surface,,,,1,317,
Ellipticity (prolate),0.721487,,Surface,,,,1,318,
Ellipticity (prolate),0.828514,,Surface,,,,1,319,
Ellipticity (prolate),0.437034,,Surface,,,,1,320,
Ellipticity (prolate),0.697014,,Surface,,,,1,322,
Ellipticity (prolate),0.481537,,Surface,,,,1,323,
Ellipticity (prolate),0.71139,,Surface,,,,1,324,
Ellipticity (prolate),0.350567,,Surface,,,,1,325,
Ellipticity (prolate),0.225644,,Surface,,,,1,326,
Ellipticity (prolate),0.369586,,Surface,,,,1,327,
Ellipticity (prolate),0.446959,,Surface,,,,1,329,
Ellipticity (prolate),0.514298,,Surface,,,,1,330,
Ellipticity (prolate),0.183883,,Surface,,,,1,331,
Ellipticity (prolate),0.684711,,Surface,,,,1,332,
Ellipticity (prolate),0.390348,,Surface,,,,1,333,
Ellipticity (prolate),0.643078,,Surface,,,,1,334,
Ellipticity (prolate),0.321736,,Surface,,,,1,340,
Ellipticity (prolate),0.779472,,Surface,,,,1,341,
Ellipticity (prolate),0.284593,,Surface,,,,1,342,
Ellipticity (prolate),0.126617,,Surface,,,,1,343,
Ellipticity (prolate),0.80085,,Surface,,,,1,345,
Generation,0,,Surface,,,,1,308,
Generation,0,,Surface,,,,1,312,
Generation,0,,Surface,,,,1,313,
Generation,0,,Surface,,,,1,314,
Generation,0,,Surface,,,,1,315,
Generation,0,,Surface,,,,1,316,
Generation,0,,Surface,,,,1,317,
Generation,0,,Surface,,,,1,318,
Generation,0,,Surface,,,,1,319,
Generation,0,,Surface,,,,1,320,
Generation,0,,Surface,,,,1,322,
Generation,0,,Surface,,,,1,323,
Generation,0,,Surface,,,,1,324,
Generation,0,,Surface,,,,1,325,
Generation,0,,Surface,,,,1,326,
Generation,0,,Surface,,,,1,327,
Generation,0,,Surface,,,,1,329,
Generation,0,,Surface,,,,1,330,
Generation,0,,Surface,,,,1,331,
Generation,0,,Surface,,,,1,332,
