
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.25242,um^2,Surface,,,,1,61,
Area,0.0401616,um^2,Surface,,,,1,63,
Area,1.94267,um^2,Surface,,,,1,65,
Area,3.31708,um^2,Surface,,,,1,67,
Area,0.751234,um^2,Surface,,,,1,68,
Area,0.0175161,um^2,Surface,,,,1,70,
Area,0.00788845,um^2,Surface,,,,1,72,
Area,2.48133,um^2,Surface,,,,1,73,
Area,0.00347674,um^2,Surface,,,,1,74,
Area,0.00633422,um^2,Surface,,,,1,75,
Area,0.0502024,um^2,Surface,,,,1,77,
Area,0.00700904,um^2,Surface,,,,1,78,
Area,1.03806,um^2,Surface,,,,1,85,
Area,1.54655,um^2,Surface,,,,1,86,
Area,2.06469,um^2,Surface,,,,1,88,
Area,0.873249,um^2,Surface,,,,1,89,
Area,1.53628,um^2,Surface,,,,1,90,
Area,5.45056,um^2,Surface,,,,1,91,
Area,2.40406,um^2,Surface,,,,1,92,
Area,2.67652,um^2,Surface,,,,1,94,
Area,1.51383,um^2,Surface,,,,1,95,
Area,28.9062,um^2,Surface,,,,1,96,
Area,0.184635,um^2,Surface,,,,1,101,
Area,0.0384388,um^2,Surface,,,,1,104,
Area,3.51815,um^2,Surface,,,,1,108,
Area,7.08192,um^2,Surface,,,,1,111,
Area,45.7776,um^2,Surface,,,,1,119,
Area,25.4675,um^2,Surface,,,,1,120,
Area,6.91395,um^2,Surface,,,,1,123,
Area,0.0646684,um^2,Surface,,,,1,125,
Area,0.0115937,um^2,Surface,,,,1,128,
Area,0.0187157,um^2,Surface,,,,1,129,
Area,0.0186075,um^2,Surface,,,,1,130,
Area,0.0721938,um^2,Surface,,,,1,131,
Area,0.0605076,um^2,Surface,,,,1,132,
Area,10.4692,um^2,Surface,,,,1,134,
Distance from Origin,133.1,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,135.517,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,147.52,um,Surface,,Distance from Origin,,1,65,
