
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.707051,um^2,Surface,,,,1,0,
Area,0.0166088,um^2,Surface,,,,1,1,
Area,0.0330937,um^2,Surface,,,,1,2,
Area,1.22773,um^2,Surface,,,,1,3,
Area,0.0548971,um^2,Surface,,,,1,4,
Area,0.108229,um^2,Surface,,,,1,5,
Area,0.0166098,um^2,Surface,,,,1,6,
Area,0.0802715,um^2,Surface,,,,1,7,
Area,0.162131,um^2,Surface,,,,1,8,
Area,0.0166088,um^2,Surface,,,,1,9,
Area,0.035122,um^2,Surface,,,,1,10,
Area,3.08608,um^2,Surface,,,,1,11,
Area,6.48381,um^2,Surface,,,,1,12,
Area,0.577207,um^2,Surface,,,,1,13,
Area,1.92217,um^2,Surface,,,,1,14,
Area,0.195484,um^2,Surface,,,,1,15,
Area,0.464681,um^2,Surface,,,,1,16,
Area,0.15652,um^2,Surface,,,,1,17,
Area,0.32056,um^2,Surface,,,,1,18,
Area,1.88582,um^2,Surface,,,,1,19,
Area,13.0922,um^2,Surface,,,,1,20,
Area,0.0330931,um^2,Surface,,,,1,21,
Area,0.0495762,um^2,Surface,,,,1,22,
Area,0.0683051,um^2,Surface,,,,1,23,
Area,1.37761,um^2,Surface,,,,1,24,
Area,5.31949,um^2,Surface,,,,1,25,
Area,0.189698,um^2,Surface,,,,1,26,
Area,0.0495764,um^2,Surface,,,,1,27,
Area,10.6249,um^2,Surface,,,,1,28,
Area,0.0951661,um^2,Surface,,,,1,29,
Area,0.0291922,um^2,Surface,,,,1,30,
Area,0.0166088,um^2,Surface,,,,1,31,
Area,0.181589,um^2,Surface,,,,1,32,
Area,0.301519,um^2,Surface,,,,1,33,
Area,0.506115,um^2,Surface,,,,1,34,
Area,0.426811,um^2,Surface,,,,1,35,
Area,0.0166088,um^2,Surface,,,,1,36,
Area,2.47011,um^2,Surface,,,,1,37,
Area,0.313183,um^2,Surface,,,,1,38,
Area,0.033094,um^2,Surface,,,,1,39,
Area,0.354265,um^2,Surface,,,,1,40,
Area,0.0495775,um^2,Surface,,,,1,41,
Area,8.11834,um^2,Surface,,,,1,42,
Area,0.491275,um^2,Surface,,,,1,43,
Area,0.0525318,um^2,Surface,,,,1,44,
Area,0.0100812,um^2,Surface,,,,1,45,
Area,0.249594,um^2,Surface,,,,1,46,
Area,0.390425,um^2,Surface,,,,1,47,
Area,0.0548963,um^2,Surface,,,,1,48,
Area,0.0166095,um^2,Surface,,,,1,49,
Area,0.0166088,um^2,Surface,,,,1,50,
Area,0.0166088,um^2,Surface,,,,1,51,
Area,0.278836,um^2,Surface,,,,1,52,
Area,0.0166094,um^2,Surface,,,,1,53,
Area,0.0166088,um^2,Surface,,,,1,54,
Area,0.401546,um^2,Surface,,,,1,55,
Area,0.0360605,um^2,Surface,,,,1,56,
Area,0.0690156,um^2,Surface,,,,1,57,
Area,0.185382,um^2,Surface,,,,1,58,
Area,1.26686,um^2,Surface,,,,1,59,
Area,0.139703,um^2,Surface,,,,1,60,
Area,0.0166088,um^2,Surface,,,,1,61,
Area,1.29453,um^2,Surface,,,,1,62,
Area,0.0100812,um^2,Surface,,,,1,63,
Area,0.0232647,um^2,Surface,,,,1,64,
Area,0.233286,um^2,Surface,,,,1,65,
Area,0.115514,um^2,Surface,,,,1,66,
Area,1.60982,um^2,Surface,,,,1,67,
Area,0.42191,um^2,Surface,,,,1,68,
Area,0.402607,um^2,Surface,,,,1,69,
Area,0.0330936,um^2,Surface,,,,1,70,
Area,0.0330931,um^2,Surface,,,,1,71,
Area,2.21299,um^2,Surface,,,,1,72,
Area,0.228382,um^2,Surface,,,,1,73,
Area,0.0100808,um^2,Surface,,,,1,74,
Area,1.42528,um^2,Surface,,,,1,75,
Area,0.756671,um^2,Surface,,,,1,76,
Area,2.33129,um^2,Surface,,,,1,77,
Area,0.0166088,um^2,Surface,,,,1,78,
Area,0.542323,um^2,Surface,,,,1,79,
Area,0.787118,um^2,Surface,,,,1,80,
Area,0.0660608,um^2,Surface,,,,1,81,
Area,1.70022,um^2,Surface,,,,1,82,
Area,4.67634,um^2,Surface,,,,1,83,
Area,0.7264,um^2,Surface,,,,1,84,
Area,0.0166088,um^2,Surface,,,,1,85,
Area,0.0166088,um^2,Surface,,,,1,86,
Area,0.054688,um^2,Surface,,,,1,87,
Area,1.02633,um^2,Surface,,,,1,88,
Area,7.77069,um^2,Surface,,,,1,89,
Area,0.0548979,um^2,Surface,,,,1,90,
Area,0.0291934,um^2,Surface,,,,1,91,
Area,1.31948,um^2,Surface,,,,1,92,
Area,0.0752609,um^2,Surface,,,,1,93,
Area,0.334962,um^2,Surface,,,,1,94,
Area,0.263536,um^2,Surface,,,,1,95,
Area,1.01702,um^2,Surface,,,,1,96,
Area,0.0674545,um^2,Surface,,,,1,97,
Area,2.60884,um^2,Surface,,,,1,98,
Area,0.918999,um^2,Surface,,,,1,99,
Area,0.625633,um^2,Surface,,,,1,100,
Area,0.036062,um^2,Surface,,,,1,101,
Area,0.324057,um^2,Surface,,,,1,102,
Area,6.07901,um^2,Surface,,,,1,103,
Area,0.0660608,um^2,Surface,,,,1,104,
Area,0.0100812,um^2,Surface,,,,1,105,
Area,0.56632,um^2,Surface,,,,1,106,
Area,14.3151,um^2,Surface,,,,1,107,
Area,6.28889,um^2,Surface,,,,1,108,
Area,0.147427,um^2,Surface,,,,1,109,
Area,1.89513,um^2,Surface,,,,1,110,
Area,2.798,um^2,Surface,,,,1,111,
Area,15.2948,um^2,Surface,,,,1,112,
Area,2.73552,um^2,Surface,,,,1,113,
Area,3.23181,um^2,Surface,,,,1,114,
Area,5.92444,um^2,Surface,,,,1,115,
Area,0.0166094,um^2,Surface,,,,1,116,
Area,1.40053,um^2,Surface,,,,1,117,
Area,5.65899,um^2,Surface,,,,1,118,
Area,1.78183,um^2,Surface,,,,1,119,
Area,0.224094,um^2,Surface,,,,1,120,
Area,0.139913,um^2,Surface,,,,1,121,
Area,1.22051,um^2,Surface,,,,1,122,
Area,0.353687,um^2,Surface,,,,1,123,
Area,0.77509,um^2,Surface,,,,1,124,
Area,0.114342,um^2,Surface,,,,1,125,
Area,0.0166088,um^2,Surface,,,,1,126,
Area,0.0548963,um^2,Surface,,,,1,127,
Area,3.91959,um^2,Surface,,,,1,128,
Area,0.174491,um^2,Surface,,,,1,129,
Area,0.0848008,um^2,Surface,,,,1,130,
Area,0.722627,um^2,Surface,,,,1,131,
Area,0.156509,um^2,Surface,,,,1,132,
Area,0.115513,um^2,Surface,,,,1,133,
Area,0.112795,um^2,Surface,,,,1,134,
Area,0.116071,um^2,Surface,,,,1,135,
Area,0.762562,um^2,Surface,,,,1,136,
Area,0.0672928,um^2,Surface,,,,1,137,
Area,19.6499,um^2,Surface,,,,1,138,
Area,0.0690165,um^2,Surface,,,,1,139,
Area,2.59965,um^2,Surface,,,,1,140,
Area,12.5458,um^2,Surface,,,,1,141,
Area,5.98116,um^2,Surface,,,,1,142,
Area,1.67076,um^2,Surface,,,,1,143,
Area,2.28487,um^2,Surface,,,,1,144,
Area,1.1794,um^2,Surface,,,,1,145,
Area,1.08214,um^2,Surface,,,,1,146,
Area,0.911252,um^2,Surface,,,,1,147,
Area,0.453382,um^2,Surface,,,,1,148,
Area,3.0409,um^2,Surface,,,,1,149,
Area,0.107122,um^2,Surface,,,,1,150,
Area,0.205558,um^2,Surface,,,,1,151,
Area,0.0495763,um^2,Surface,,,,1,152,
Area,3.90373,um^2,Surface,,,,1,153,
Area,12.4614,um^2,Surface,,,,1,154,
Area,0.103236,um^2,Surface,,,,1,155,
Area,1.33678,um^2,Surface,,,,1,156,
Area,1.05503,um^2,Surface,,,,1,157,
Area,0.399869,um^2,Surface,,,,1,158,
Area,3.28952,um^2,Surface,,,,1,159,
Area,0.0232648,um^2,Surface,,,,1,160,
Area,0.73949,um^2,Surface,,,,1,161,
Area,4.89243,um^2,Surface,,,,1,162,
Area,2.19248,um^2,Surface,,,,1,163,
Area,14.5302,um^2,Surface,,,,1,164,
Area,3.51165,um^2,Surface,,,,1,165,
Area,3.89046,um^2,Surface,,,,1,166,
Area,0.0495762,um^2,Surface,,,,1,167,
Area,2.134,um^2,Surface,,,,1,168,
Area,82.0346,um^2,Surface,,,,1,169,
Area,0.699749,um^2,Surface,,,,1,170,
Area,1.77763,um^2,Surface,,,,1,171,
Area,5.85381,um^2,Surface,,,,1,172,
Area,2.13629,um^2,Surface,,,,1,173,
Area,0.915595,um^2,Surface,,,,1,174,
Area,1.1049,um^2,Surface,,,,1,175,
Area,0.141031,um^2,Surface,,,,1,176,
Area,1.09178,um^2,Surface,,,,1,177,
Area,0.0166088,um^2,Surface,,,,1,178,
Area,1.72945,um^2,Surface,,,,1,179,
Area,4.25708,um^2,Surface,,,,1,180,
Area,0.0330919,um^2,Surface,,,,1,181,
Area,0.0291933,um^2,Surface,,,,1,182,
Area,1.66935,um^2,Surface,,,,1,183,
Area,11.3877,um^2,Surface,,,,1,184,
Area,0.608878,um^2,Surface,,,,1,185,
Contact surface area,0.0175,um,Surface,,,,,0,
Contact surface area,0.9325,um,Surface,,,,,1,
Contact surface area,0.0075,um,Surface,,,,,2,
Contact surface area,1.265,um,Surface,,,,,3,
Contact surface area,2.41,um,Surface,,,,,4,
Contact surface area,0.3275,um,Surface,,,,,5,
Contact surface area,0.49,um,Surface,,,,,6,
Contact surface area,0.62,um,Surface,,,,,7,
Contact surface area,0.075,um,Surface,,,,,8,
Contact surface area,0.595,um,Surface,,,,,9,
Contact surface area,0.015,um,Surface,,,,,10,
Contact surface area,6.615,um,Surface,,,,,11,
Contact surface area,0.215,um,Surface,,,,,12,
Contact surface area,0.015,um,Surface,,,,,13,
Contact surface area,2.0175,um,Surface,,,,,14,
Contact surface area,0.39,um,Surface,,,,,15,
Contact surface area,0.97,um,Surface,,,,,16,
Contact surface area,0.98,um,Surface,,,,,17,
Contact surface area,0.405,um,Surface,,,,,18,
Contact surface area,2.115,um,Surface,,,,,19,
Contact surface area,0.0225,um,Surface,,,,,20,
Contact surface area,3.3475,um,Surface,,,,,21,
Contact surface area,1.215,um,Surface,,,,,22,
Contact surface area,0.055,um,Surface,,,,,23,
Contact surface area,0.1125,um,Surface,,,,,24,
Contact surface area,0.0225,um,Surface,,,,,25,
Contact surface area,0.055,um,Surface,,,,,26,
Contact surface area,0.74,um,Surface,,,,,27,
Contact surface area,1.1125,um,Surface,,,,,28,
Contact surface area,0.0825,um,Surface,,,,,29,
Contact surface area,2.1925,um,Surface,,,,,30,
Contact surface area,0.195,um,Surface,,,,,31,
Contact surface area,0.4325,um,Surface,,,,,32,
Contact surface area,0.0625,um,Surface,,,,,33,
Contact surface area,0.59,um,Surface,,,,,34,
Contact surface area,0.0075,um,Surface,,,,,35,
Contact surface area,0.7775,um,Surface,,,,,36,
Contact surface area,0.9625,um,Surface,,,,,37,
Contact surface area,0.12,um,Surface,,,,,38,
Contact surface area,0.075,um,Surface,,,,,39,
Contact surface area,0.5025,um,Surface,,,,,40,
Contact surface area,0.24,um,Surface,,,,,41,
Contact surface area,0.1575,um,Surface,,,,,42,
Contact surface area,0.03,um,Surface,,,,,43,
Contact surface area,0.0675,um,Surface,,,,,44,
Contact surface area,3.4625,um,Surface,,,,,45,
Contact surface area,0.0075,um,Surface,,,,,46,
Contact surface area,0.03,um,Surface,,,,,47,
Contact surface area,0.0175,um,Surface,,,,,48,
Contact surface area,0.0375,um,Surface,,,,,49,
Contact surface area,0.15,um,Surface,,,,,50,
Contact surface area,0.5675,um,Surface,,,,,51,
Contact surface area,0.0375,um,Surface,,,,,52,
Contact surface area,0.5075,um,Surface,,,,,53,
Contact surface area,0.3575,um,Surface,,,,,54,
Contact surface area,0.015,um,Surface,,,,,55,
Contact surface area,0.0075,um,Surface,,,,,56,
Contact surface area,11.1675,um,Surface,,,,,57,
Contact surface area,0.9375,um,Surface,,,,,58,
Contact surface area,1.3125,um,Surface,,,,,59,
Contact surface area,0.6775,um,Surface,,,,,60,
Contact surface area,1.7125,um,Surface,,,,,61,
Contact surface area,0.0075,um,Surface,,,,,62,
Contact surface area,0.9575,um,Surface,,,,,63,
Contact surface area,0.0075,um,Surface,,,,,64,
Contact surface area,0.03,um,Surface,,,,,65,
Contact surface area,0.545,um,Surface,,,,,66,
Contact surface area,4.4375,um,Surface,,,,,67,
Contact surface area,0.055,um,Surface,,,,,68,
