
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.30705,um^2,Surface,,,,1,39,
Area,0.895841,um^2,Surface,,,,1,40,
Area,4.65523,um^2,Surface,,,,1,41,
Area,0.0925312,um^2,Surface,,,,1,42,
Area,0.37744,um^2,Surface,,,,1,43,
Area,2.66951,um^2,Surface,,,,1,44,
Area,15.2226,um^2,Surface,,,,1,45,
Area,1.11103,um^2,Surface,,,,1,46,
Area,1.0435,um^2,Surface,,,,1,47,
Area,0.136044,um^2,Surface,,,,1,48,
Area,0.354116,um^2,Surface,,,,1,49,
Area,2.09314,um^2,Surface,,,,1,50,
Area,1.81791,um^2,Surface,,,,1,51,
Area,14.3673,um^2,Surface,,,,1,52,
Area,5.22028,um^2,Surface,,,,1,53,
Area,3.3515,um^2,Surface,,,,1,54,
Area,0.554652,um^2,Surface,,,,1,55,
Area,2.40586,um^2,Surface,,,,1,56,
Area,1.37337,um^2,Surface,,,,1,57,
Area,2.40535,um^2,Surface,,,,1,58,
Area,0.452548,um^2,Surface,,,,1,59,
Area,5.53778,um^2,Surface,,,,1,60,
Area,1.07574,um^2,Surface,,,,1,61,
Area,9.87668,um^2,Surface,,,,1,62,
Area,6.39617,um^2,Surface,,,,1,63,
Area,10.6107,um^2,Surface,,,,1,64,
Area,8.9527,um^2,Surface,,,,1,65,
Area,40.92,um^2,Surface,,,,1,66,
Area,1.88646,um^2,Surface,,,,1,67,
Area,1.96458,um^2,Surface,,,,1,68,
Area,0.290781,um^2,Surface,,,,1,69,
Area,2.88284,um^2,Surface,,,,1,70,
Area,0.744761,um^2,Surface,,,,1,71,
Area,20.1864,um^2,Surface,,,,1,72,
Area,2.56264,um^2,Surface,,,,1,73,
Area,243.911,um^2,Surface,,,,1,74,
Area,2.37129,um^2,Surface,,,,1,75,
Area,3.36801,um^2,Surface,,,,1,76,
Area,12.1348,um^2,Surface,,,,1,77,
Distance from Origin,205.629,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,192.26,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,191.14,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,194.611,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,197.347,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,200.288,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,201.421,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,199.393,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,189.803,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,194.559,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,198.048,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,191.05,um,Surface,,Distance from Origin,,1,50,
