
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.33749,um^2,Surface,,,,1,138,
Area,1.47661,um^2,Surface,,,,1,139,
Area,7.36845,um^2,Surface,,,,1,140,
Area,2.8647,um^2,Surface,,,,1,141,
Area,2.0316,um^2,Surface,,,,1,144,
Area,3.34652,um^2,Surface,,,,1,145,
Area,10.8709,um^2,Surface,,,,1,146,
Area,3.33453,um^2,Surface,,,,1,147,
Area,1.33843,um^2,Surface,,,,1,149,
Area,12.3924,um^2,Surface,,,,1,151,
Area,5.33979,um^2,Surface,,,,1,152,
Area,2.58645,um^2,Surface,,,,1,153,
Area,5.02576,um^2,Surface,,,,1,154,
Area,4.53195,um^2,Surface,,,,1,157,
Area,2.96891,um^2,Surface,,,,1,159,
Area,0.983277,um^2,Surface,,,,1,160,
Area,2.48766,um^2,Surface,,,,1,161,
Area,1.19129,um^2,Surface,,,,1,162,
Area,0.82427,um^2,Surface,,,,1,164,
Area,1.8216,um^2,Surface,,,,1,166,
Area,6.45957,um^2,Surface,,,,1,167,
Area,9.34632,um^2,Surface,,,,1,168,
Area,8.01445,um^2,Surface,,,,1,170,
Area,6.06515,um^2,Surface,,,,1,171,
Area,5.28179,um^2,Surface,,,,1,172,
Area,2.94055,um^2,Surface,,,,1,175,
Area,3.03987,um^2,Surface,,,,1,176,
Area,2.10924,um^2,Surface,,,,1,177,
Area,3.63374,um^2,Surface,,,,1,180,
Area,2.9709,um^2,Surface,,,,1,182,
Area,3.43571,um^2,Surface,,,,1,186,
Area,2.30249,um^2,Surface,,,,1,189,
Area,0.788955,um^2,Surface,,,,1,193,
Area,1.16369,um^2,Surface,,,,1,194,
Area,1.61809,um^2,Surface,,,,1,195,
Area,0.611528,um^2,Surface,,,,1,196,
Area,3.662,um^2,Surface,,,,1,198,
Area,1.29706,um^2,Surface,,,,1,199,
Area,7.17334,um^2,Surface,,,,1,202,
Area,7.26298,um^2,Surface,,,,1,204,
Area,6.01552,um^2,Surface,,,,1,205,
Area,3.61345,um^2,Surface,,,,1,208,
Area,2.86812,um^2,Surface,,,,1,209,
Area,0.665613,um^2,Surface,,,,1,215,
Area,3.16197,um^2,Surface,,,,1,216,
Area,1.10615,um^2,Surface,,,,1,217,
Area,6.25462,um^2,Surface,,,,1,219,
Area,3.12433,um^2,Surface,,,,1,220,
Area,2.21532,um^2,Surface,,,,1,221,
Area,5.00544,um^2,Surface,,,,1,223,
Area,2.53631,um^2,Surface,,,,1,227,
Area,1.11636,um^2,Surface,,,,1,230,
Area,2.47774,um^2,Surface,,,,1,231,
Area,0.396177,um^2,Surface,,,,1,232,
Area,1.00315,um^2,Surface,,,,1,234,
Area,0.866762,um^2,Surface,,,,1,235,
Area,1.76867,um^2,Surface,,,,1,236,
Area,2.21278,um^2,Surface,,,,1,237,
Area,1.12245,um^2,Surface,,,,1,239,
Area,1.11367,um^2,Surface,,,,1,240,
Area,2.96351,um^2,Surface,,,,1,246,
