
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.049575,um^2,Surface,,,,1,0,
Area,0.0555123,um^2,Surface,,,,1,1,
Area,3.89059,um^2,Surface,,,,1,2,
Area,1.54296,um^2,Surface,,,,1,3,
Area,3.21275,um^2,Surface,,,,1,4,
Area,0.0100812,um^2,Surface,,,,1,5,
Area,0.0495774,um^2,Surface,,,,1,6,
Area,0.0166101,um^2,Surface,,,,1,7,
Area,0.0166101,um^2,Surface,,,,1,8,
Area,0.118398,um^2,Surface,,,,1,9,
Area,0.0330954,um^2,Surface,,,,1,10,
Area,2.38022,um^2,Surface,,,,1,11,
Area,8.06836,um^2,Surface,,,,1,12,
Area,0.263536,um^2,Surface,,,,1,13,
Area,0.0422931,um^2,Surface,,,,1,14,
Area,0.175747,um^2,Surface,,,,1,15,
Area,0.0847962,um^2,Surface,,,,1,16,
Area,0.0166088,um^2,Surface,,,,1,17,
Area,0.0752627,um^2,Surface,,,,1,18,
Area,0.178423,um^2,Surface,,,,1,19,
Area,0.0360634,um^2,Surface,,,,1,20,
Area,0.512998,um^2,Surface,,,,1,21,
Area,0.715429,um^2,Surface,,,,1,22,
Area,0.0495774,um^2,Surface,,,,1,23,
Area,0.049575,um^2,Surface,,,,1,24,
Area,0.148483,um^2,Surface,,,,1,25,
Area,0.0166088,um^2,Surface,,,,1,26,
Area,0.318357,um^2,Surface,,,,1,27,
Area,0.0166074,um^2,Surface,,,,1,28,
Area,0.844364,um^2,Surface,,,,1,29,
Area,0.0166074,um^2,Surface,,,,1,30,
Area,0.0545778,um^2,Surface,,,,1,31,
Area,2.12236,um^2,Surface,,,,1,32,
Area,4.50284,um^2,Surface,,,,1,33,
Area,1.30333,um^2,Surface,,,,1,34,
Area,12.5235,um^2,Surface,,,,1,35,
Area,0.0683052,um^2,Surface,,,,1,36,
Area,0.0100804,um^2,Surface,,,,1,37,
Area,0.0974056,um^2,Surface,,,,1,38,
Area,0.0166088,um^2,Surface,,,,1,39,
Area,0.0166088,um^2,Surface,,,,1,40,
Area,6.06416,um^2,Surface,,,,1,41,
Area,5.16022,um^2,Surface,,,,1,42,
Area,0.599478,um^2,Surface,,,,1,43,
Area,0.300125,um^2,Surface,,,,1,44,
Area,0.0166081,um^2,Surface,,,,1,45,
Area,5.3685,um^2,Surface,,,,1,46,
Area,5.62079,um^2,Surface,,,,1,47,
Area,3.81157,um^2,Surface,,,,1,48,
Area,2.33162,um^2,Surface,,,,1,49,
Area,2.26528,um^2,Surface,,,,1,50,
Area,4.13179,um^2,Surface,,,,1,51,
Area,2.18894,um^2,Surface,,,,1,52,
Area,8.0952,um^2,Surface,,,,1,53,
Area,0.644078,um^2,Surface,,,,1,54,
Area,0.0232639,um^2,Surface,,,,1,55,
Area,2.20511,um^2,Surface,,,,1,56,
Area,3.98071,um^2,Surface,,,,1,57,
Area,0.833629,um^2,Surface,,,,1,58,
Area,2.28263,um^2,Surface,,,,1,59,
Area,0.0166101,um^2,Surface,,,,1,60,
Area,0.823994,um^2,Surface,,,,1,61,
Area,37.4363,um^2,Surface,,,,1,62,
Area,1.33792,um^2,Surface,,,,1,63,
Area,1.41795,um^2,Surface,,,,1,64,
Area,66.4645,um^2,Surface,,,,1,65,
Contact surface area,0.795,um,Surface,,,,,0,
Contact surface area,0.0075,um,Surface,,,,,1,
Contact surface area,0.015,um,Surface,,,,,2,
Contact surface area,0.4725,um,Surface,,,,,3,
Contact surface area,0.25,um,Surface,,,,,4,
Contact surface area,0.365,um,Surface,,,,,5,
Contact surface area,0.0225,um,Surface,,,,,6,
Contact surface area,0.0375,um,Surface,,,,,7,
