
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,15.0719,um^2,Surface,,,,1,1210,
Area,16.5943,um^2,Surface,,,,1,1213,
Area,8.97347,um^2,Surface,,,,1,1216,
Area,37.6237,um^2,Surface,,,,1,1217,
Area,17.2966,um^2,Surface,,,,1,1219,
Area,9.61131,um^2,Surface,,,,1,1220,
Area,47.655,um^2,Surface,,,,1,1221,
Area,84.0298,um^2,Surface,,,,1,1222,
Area,10.3108,um^2,Surface,,,,1,1223,
Area,23.2647,um^2,Surface,,,,1,1224,
Area,50.3119,um^2,Surface,,,,1,1225,
Area,21.6478,um^2,Surface,,,,1,1226,
Area,9.84307,um^2,Surface,,,,1,1227,
Area,13.1173,um^2,Surface,,,,1,1228,
Area,11.8001,um^2,Surface,,,,1,1229,
Area,22.0845,um^2,Surface,,,,1,1230,
Area,8.4554,um^2,Surface,,,,1,1231,
Area,12.1628,um^2,Surface,,,,1,1232,
Area,36.9746,um^2,Surface,,,,1,1233,
Area,21.3779,um^2,Surface,,,,1,1234,
Area,10.487,um^2,Surface,,,,1,1247,
Area,64.3668,um^2,Surface,,,,1,1248,
Area,9.02019,um^2,Surface,,,,1,1249,
Area,17.0812,um^2,Surface,,,,1,1251,
Area,11.02,um^2,Surface,,,,1,1252,
Area,33.2085,um^2,Surface,,,,1,1253,
Area,8.80329,um^2,Surface,,,,1,1254,
Area,13.1789,um^2,Surface,,,,1,1255,
Area,50.2764,um^2,Surface,,,,1,1256,
Area,11.7491,um^2,Surface,,,,1,1257,
Area,9.55403,um^2,Surface,,,,1,1258,
Area,27.0728,um^2,Surface,,,,1,1259,
Area,10.1599,um^2,Surface,,,,1,1260,
Area,11.0468,um^2,Surface,,,,1,1261,
Area,12.3457,um^2,Surface,,,,1,1262,
Area,50.962,um^2,Surface,,,,1,1263,
Area,45.8949,um^2,Surface,,,,1,1265,
Area,14.7644,um^2,Surface,,,,1,1272,
Area,8.16082,um^2,Surface,,,,1,1287,
Area,7.873,um^2,Surface,,,,1,1288,
Area,9.66891,um^2,Surface,,,,1,1290,
Area,8.01755,um^2,Surface,,,,1,1291,
Area,11.1895,um^2,Surface,,,,1,1292,
Area,40.7145,um^2,Surface,,,,1,1295,
Area,25.8799,um^2,Surface,,,,1,1297,
Area,10.5646,um^2,Surface,,,,1,1307,
Area,17.3752,um^2,Surface,,,,1,1309,
Area,14.8773,um^2,Surface,,,,1,1310,
Area,23.9115,um^2,Surface,,,,1,1311,
Area,27.0535,um^2,Surface,,,,1,1312,
Area,21.2357,um^2,Surface,,,,1,1313,
Area,56.1975,um^2,Surface,,,,1,1314,
Area,21.8254,um^2,Surface,,,,1,1315,
Area,23.2961,um^2,Surface,,,,1,1316,
Area,12.4642,um^2,Surface,,,,1,1317,
Area,18.024,um^2,Surface,,,,1,1318,
Area,40.9383,um^2,Surface,,,,1,1319,
Area,13.7971,um^2,Surface,,,,1,1320,
Area,26.4668,um^2,Surface,,,,1,1321,
Area,2398.38,um^2,Surface,,,,1,1322,
Area,10.7683,um^2,Surface,,,,1,1324,
Distance from Origin,167.925,um,Surface,,Distance from Origin,,1,1210,
Distance from Origin,199.9,um,Surface,,Distance from Origin,,1,1213,
Distance from Origin,198.901,um,Surface,,Distance from Origin,,1,1216,
Distance from Origin,185.267,um,Surface,,Distance from Origin,,1,1217,
Distance from Origin,181.867,um,Surface,,Distance from Origin,,1,1219,
Distance from Origin,193.377,um,Surface,,Distance from Origin,,1,1220,
Distance from Origin,197.493,um,Surface,,Distance from Origin,,1,1221,
Distance from Origin,195.673,um,Surface,,Distance from Origin,,1,1222,
Distance from Origin,171.171,um,Surface,,Distance from Origin,,1,1223,
Distance from Origin,181.255,um,Surface,,Distance from Origin,,1,1224,
Distance from Origin,169.049,um,Surface,,Distance from Origin,,1,1225,
Distance from Origin,170.066,um,Surface,,Distance from Origin,,1,1226,
