
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,11.131,um^2,Surface,,,,1,297,
Area,0.335418,um^2,Surface,,,,1,300,
Area,0.876056,um^2,Surface,,,,1,301,
Area,14.9421,um^2,Surface,,,,1,302,
Area,62.2721,um^2,Surface,,,,1,309,
Area,8.53385,um^2,Surface,,,,1,311,
Area,1.60855,um^2,Surface,,,,1,315,
Area,7.27911,um^2,Surface,,,,1,316,
Area,1.51213,um^2,Surface,,,,1,319,
Area,1.09017,um^2,Surface,,,,1,325,
Area,11.9707,um^2,Surface,,,,1,331,
Area,0.520282,um^2,Surface,,,,1,339,
Area,0.40148,um^2,Surface,,,,1,344,
Area,7.09658,um^2,Surface,,,,1,347,
Area,0.451084,um^2,Surface,,,,1,349,
Area,20.2543,um^2,Surface,,,,1,354,
Area,3.00145,um^2,Surface,,,,1,355,
Area,0.348129,um^2,Surface,,,,1,356,
Area,4.37447,um^2,Surface,,,,1,357,
Area,11.4615,um^2,Surface,,,,1,360,
Area,3.0668,um^2,Surface,,,,1,364,
Area,16.7703,um^2,Surface,,,,1,367,
Area,3.30548,um^2,Surface,,,,1,368,
Area,1.40418,um^2,Surface,,,,1,373,
Area,17.9897,um^2,Surface,,,,1,375,
Area,2.37323,um^2,Surface,,,,1,381,
Area,2.58167,um^2,Surface,,,,1,382,
Area,2.76548,um^2,Surface,,,,1,383,
Area,1.35021,um^2,Surface,,,,1,384,
Area,1.40575,um^2,Surface,,,,1,385,
Area,5.73679,um^2,Surface,,,,1,386,
Area,3.20998,um^2,Surface,,,,1,387,
Area,2.14789,um^2,Surface,,,,1,390,
Area,0.790585,um^2,Surface,,,,1,392,
Area,7.17863,um^2,Surface,,,,1,393,
Area,1.64659,um^2,Surface,,,,1,394,
Area,0.293984,um^2,Surface,,,,1,395,
Area,6.22722,um^2,Surface,,,,1,396,
Area,1.324,um^2,Surface,,,,1,397,
Area,1.90309,um^2,Surface,,,,1,402,
Area,3.38153,um^2,Surface,,,,1,403,
Area,6.97158,um^2,Surface,,,,1,405,
Area,3.15347,um^2,Surface,,,,1,408,
Area,5.883,um^2,Surface,,,,1,410,
Area,1.84817,um^2,Surface,,,,1,419,
Area,3.59674,um^2,Surface,,,,1,421,
Area,2.45958,um^2,Surface,,,,1,423,
Area,4.05136,um^2,Surface,,,,1,424,
Area,6.33917,um^2,Surface,,,,1,425,
Area,7.97978,um^2,Surface,,,,1,427,
Area,7.16798,um^2,Surface,,,,1,429,
Area,16.8814,um^2,Surface,,,,1,432,
Area,6.52248,um^2,Surface,,,,1,438,
Area,14.3332,um^2,Surface,,,,1,439,
Area,2.36943,um^2,Surface,,,,1,440,
Area,2.96924,um^2,Surface,,,,1,442,
Area,11.0274,um^2,Surface,,,,1,445,
Area,17.781,um^2,Surface,,,,1,449,
Area,10.422,um^2,Surface,,,,1,452,
Area,20.1,um^2,Surface,,,,1,453,
Area,18.2906,um^2,Surface,,,,1,456,
