
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.28991,um^2,Surface,,,,1,0,
Area,0.0495792,um^2,Surface,,,,1,1,
Area,6.25927,um^2,Surface,,,,1,2,
Area,0.799399,um^2,Surface,,,,1,3,
Area,2.64328,um^2,Surface,,,,1,4,
Area,0.343102,um^2,Surface,,,,1,5,
Area,3.11722,um^2,Surface,,,,1,6,
Area,0.0690148,um^2,Surface,,,,1,7,
Area,0.166638,um^2,Surface,,,,1,8,
Area,7.21316,um^2,Surface,,,,1,9,
Area,0.482283,um^2,Surface,,,,1,10,
Area,0.016608,um^2,Surface,,,,1,11,
Area,0.125036,um^2,Surface,,,,1,12,
Area,0.0660591,um^2,Surface,,,,1,13,
Area,0.167919,um^2,Surface,,,,1,14,
Area,0.0690128,um^2,Surface,,,,1,15,
Area,0.713355,um^2,Surface,,,,1,16,
Area,2.59375,um^2,Surface,,,,1,17,
Area,0.0166075,um^2,Surface,,,,1,18,
Area,0.703338,um^2,Surface,,,,1,19,
Area,1.61524,um^2,Surface,,,,1,20,
Area,0.0545758,um^2,Surface,,,,1,21,
Area,4.23929,um^2,Surface,,,,1,22,
Area,1.87027,um^2,Surface,,,,1,23,
Area,0.0660625,um^2,Surface,,,,1,24,
Area,0.260227,um^2,Surface,,,,1,25,
Area,3.9402,um^2,Surface,,,,1,26,
Area,0.587996,um^2,Surface,,,,1,27,
Area,2.5813,um^2,Surface,,,,1,28,
Area,1.86371,um^2,Surface,,,,1,29,
Area,0.0232639,um^2,Surface,,,,1,30,
Area,0.0166075,um^2,Surface,,,,1,31,
Area,0.683912,um^2,Surface,,,,1,32,
Area,0.0166088,um^2,Surface,,,,1,33,
Area,2.51076,um^2,Surface,,,,1,34,
Area,0.345082,um^2,Surface,,,,1,35,
Area,0.661641,um^2,Surface,,,,1,36,
Area,26.9856,um^2,Surface,,,,1,37,
Area,0.0660591,um^2,Surface,,,,1,38,
Area,0.0548963,um^2,Surface,,,,1,39,
Area,0.0100812,um^2,Surface,,,,1,40,
Area,0.0548963,um^2,Surface,,,,1,41,
Area,0.0545797,um^2,Surface,,,,1,42,
Area,0.0166074,um^2,Surface,,,,1,43,
Area,0.139921,um^2,Surface,,,,1,44,
Area,5.07324,um^2,Surface,,,,1,45,
Area,0.0166082,um^2,Surface,,,,1,46,
Area,0.0166101,um^2,Surface,,,,1,47,
Area,0.0330909,um^2,Surface,,,,1,48,
Area,0.0166094,um^2,Surface,,,,1,49,
Area,0.0825442,um^2,Surface,,,,1,50,
Area,3.63403,um^2,Surface,,,,1,51,
Area,1.72555,um^2,Surface,,,,1,52,
Area,2.09177,um^2,Surface,,,,1,53,
Area,0.0166088,um^2,Surface,,,,1,54,
Area,0.0888019,um^2,Surface,,,,1,55,
Area,0.0291934,um^2,Surface,,,,1,56,
Area,5.23417,um^2,Surface,,,,1,57,
Area,1.79179,um^2,Surface,,,,1,58,
Area,0.0166088,um^2,Surface,,,,1,59,
Area,1.2404,um^2,Surface,,,,1,60,
Area,0.0548979,um^2,Surface,,,,1,61,
Area,0.0950209,um^2,Surface,,,,1,62,
Area,1.34923,um^2,Surface,,,,1,63,
Area,0.700714,um^2,Surface,,,,1,64,
Area,0.664646,um^2,Surface,,,,1,65,
Area,0.757992,um^2,Surface,,,,1,66,
Area,0.337166,um^2,Surface,,,,1,67,
Area,3.69986,um^2,Surface,,,,1,68,
Area,7.06768,um^2,Surface,,,,1,69,
Area,0.540469,um^2,Surface,,,,1,70,
Area,0.0330923,um^2,Surface,,,,1,71,
Area,0.806927,um^2,Surface,,,,1,72,
Area,0.0690127,um^2,Surface,,,,1,73,
Area,0.0545775,um^2,Surface,,,,1,74,
Area,0.0495774,um^2,Surface,,,,1,75,
Area,0.808914,um^2,Surface,,,,1,76,
Area,0.957181,um^2,Surface,,,,1,77,
Area,4.76164,um^2,Surface,,,,1,78,
Area,0.0495776,um^2,Surface,,,,1,79,
Area,0.016608,um^2,Surface,,,,1,80,
Area,2.59685,um^2,Surface,,,,1,81,
Area,1.30936,um^2,Surface,,,,1,82,
Area,0.0980018,um^2,Surface,,,,1,83,
Area,0.0495774,um^2,Surface,,,,1,84,
Area,0.13051,um^2,Surface,,,,1,85,
Area,1.04903,um^2,Surface,,,,1,86,
