
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,0.651319,um^2,Dendrite,,0,,1,,1,,100000001,510000000001,
Dendrite Area,3.4513,um^2,Dendrite,,1,,2,,1,,100000001,510000000003,
Dendrite Area,14.3093,um^2,Dendrite,,2,,2,,1,,100000001,510000000009,
Dendrite Area,5.67777,um^2,Dendrite,,3,,3,,1,,100000001,510000000040,
Dendrite Area,22.3248,um^2,Dendrite,,5,,4,,1,,100000001,510000000056,
Dendrite Area,28.8744,um^2,Dendrite,,6,,5,,1,,100000001,510000000110,
Dendrite Area,31.3255,um^2,Dendrite,,7,,6,,1,,100000001,510000000187,
Dendrite Area,7.27014,um^2,Dendrite,,1,,2,,1,,100000001,510000000273,
Dendrite Area,1.32342,um^2,Dendrite,,3,,2,,1,,100000001,510000000289,
Dendrite Area,1.51124,um^2,Dendrite,,4,,2,,1,,100000001,510000000292,
Dendrite Area,8.55258,um^2,Dendrite,,5,,3,,1,,100000001,510000000294,
Dendrite Area,9.6663,um^2,Dendrite,,6,,3,,1,,100000001,510000000313,
Dendrite Area,1.02568,um^2,Dendrite,,7,,3,,1,,100000001,510000000333,
Dendrite Area,10.362,um^2,Dendrite,,8,,3,,1,,100000001,510000000335,
Dendrite Area,11.3534,um^2,Dendrite,,9,,3,,1,,100000001,510000000356,
Dendrite Area,13.4627,um^2,Dendrite,,10,,4,,1,,100000001,510000000378,
Dendrite Area,23.1085,um^2,Dendrite,,11,,4,,1,,100000001,510000000415,
Dendrite Area,25.5257,um^2,Dendrite,,12,,4,,1,,100000001,510000000470,
Dendrite Area,20.7325,um^2,Dendrite,,11,,5,,1,,100000001,510000000512,
Dendrite Area,17.7203,um^2,Dendrite,,12,,5,,1,,100000001,510000000563,
Dendrite Area,6.1015,um^2,Dendrite,,13,,5,,1,,100000001,510000000606,
Dendrite Area,12.3402,um^2,Dendrite,,14,,5,,1,,100000001,510000000617,
Dendrite Area,8.49814,um^2,Dendrite,,1,,2,,1,,100000001,510000000636,
Dendrite Area,4.57738,um^2,Dendrite,,2,,3,,1,,100000001,510000000655,
Dendrite Area,1.12272,um^2,Dendrite,,3,,4,,1,,100000001,510000000667,
Dendrite Area,2.5894,um^2,Dendrite,,4,,5,,1,,100000001,510000000670,
Dendrite Area,14.1731,um^2,Dendrite,,5,,5,,1,,100000001,510000000677,
Dendrite Area,4.04869,um^2,Dendrite,,8,,6,,1,,100000001,510000000718,
Dendrite Area,16.907,um^2,Dendrite,,9,,7,,1,,100000001,510000000728,
Dendrite Area,18.5745,um^2,Dendrite,,1,,1,,1,,100000001,510000000772,
Dendrite Area,2.21194,um^2,Dendrite,,2,,1,,1,,100000001,510000000798,
Dendrite Area,2.87322,um^2,Dendrite,,3,,1,,1,,100000001,510000000801,
Dendrite Area,15.8165,um^2,Dendrite,,4,,1,,1,,100000001,510000000807,
Dendrite Area,5.10516,um^2,Dendrite,,5,,1,,1,,100000001,510000000848,
Dendrite Area,11.8918,um^2,Dendrite,,9,,4,,1,,100000001,510000000875,
Dendrite Area,0.854067,um^2,Dendrite,,10,,4,,1,,100000001,510000000906,
Dendrite Area,3.91741,um^2,Dendrite,,11,,4,,1,,100000001,510000000908,
Dendrite Area,21.9583,um^2,Dendrite,,12,,5,,1,,100000001,510000000918,
Dendrite Area,3.94637,um^2,Dendrite,,13,,5,,1,,100000001,510000000982,
Dendrite Area,2.86565,um^2,Dendrite,,6,,4,,1,,100000001,510000000991,
Dendrite Area,19.8273,um^2,Dendrite,,7,,5,,1,,100000001,510000000997,
Dendrite Area,12.3874,um^2,Dendrite,,14,,6,,1,,100000001,510000001052,
