
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,38.2672,um^2,Surface,,,,1,1028,
Area,34.8869,um^2,Surface,,,,1,1029,
Area,127.118,um^2,Surface,,,,1,1030,
Area,88.4074,um^2,Surface,,,,1,1033,
Area,108.641,um^2,Surface,,,,1,1034,
Area,40.8373,um^2,Surface,,,,1,1035,
Area,55.3074,um^2,Surface,,,,1,1036,
Area,37.4287,um^2,Surface,,,,1,1037,
Area,36.126,um^2,Surface,,,,1,1038,
Area,33.7152,um^2,Surface,,,,1,1039,
Area,65.3326,um^2,Surface,,,,1,1040,
Area,38.9021,um^2,Surface,,,,1,1041,
Area,35.3839,um^2,Surface,,,,1,1042,
Area,74.2966,um^2,Surface,,,,1,1043,
Area,35.5854,um^2,Surface,,,,1,1045,
Area,3385.97,um^2,Surface,,,,1,1046,
Distance from Origin,156.899,um,Surface,,Distance from Origin,,1,1028,
Distance from Origin,166.024,um,Surface,,Distance from Origin,,1,1029,
Distance from Origin,150.329,um,Surface,,Distance from Origin,,1,1030,
Distance from Origin,132.656,um,Surface,,Distance from Origin,,1,1033,
Distance from Origin,136.826,um,Surface,,Distance from Origin,,1,1034,
Distance from Origin,141.37,um,Surface,,Distance from Origin,,1,1035,
Distance from Origin,171.734,um,Surface,,Distance from Origin,,1,1036,
Distance from Origin,120.761,um,Surface,,Distance from Origin,,1,1037,
Distance from Origin,116.544,um,Surface,,Distance from Origin,,1,1038,
Distance from Origin,113.103,um,Surface,,Distance from Origin,,1,1039,
Distance from Origin,107.903,um,Surface,,Distance from Origin,,1,1040,
Distance from Origin,110.771,um,Surface,,Distance from Origin,,1,1041,
Distance from Origin,119.042,um,Surface,,Distance from Origin,,1,1042,
Distance from Origin,116.142,um,Surface,,Distance from Origin,,1,1043,
Distance from Origin,126.293,um,Surface,,Distance from Origin,,1,1045,
Distance from Origin,135.811,um,Surface,,Distance from Origin,,1,1046,
Distance to Image Border XY,31.272,um,Surface,,,Image 1,1,1028,
Distance to Image Border XY,22.5957,um,Surface,,,Image 1,1,1029,
Distance to Image Border XY,25.4915,um,Surface,,,Image 1,1,1030,
Distance to Image Border XY,10.583,um,Surface,,,Image 1,1,1033,
Distance to Image Border XY,16.8329,um,Surface,,,Image 1,1,1034,
Distance to Image Border XY,15.8842,um,Surface,,,Image 1,1,1035,
Distance to Image Border XY,6.30263,um,Surface,,,Image 1,1,1036,
Distance to Image Border XY,36.0503,um,Surface,,,Image 1,1,1037,
Distance to Image Border XY,26.1831,um,Surface,,,Image 1,1,1038,
Distance to Image Border XY,27.103,um,Surface,,,Image 1,1,1039,
Distance to Image Border XY,18.9281,um,Surface,,,Image 1,1,1040,
Distance to Image Border XY,26.228,um,Surface,,,Image 1,1,1041,
Distance to Image Border XY,18.2116,um,Surface,,,Image 1,1,1042,
Distance to Image Border XY,10.1618,um,Surface,,,Image 1,1,1043,
Distance to Image Border XY,22.9907,um,Surface,,,Image 1,1,1045,
Distance to Image Border XY,7.48727,um,Surface,,,Image 1,1,1046,
Ellipticity (oblate),0.2973,,Surface,,,,1,1028,
Ellipticity (oblate),0.376946,,Surface,,,,1,1029,
Ellipticity (oblate),0.317035,,Surface,,,,1,1030,
Ellipticity (oblate),0.137107,,Surface,,,,1,1033,
Ellipticity (oblate),0.383666,,Surface,,,,1,1034,
Ellipticity (oblate),0.328594,,Surface,,,,1,1035,
Ellipticity (oblate),0.398719,,Surface,,,,1,1036,
Ellipticity (oblate),0.370918,,Surface,,,,1,1037,
Ellipticity (oblate),0.592831,,Surface,,,,1,1038,
Ellipticity (oblate),0.476499,,Surface,,,,1,1039,
Ellipticity (oblate),0.486256,,Surface,,,,1,1040,
Ellipticity (oblate),0.254757,,Surface,,,,1,1041,
Ellipticity (oblate),0.463681,,Surface,,,,1,1042,
Ellipticity (oblate),0.14095,,Surface,,,,1,1043,
Ellipticity (oblate),0.350416,,Surface,,,,1,1045,
Ellipticity (oblate),0.372785,,Surface,,,,1,1046,
Ellipticity (prolate),0.394339,,Surface,,,,1,1028,
Ellipticity (prolate),0.505266,,Surface,,,,1,1029,
Ellipticity (prolate),0.270379,,Surface,,,,1,1030,
Ellipticity (prolate),0.711005,,Surface,,,,1,1033,
Ellipticity (prolate),0.49896,,Surface,,,,1,1034,
Ellipticity (prolate),0.467594,,Surface,,,,1,1035,
Ellipticity (prolate),0.471022,,Surface,,,,1,1036,
Ellipticity (prolate),0.499904,,Surface,,,,1,1037,
Ellipticity (prolate),0.273625,,Surface,,,,1,1038,
Ellipticity (prolate),0.365248,,Surface,,,,1,1039,
Ellipticity (prolate),0.372914,,Surface,,,,1,1040,
Ellipticity (prolate),0.533514,,Surface,,,,1,1041,
Ellipticity (prolate),0.345859,,Surface,,,,1,1042,
Ellipticity (prolate),0.567288,,Surface,,,,1,1043,
Ellipticity (prolate),0.550398,,Surface,,,,1,1045,
Ellipticity (prolate),0.0256796,,Surface,,,,1,1046,
Generation,0,,Surface,,,,1,1028,
Generation,0,,Surface,,,,1,1029,
Generation,0,,Surface,,,,1,1030,
Generation,0,,Surface,,,,1,1033,
Generation,0,,Surface,,,,1,1034,
Generation,0,,Surface,,,,1,1035,
Generation,0,,Surface,,,,1,1036,
Generation,0,,Surface,,,,1,1037,
Generation,0,,Surface,,,,1,1038,
Generation,0,,Surface,,,,1,1039,
Generation,0,,Surface,,,,1,1040,
Generation,0,,Surface,,,,1,1041,
Generation,0,,Surface,,,,1,1042,
Generation,0,,Surface,,,,1,1043,
Generation,0,,Surface,,,,1,1045,
Generation,0,,Surface,,,,1,1046,
Intensity Max,9,,Surface,1,,Image 1,1,1028,
Intensity Max,28,,Surface,2,,Image 1,1,1028,
Intensity Max,83,,Surface,3,,Image 1,1,1028,
Intensity Max,65,,Surface,4,,Image 1,1,1028,
Intensity Max,65,,Surface,5,,Image 1,1,1028,
Intensity Max,9,,Surface,6,,Image 1,1,1028,
Intensity Max,28,,Surface,7,,Image 1,1,1028,
Intensity Max,3,,Surface,1,,Image 1,1,1029,
Intensity Max,25,,Surface,2,,Image 1,1,1029,
Intensity Max,88,,Surface,3,,Image 1,1,1029,
Intensity Max,96,,Surface,4,,Image 1,1,1029,
Intensity Max,96,,Surface,5,,Image 1,1,1029,
Intensity Max,3,,Surface,6,,Image 1,1,1029,
Intensity Max,25,,Surface,7,,Image 1,1,1029,
Intensity Max,20,,Surface,1,,Image 1,1,1030,
Intensity Max,33,,Surface,2,,Image 1,1,1030,
Intensity Max,144,,Surface,3,,Image 1,1,1030,
Intensity Max,97,,Surface,4,,Image 1,1,1030,
