Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.0291944,um^2,Surface,,,,1,0
Area,0.157203,um^2,Surface,,,,1,1
Area,0.257327,um^2,Surface,,,,1,2
Area,0.134596,um^2,Surface,,,,1,3
Area,0.0166088,um^2,Surface,,,,1,4
Area,0.895034,um^2,Surface,,,,1,5
Area,2.19518,um^2,Surface,,,,1,6
Area,0.4382,um^2,Surface,,,,1,7
Area,0.0232647,um^2,Surface,,,,1,8
Area,0.628401,um^2,Surface,,,,1,9
Area,1.08476,um^2,Surface,,,,1,10
Area,0.0660609,um^2,Surface,,,,1,11
Area,0.0166095,um^2,Surface,,,,1,12
Area,0.314034,um^2,Surface,,,,1,13
Area,10.4605,um^2,Surface,,,,1,14
Area,1.3934,um^2,Surface,,,,1,15
Area,0.0100812,um^2,Surface,,,,1,16
Area,2.76792,um^2,Surface,,,,1,17
Area,46.3822,um^2,Surface,,,,1,18
Area,0.566793,um^2,Surface,,,,1,19
Area,0.0100812,um^2,Surface,,,,1,20
Area,2.09932,um^2,Surface,,,,1,21
Area,0.267706,um^2,Surface,,,,1,22
Area,5.30885,um^2,Surface,,,,1,23
Contact surface area,0.03,um,Surface,,,,,0
Contact surface area,0.0075,um,Surface,,,,,1
Contact surface area,0.16,um,Surface,,,,,2
Contact surface area,0.0075,um,Surface,,,,,3
Contact surface area,1.56,um,Surface,,,,,4
Contact surface area,0.3025,um,Surface,,,,,5
Contact surface area,0.0075,um,Surface,,,,,6
Contact surface area,1.2225,um,Surface,,,,,7
Contact surface area,0.14,um,Surface,,,,,8
Contact surface area,3.0975,um,Surface,,,,,9
Contact surface area,0.015,um,Surface,,,,,10
Contact surface area,0.355,um,Surface,,,,,11
Contact surface area,0.625,um,Surface,,,,,12
Contact surface area,0.7925,um,Surface,,,,,13
Contact surface area,0.24,um,Surface,,,,,14
Contact surface area,0.1425,um,Surface,,,,,15
Contact surface area,0.075,um,Surface,,,,,16
Contact surface area,0.0075,um,Surface,,,,,17
Contact surface area,0.47,um,Surface,,,,,18
Contact surface area,1.2825,um,Surface,,,,,19
Contact surface area,26.7725,um,Surface,,,,,20
Contact surface area,6.1075,um,Surface,,,,,21
Contact surface area,0.0175,um,Surface,,,,,22
Contact surface area,0.0775,um,Surface,,,,,23
