
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,1.38389,um^2,Dendrite,,0,,1,,1,,100000000,510000000001,
Dendrite Area,3.13695,um^2,Dendrite,,1,,1,,1,,100000000,510000000003,
Dendrite Area,24.6636,um^2,Dendrite,,2,,2,,1,,100000000,510000000006,
Dendrite Area,19.9902,um^2,Dendrite,,3,,3,,1,,100000000,510000000051,
Dendrite Area,26.243,um^2,Dendrite,,4,,3,,1,,100000000,510000000080,
Dendrite Area,8.07559,um^2,Dendrite,,5,,3,,1,,100000000,510000000111,
Dendrite Area,16.8578,um^2,Dendrite,,6,,4,,1,,100000000,510000000117,
Dendrite Area,5.24263,um^2,Dendrite,,7,,5,,1,,100000000,510000000137,
Dendrite Area,2.26156,um^2,Dendrite,,8,,5,,1,,100000000,510000000141,
Dendrite Area,6.96687,um^2,Dendrite,,9,,5,,1,,100000000,510000000143,
Dendrite Area,27.0195,um^2,Dendrite,,11,,5,,1,,100000000,510000000150,
Dendrite Area,9.03683,um^2,Dendrite,,12,,5,,1,,100000000,510000000181,
Dendrite Area,23.4427,um^2,Dendrite,,13,,5,,1,,100000000,510000000192,
Dendrite Area,5.28683,um^2,Dendrite,,15,,5,,1,,100000000,510000000214,
Dendrite Area,11.0875,um^2,Dendrite,,16,,6,,1,,100000000,510000000219,
Dendrite Area,10.5133,um^2,Dendrite,,17,,6,,1,,100000000,510000000230,
Dendrite Area,14.7383,um^2,Dendrite,,18,,6,,1,,100000000,510000000245,
Dendrite Area,3.92423,um^2,Dendrite,,19,,6,,1,,100000000,510000000265,
Dendrite Area,6.17477,um^2,Dendrite,,20,,6,,1,,100000000,510000000270,
Dendrite Area,12.3213,um^2,Dendrite,,21,,7,,1,,100000000,510000000279,
Dendrite Area,2.6898,um^2,Dendrite,,22,,7,,1,,100000000,510000000301,
Dendrite Area,20.9646,um^2,Dendrite,,23,,8,,1,,100000000,510000000305,
Dendrite Area,28.507,um^2,Dendrite,,24,,9,,1,,100000000,510000000364,
Dendrite Area,10.9151,um^2,Dendrite,,3,,2,,1,,100000000,510000000431,
Dendrite Area,21.3251,um^2,Dendrite,,4,,2,,1,,100000000,510000000446,
Dendrite Area,23.3604,um^2,Dendrite,,5,,2,,1,,100000000,510000000478,
Dendrite Area,26.5778,um^2,Dendrite,,6,,2,,1,,100000000,510000000508,
Dendrite Area,31.3391,um^2,Dendrite,,7,,2,,1,,100000000,510000000566,
Dendrite Area,15.6414,um^2,Dendrite,,8,,3,,1,,100000000,510000000633,
Dendrite Area,72.7604,um^2,Dendrite,,1,,2,,1,,100000000,510000000682,
Dendrite Area,20.7797,um^2,Dendrite,,2,,2,,1,,100000000,510000000794,
Dendrite Area,20.7266,um^2,Dendrite,,3,,3,,1,,100000000,510000000827,
Dendrite Area,6.42369,um^2,Dendrite,,4,,4,,1,,100000000,510000000874,
Dendrite Area,101.224,um^2,Dendrite,,3,,2,,1,,100000000,510000000889,
Dendrite Area,40.5608,um^2,Dendrite,,17,,7,,1,,100000000,510000001041,
Dendrite Area,7.44929,um^2,Dendrite,,8,,6,,1,,100000000,510000001158,
Dendrite Area,2.46212,um^2,Dendrite,,9,,6,,1,,100000000,510000001164,
Dendrite Area,20.2725,um^2,Dendrite,,10,,6,,1,,100000000,510000001170,
Dendrite Area,12.0196,um^2,Dendrite,,11,,6,,1,,100000000,510000001195,
Dendrite Area,21.7992,um^2,Dendrite,,12,,6,,1,,100000000,510000001221,
Dendrite Area,17.7641,um^2,Dendrite,,15,,6,,1,,100000000,510000001259,
Dendrite Area,10.6806,um^2,Dendrite,,16,,7,,1,,100000000,510000001277,
