
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.494211,um^2,Surface,,,,1,53,
Area,2.44378,um^2,Surface,,,,1,54,
Area,0.650379,um^2,Surface,,,,1,55,
Area,4.80779,um^2,Surface,,,,1,56,
Area,0.597501,um^2,Surface,,,,1,57,
Area,1.17229,um^2,Surface,,,,1,58,
Area,0.129941,um^2,Surface,,,,1,59,
Area,0.295991,um^2,Surface,,,,1,60,
Area,15.2914,um^2,Surface,,,,1,61,
Area,1.93321,um^2,Surface,,,,1,62,
Area,1.25689,um^2,Surface,,,,1,63,
Area,2.91724,um^2,Surface,,,,1,64,
Area,3.25879,um^2,Surface,,,,1,65,
Area,0.165625,um^2,Surface,,,,1,66,
Area,0.0564764,um^2,Surface,,,,1,67,
Area,1.6042,um^2,Surface,,,,1,68,
Area,4.99952,um^2,Surface,,,,1,69,
Area,0.306791,um^2,Surface,,,,1,70,
Area,2.36843,um^2,Surface,,,,1,71,
Area,7.88566,um^2,Surface,,,,1,72,
Area,16.0326,um^2,Surface,,,,1,73,
Area,3.863,um^2,Surface,,,,1,74,
Area,0.197948,um^2,Surface,,,,1,75,
Area,1.92302,um^2,Surface,,,,1,76,
Area,0.905548,um^2,Surface,,,,1,77,
Area,1.38719,um^2,Surface,,,,1,78,
Area,1.51555,um^2,Surface,,,,1,79,
Area,0.000246616,um^2,Surface,,,,1,80,
Area,6.81518,um^2,Surface,,,,1,81,
Area,2.8902,um^2,Surface,,,,1,82,
Area,16.0136,um^2,Surface,,,,1,83,
Area,1.30877,um^2,Surface,,,,1,84,
Area,4.33796,um^2,Surface,,,,1,85,
Area,11.0193,um^2,Surface,,,,1,86,
Area,2.94863,um^2,Surface,,,,1,87,
Area,0.716349,um^2,Surface,,,,1,88,
Area,5.2013,um^2,Surface,,,,1,89,
Area,4.78598,um^2,Surface,,,,1,90,
Area,9.75264,um^2,Surface,,,,1,91,
Area,21.7611,um^2,Surface,,,,1,92,
Area,8.62918,um^2,Surface,,,,1,93,
Area,7.85651,um^2,Surface,,,,1,94,
Area,15.7809,um^2,Surface,,,,1,95,
Area,8.66566,um^2,Surface,,,,1,96,
Area,11.4138,um^2,Surface,,,,1,97,
Area,4.17442,um^2,Surface,,,,1,98,
Area,2.11938,um^2,Surface,,,,1,99,
Area,1.34827,um^2,Surface,,,,1,100,
Area,4.44609,um^2,Surface,,,,1,101,
Area,18.5843,um^2,Surface,,,,1,102,
Area,18.8219,um^2,Surface,,,,1,103,
Area,8.85764,um^2,Surface,,,,1,104,
Area,10.2662,um^2,Surface,,,,1,105,
Distance from Origin,192.93,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,186.081,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,182.469,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,198.7,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,189.071,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,184.435,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,190.424,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,197.641,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,196.081,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,195.607,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,205.701,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,195.339,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,205.041,um,Surface,,Distance from Origin,,1,65,
Distance from Origin,181.988,um,Surface,,Distance from Origin,,1,66,
Distance from Origin,180.675,um,Surface,,Distance from Origin,,1,67,
Distance from Origin,192.211,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,195.064,um,Surface,,Distance from Origin,,1,69,
Distance from Origin,191.721,um,Surface,,Distance from Origin,,1,70,
Distance from Origin,196.591,um,Surface,,Distance from Origin,,1,71,
Distance from Origin,185.998,um,Surface,,Distance from Origin,,1,72,
Distance from Origin,184.466,um,Surface,,Distance from Origin,,1,73,
Distance from Origin,182.095,um,Surface,,Distance from Origin,,1,74,
Distance from Origin,174.212,um,Surface,,Distance from Origin,,1,75,
Distance from Origin,182.606,um,Surface,,Distance from Origin,,1,76,
Distance from Origin,177.643,um,Surface,,Distance from Origin,,1,77,
Distance from Origin,165.442,um,Surface,,Distance from Origin,,1,78,
Distance from Origin,188.149,um,Surface,,Distance from Origin,,1,79,
Distance from Origin,158.25,um,Surface,,Distance from Origin,,1,80,
Distance from Origin,180.553,um,Surface,,Distance from Origin,,1,81,
Distance from Origin,180.857,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,177.455,um,Surface,,Distance from Origin,,1,83,
Distance from Origin,168.409,um,Surface,,Distance from Origin,,1,84,
Distance from Origin,165.779,um,Surface,,Distance from Origin,,1,85,
Distance from Origin,166.863,um,Surface,,Distance from Origin,,1,86,
Distance from Origin,165.26,um,Surface,,Distance from Origin,,1,87,
Distance from Origin,167.354,um,Surface,,Distance from Origin,,1,88,
Distance from Origin,173.554,um,Surface,,Distance from Origin,,1,89,
Distance from Origin,158.264,um,Surface,,Distance from Origin,,1,90,
Distance from Origin,151.896,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,174.2,um,Surface,,Distance from Origin,,1,92,
Distance from Origin,170.478,um,Surface,,Distance from Origin,,1,93,
Distance from Origin,155.9,um,Surface,,Distance from Origin,,1,94,
Distance from Origin,147.943,um,Surface,,Distance from Origin,,1,95,
Distance from Origin,157.472,um,Surface,,Distance from Origin,,1,96,
Distance from Origin,159.783,um,Surface,,Distance from Origin,,1,97,
Distance from Origin,132.634,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,130.573,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,169.744,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,165.674,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,160.962,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,165.93,um,Surface,,Distance from Origin,,1,103,
Distance from Origin,163.913,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,167.354,um,Surface,,Distance from Origin,,1,105,
Distance to Image Border XY,32.675,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,24.0767,um,Surface,,,Image 1,1,54,
Distance to Image Border XY,31.2364,um,Surface,,,Image 1,1,55,
Distance to Image Border XY,13.9839,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,23.48,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,31.5,um,Surface,,,Image 1,1,58,
Distance to Image Border XY,32.1,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,14.9,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,31.194,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,30.7325,um,Surface,,,Image 1,1,62,
Distance to Image Border XY,19.2887,um,Surface,,,Image 1,1,63,
Distance to Image Border XY,33.3649,um,Surface,,,Image 1,1,64,
Distance to Image Border XY,23.9681,um,Surface,,,Image 1,1,65,
Distance to Image Border XY,29.1,um,Surface,,,Image 1,1,66,
Distance to Image Border XY,31.1,um,Surface,,,Image 1,1,67,
Distance to Image Border XY,32.0438,um,Surface,,,Image 1,1,68,
Distance to Image Border XY,25.4382,um,Surface,,,Image 1,1,69,
Distance to Image Border XY,31.95,um,Surface,,,Image 1,1,70,
Distance to Image Border XY,23.0949,um,Surface,,,Image 1,1,71,
Distance to Image Border XY,33.0759,um,Surface,,,Image 1,1,72,
Distance to Image Border XY,32.5159,um,Surface,,,Image 1,1,73,
Distance to Image Border XY,33.5228,um,Surface,,,Image 1,1,74,
Distance to Image Border XY,44.127,um,Surface,,,Image 1,1,75,
Distance to Image Border XY,36.254,um,Surface,,,Image 1,1,76,
Distance to Image Border XY,41.7631,um,Surface,,,Image 1,1,77,
