
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,37.7503,um^2,Surface,,,,1,132,
Area,17.3524,um^2,Surface,,,,1,133,
Area,34.5958,um^2,Surface,,,,1,134,
Area,2.82033,um^2,Surface,,,,1,135,
Area,15.7967,um^2,Surface,,,,1,138,
Area,50.2565,um^2,Surface,,,,1,140,
Area,33.0679,um^2,Surface,,,,1,141,
Area,23.2151,um^2,Surface,,,,1,142,
Area,3.42932,um^2,Surface,,,,1,143,
Area,19.4862,um^2,Surface,,,,1,144,
Area,3.20113,um^2,Surface,,,,1,145,
Area,2.31603,um^2,Surface,,,,1,146,
Area,2.10907,um^2,Surface,,,,1,147,
Area,4.06419,um^2,Surface,,,,1,148,
Area,47.5133,um^2,Surface,,,,1,149,
Area,2.87875,um^2,Surface,,,,1,150,
Area,39,um^2,Surface,,,,1,152,
Area,42.194,um^2,Surface,,,,1,153,
Area,73.9109,um^2,Surface,,,,1,154,
Area,8.66937,um^2,Surface,,,,1,155,
Area,8.2512,um^2,Surface,,,,1,156,
Area,92.7627,um^2,Surface,,,,1,157,
Area,9.84661,um^2,Surface,,,,1,158,
Area,3.92555,um^2,Surface,,,,1,159,
Area,10.7302,um^2,Surface,,,,1,161,
Area,24.9179,um^2,Surface,,,,1,162,
Area,2.89723,um^2,Surface,,,,1,163,
Area,12.1678,um^2,Surface,,,,1,164,
Area,22.5443,um^2,Surface,,,,1,165,
Area,30.7056,um^2,Surface,,,,1,166,
Area,30.3617,um^2,Surface,,,,1,167,
Area,21.0933,um^2,Surface,,,,1,168,
Area,10.5072,um^2,Surface,,,,1,169,
Area,2.97559,um^2,Surface,,,,1,170,
Area,24.1455,um^2,Surface,,,,1,171,
Area,24.6387,um^2,Surface,,,,1,172,
Area,8.59956,um^2,Surface,,,,1,173,
Area,4.20228,um^2,Surface,,,,1,174,
Area,23.247,um^2,Surface,,,,1,175,
Area,17.9443,um^2,Surface,,,,1,176,
Area,39.2184,um^2,Surface,,,,1,179,
Area,8.93715,um^2,Surface,,,,1,182,
Area,1856.19,um^2,Surface,,,,1,186,
Area,2.08446,um^2,Surface,,,,1,187,
Area,38.2469,um^2,Surface,,,,1,188,
Area,139.672,um^2,Surface,,,,1,196,
Area,35.0869,um^2,Surface,,,,1,197,
Distance from Origin,199.37,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,210.188,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,217.311,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,209.021,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,221.922,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,206.777,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,205.443,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,201.141,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,202.521,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,195.58,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,199.112,um,Surface,,Distance from Origin,,1,145,
Distance from Origin,190.542,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,190.114,um,Surface,,Distance from Origin,,1,147,
Distance from Origin,194.209,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,181.768,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,190.98,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,170.28,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,164.375,um,Surface,,Distance from Origin,,1,153,
Distance from Origin,199.705,um,Surface,,Distance from Origin,,1,154,
Distance from Origin,191.991,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,190.404,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,196.639,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,183.804,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,184.76,um,Surface,,Distance from Origin,,1,159,
Distance from Origin,168.957,um,Surface,,Distance from Origin,,1,161,
Distance from Origin,164.842,um,Surface,,Distance from Origin,,1,162,
Distance from Origin,198.442,um,Surface,,Distance from Origin,,1,163,
Distance from Origin,196.325,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,193.787,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,186.342,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,192.612,um,Surface,,Distance from Origin,,1,167,
Distance from Origin,183.025,um,Surface,,Distance from Origin,,1,168,
Distance from Origin,188.716,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,173.231,um,Surface,,Distance from Origin,,1,170,
Distance from Origin,178.412,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,175.093,um,Surface,,Distance from Origin,,1,172,
Distance from Origin,157.769,um,Surface,,Distance from Origin,,1,173,
Distance from Origin,159.235,um,Surface,,Distance from Origin,,1,174,
Distance from Origin,167.389,um,Surface,,Distance from Origin,,1,175,
Distance from Origin,159.459,um,Surface,,Distance from Origin,,1,176,
Distance from Origin,150.216,um,Surface,,Distance from Origin,,1,179,
Distance from Origin,159.089,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,166.199,um,Surface,,Distance from Origin,,1,186,
Distance from Origin,127.376,um,Surface,,Distance from Origin,,1,187,
Distance from Origin,121.735,um,Surface,,Distance from Origin,,1,188,
Distance from Origin,139.298,um,Surface,,Distance from Origin,,1,196,
Distance from Origin,139.604,um,Surface,,Distance from Origin,,1,197,
Distance to Image Border XY,27.2497,um,Surface,,,Image 1,1,132,
Distance to Image Border XY,10.4958,um,Surface,,,Image 1,1,133,
Distance to Image Border XY,4.67006,um,Surface,,,Image 1,1,134,
Distance to Image Border XY,14.994,um,Surface,,,Image 1,1,135,
Distance to Image Border XY,3.3096,um,Surface,,,Image 1,1,138,
Distance to Image Border XY,6.08914,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,21.3401,um,Surface,,,Image 1,1,141,
Distance to Image Border XY,17.3473,um,Surface,,,Image 1,1,142,
Distance to Image Border XY,12.184,um,Surface,,,Image 1,1,143,
Distance to Image Border XY,22.9333,um,Surface,,,Image 1,1,144,
Distance to Image Border XY,27.6495,um,Surface,,,Image 1,1,145,
Distance to Image Border XY,34.9043,um,Surface,,,Image 1,1,146,
Distance to Image Border XY,34.1053,um,Surface,,,Image 1,1,147,
Distance to Image Border XY,28.9095,um,Surface,,,Image 1,1,148,
Distance to Image Border XY,38.2647,um,Surface,,,Image 1,1,149,
Distance to Image Border XY,34.2662,um,Surface,,,Image 1,1,150,
Distance to Image Border XY,42.2297,um,Surface,,,Image 1,1,152,
Distance to Image Border XY,42.6214,um,Surface,,,Image 1,1,153,
Distance to Image Border XY,2.74402,um,Surface,,,Image 1,1,154,
Distance to Image Border XY,21.1069,um,Surface,,,Image 1,1,155,
Distance to Image Border XY,19.9576,um,Surface,,,Image 1,1,156,
Distance to Image Border XY,9.81015,um,Surface,,,Image 1,1,157,
Distance to Image Border XY,35.4245,um,Surface,,,Image 1,1,158,
Distance to Image Border XY,35.7753,um,Surface,,,Image 1,1,159,
Distance to Image Border XY,51.7264,um,Surface,,,Image 1,1,161,
Distance to Image Border XY,45.434,um,Surface,,,Image 1,1,162,
Distance to Image Border XY,4.7652,um,Surface,,,Image 1,1,163,
Distance to Image Border XY,4.05545,um,Surface,,,Image 1,1,164,
Distance to Image Border XY,9.13879,um,Surface,,,Image 1,1,165,
Distance to Image Border XY,15.9623,um,Surface,,,Image 1,1,166,
Distance to Image Border XY,7.09108,um,Surface,,,Image 1,1,167,
Distance to Image Border XY,19.7609,um,Surface,,,Image 1,1,168,
Distance to Image Border XY,11.8998,um,Surface,,,Image 1,1,169,
Distance to Image Border XY,34.2321,um,Surface,,,Image 1,1,170,
Distance to Image Border XY,26.2609,um,Surface,,,Image 1,1,171,
Distance to Image Border XY,31.6644,um,Surface,,,Image 1,1,172,
Distance to Image Border XY,56.211,um,Surface,,,Image 1,1,173,
Distance to Image Border XY,51.4076,um,Surface,,,Image 1,1,174,
Distance to Image Border XY,37.4823,um,Surface,,,Image 1,1,175,
Distance to Image Border XY,52.2031,um,Surface,,,Image 1,1,176,
Distance to Image Border XY,58.6849,um,Surface,,,Image 1,1,179,
Distance to Image Border XY,43.8894,um,Surface,,,Image 1,1,182,
Distance to Image Border XY,15.9946,um,Surface,,,Image 1,1,186,
Distance to Image Border XY,57.5427,um,Surface,,,Image 1,1,187,
Distance to Image Border XY,52.258,um,Surface,,,Image 1,1,188,
Distance to Image Border XY,39.4247,um,Surface,,,Image 1,1,196,
Distance to Image Border XY,36.1578,um,Surface,,,Image 1,1,197,
Ellipticity (oblate),0.226565,,Surface,,,,1,132,
Ellipticity (oblate),0.37882,,Surface,,,,1,133,
Ellipticity (oblate),0.198664,,Surface,,,,1,134,
Ellipticity (oblate),0.474944,,Surface,,,,1,135,
Ellipticity (oblate),0.492582,,Surface,,,,1,138,
Ellipticity (oblate),0.526064,,Surface,,,,1,140,
Ellipticity (oblate),0.0617819,,Surface,,,,1,141,
Ellipticity (oblate),0.58527,,Surface,,,,1,142,
Ellipticity (oblate),0.656636,,Surface,,,,1,143,
Ellipticity (oblate),0.302992,,Surface,,,,1,144,
Ellipticity (oblate),0.418435,,Surface,,,,1,145,
Ellipticity (oblate),0.445815,,Surface,,,,1,146,
Ellipticity (oblate),0.340887,,Surface,,,,1,147,
Ellipticity (oblate),0.272919,,Surface,,,,1,148,
Ellipticity (oblate),0.558106,,Surface,,,,1,149,
Ellipticity (oblate),0.60672,,Surface,,,,1,150,
Ellipticity (oblate),0.516825,,Surface,,,,1,152,
Ellipticity (oblate),0.335981,,Surface,,,,1,153,
Ellipticity (oblate),0.103115,,Surface,,,,1,154,
Ellipticity (oblate),0.393219,,Surface,,,,1,155,
Ellipticity (oblate),0.375449,,Surface,,,,1,156,
Ellipticity (oblate),0.102468,,Surface,,,,1,157,
Ellipticity (oblate),0.353628,,Surface,,,,1,158,
Ellipticity (oblate),0.275634,,Surface,,,,1,159,
Ellipticity (oblate),0.43149,,Surface,,,,1,161,
Ellipticity (oblate),0.436217,,Surface,,,,1,162,
Ellipticity (oblate),0.507009,,Surface,,,,1,163,
Ellipticity (oblate),0.599986,,Surface,,,,1,164,
Ellipticity (oblate),0.318519,,Surface,,,,1,165,
Ellipticity (oblate),0.318327,,Surface,,,,1,166,
Ellipticity (oblate),0.499311,,Surface,,,,1,167,
Ellipticity (oblate),0.250044,,Surface,,,,1,168,
Ellipticity (oblate),0.189657,,Surface,,,,1,169,
Ellipticity (oblate),0.335201,,Surface,,,,1,170,
Ellipticity (oblate),0.402785,,Surface,,,,1,171,
Ellipticity (oblate),0.534169,,Surface,,,,1,172,
Ellipticity (oblate),0.588431,,Surface,,,,1,173,
Ellipticity (oblate),0.364599,,Surface,,,,1,174,
Ellipticity (oblate),0.34004,,Surface,,,,1,175,
Ellipticity (oblate),0.521645,,Surface,,,,1,176,
Ellipticity (oblate),0.229216,,Surface,,,,1,179,
Ellipticity (oblate),0.576156,,Surface,,,,1,182,
Ellipticity (oblate),0.258312,,Surface,,,,1,186,
Ellipticity (oblate),0.490454,,Surface,,,,1,187,
Ellipticity (oblate),0.510593,,Surface,,,,1,188,
Ellipticity (oblate),0.239633,,Surface,,,,1,196,
Ellipticity (oblate),0.41836,,Surface,,,,1,197,
Ellipticity (prolate),0.472076,,Surface,,,,1,132,
Ellipticity (prolate),0.462082,,Surface,,,,1,133,
Ellipticity (prolate),0.660723,,Surface,,,,1,134,
Ellipticity (prolate),0.385836,,Surface,,,,1,135,
Ellipticity (prolate),0.2229,,Surface,,,,1,138,
Ellipticity (prolate),0.333234,,Surface,,,,1,140,
Ellipticity (prolate),0.685365,,Surface,,,,1,141,
Ellipticity (prolate),0.278341,,Surface,,,,1,142,
Ellipticity (prolate),0.136846,,Surface,,,,1,143,
Ellipticity (prolate),0.56148,,Surface,,,,1,144,
Ellipticity (prolate),0.444128,,Surface,,,,1,145,
Ellipticity (prolate),0.333336,,Surface,,,,1,146,
Ellipticity (prolate),0.37647,,Surface,,,,1,147,
Ellipticity (prolate),0.672057,,Surface,,,,1,148,
Ellipticity (prolate),0.292827,,Surface,,,,1,149,
Ellipticity (prolate),0.258009,,Surface,,,,1,150,
Ellipticity (prolate),0.252982,,Surface,,,,1,152,
Ellipticity (prolate),0.550633,,Surface,,,,1,153,
Ellipticity (prolate),0.555753,,Surface,,,,1,154,
Ellipticity (prolate),0.445088,,Surface,,,,1,155,
Ellipticity (prolate),0.360699,,Surface,,,,1,156,
Ellipticity (prolate),0.741151,,Surface,,,,1,157,
Ellipticity (prolate),0.508284,,Surface,,,,1,158,
Ellipticity (prolate),0.391458,,Surface,,,,1,159,
Ellipticity (prolate),0.434076,,Surface,,,,1,161,
Ellipticity (prolate),0.255204,,Surface,,,,1,162,
Ellipticity (prolate),0.244693,,Surface,,,,1,163,
Ellipticity (prolate),0.255766,,Surface,,,,1,164,
Ellipticity (prolate),0.502262,,Surface,,,,1,165,
Ellipticity (prolate),0.567807,,Surface,,,,1,166,
Ellipticity (prolate),0.335876,,Surface,,,,1,167,
Ellipticity (prolate),0.611223,,Surface,,,,1,168,
Ellipticity (prolate),0.53287,,Surface,,,,1,169,
Ellipticity (prolate),0.518314,,Surface,,,,1,170,
Ellipticity (prolate),0.450553,,Surface,,,,1,171,
Ellipticity (prolate),0.263784,,Surface,,,,1,172,
Ellipticity (prolate),0.205936,,Surface,,,,1,173,
Ellipticity (prolate),0.489108,,Surface,,,,1,174,
Ellipticity (prolate),0.528255,,Surface,,,,1,175,
Ellipticity (prolate),0.246512,,Surface,,,,1,176,
Ellipticity (prolate),0.779176,,Surface,,,,1,179,
Ellipticity (prolate),0.27021,,Surface,,,,1,182,
Ellipticity (prolate),0.0394165,,Surface,,,,1,186,
Ellipticity (prolate),0.344721,,Surface,,,,1,187,
Ellipticity (prolate),0.299167,,Surface,,,,1,188,
Ellipticity (prolate),0.292581,,Surface,,,,1,196,
Ellipticity (prolate),0.443029,,Surface,,,,1,197,
Generation,0,,Surface,,,,1,132,
Generation,0,,Surface,,,,1,133,
Generation,0,,Surface,,,,1,134,
Generation,0,,Surface,,,,1,135,
Generation,0,,Surface,,,,1,138,
Generation,0,,Surface,,,,1,140,
Generation,0,,Surface,,,,1,141,
Generation,0,,Surface,,,,1,142,
Generation,0,,Surface,,,,1,143,
Generation,0,,Surface,,,,1,144,
Generation,0,,Surface,,,,1,145,
Generation,0,,Surface,,,,1,146,
Generation,0,,Surface,,,,1,147,
Generation,0,,Surface,,,,1,148,
Generation,0,,Surface,,,,1,149,
Generation,0,,Surface,,,,1,150,
Generation,0,,Surface,,,,1,152,
Generation,0,,Surface,,,,1,153,
Generation,0,,Surface,,,,1,154,
Generation,0,,Surface,,,,1,155,
Generation,0,,Surface,,,,1,156,
Generation,0,,Surface,,,,1,157,
Generation,0,,Surface,,,,1,158,
Generation,0,,Surface,,,,1,159,
Generation,0,,Surface,,,,1,161,
Generation,0,,Surface,,,,1,162,
Generation,0,,Surface,,,,1,163,
Generation,0,,Surface,,,,1,164,
Generation,0,,Surface,,,,1,165,
Generation,0,,Surface,,,,1,166,
Generation,0,,Surface,,,,1,167,
Generation,0,,Surface,,,,1,168,
Generation,0,,Surface,,,,1,169,
Generation,0,,Surface,,,,1,170,
Generation,0,,Surface,,,,1,171,
Generation,0,,Surface,,,,1,172,
Generation,0,,Surface,,,,1,173,
Generation,0,,Surface,,,,1,174,
Generation,0,,Surface,,,,1,175,
Generation,0,,Surface,,,,1,176,
Generation,0,,Surface,,,,1,179,
Generation,0,,Surface,,,,1,182,
Generation,0,,Surface,,,,1,186,
Generation,0,,Surface,,,,1,187,
Generation,0,,Surface,,,,1,188,
