
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.46627,um^2,Surface,,,,1,120,
Area,2.23773,um^2,Surface,,,,1,122,
Area,0.392085,um^2,Surface,,,,1,124,
Area,5.42193,um^2,Surface,,,,1,126,
Area,9.35445,um^2,Surface,,,,1,131,
Area,4.93873,um^2,Surface,,,,1,133,
Area,2.74277,um^2,Surface,,,,1,138,
Area,5.24871,um^2,Surface,,,,1,139,
Area,2.80707,um^2,Surface,,,,1,140,
Area,2.01878,um^2,Surface,,,,1,141,
Area,0.808997,um^2,Surface,,,,1,143,
Area,3.583,um^2,Surface,,,,1,144,
Area,4.89623,um^2,Surface,,,,1,148,
Area,10.1527,um^2,Surface,,,,1,149,
Area,0.552123,um^2,Surface,,,,1,150,
Area,1.68596,um^2,Surface,,,,1,155,
Area,1.49681,um^2,Surface,,,,1,165,
Area,32.2629,um^2,Surface,,,,1,171,
Area,5.8421,um^2,Surface,,,,1,180,
Area,0.607923,um^2,Surface,,,,1,182,
Area,1.90079,um^2,Surface,,,,1,184,
Area,4.64486,um^2,Surface,,,,1,186,
Area,5.55914,um^2,Surface,,,,1,187,
Area,0.82402,um^2,Surface,,,,1,188,
Area,0.637657,um^2,Surface,,,,1,189,
Area,11.5394,um^2,Surface,,,,1,190,
Area,3.95975,um^2,Surface,,,,1,196,
Area,1.95325,um^2,Surface,,,,1,203,
Area,1.89156,um^2,Surface,,,,1,210,
Area,6.77694,um^2,Surface,,,,1,211,
Area,12.552,um^2,Surface,,,,1,221,
Area,3.12435,um^2,Surface,,,,1,222,
Area,10.3725,um^2,Surface,,,,1,224,
Area,7.20167,um^2,Surface,,,,1,225,
Area,10.3358,um^2,Surface,,,,1,236,
Area,28.0899,um^2,Surface,,,,1,238,
Area,0.612702,um^2,Surface,,,,1,243,
Area,7.65733,um^2,Surface,,,,1,249,
Area,63.618,um^2,Surface,,,,1,250,
Area,7.23939,um^2,Surface,,,,1,252,
Area,28.7762,um^2,Surface,,,,1,257,
Area,10.8014,um^2,Surface,,,,1,260,
Area,10.4766,um^2,Surface,,,,1,263,
Area,0.828597,um^2,Surface,,,,1,264,
Area,64.3138,um^2,Surface,,,,1,265,
Area,0.525021,um^2,Surface,,,,1,267,
Area,11.9705,um^2,Surface,,,,1,276,
Area,10.0547,um^2,Surface,,,,1,278,
Distance from Origin,193.672,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,186.345,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,164.896,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,170.715,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,184.355,um,Surface,,Distance from Origin,,1,131,
Distance from Origin,185.345,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,198.658,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,191.377,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,197.447,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,199.588,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,167.663,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,183.101,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,195.135,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,196.154,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,195.235,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,182.35,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,150.532,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,140.142,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,199.097,um,Surface,,Distance from Origin,,1,180,
Distance from Origin,178.19,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,165.472,um,Surface,,Distance from Origin,,1,184,
Distance from Origin,165.538,um,Surface,,Distance from Origin,,1,186,
Distance from Origin,168.233,um,Surface,,Distance from Origin,,1,187,
Distance from Origin,165.575,um,Surface,,Distance from Origin,,1,188,
Distance from Origin,164.92,um,Surface,,Distance from Origin,,1,189,
Distance from Origin,192.611,um,Surface,,Distance from Origin,,1,190,
Distance from Origin,173.041,um,Surface,,Distance from Origin,,1,196,
Distance from Origin,159.365,um,Surface,,Distance from Origin,,1,203,
Distance from Origin,150.009,um,Surface,,Distance from Origin,,1,210,
Distance from Origin,148.043,um,Surface,,Distance from Origin,,1,211,
Distance from Origin,138.8,um,Surface,,Distance from Origin,,1,221,
Distance from Origin,135.371,um,Surface,,Distance from Origin,,1,222,
Distance from Origin,138.689,um,Surface,,Distance from Origin,,1,224,
Distance from Origin,137.562,um,Surface,,Distance from Origin,,1,225,
Distance from Origin,179.779,um,Surface,,Distance from Origin,,1,236,
Distance from Origin,175.804,um,Surface,,Distance from Origin,,1,238,
Distance from Origin,165.076,um,Surface,,Distance from Origin,,1,243,
Distance from Origin,166.651,um,Surface,,Distance from Origin,,1,249,
Distance from Origin,168.123,um,Surface,,Distance from Origin,,1,250,
Distance from Origin,167.461,um,Surface,,Distance from Origin,,1,252,
Distance from Origin,158.702,um,Surface,,Distance from Origin,,1,257,
Distance from Origin,164.738,um,Surface,,Distance from Origin,,1,260,
Distance from Origin,158.423,um,Surface,,Distance from Origin,,1,263,
Distance from Origin,160.114,um,Surface,,Distance from Origin,,1,264,
Distance from Origin,162.875,um,Surface,,Distance from Origin,,1,265,
Distance from Origin,161.072,um,Surface,,Distance from Origin,,1,267,
Distance from Origin,131.389,um,Surface,,Distance from Origin,,1,276,
Distance from Origin,133.519,um,Surface,,Distance from Origin,,1,278,
Distance to Image Border XY,9.91035,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,17.7506,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,55.7625,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,45.806,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,24.6755,um,Surface,,,Image 1,1,131,
Distance to Image Border XY,33.4778,um,Surface,,,Image 1,1,133,
Distance to Image Border XY,8.63451,um,Surface,,,Image 1,1,138,
Distance to Image Border XY,19.9813,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,14.6794,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,13.3123,um,Surface,,,Image 1,1,141,
Distance to Image Border XY,47.2289,um,Surface,,,Image 1,1,143,
Distance to Image Border XY,35.0525,um,Surface,,,Image 1,1,144,
Distance to Image Border XY,33.0508,um,Surface,,,Image 1,1,148,
Distance to Image Border XY,29.9263,um,Surface,,,Image 1,1,149,
Distance to Image Border XY,34.1231,um,Surface,,,Image 1,1,150,
Distance to Image Border XY,39.658,um,Surface,,,Image 1,1,155,
Distance to Image Border XY,60.3135,um,Surface,,,Image 1,1,165,
Distance to Image Border XY,51.2892,um,Surface,,,Image 1,1,171,
Distance to Image Border XY,9.71822,um,Surface,,,Image 1,1,180,
Distance to Image Border XY,32.9412,um,Surface,,,Image 1,1,182,
Distance to Image Border XY,52.9129,um,Surface,,,Image 1,1,184,
Distance to Image Border XY,53.6415,um,Surface,,,Image 1,1,186,
Distance to Image Border XY,49.6808,um,Surface,,,Image 1,1,187,
Distance to Image Border XY,54.3489,um,Surface,,,Image 1,1,188,
Distance to Image Border XY,55.7767,um,Surface,,,Image 1,1,189,
Distance to Image Border XY,7.9821,um,Surface,,,Image 1,1,190,
Distance to Image Border XY,36.5558,um,Surface,,,Image 1,1,196,
Distance to Image Border XY,53.1395,um,Surface,,,Image 1,1,203,
Distance to Image Border XY,49.7826,um,Surface,,,Image 1,1,210,
Distance to Image Border XY,53.6985,um,Surface,,,Image 1,1,211,
Distance to Image Border XY,44.2565,um,Surface,,,Image 1,1,221,
Distance to Image Border XY,50.314,um,Surface,,,Image 1,1,222,
Distance to Image Border XY,39.8546,um,Surface,,,Image 1,1,224,
Distance to Image Border XY,42.0202,um,Surface,,,Image 1,1,225,
Distance to Image Border XY,18.5706,um,Surface,,,Image 1,1,236,
Distance to Image Border XY,31.9508,um,Surface,,,Image 1,1,238,
Distance to Image Border XY,46.8764,um,Surface,,,Image 1,1,243,
Distance to Image Border XY,48.1894,um,Surface,,,Image 1,1,249,
Distance to Image Border XY,37.8511,um,Surface,,,Image 1,1,250,
Distance to Image Border XY,36.7811,um,Surface,,,Image 1,1,252,
Distance to Image Border XY,48.7811,um,Surface,,,Image 1,1,257,
Distance to Image Border XY,44.5557,um,Surface,,,Image 1,1,260,
Distance to Image Border XY,50.1763,um,Surface,,,Image 1,1,263,
Distance to Image Border XY,49.5488,um,Surface,,,Image 1,1,264,
Distance to Image Border XY,45.4349,um,Surface,,,Image 1,1,265,
Distance to Image Border XY,49.5318,um,Surface,,,Image 1,1,267,
Distance to Image Border XY,55.2461,um,Surface,,,Image 1,1,276,
Distance to Image Border XY,51.7597,um,Surface,,,Image 1,1,278,
Ellipticity (oblate),0.785581,,Surface,,,,1,120,
Ellipticity (oblate),0.216022,,Surface,,,,1,122,
Ellipticity (oblate),0.27183,,Surface,,,,1,124,
Ellipticity (oblate),0.0882268,,Surface,,,,1,126,
Ellipticity (oblate),0.160164,,Surface,,,,1,131,
Ellipticity (oblate),0.658835,,Surface,,,,1,133,
Ellipticity (oblate),0.738481,,Surface,,,,1,138,
Ellipticity (oblate),0.604656,,Surface,,,,1,139,
Ellipticity (oblate),0.24204,,Surface,,,,1,140,
Ellipticity (oblate),0.22784,,Surface,,,,1,141,
Ellipticity (oblate),0.227305,,Surface,,,,1,143,
Ellipticity (oblate),0.670963,,Surface,,,,1,144,
Ellipticity (oblate),0.227674,,Surface,,,,1,148,
Ellipticity (oblate),0.484153,,Surface,,,,1,149,
Ellipticity (oblate),0.272085,,Surface,,,,1,150,
Ellipticity (oblate),0.261869,,Surface,,,,1,155,
Ellipticity (oblate),0.250971,,Surface,,,,1,165,
Ellipticity (oblate),0.0230691,,Surface,,,,1,171,
Ellipticity (oblate),0.581276,,Surface,,,,1,180,
Ellipticity (oblate),0.264997,,Surface,,,,1,182,
Ellipticity (oblate),0.309601,,Surface,,,,1,184,
Ellipticity (oblate),0.595985,,Surface,,,,1,186,
Ellipticity (oblate),0.676151,,Surface,,,,1,187,
Ellipticity (oblate),0.328337,,Surface,,,,1,188,
Ellipticity (oblate),0.318167,,Surface,,,,1,189,
Ellipticity (oblate),0.363343,,Surface,,,,1,190,
Ellipticity (oblate),0.473564,,Surface,,,,1,196,
