
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0610235,um^2,Surface,,,,1,0,
Area,5.09639,um^2,Surface,,,,1,1,
Area,0.82132,um^2,Surface,,,,1,2,
Area,0.119549,um^2,Surface,,,,1,3,
Area,0.223576,um^2,Surface,,,,1,4,
Area,23.3004,um^2,Surface,,,,1,5,
Area,1.039,um^2,Surface,,,,1,6,
Area,0.0602295,um^2,Surface,,,,1,7,
Area,0.149637,um^2,Surface,,,,1,8,
Area,0.0292323,um^2,Surface,,,,1,9,
Area,2.41181,um^2,Surface,,,,1,10,
Area,0.62512,um^2,Surface,,,,1,11,
Area,2.76671,um^2,Surface,,,,1,12,
Area,3.1169,um^2,Surface,,,,1,13,
Area,1.42177,um^2,Surface,,,,1,14,
Area,2.68814,um^2,Surface,,,,1,15,
Area,2.48968,um^2,Surface,,,,1,16,
Area,0.212763,um^2,Surface,,,,1,17,
Area,0.130855,um^2,Surface,,,,1,18,
Area,0.00224406,um^2,Surface,,,,1,19,
Area,0.157879,um^2,Surface,,,,1,20,
Area,1.08648,um^2,Surface,,,,1,21,
Area,0.0550024,um^2,Surface,,,,1,22,
Area,8.11067,um^2,Surface,,,,1,23,
Area,28.2113,um^2,Surface,,,,1,24,
Area,0.18684,um^2,Surface,,,,1,25,
Area,0.123585,um^2,Surface,,,,1,26,
Area,0.0292307,um^2,Surface,,,,1,27,
Area,0.870829,um^2,Surface,,,,1,28,
Area,6.30622,um^2,Surface,,,,1,29,
Area,0.087568,um^2,Surface,,,,1,30,
Area,8.99903,um^2,Surface,,,,1,31,
Area,9.00091,um^2,Surface,,,,1,32,
Area,0.0458912,um^2,Surface,,,,1,33,
Area,0.00227546,um^2,Surface,,,,1,34,
Area,0.0600748,um^2,Surface,,,,1,35,
Area,0.0991325,um^2,Surface,,,,1,36,
Area,0.201888,um^2,Surface,,,,1,37,
Area,1.09315,um^2,Surface,,,,1,38,
Area,0.208223,um^2,Surface,,,,1,39,
Area,2.40561,um^2,Surface,,,,1,40,
Area,0.0550024,um^2,Surface,,,,1,41,
Area,0.237043,um^2,Surface,,,,1,42,
Area,4.73392,um^2,Surface,,,,1,43,
Area,0.0550024,um^2,Surface,,,,1,44,
Area,0.0292307,um^2,Surface,,,,1,45,
Area,2.48477,um^2,Surface,,,,1,46,
Area,0.103338,um^2,Surface,,,,1,47,
Area,7.65479,um^2,Surface,,,,1,48,
Area,0.0599053,um^2,Surface,,,,1,49,
Area,26.5651,um^2,Surface,,,,1,50,
Area,2.27767,um^2,Surface,,,,1,51,
Area,9.81843,um^2,Surface,,,,1,52,
Area,1.56914,um^2,Surface,,,,1,53,
Area,0.0550024,um^2,Surface,,,,1,54,
Area,0.189558,um^2,Surface,,,,1,55,
Area,0.0292307,um^2,Surface,,,,1,56,
Area,0.0550055,um^2,Surface,,,,1,57,
Area,27.2898,um^2,Surface,,,,1,58,
Area,4.38233,um^2,Surface,,,,1,59,
Contact surface area,0.15877,um,Surface,,,,,0,
Contact surface area,2.89566,um,Surface,,,,,1,
Contact surface area,0.0453628,um,Surface,,,,,2,
Contact surface area,0.241935,um,Surface,,,,,3,
Contact surface area,0.0453628,um,Surface,,,,,4,
Contact surface area,0.0226814,um,Surface,,,,,5,
Contact surface area,1.61794,um,Surface,,,,,6,
Contact surface area,0.0453628,um,Surface,,,,,7,
Contact surface area,0.136089,um,Surface,,,,,8,
Contact surface area,0.0226814,um,Surface,,,,,9,
Contact surface area,0.0453628,um,Surface,,,,,10,
Contact surface area,4.92943,um,Surface,,,,,11,
Contact surface area,0.0907257,um,Surface,,,,,12,
Contact surface area,0.0302419,um,Surface,,,,,13,
Contact surface area,0.00756047,um,Surface,,,,,14,
Contact surface area,0.0453628,um,Surface,,,,,15,
Contact surface area,0.0756047,um,Surface,,,,,16,
Contact surface area,0.143649,um,Surface,,,,,17,
Contact surface area,1.10383,um,Surface,,,,,18,
Contact surface area,0.0453628,um,Surface,,,,,19,
Contact surface area,2.40423,um,Surface,,,,,20,
Contact surface area,11.3558,um,Surface,,,,,21,
Contact surface area,33.3644,um,Surface,,,,,22,
Contact surface area,0.0756047,um,Surface,,,,,23,
Contact surface area,11.1063,um,Surface,,,,,24,
Contact surface area,1.18699,um,Surface,,,,,25,
Contact surface area,0.0453628,um,Surface,,,,,26,
Contact surface area,0.0226814,um,Surface,,,,,27,
Contact surface area,0.79385,um,Surface,,,,,28,
Contact surface area,7.46219,um,Surface,,,,,29,
Contact surface area,5.51915,um,Surface,,,,,30,
Contact surface area,2.97883,um,Surface,,,,,31,
Contact surface area,0.0680443,um,Surface,,,,,32,
Contact surface area,9.32963,um,Surface,,,,,33,
Contact surface area,32.4722,um,Surface,,,,,34,
Contact surface area,0.0453628,um,Surface,,,,,35,
Contact surface area,0.15877,um,Surface,,,,,36,
Contact surface area,9.9269,um,Surface,,,,,37,
Contact surface area,0.113407,um,Surface,,,,,38,
Contact surface area,9.42791,um,Surface,,,,,39,
Contact surface area,0.665322,um,Surface,,,,,40,
Contact surface area,0.113407,um,Surface,,,,,41,
Contact surface area,0.181451,um,Surface,,,,,42,
Contact surface area,1.15675,um,Surface,,,,,43,
Contact surface area,0.0453628,um,Surface,,,,,44,
Contact surface area,34.5362,um,Surface,,,,,45,
Contact surface area,6.0257,um,Surface,,,,,46,
Contact surface area,0.0226814,um,Surface,,,,,47,
Contact surface area,28.9188,um,Surface,,,,,48,
Contact surface area,2.41179,um,Surface,,,,,49,
Contact surface area,0.498991,um,Surface,,,,,50,
Contact surface area,2.99395,um,Surface,,,,,51,
Contact surface area,1.51966,um,Surface,,,,,52,
Contact surface area,3.11492,um,Surface,,,,,53,
Contact surface area,3.56854,um,Surface,,,,,54,
Contact surface area,0.113407,um,Surface,,,,,55,
Contact surface area,0.00756047,um,Surface,,,,,56,
Contact surface area,2.88054,um,Surface,,,,,57,
Contact surface area,0.136089,um,Surface,,,,,58,
Contact surface area,0.143649,um,Surface,,,,,59,
Distance from Origin,172.089,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,165.653,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,173.31,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,173.04,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,175.462,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,177.522,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,178.088,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,176.777,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,168.401,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,166.36,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,180.478,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,180.572,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,195.317,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,196.074,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,185.973,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,185.71,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,184.747,um,Surface,,Distance from Origin,,1,16,
Distance from Origin,197.659,um,Surface,,Distance from Origin,,1,17,
Distance from Origin,195.911,um,Surface,,Distance from Origin,,1,18,
Distance from Origin,195.269,um,Surface,,Distance from Origin,,1,19,
Distance from Origin,195.073,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,160.612,um,Surface,,Distance from Origin,,1,21,
Distance from Origin,159.332,um,Surface,,Distance from Origin,,1,22,
Distance from Origin,166.681,um,Surface,,Distance from Origin,,1,23,
Distance from Origin,174.12,um,Surface,,Distance from Origin,,1,24,
Distance from Origin,164.977,um,Surface,,Distance from Origin,,1,25,
Distance from Origin,170.518,um,Surface,,Distance from Origin,,1,26,
Distance from Origin,158.843,um,Surface,,Distance from Origin,,1,27,
Distance from Origin,159.114,um,Surface,,Distance from Origin,,1,28,
Distance from Origin,156.051,um,Surface,,Distance from Origin,,1,29,
Distance from Origin,147.754,um,Surface,,Distance from Origin,,1,30,
Distance from Origin,148.067,um,Surface,,Distance from Origin,,1,31,
Distance from Origin,170.364,um,Surface,,Distance from Origin,,1,32,
Distance from Origin,165.416,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,165.192,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,165.97,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,165.639,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,165.195,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,164.598,um,Surface,,Distance from Origin,,1,38,
Distance from Origin,161.632,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,164.11,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,163.525,um,Surface,,Distance from Origin,,1,41,
Distance from Origin,163.021,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,159.422,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,163.462,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,163.107,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,157.1,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,158.135,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,157.541,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,165.846,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,165.954,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,165.613,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,167.302,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,164.065,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,163.393,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,163.968,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,163.744,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,163.532,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,161.068,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,163.738,um,Surface,,Distance from Origin,,1,59,
Distance to Image Border XY,37.8672,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,54.1528,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,37.1498,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,36.8151,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,35.0847,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,32.4607,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,32.9351,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,34.2152,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,49.6892,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,49.6925,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,29.5256,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,29.2972,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,33.4692,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,31.4247,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,24.5946,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,33.5042,um,Surface,,,Image 1,1,15,
Distance to Image Border XY,33.6265,um,Surface,,,Image 1,1,16,
Distance to Image Border XY,14.9991,um,Surface,,,Image 1,1,17,
Distance to Image Border XY,30.9806,um,Surface,,,Image 1,1,18,
Distance to Image Border XY,34.0413,um,Surface,,,Image 1,1,19,
Distance to Image Border XY,33.7965,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,49.3405,um,Surface,,,Image 1,1,21,
