
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,13.384,um^2,Dendrite,,1,,1,,1,,100000001,510000000002,
Dendrite Area,5.57684,um^2,Dendrite,,2,,1,,1,,100000001,510000000016,
Dendrite Area,12.3781,um^2,Dendrite,,3,,1,,1,,100000001,510000000023,
Dendrite Area,8.73305,um^2,Dendrite,,4,,2,,1,,100000001,510000000048,
Dendrite Area,77.8956,um^2,Dendrite,,5,,2,,1,,100000001,510000000069,
Dendrite Area,0.746302,um^2,Dendrite,,6,,3,,1,,100000001,510000000205,
Dendrite Area,35.1747,um^2,Dendrite,,7,,3,,1,,100000001,510000000207,
Dendrite Area,45.0257,um^2,Dendrite,,8,,4,,1,,100000001,510000000288,
Dendrite Area,27.6289,um^2,Dendrite,,2,,2,,1,,100000001,510000000387,
Dendrite Area,5.72831,um^2,Dendrite,,3,,2,,1,,100000001,510000000424,
Dendrite Area,4.51547,um^2,Dendrite,,4,,2,,1,,100000001,510000000434,
Dendrite Area,4.29775,um^2,Dendrite,,5,,2,,1,,100000001,510000000441,
Dendrite Area,15.7645,um^2,Dendrite,,6,,2,,1,,100000001,510000000447,
Dendrite Area,1.39079,um^2,Dendrite,,7,,3,,1,,100000001,510000000472,
Dendrite Area,1.97,um^2,Dendrite,,8,,4,,1,,100000001,510000000476,
Dendrite Area,13.2048,um^2,Dendrite,,9,,5,,1,,100000001,510000000481,
Dendrite Area,30.8009,um^2,Dendrite,,10,,6,,1,,100000001,510000000511,
Dendrite Area,1.46354,um^2,Dendrite,,11,,6,,1,,100000001,510000000579,
Dendrite Area,19.8297,um^2,Dendrite,,12,,6,,1,,100000001,510000000582,
Dendrite Area,3.17315,um^2,Dendrite,,13,,7,,1,,100000001,510000000625,
Dendrite Area,19.1168,um^2,Dendrite,,11,,6,,1,,100000001,510000000634,
Dendrite Area,3.14652,um^2,Dendrite,,12,,6,,1,,100000001,510000000684,
Dendrite Area,10.8089,um^2,Dendrite,,13,,7,,1,,100000001,510000000692,
Dendrite Area,0.607456,um^2,Dendrite,,14,,8,,1,,100000001,510000000721,
Dendrite Area,9.28569,um^2,Dendrite,,8,,3,,1,,100000001,510000000723,
Dendrite Area,8.47111,um^2,Dendrite,,9,,3,,1,,100000001,510000000743,
Dendrite Area,7.03498,um^2,Dendrite,,10,,3,,1,,100000001,510000000762,
Dendrite Area,22.426,um^2,Dendrite,,11,,3,,1,,100000001,510000000774,
Dendrite Area,3.40566,um^2,Dendrite,,12,,3,,1,,100000001,510000000814,
