
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.72971,um^2,Surface,,,,1,116,
Area,0.679093,um^2,Surface,,,,1,117,
Area,0.0117163,um^2,Surface,,,,1,118,
Area,0.61561,um^2,Surface,,,,1,119,
Area,0.762641,um^2,Surface,,,,1,120,
Area,0.251456,um^2,Surface,,,,1,121,
Area,12.8705,um^2,Surface,,,,1,122,
Area,11.8889,um^2,Surface,,,,1,123,
Area,15.289,um^2,Surface,,,,1,124,
Area,17.1187,um^2,Surface,,,,1,125,
Area,2.25694,um^2,Surface,,,,1,126,
Area,9.08108,um^2,Surface,,,,1,127,
Area,2.95315,um^2,Surface,,,,1,128,
Area,1.35461,um^2,Surface,,,,1,129,
Area,0.892304,um^2,Surface,,,,1,130,
Area,0.0743758,um^2,Surface,,,,1,131,
Area,3.83981,um^2,Surface,,,,1,132,
Area,10.4707,um^2,Surface,,,,1,133,
Area,13.9683,um^2,Surface,,,,1,134,
Area,5.23778,um^2,Surface,,,,1,135,
Area,5.3885,um^2,Surface,,,,1,136,
Area,4.4062,um^2,Surface,,,,1,137,
Area,2.13055,um^2,Surface,,,,1,138,
Area,0.00391179,um^2,Surface,,,,1,139,
Area,10.0806,um^2,Surface,,,,1,140,
Area,4.19351,um^2,Surface,,,,1,141,
Area,1.38965,um^2,Surface,,,,1,142,
Area,3.35634,um^2,Surface,,,,1,143,
Area,8.21941,um^2,Surface,,,,1,144,
Area,4.34742,um^2,Surface,,,,1,145,
Area,1.55405,um^2,Surface,,,,1,146,
Area,9.65613,um^2,Surface,,,,1,147,
Area,5.40736,um^2,Surface,,,,1,148,
Area,3.59826,um^2,Surface,,,,1,149,
Area,0.564573,um^2,Surface,,,,1,150,
Area,0.820768,um^2,Surface,,,,1,151,
Area,0.0640292,um^2,Surface,,,,1,152,
Area,4.14481,um^2,Surface,,,,1,153,
Area,6.92559,um^2,Surface,,,,1,154,
Area,0.107056,um^2,Surface,,,,1,155,
Area,0.202577,um^2,Surface,,,,1,156,
Area,2.8917,um^2,Surface,,,,1,157,
Area,2.03652,um^2,Surface,,,,1,158,
Area,2.7366,um^2,Surface,,,,1,159,
Area,1.08897,um^2,Surface,,,,1,160,
Area,6.92028,um^2,Surface,,,,1,161,
Area,1.06817,um^2,Surface,,,,1,162,
Area,1.28802,um^2,Surface,,,,1,163,
Area,4.6586,um^2,Surface,,,,1,164,
Area,7.96002,um^2,Surface,,,,1,165,
Area,5.14168,um^2,Surface,,,,1,166,
Area,0.0455454,um^2,Surface,,,,1,167,
Area,0.0503043,um^2,Surface,,,,1,168,
Area,0.0534232,um^2,Surface,,,,1,169,
Area,7.62093,um^2,Surface,,,,1,170,
Area,0.0497613,um^2,Surface,,,,1,171,
Area,22.9504,um^2,Surface,,,,1,172,
Area,9.58443,um^2,Surface,,,,1,173,
Area,1.03605,um^2,Surface,,,,1,174,
Area,0.841352,um^2,Surface,,,,1,175,
Area,2.1129,um^2,Surface,,,,1,176,
Area,0.445688,um^2,Surface,,,,1,177,
Area,55.0775,um^2,Surface,,,,1,178,
Area,1.68786,um^2,Surface,,,,1,179,
Area,1.02835,um^2,Surface,,,,1,180,
Area,0.591562,um^2,Surface,,,,1,181,
Area,0.440678,um^2,Surface,,,,1,182,
Area,5.12979,um^2,Surface,,,,1,183,
Area,6.42596,um^2,Surface,,,,1,184,
Area,0.256707,um^2,Surface,,,,1,185,
Area,0.845488,um^2,Surface,,,,1,186,
Area,0.189894,um^2,Surface,,,,1,187,
Area,4.68795,um^2,Surface,,,,1,188,
Area,0.905177,um^2,Surface,,,,1,189,
Area,10.0649,um^2,Surface,,,,1,190,
Area,7.41045,um^2,Surface,,,,1,191,
Area,0.111465,um^2,Surface,,,,1,192,
Area,24.2959,um^2,Surface,,,,1,193,
Area,3.61755,um^2,Surface,,,,1,194,
Area,1.54776,um^2,Surface,,,,1,195,
Area,34.3062,um^2,Surface,,,,1,196,
Area,0.115071,um^2,Surface,,,,1,197,
Area,5.56349,um^2,Surface,,,,1,198,
Area,6.20895,um^2,Surface,,,,1,199,
Area,9.4215,um^2,Surface,,,,1,200,
Area,1.29421,um^2,Surface,,,,1,201,
Area,13.4921,um^2,Surface,,,,1,202,
Area,1.05797,um^2,Surface,,,,1,203,
Area,0.0379274,um^2,Surface,,,,1,204,
Area,0.132057,um^2,Surface,,,,1,205,
Area,0.29239,um^2,Surface,,,,1,206,
Area,8.67385,um^2,Surface,,,,1,207,
Area,0.00820298,um^2,Surface,,,,1,208,
Area,6.44079,um^2,Surface,,,,1,209,
Area,7.56816,um^2,Surface,,,,1,210,
Area,4.64674,um^2,Surface,,,,1,211,
Area,0.582015,um^2,Surface,,,,1,212,
Area,0.795329,um^2,Surface,,,,1,213,
Area,5.15588,um^2,Surface,,,,1,214,
Area,1.0229,um^2,Surface,,,,1,215,
Area,0.320426,um^2,Surface,,,,1,216,
Area,3.76707,um^2,Surface,,,,1,217,
Area,4.15165,um^2,Surface,,,,1,218,
Area,2.18502,um^2,Surface,,,,1,219,
Area,0.3703,um^2,Surface,,,,1,220,
Area,6.54304,um^2,Surface,,,,1,221,
Area,4.91904,um^2,Surface,,,,1,222,
Area,0.273003,um^2,Surface,,,,1,223,
Area,1.89366,um^2,Surface,,,,1,224,
Area,0.38377,um^2,Surface,,,,1,225,
Area,4.37938,um^2,Surface,,,,1,226,
Area,3.64276,um^2,Surface,,,,1,227,
Area,2.96597,um^2,Surface,,,,1,228,
Area,5.70801,um^2,Surface,,,,1,229,
Area,1.68706,um^2,Surface,,,,1,230,
Area,27.8829,um^2,Surface,,,,1,231,
Distance from Origin,117.657,um,Surface,,Distance from Origin,,1,116,
Distance from Origin,117.871,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,116.686,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,113.847,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,135.262,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,136.253,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,135.463,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,137.978,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,146.039,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,144.481,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,150.271,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,142.91,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,145.219,um,Surface,,Distance from Origin,,1,128,
Distance from Origin,124.177,um,Surface,,Distance from Origin,,1,129,
Distance from Origin,133.314,um,Surface,,Distance from Origin,,1,130,
Distance from Origin,133.022,um,Surface,,Distance from Origin,,1,131,
Distance from Origin,137.914,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,137.487,um,Surface,,Distance from Origin,,1,133,
Distance from Origin,142.59,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,151.327,um,Surface,,Distance from Origin,,1,135,
Distance from Origin,148.905,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,139.367,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,148.955,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,172.013,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,174.306,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,164.081,um,Surface,,Distance from Origin,,1,141,
Distance from Origin,179.063,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,172.161,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,181.328,um,Surface,,Distance from Origin,,1,144,
Distance from Origin,190.089,um,Surface,,Distance from Origin,,1,145,
Distance from Origin,133.815,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,133.328,um,Surface,,Distance from Origin,,1,147,
Distance from Origin,136.141,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,134.628,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,136.164,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,132.852,um,Surface,,Distance from Origin,,1,151,
Distance from Origin,161.913,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,210.152,um,Surface,,Distance from Origin,,1,153,
Distance from Origin,191.443,um,Surface,,Distance from Origin,,1,154,
Distance from Origin,115.8,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,178.961,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,179.818,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,183.877,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,184.438,um,Surface,,Distance from Origin,,1,159,
Distance from Origin,169.819,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,171.119,um,Surface,,Distance from Origin,,1,161,
Distance from Origin,170.768,um,Surface,,Distance from Origin,,1,162,
Distance from Origin,165.722,um,Surface,,Distance from Origin,,1,163,
Distance from Origin,167.888,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,163.648,um,Surface,,Distance from Origin,,1,165,
Distance from Origin,167.381,um,Surface,,Distance from Origin,,1,166,
Distance from Origin,155.931,um,Surface,,Distance from Origin,,1,167,
Distance from Origin,166.114,um,Surface,,Distance from Origin,,1,168,
Distance from Origin,164.247,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,159.446,um,Surface,,Distance from Origin,,1,170,
Distance from Origin,163.373,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,165.088,um,Surface,,Distance from Origin,,1,172,
Distance from Origin,164.252,um,Surface,,Distance from Origin,,1,173,
Distance from Origin,152.276,um,Surface,,Distance from Origin,,1,174,
Distance from Origin,148.374,um,Surface,,Distance from Origin,,1,175,
Distance from Origin,146.263,um,Surface,,Distance from Origin,,1,176,
Distance from Origin,149.236,um,Surface,,Distance from Origin,,1,177,
Distance from Origin,156.804,um,Surface,,Distance from Origin,,1,178,
Distance from Origin,131.177,um,Surface,,Distance from Origin,,1,179,
Distance from Origin,147.131,um,Surface,,Distance from Origin,,1,180,
Distance from Origin,151.332,um,Surface,,Distance from Origin,,1,181,
Distance from Origin,146.401,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,147.038,um,Surface,,Distance from Origin,,1,183,
Distance from Origin,145.896,um,Surface,,Distance from Origin,,1,184,
Distance from Origin,148.811,um,Surface,,Distance from Origin,,1,185,
Distance from Origin,133.587,um,Surface,,Distance from Origin,,1,186,
Distance from Origin,129.375,um,Surface,,Distance from Origin,,1,187,
Distance from Origin,136.701,um,Surface,,Distance from Origin,,1,188,
Distance from Origin,148.503,um,Surface,,Distance from Origin,,1,189,
Distance from Origin,143.508,um,Surface,,Distance from Origin,,1,190,
Distance from Origin,145.801,um,Surface,,Distance from Origin,,1,191,
Distance from Origin,137.239,um,Surface,,Distance from Origin,,1,192,
Distance from Origin,138.002,um,Surface,,Distance from Origin,,1,193,
Distance from Origin,135.22,um,Surface,,Distance from Origin,,1,194,
Distance from Origin,136.292,um,Surface,,Distance from Origin,,1,195,
Distance from Origin,137.643,um,Surface,,Distance from Origin,,1,196,
Distance from Origin,126.029,um,Surface,,Distance from Origin,,1,197,
Distance from Origin,125.415,um,Surface,,Distance from Origin,,1,198,
Distance from Origin,136.433,um,Surface,,Distance from Origin,,1,199,
Distance from Origin,133.909,um,Surface,,Distance from Origin,,1,200,
Distance from Origin,121.144,um,Surface,,Distance from Origin,,1,201,
Distance from Origin,129.048,um,Surface,,Distance from Origin,,1,202,
Distance from Origin,132.017,um,Surface,,Distance from Origin,,1,203,
Distance from Origin,121.247,um,Surface,,Distance from Origin,,1,204,
Distance from Origin,125.708,um,Surface,,Distance from Origin,,1,205,
Distance from Origin,119.799,um,Surface,,Distance from Origin,,1,206,
Distance from Origin,124.291,um,Surface,,Distance from Origin,,1,207,
Distance from Origin,130.339,um,Surface,,Distance from Origin,,1,208,
Distance from Origin,116.582,um,Surface,,Distance from Origin,,1,209,
Distance from Origin,116.924,um,Surface,,Distance from Origin,,1,210,
Distance from Origin,125.563,um,Surface,,Distance from Origin,,1,211,
Distance from Origin,131.274,um,Surface,,Distance from Origin,,1,212,
Distance from Origin,123.454,um,Surface,,Distance from Origin,,1,213,
Distance from Origin,124.904,um,Surface,,Distance from Origin,,1,214,
Distance from Origin,131.25,um,Surface,,Distance from Origin,,1,215,
Distance from Origin,126.946,um,Surface,,Distance from Origin,,1,216,
Distance from Origin,130.937,um,Surface,,Distance from Origin,,1,217,
Distance from Origin,134.345,um,Surface,,Distance from Origin,,1,218,
Distance from Origin,129.971,um,Surface,,Distance from Origin,,1,219,
Distance from Origin,130.365,um,Surface,,Distance from Origin,,1,220,
Distance from Origin,117.043,um,Surface,,Distance from Origin,,1,221,
Distance from Origin,118.588,um,Surface,,Distance from Origin,,1,222,
Distance from Origin,132.19,um,Surface,,Distance from Origin,,1,223,
Distance from Origin,132.739,um,Surface,,Distance from Origin,,1,224,
Distance from Origin,134.135,um,Surface,,Distance from Origin,,1,225,
Distance from Origin,133.342,um,Surface,,Distance from Origin,,1,226,
Distance from Origin,134.615,um,Surface,,Distance from Origin,,1,227,
Distance from Origin,116.214,um,Surface,,Distance from Origin,,1,228,
Distance from Origin,115.688,um,Surface,,Distance from Origin,,1,229,
Distance from Origin,112.649,um,Surface,,Distance from Origin,,1,230,
Distance from Origin,121.372,um,Surface,,Distance from Origin,,1,231,
Distance to Image Border XY,24.5406,um,Surface,,,Image 1,1,116,
Distance to Image Border XY,22.1062,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,20.314,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,42.2667,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,43.9714,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,46.36,um,Surface,,,Image 1,1,121,
Distance to Image Border XY,41.166,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,46.177,um,Surface,,,Image 1,1,123,
Distance to Image Border XY,37.4943,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,42.5513,um,Surface,,,Image 1,1,125,
Distance to Image Border XY,32.7418,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,45.6153,um,Surface,,,Image 1,1,127,
Distance to Image Border XY,40.4775,um,Surface,,,Image 1,1,128,
Distance to Image Border XY,12.4937,um,Surface,,,Image 1,1,129,
Distance to Image Border XY,24.1353,um,Surface,,,Image 1,1,130,
Distance to Image Border XY,29.1,um,Surface,,,Image 1,1,131,
Distance to Image Border XY,36.2948,um,Surface,,,Image 1,1,132,
Distance to Image Border XY,39.4733,um,Surface,,,Image 1,1,133,
Distance to Image Border XY,45.6771,um,Surface,,,Image 1,1,134,
Distance to Image Border XY,47.7056,um,Surface,,,Image 1,1,135,
Distance to Image Border XY,47.4969,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,45.7463,um,Surface,,,Image 1,1,137,
Distance to Image Border XY,44.04,um,Surface,,,Image 1,1,138,
Distance to Image Border XY,24.1167,um,Surface,,,Image 1,1,139,
Distance to Image Border XY,20.5951,um,Surface,,,Image 1,1,140,
Distance to Image Border XY,34.722,um,Surface,,,Image 1,1,141,
Distance to Image Border XY,16.5114,um,Surface,,,Image 1,1,142,
Distance to Image Border XY,23.5947,um,Surface,,,Image 1,1,143,
Distance to Image Border XY,10.3475,um,Surface,,,Image 1,1,144,
Distance to Image Border XY,12.7271,um,Surface,,,Image 1,1,145,
Distance to Image Border XY,42.2548,um,Surface,,,Image 1,1,146,
Distance to Image Border XY,27.6561,um,Surface,,,Image 1,1,147,
Distance to Image Border XY,41.1011,um,Surface,,,Image 1,1,148,
Distance to Image Border XY,39.6075,um,Surface,,,Image 1,1,149,
Distance to Image Border XY,40.325,um,Surface,,,Image 1,1,150,
Distance to Image Border XY,31.9,um,Surface,,,Image 1,1,151,
Distance to Image Border XY,39.9276,um,Surface,,,Image 1,1,152,
Distance to Image Border XY,0.585022,um,Surface,,,Image 1,1,153,
Distance to Image Border XY,9.49796,um,Surface,,,Image 1,1,154,
Distance to Image Border XY,18.1125,um,Surface,,,Image 1,1,155,
Distance to Image Border XY,9.15633,um,Surface,,,Image 1,1,156,
