Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,1.69578,um^2,Surface,,,,1,0
Area,5.59492,um^2,Surface,,,,1,1
Area,0.050636,um^2,Surface,,,,1,2
Area,0.0506375,um^2,Surface,,,,1,3
Area,0.0459028,um^2,Surface,,,,1,4
Area,0.0330918,um^2,Surface,,,,1,5
Area,0.0330932,um^2,Surface,,,,1,6
Area,0.0706565,um^2,Surface,,,,1,7
Area,2.10237,um^2,Surface,,,,1,8
Area,0.0330928,um^2,Surface,,,,1,9
Area,0.0506343,um^2,Surface,,,,1,10
Area,0.0660609,um^2,Surface,,,,1,11
Area,9.35076,um^2,Surface,,,,1,12
Area,1.54863,um^2,Surface,,,,1,13
Area,6.35768,um^2,Surface,,,,1,14
Area,7.99252,um^2,Surface,,,,1,15
Area,4.70775,um^2,Surface,,,,1,16
Area,3.98548,um^2,Surface,,,,1,17
Area,0.00486898,um^2,Surface,,,,1,18
Area,16.9212,um^2,Surface,,,,1,19
Area,3.42381,um^2,Surface,,,,1,20
Area,0.00052096,um^2,Surface,,,,1,21
Area,50.7048,um^2,Surface,,,,1,22
Area,0.125729,um^2,Surface,,,,1,23
Area,0.000520961,um^2,Surface,,,,1,24
Area,0.224328,um^2,Surface,,,,1,25
Area,0.232197,um^2,Surface,,,,1,26
Area,0.0196377,um^2,Surface,,,,1,27
Area,0.798024,um^2,Surface,,,,1,28
Area,0.0330931,um^2,Surface,,,,1,29
Area,3.10819,um^2,Surface,,,,1,30
Area,4.99887,um^2,Surface,,,,1,31
Area,0.0542339,um^2,Surface,,,,1,32
Area,5.24925,um^2,Surface,,,,1,33
Area,1.78874,um^2,Surface,,,,1,34
Area,0.123225,um^2,Surface,,,,1,35
Area,0.277659,um^2,Surface,,,,1,36
Area,0.0675462,um^2,Surface,,,,1,37
Area,0.806846,um^2,Surface,,,,1,38
Area,5.13249,um^2,Surface,,,,1,39
Area,1.50604,um^2,Surface,,,,1,40
Area,7.75905,um^2,Surface,,,,1,41
Area,3.49112,um^2,Surface,,,,1,42
Area,9.91763,um^2,Surface,,,,1,43
Area,0.194272,um^2,Surface,,,,1,44
Area,0.0196369,um^2,Surface,,,,1,45
Area,1.47789,um^2,Surface,,,,1,46
Area,0.563971,um^2,Surface,,,,1,47
Area,1.31365,um^2,Surface,,,,1,48
Area,0.0522481,um^2,Surface,,,,1,49
Contact surface area,0.735,um,Surface,,,,,0
Contact surface area,0.03,um,Surface,,,,,1
Contact surface area,0.03,um,Surface,,,,,2
Contact surface area,0.3125,um,Surface,,,,,3
Contact surface area,0.0725,um,Surface,,,,,4
Contact surface area,0.105,um,Surface,,,,,5
Contact surface area,0.0125,um,Surface,,,,,6
Contact surface area,0.8425,um,Surface,,,,,7
Contact surface area,0.1475,um,Surface,,,,,8
Contact surface area,3.0425,um,Surface,,,,,9
Contact surface area,0.83,um,Surface,,,,,10
Contact surface area,4.5225,um,Surface,,,,,11
Contact surface area,1.9325,um,Surface,,,,,12
Contact surface area,5.7375,um,Surface,,,,,13
Contact surface area,3.0425,um,Surface,,,,,14
Contact surface area,0.405,um,Surface,,,,,15
Contact surface area,0.03,um,Surface,,,,,16
Contact surface area,0.015,um,Surface,,,,,17
Contact surface area,1.82,um,Surface,,,,,18
Contact surface area,0.0125,um,Surface,,,,,19
Contact surface area,1.0375,um,Surface,,,,,20
Contact surface area,0.0725,um,Surface,,,,,21
Contact surface area,0.0025,um,Surface,,,,,22
Contact surface area,0.1175,um,Surface,,,,,23
Contact surface area,0.1325,um,Surface,,,,,24
Contact surface area,0.0025,um,Surface,,,,,25
Contact surface area,2.88,um,Surface,,,,,26
Contact surface area,0.4375,um,Surface,,,,,27
Contact surface area,1.9925,um,Surface,,,,,28
Contact surface area,0.0075,um,Surface,,,,,29
Contact surface area,2.2525,um,Surface,,,,,30
Contact surface area,0.03,um,Surface,,,,,31
Contact surface area,0.8525,um,Surface,,,,,32
Contact surface area,29.2025,um,Surface,,,,,33
Contact surface area,0.025,um,Surface,,,,,34
Contact surface area,0.025,um,Surface,,,,,35
Contact surface area,0.0275,um,Surface,,,,,36
Contact surface area,9.74,um,Surface,,,,,37
Contact surface area,0.015,um,Surface,,,,,38
