
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,265.698,um^2,Surface,,,,1,3194,
Area,34.688,um^2,Surface,,,,1,3201,
Area,22.7853,um^2,Surface,,,,1,3205,
Area,136.757,um^2,Surface,,,,1,3208,
Area,39.8399,um^2,Surface,,,,1,3223,
Area,25.6581,um^2,Surface,,,,1,3224,
Area,105.937,um^2,Surface,,,,1,3235,
Area,41.0103,um^2,Surface,,,,1,3236,
Area,131.01,um^2,Surface,,,,1,3237,
Area,47.4884,um^2,Surface,,,,1,3239,
Area,39.7379,um^2,Surface,,,,1,3240,
Area,30.7067,um^2,Surface,,,,1,3244,
Area,305.62,um^2,Surface,,,,1,3247,
Area,15.8419,um^2,Surface,,,,1,3249,
Area,18.2187,um^2,Surface,,,,1,3250,
Area,2312.29,um^2,Surface,,,,1,3282,
Area,144.488,um^2,Surface,,,,1,3293,
Area,175.516,um^2,Surface,,,,1,3305,
Area,91.5778,um^2,Surface,,,,1,3306,
Distance from Origin,186.477,um,Surface,,Distance from Origin,,1,3194,
Distance from Origin,195.609,um,Surface,,Distance from Origin,,1,3201,
Distance from Origin,148.568,um,Surface,,Distance from Origin,,1,3205,
Distance from Origin,149.526,um,Surface,,Distance from Origin,,1,3208,
Distance from Origin,126.268,um,Surface,,Distance from Origin,,1,3223,
Distance from Origin,141.228,um,Surface,,Distance from Origin,,1,3224,
Distance from Origin,157.069,um,Surface,,Distance from Origin,,1,3235,
Distance from Origin,163.884,um,Surface,,Distance from Origin,,1,3236,
Distance from Origin,137.142,um,Surface,,Distance from Origin,,1,3237,
Distance from Origin,196.037,um,Surface,,Distance from Origin,,1,3239,
Distance from Origin,190.461,um,Surface,,Distance from Origin,,1,3240,
Distance from Origin,178.339,um,Surface,,Distance from Origin,,1,3244,
Distance from Origin,139.686,um,Surface,,Distance from Origin,,1,3247,
Distance from Origin,158.393,um,Surface,,Distance from Origin,,1,3249,
Distance from Origin,153.607,um,Surface,,Distance from Origin,,1,3250,
Distance from Origin,169.739,um,Surface,,Distance from Origin,,1,3282,
Distance from Origin,185.124,um,Surface,,Distance from Origin,,1,3293,
Distance from Origin,171.603,um,Surface,,Distance from Origin,,1,3305,
Distance from Origin,119.974,um,Surface,,Distance from Origin,,1,3306,
Distance to Image Border XY,9.25687,um,Surface,,,Image 1,1,3194,
Distance to Image Border XY,1.65288,um,Surface,,,Image 1,1,3201,
Distance to Image Border XY,36.319,um,Surface,,,Image 1,1,3205,
Distance to Image Border XY,8.33978,um,Surface,,,Image 1,1,3208,
Distance to Image Border XY,29.8841,um,Surface,,,Image 1,1,3223,
Distance to Image Border XY,39.5204,um,Surface,,,Image 1,1,3224,
Distance to Image Border XY,26.239,um,Surface,,,Image 1,1,3235,
Distance to Image Border XY,36.8065,um,Surface,,,Image 1,1,3236,
Distance to Image Border XY,21.7783,um,Surface,,,Image 1,1,3237,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,3239,
Distance to Image Border XY,6.98586,um,Surface,,,Image 1,1,3240,
Distance to Image Border XY,4.44217,um,Surface,,,Image 1,1,3244,
Distance to Image Border XY,27.532,um,Surface,,,Image 1,1,3247,
Distance to Image Border XY,17.2157,um,Surface,,,Image 1,1,3249,
Distance to Image Border XY,13.4295,um,Surface,,,Image 1,1,3250,
Distance to Image Border XY,5.15266,um,Surface,,,Image 1,1,3282,
Distance to Image Border XY,5.00227,um,Surface,,,Image 1,1,3293,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,3305,
Distance to Image Border XY,20.287,um,Surface,,,Image 1,1,3306,
Ellipticity (oblate),0.0663541,,Surface,,,,1,3194,
Ellipticity (oblate),0.262813,,Surface,,,,1,3201,
Ellipticity (oblate),0.169892,,Surface,,,,1,3205,
Ellipticity (oblate),0.0859965,,Surface,,,,1,3208,
Ellipticity (oblate),0.261973,,Surface,,,,1,3223,
Ellipticity (oblate),0.275742,,Surface,,,,1,3224,
Ellipticity (oblate),0.0854668,,Surface,,,,1,3235,
Ellipticity (oblate),0.519102,,Surface,,,,1,3236,
Ellipticity (oblate),0.0458228,,Surface,,,,1,3237,
Ellipticity (oblate),0.212661,,Surface,,,,1,3239,
Ellipticity (oblate),0.408193,,Surface,,,,1,3240,
Ellipticity (oblate),0.198778,,Surface,,,,1,3244,
Ellipticity (oblate),0.207199,,Surface,,,,1,3247,
Ellipticity (oblate),0.464006,,Surface,,,,1,3249,
Ellipticity (oblate),0.312143,,Surface,,,,1,3250,
Ellipticity (oblate),0.492854,,Surface,,,,1,3282,
Ellipticity (oblate),0.287379,,Surface,,,,1,3293,
Ellipticity (oblate),0.161786,,Surface,,,,1,3305,
Ellipticity (oblate),0.378604,,Surface,,,,1,3306,
Ellipticity (prolate),0.25587,,Surface,,,,1,3194,
Ellipticity (prolate),0.632306,,Surface,,,,1,3201,
Ellipticity (prolate),0.638699,,Surface,,,,1,3205,
Ellipticity (prolate),0.439213,,Surface,,,,1,3208,
Ellipticity (prolate),0.497561,,Surface,,,,1,3223,
Ellipticity (prolate),0.570434,,Surface,,,,1,3224,
Ellipticity (prolate),0.664118,,Surface,,,,1,3235,
Ellipticity (prolate),0.316565,,Surface,,,,1,3236,
Ellipticity (prolate),0.620984,,Surface,,,,1,3237,
Ellipticity (prolate),0.305066,,Surface,,,,1,3239,
Ellipticity (prolate),0.358563,,Surface,,,,1,3240,
Ellipticity (prolate),0.632994,,Surface,,,,1,3244,
Ellipticity (prolate),0.134228,,Surface,,,,1,3247,
Ellipticity (prolate),0.392981,,Surface,,,,1,3249,
Ellipticity (prolate),0.548282,,Surface,,,,1,3250,
Ellipticity (prolate),0.0115753,,Surface,,,,1,3282,
Ellipticity (prolate),0.317628,,Surface,,,,1,3293,
Ellipticity (prolate),0.291043,,Surface,,,,1,3305,
Ellipticity (prolate),0.382958,,Surface,,,,1,3306,
Generation,0,,Surface,,,,1,3194,
Generation,0,,Surface,,,,1,3201,
Generation,0,,Surface,,,,1,3205,
Generation,0,,Surface,,,,1,3208,
Generation,0,,Surface,,,,1,3223,
Generation,0,,Surface,,,,1,3224,
Generation,0,,Surface,,,,1,3235,
Generation,0,,Surface,,,,1,3236,
Generation,0,,Surface,,,,1,3237,
Generation,0,,Surface,,,,1,3239,
Generation,0,,Surface,,,,1,3240,
Generation,0,,Surface,,,,1,3244,
Generation,0,,Surface,,,,1,3247,
Generation,0,,Surface,,,,1,3249,
Generation,0,,Surface,,,,1,3250,
Generation,0,,Surface,,,,1,3282,
Generation,0,,Surface,,,,1,3293,
Generation,0,,Surface,,,,1,3305,
Generation,0,,Surface,,,,1,3306,
Intensity Max,23,,Surface,1,,Image 1,1,3194,
Intensity Max,20,,Surface,2,,Image 1,1,3194,
Intensity Max,60,,Surface,3,,Image 1,1,3194,
Intensity Max,79,,Surface,4,,Image 1,1,3194,
Intensity Max,23,,Surface,5,,Image 1,1,3194,
Intensity Max,14,,Surface,1,,Image 1,1,3201,
Intensity Max,7,,Surface,2,,Image 1,1,3201,
Intensity Max,32,,Surface,3,,Image 1,1,3201,
Intensity Max,39,,Surface,4,,Image 1,1,3201,
Intensity Max,14,,Surface,5,,Image 1,1,3201,
Intensity Max,5,,Surface,1,,Image 1,1,3205,
Intensity Max,21,,Surface,2,,Image 1,1,3205,
Intensity Max,20,,Surface,3,,Image 1,1,3205,
Intensity Max,25,,Surface,4,,Image 1,1,3205,
Intensity Max,5,,Surface,5,,Image 1,1,3205,
Intensity Max,13,,Surface,1,,Image 1,1,3208,
Intensity Max,13,,Surface,2,,Image 1,1,3208,
Intensity Max,35,,Surface,3,,Image 1,1,3208,
Intensity Max,48,,Surface,4,,Image 1,1,3208,
Intensity Max,13,,Surface,5,,Image 1,1,3208,
Intensity Max,13,,Surface,1,,Image 1,1,3223,
Intensity Max,12,,Surface,2,,Image 1,1,3223,
