Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,4.55629,um^2,Surface,,,,1,0
Area,0.0506345,um^2,Surface,,,,1,1
Area,0.0906746,um^2,Surface,,,,1,2
Area,12.5361,um^2,Surface,,,,1,3
Area,0.0614559,um^2,Surface,,,,1,4
Area,0.00663741,um^2,Surface,,,,1,5
Area,0.0506377,um^2,Surface,,,,1,6
Area,0.0524683,um^2,Surface,,,,1,7
Area,5.60248,um^2,Surface,,,,1,8
Area,6.08423,um^2,Surface,,,,1,9
Area,14.0564,um^2,Surface,,,,1,10
Area,1.02342,um^2,Surface,,,,1,11
Area,22.0521,um^2,Surface,,,,1,12
Contact surface area,0.025,um,Surface,,,,,0
Contact surface area,0.0275,um,Surface,,,,,1
Contact surface area,3.18,um,Surface,,,,,2
Contact surface area,7.1525,um,Surface,,,,,3
Contact surface area,0.025,um,Surface,,,,,4
Contact surface area,0.555,um,Surface,,,,,5
Contact surface area,12.7925,um,Surface,,,,,6
Contact surface area,0.045,um,Surface,,,,,7
Contact surface area,0.0375,um,Surface,,,,,8
Contact surface area,0.0075,um,Surface,,,,,9
Contact surface area,8.0725,um,Surface,,,,,10
Contact surface area,3.4775,um,Surface,,,,,11
Contact surface area,2.61,um,Surface,,,,,12
Distance from Origin,167.917,um,Surface,,Distance from Origin,,1,0
Distance from Origin,168.313,um,Surface,,Distance from Origin,,1,1
Distance from Origin,172.8,um,Surface,,Distance from Origin,,1,2
Distance from Origin,169.838,um,Surface,,Distance from Origin,,1,3
Distance from Origin,171.952,um,Surface,,Distance from Origin,,1,4
Distance from Origin,171.819,um,Surface,,Distance from Origin,,1,5
Distance from Origin,169.525,um,Surface,,Distance from Origin,,1,6
Distance from Origin,169.127,um,Surface,,Distance from Origin,,1,7
Distance from Origin,168.738,um,Surface,,Distance from Origin,,1,8
Distance from Origin,163.726,um,Surface,,Distance from Origin,,1,9
Distance from Origin,172.709,um,Surface,,Distance from Origin,,1,10
Distance from Origin,170.408,um,Surface,,Distance from Origin,,1,11
Distance from Origin,168.823,um,Surface,,Distance from Origin,,1,12
Distance to Image Border XY,43.6557,um,Surface,,,Image 1,1,0
Distance to Image Border XY,35.27,um,Surface,,,Image 1,1,1
Distance to Image Border XY,38.3833,um,Surface,,,Image 1,1,2
Distance to Image Border XY,40.5175,um,Surface,,,Image 1,1,3
Distance to Image Border XY,38.925,um,Surface,,,Image 1,1,4
Distance to Image Border XY,39.0833,um,Surface,,,Image 1,1,5
Distance to Image Border XY,43.38,um,Surface,,,Image 1,1,6
Distance to Image Border XY,34.3773,um,Surface,,,Image 1,1,7
Distance to Image Border XY,34.196,um,Surface,,,Image 1,1,8
Distance to Image Border XY,51.8824,um,Surface,,,Image 1,1,9
Distance to Image Border XY,37.5266,um,Surface,,,Image 1,1,10
Distance to Image Border XY,41.3888,um,Surface,,,Image 1,1,11
Distance to Image Border XY,42.5405,um,Surface,,,Image 1,1,12
Ellipticity (oblate),0.423702,,Surface,,,,1,0
Ellipticity (oblate),0.381961,,Surface,,,,1,1
Ellipticity (oblate),0.546438,,Surface,,,,1,2
Ellipticity (oblate),0.233697,,Surface,,,,1,3
Ellipticity (oblate),0.323259,,Surface,,,,1,4
Ellipticity (oblate),0.475899,,Surface,,,,1,5
Ellipticity (oblate),0.381965,,Surface,,,,1,6
Ellipticity (oblate),0.293327,,Surface,,,,1,7
Ellipticity (oblate),0.493988,,Surface,,,,1,8
Ellipticity (oblate),0.384621,,Surface,,,,1,9
Ellipticity (oblate),0.42963,,Surface,,,,1,10
Ellipticity (oblate),0.626443,,Surface,,,,1,11
Ellipticity (oblate),0.394856,,Surface,,,,1,12
Ellipticity (prolate),0.436124,,Surface,,,,1,0
