
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,16.2187,um^2,Dendrite,,1,,1,,1,,100000000,510000000002,
Dendrite Area,4.94797,um^2,Dendrite,,2,,1,,1,,100000000,510000000045,
Dendrite Area,8.30481,um^2,Dendrite,,3,,1,,1,,100000000,510000000058,
Dendrite Area,15.3224,um^2,Dendrite,,4,,1,,1,,100000000,510000000078,
Dendrite Area,18.1908,um^2,Dendrite,,5,,1,,1,,100000000,510000000109,
Dendrite Area,47.1202,um^2,Dendrite,,6,,2,,1,,100000000,510000000144,
Dendrite Area,6.15775,um^2,Dendrite,,7,,2,,1,,100000000,510000000237,
Dendrite Area,3.24422,um^2,Dendrite,,1,,2,,1,,100000000,510000000255,
Dendrite Area,14.7332,um^2,Dendrite,,2,,2,,1,,100000000,510000000263,
Dendrite Area,5.72238,um^2,Dendrite,,3,,2,,1,,100000000,510000000300,
Dendrite Area,33.3075,um^2,Dendrite,,4,,2,,1,,100000000,510000000309,
Dendrite Area,3.10711,um^2,Dendrite,,5,,2,,1,,100000000,510000000370,
Dendrite Area,6.1213,um^2,Dendrite,,6,,2,,1,,100000000,510000000375,
Dendrite Area,91.5059,um^2,Dendrite,,7,,2,,1,,100000000,510000000387,
Dendrite Area,2.31362,um^2,Dendrite,,8,,2,,1,,100000000,510000000604,
Dendrite Area,41.5889,um^2,Dendrite,,9,,2,,1,,100000000,510000000609,
Dendrite Area,45.5606,um^2,Dendrite,,5,,3,,1,,100000000,510000000729,
Dendrite Area,26.0367,um^2,Dendrite,,6,,3,,1,,100000000,510000000817,
Dendrite Area,41.5389,um^2,Dendrite,,5,,2,,1,,100000000,510000000878,
Dendrite Area,30.1602,um^2,Dendrite,,6,,2,,1,,100000000,510000000990,
Dendrite Area,21.0268,um^2,Dendrite,,7,,3,,1,,100000000,510000001071,
Dendrite Area,29.2896,um^2,Dendrite,,8,,3,,1,,100000000,510000001134,
Dendrite Area,20.0786,um^2,Dendrite,,3,,2,,1,,100000000,510000001209,
Dendrite Area,13.1196,um^2,Dendrite,,4,,3,,1,,100000000,510000001258,
Dendrite Area,7.00938,um^2,Dendrite,,5,,3,,1,,100000000,510000001287,
Dendrite Area,23.6302,um^2,Dendrite,,6,,3,,1,,100000000,510000001300,
Dendrite Area,7.26694,um^2,Dendrite,,7,,3,,1,,100000000,510000001357,
Dendrite Area,8.22185,um^2,Dendrite,,9,,4,,1,,100000000,510000001377,
Dendrite Area,15.1917,um^2,Dendrite,,10,,4,,1,,100000000,510000001398,
Dendrite Area,15.6938,um^2,Dendrite,,11,,5,,1,,100000000,510000001434,
Dendrite Area,29.7067,um^2,Dendrite,,12,,5,,1,,100000000,510000001477,
Dendrite Area,13.2629,um^2,Dendrite,,7,,3,,1,,100000000,510000001548,
