
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0486163,um^2,Surface,,,,1,0,
Area,0.0486163,um^2,Surface,,,,1,1,
Area,0.142894,um^2,Surface,,,,1,2,
Area,0.219349,um^2,Surface,,,,1,3,
Area,0.226631,um^2,Surface,,,,1,4,
Area,0.610792,um^2,Surface,,,,1,5,
Area,0.197631,um^2,Surface,,,,1,6,
Area,0.304066,um^2,Surface,,,,1,7,
Area,3.68015,um^2,Surface,,,,1,8,
Area,0.0634021,um^2,Surface,,,,1,9,
Area,3.26864,um^2,Surface,,,,1,10,
Area,1.42357,um^2,Surface,,,,1,11,
Area,0.887033,um^2,Surface,,,,1,12,
Area,2.13014,um^2,Surface,,,,1,13,
Area,2.0078,um^2,Surface,,,,1,14,
Area,0.649069,um^2,Surface,,,,1,15,
Area,3.20906,um^2,Surface,,,,1,16,
Area,1.35181,um^2,Surface,,,,1,17,
Area,0.000779636,um^2,Surface,,,,1,18,
Area,1.73878,um^2,Surface,,,,1,19,
Area,0.0035792,um^2,Surface,,,,1,20,
Area,2.74416,um^2,Surface,,,,1,21,
Area,0.031642,um^2,Surface,,,,1,22,
Area,0.0316422,um^2,Surface,,,,1,23,
Area,5.49646,um^2,Surface,,,,1,24,
Area,0.0679739,um^2,Surface,,,,1,25,
Area,0.0427324,um^2,Surface,,,,1,26,
Area,0.071475,um^2,Surface,,,,1,27,
Area,6.34427,um^2,Surface,,,,1,28,
Area,0.0670013,um^2,Surface,,,,1,29,
Area,0.771117,um^2,Surface,,,,1,30,
Area,1.71614,um^2,Surface,,,,1,31,
Area,0.964055,um^2,Surface,,,,1,32,
Area,5.87034,um^2,Surface,,,,1,33,
Area,28.0681,um^2,Surface,,,,1,34,
Area,7.63656,um^2,Surface,,,,1,35,
Contact surface area,4.5175,um,Surface,,,,,0,
Contact surface area,0.9375,um,Surface,,,,,1,
Contact surface area,16.6975,um,Surface,,,,,2,
Contact surface area,0.015,um,Surface,,,,,3,
Contact surface area,0.04,um,Surface,,,,,4,
Contact surface area,3.7575,um,Surface,,,,,5,
Contact surface area,1.57,um,Surface,,,,,6,
Contact surface area,0.015,um,Surface,,,,,7,
Contact surface area,0.02,um,Surface,,,,,8,
Contact surface area,3.43,um,Surface,,,,,9,
Contact surface area,3.215,um,Surface,,,,,10,
Contact surface area,0.035,um,Surface,,,,,11,
Contact surface area,0.0375,um,Surface,,,,,12,
Contact surface area,0.4575,um,Surface,,,,,13,
Contact surface area,0.565,um,Surface,,,,,14,
Contact surface area,0.0025,um,Surface,,,,,15,
Contact surface area,1.0025,um,Surface,,,,,16,
Contact surface area,0.005,um,Surface,,,,,17,
Contact surface area,0.345,um,Surface,,,,,18,
Contact surface area,0.8125,um,Surface,,,,,19,
Contact surface area,0.03,um,Surface,,,,,20,
Contact surface area,0.5025,um,Surface,,,,,21,
Contact surface area,1.2425,um,Surface,,,,,22,
Contact surface area,1.13,um,Surface,,,,,23,
Contact surface area,1.7775,um,Surface,,,,,24,
Contact surface area,1.94,um,Surface,,,,,25,
