
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,10.9393,um^2,Surface,,,,1,46,
Area,1.17944,um^2,Surface,,,,1,47,
Area,5.82033,um^2,Surface,,,,1,48,
Area,1.53221,um^2,Surface,,,,1,49,
Area,5.71168,um^2,Surface,,,,1,50,
Area,1.60344,um^2,Surface,,,,1,51,
Area,5.50303,um^2,Surface,,,,1,52,
Area,2.55215,um^2,Surface,,,,1,53,
Area,2.60766,um^2,Surface,,,,1,54,
Area,3.24124,um^2,Surface,,,,1,55,
Area,4.58048,um^2,Surface,,,,1,56,
Area,1.58748,um^2,Surface,,,,1,57,
Area,3.66899,um^2,Surface,,,,1,58,
Area,3.30123,um^2,Surface,,,,1,59,
Area,2.79823,um^2,Surface,,,,1,60,
Area,5.39688,um^2,Surface,,,,1,61,
Area,1.38724,um^2,Surface,,,,1,62,
Area,2.00889,um^2,Surface,,,,1,63,
Area,3.79612,um^2,Surface,,,,1,64,
Area,1.73623,um^2,Surface,,,,1,65,
Area,5.1809,um^2,Surface,,,,1,66,
Area,7.49603,um^2,Surface,,,,1,67,
Area,8.95355,um^2,Surface,,,,1,68,
Area,1.62967,um^2,Surface,,,,1,69,
Area,1.67247,um^2,Surface,,,,1,70,
Area,6.22062,um^2,Surface,,,,1,71,
Area,29.5736,um^2,Surface,,,,1,72,
Area,1.57551,um^2,Surface,,,,1,73,
Area,4.7706,um^2,Surface,,,,1,74,
Area,2.8831,um^2,Surface,,,,1,75,
Area,1.53378,um^2,Surface,,,,1,76,
Area,8.3841,um^2,Surface,,,,1,77,
Area,1.14413,um^2,Surface,,,,1,78,
Area,3.53214,um^2,Surface,,,,1,79,
Area,5.86288,um^2,Surface,,,,1,80,
Distance from Origin,132.192,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,135.907,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,128.904,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,138.085,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,177.987,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,191.357,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,132.044,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,167.641,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,163.909,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,161.97,um,Surface,,Distance from Origin,,1,55,
Distance from Origin,143.559,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,146.807,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,147.52,um,Surface,,Distance from Origin,,1,58,
Distance from Origin,131.524,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,132.499,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,159.34,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,151.088,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,152.327,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,154.973,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,167.686,um,Surface,,Distance from Origin,,1,65,
Distance from Origin,149.07,um,Surface,,Distance from Origin,,1,66,
Distance from Origin,134.994,um,Surface,,Distance from Origin,,1,67,
Distance from Origin,152.591,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,154.125,um,Surface,,Distance from Origin,,1,69,
Distance from Origin,162.97,um,Surface,,Distance from Origin,,1,70,
Distance from Origin,147.734,um,Surface,,Distance from Origin,,1,71,
Distance from Origin,142.865,um,Surface,,Distance from Origin,,1,72,
Distance from Origin,110.064,um,Surface,,Distance from Origin,,1,73,
Distance from Origin,161.137,um,Surface,,Distance from Origin,,1,74,
Distance from Origin,153.462,um,Surface,,Distance from Origin,,1,75,
Distance from Origin,154.608,um,Surface,,Distance from Origin,,1,76,
Distance from Origin,158.976,um,Surface,,Distance from Origin,,1,77,
Distance from Origin,161.955,um,Surface,,Distance from Origin,,1,78,
Distance from Origin,145.656,um,Surface,,Distance from Origin,,1,79,
Distance from Origin,156.961,um,Surface,,Distance from Origin,,1,80,
