
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,67.3271,um^2,Surface,,,,1,393,
Area,19.3623,um^2,Surface,,,,1,395,
Area,24.2958,um^2,Surface,,,,1,396,
Area,13.2364,um^2,Surface,,,,1,397,
Area,28.3228,um^2,Surface,,,,1,398,
Area,32.9313,um^2,Surface,,,,1,399,
Area,17.789,um^2,Surface,,,,1,400,
Area,125.504,um^2,Surface,,,,1,401,
Area,85.3887,um^2,Surface,,,,1,402,
Area,20.7281,um^2,Surface,,,,1,403,
Area,59.6771,um^2,Surface,,,,1,404,
Area,42.2609,um^2,Surface,,,,1,405,
Area,20.8541,um^2,Surface,,,,1,408,
Area,17.8361,um^2,Surface,,,,1,410,
Area,16.8484,um^2,Surface,,,,1,415,
Area,18.9744,um^2,Surface,,,,1,416,
Area,19.3592,um^2,Surface,,,,1,417,
Area,14.4982,um^2,Surface,,,,1,418,
Area,69.0842,um^2,Surface,,,,1,419,
Area,112.814,um^2,Surface,,,,1,420,
Area,13.7251,um^2,Surface,,,,1,421,
Area,12.1262,um^2,Surface,,,,1,422,
Area,17.2162,um^2,Surface,,,,1,425,
Area,122.445,um^2,Surface,,,,1,426,
Area,235.066,um^2,Surface,,,,1,427,
Area,11.7663,um^2,Surface,,,,1,428,
Area,22.7062,um^2,Surface,,,,1,429,
Area,12.4956,um^2,Surface,,,,1,430,
Area,24.1556,um^2,Surface,,,,1,431,
Area,64.3119,um^2,Surface,,,,1,432,
Area,45.1846,um^2,Surface,,,,1,433,
Area,24.3472,um^2,Surface,,,,1,434,
Area,23.2802,um^2,Surface,,,,1,435,
Area,10.5764,um^2,Surface,,,,1,436,
Area,17.5176,um^2,Surface,,,,1,437,
Area,22.7542,um^2,Surface,,,,1,438,
Area,35.8542,um^2,Surface,,,,1,439,
Area,15.0686,um^2,Surface,,,,1,440,
Area,23.1599,um^2,Surface,,,,1,441,
Area,78.8755,um^2,Surface,,,,1,442,
Area,398.764,um^2,Surface,,,,1,443,
Area,22.346,um^2,Surface,,,,1,444,
Area,12.3354,um^2,Surface,,,,1,445,
Area,11.3278,um^2,Surface,,,,1,446,
Area,26.8204,um^2,Surface,,,,1,447,
Area,26.6709,um^2,Surface,,,,1,453,
Area,15.2098,um^2,Surface,,,,1,454,
Area,36.6812,um^2,Surface,,,,1,455,
Area,10.7458,um^2,Surface,,,,1,456,
Area,42.6581,um^2,Surface,,,,1,457,
Area,33.0156,um^2,Surface,,,,1,458,
Area,16.5579,um^2,Surface,,,,1,459,
Area,19.5838,um^2,Surface,,,,1,460,
Area,92.0319,um^2,Surface,,,,1,461,
Area,14.44,um^2,Surface,,,,1,466,
Area,14.6677,um^2,Surface,,,,1,467,
Area,11.0079,um^2,Surface,,,,1,468,
Area,14.3416,um^2,Surface,,,,1,469,
Area,18.1557,um^2,Surface,,,,1,470,
Area,65.6705,um^2,Surface,,,,1,471,
Area,38.4492,um^2,Surface,,,,1,472,
Area,26.4419,um^2,Surface,,,,1,473,
Area,19.3773,um^2,Surface,,,,1,477,
Area,1077.01,um^2,Surface,,,,1,478,
Area,132.334,um^2,Surface,,,,1,479,
Area,58.8068,um^2,Surface,,,,1,480,
Area,204.544,um^2,Surface,,,,1,484,
Area,13.5718,um^2,Surface,,,,1,493,
Area,96.923,um^2,Surface,,,,1,494,
Area,22.2773,um^2,Surface,,,,1,495,
Area,10.9632,um^2,Surface,,,,1,496,
Area,11.4936,um^2,Surface,,,,1,497,
Area,186.232,um^2,Surface,,,,1,498,
Area,10.0299,um^2,Surface,,,,1,499,
Area,27.5102,um^2,Surface,,,,1,500,
Distance from Origin,171.188,um,Surface,,Distance from Origin,,1,393,
Distance from Origin,166.759,um,Surface,,Distance from Origin,,1,395,
Distance from Origin,166.995,um,Surface,,Distance from Origin,,1,396,
Distance from Origin,167.715,um,Surface,,Distance from Origin,,1,397,
Distance from Origin,173.019,um,Surface,,Distance from Origin,,1,398,
Distance from Origin,176.538,um,Surface,,Distance from Origin,,1,399,
Distance from Origin,170.864,um,Surface,,Distance from Origin,,1,400,
Distance from Origin,176.962,um,Surface,,Distance from Origin,,1,401,
Distance from Origin,173.967,um,Surface,,Distance from Origin,,1,402,
Distance from Origin,185.964,um,Surface,,Distance from Origin,,1,403,
Distance from Origin,198.146,um,Surface,,Distance from Origin,,1,404,
Distance from Origin,189.6,um,Surface,,Distance from Origin,,1,405,
Distance from Origin,188.675,um,Surface,,Distance from Origin,,1,408,
Distance from Origin,191.604,um,Surface,,Distance from Origin,,1,410,
Distance from Origin,199.66,um,Surface,,Distance from Origin,,1,415,
Distance from Origin,186.084,um,Surface,,Distance from Origin,,1,416,
Distance from Origin,188.37,um,Surface,,Distance from Origin,,1,417,
Distance from Origin,189.696,um,Surface,,Distance from Origin,,1,418,
Distance from Origin,183.702,um,Surface,,Distance from Origin,,1,419,
Distance from Origin,178.749,um,Surface,,Distance from Origin,,1,420,
Distance from Origin,190.802,um,Surface,,Distance from Origin,,1,421,
Distance from Origin,194.279,um,Surface,,Distance from Origin,,1,422,
Distance from Origin,166.555,um,Surface,,Distance from Origin,,1,425,
Distance from Origin,192.459,um,Surface,,Distance from Origin,,1,426,
Distance from Origin,165.136,um,Surface,,Distance from Origin,,1,427,
Distance from Origin,162.186,um,Surface,,Distance from Origin,,1,428,
Distance from Origin,171.132,um,Surface,,Distance from Origin,,1,429,
Distance from Origin,174.524,um,Surface,,Distance from Origin,,1,430,
Distance from Origin,186.639,um,Surface,,Distance from Origin,,1,431,
Distance from Origin,139.125,um,Surface,,Distance from Origin,,1,432,
Distance from Origin,127.403,um,Surface,,Distance from Origin,,1,433,
Distance from Origin,126.562,um,Surface,,Distance from Origin,,1,434,
Distance from Origin,133.55,um,Surface,,Distance from Origin,,1,435,
Distance from Origin,143.69,um,Surface,,Distance from Origin,,1,436,
Distance from Origin,141.636,um,Surface,,Distance from Origin,,1,437,
Distance from Origin,137.252,um,Surface,,Distance from Origin,,1,438,
Distance from Origin,157.292,um,Surface,,Distance from Origin,,1,439,
Distance from Origin,143.873,um,Surface,,Distance from Origin,,1,440,
Distance from Origin,153.42,um,Surface,,Distance from Origin,,1,441,
Distance from Origin,169.233,um,Surface,,Distance from Origin,,1,442,
Distance from Origin,132.282,um,Surface,,Distance from Origin,,1,443,
Distance from Origin,107.795,um,Surface,,Distance from Origin,,1,444,
Distance from Origin,120.68,um,Surface,,Distance from Origin,,1,445,
Distance from Origin,132.977,um,Surface,,Distance from Origin,,1,446,
Distance from Origin,136.67,um,Surface,,Distance from Origin,,1,447,
Distance from Origin,183.434,um,Surface,,Distance from Origin,,1,453,
Distance from Origin,188.488,um,Surface,,Distance from Origin,,1,454,
Distance from Origin,191.394,um,Surface,,Distance from Origin,,1,455,
Distance from Origin,170.014,um,Surface,,Distance from Origin,,1,456,
Distance from Origin,176.212,um,Surface,,Distance from Origin,,1,457,
Distance from Origin,167.117,um,Surface,,Distance from Origin,,1,458,
Distance from Origin,176.006,um,Surface,,Distance from Origin,,1,459,
Distance from Origin,171.776,um,Surface,,Distance from Origin,,1,460,
Distance from Origin,183.047,um,Surface,,Distance from Origin,,1,461,
Distance from Origin,180.316,um,Surface,,Distance from Origin,,1,466,
Distance from Origin,186.223,um,Surface,,Distance from Origin,,1,467,
Distance from Origin,188.029,um,Surface,,Distance from Origin,,1,468,
Distance from Origin,149.585,um,Surface,,Distance from Origin,,1,469,
Distance from Origin,150.354,um,Surface,,Distance from Origin,,1,470,
Distance from Origin,161.857,um,Surface,,Distance from Origin,,1,471,
Distance from Origin,169.556,um,Surface,,Distance from Origin,,1,472,
Distance from Origin,175.45,um,Surface,,Distance from Origin,,1,473,
Distance from Origin,146.12,um,Surface,,Distance from Origin,,1,477,
Distance from Origin,147.315,um,Surface,,Distance from Origin,,1,478,
Distance from Origin,151.261,um,Surface,,Distance from Origin,,1,479,
