Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,1.27034,um^2,Surface,,,,1,0
Area,0.600233,um^2,Surface,,,,1,1
Area,0.0321126,um^2,Surface,,,,1,2
Area,0.340816,um^2,Surface,,,,1,3
Area,0.0679815,um^2,Surface,,,,1,4
Area,3.01869,um^2,Surface,,,,1,5
Area,0.126171,um^2,Surface,,,,1,6
Area,1.1787,um^2,Surface,,,,1,7
Area,0.178881,um^2,Surface,,,,1,8
Area,0.159829,um^2,Surface,,,,1,9
Area,0.080057,um^2,Surface,,,,1,10
Area,0.0413348,um^2,Surface,,,,1,11
Area,0.0428467,um^2,Surface,,,,1,12
Area,0.0316429,um^2,Surface,,,,1,13
Area,0.356786,um^2,Surface,,,,1,14
Area,0.0321117,um^2,Surface,,,,1,15
Area,0.032116,um^2,Surface,,,,1,16
Area,0.348401,um^2,Surface,,,,1,17
Area,0.384643,um^2,Surface,,,,1,18
Area,0.7925,um^2,Surface,,,,1,19
Area,0.126423,um^2,Surface,,,,1,20
Area,0.796256,um^2,Surface,,,,1,21
Area,3.57638,um^2,Surface,,,,1,22
Area,2.50091,um^2,Surface,,,,1,23
Area,0.000779636,um^2,Surface,,,,1,24
Area,1.86397,um^2,Surface,,,,1,25
Area,0.00322387,um^2,Surface,,,,1,26
Area,0.638827,um^2,Surface,,,,1,27
Area,0.0990892,um^2,Surface,,,,1,28
Area,2.85004,um^2,Surface,,,,1,29
Area,0.0634021,um^2,Surface,,,,1,30
Area,1.78723,um^2,Surface,,,,1,31
Area,0.0316455,um^2,Surface,,,,1,32
Area,0.0316429,um^2,Surface,,,,1,33
Area,0.073629,um^2,Surface,,,,1,34
Area,0.118775,um^2,Surface,,,,1,35
Area,0.0316429,um^2,Surface,,,,1,36
Area,1.4096,um^2,Surface,,,,1,37
Area,0.807209,um^2,Surface,,,,1,38
Area,0.0609898,um^2,Surface,,,,1,39
Area,1.21332,um^2,Surface,,,,1,40
Area,0.14273,um^2,Surface,,,,1,41
Area,3.81319,um^2,Surface,,,,1,42
Area,0.172376,um^2,Surface,,,,1,43
Area,0.0205631,um^2,Surface,,,,1,44
Area,4.38777,um^2,Surface,,,,1,45
Area,3.33372,um^2,Surface,,,,1,46
Area,1.67322,um^2,Surface,,,,1,47
Area,1.04116,um^2,Surface,,,,1,48
