
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0966818,um^2,Surface,,,,1,0,
Area,0.192447,um^2,Surface,,,,1,1,
Area,0.0660609,um^2,Surface,,,,1,2,
Area,8.66453,um^2,Surface,,,,1,3,
Area,11.2596,um^2,Surface,,,,1,4,
Area,0.363357,um^2,Surface,,,,1,5,
Area,3.39546,um^2,Surface,,,,1,6,
Area,1.90023,um^2,Surface,,,,1,7,
Area,4.2358,um^2,Surface,,,,1,8,
Contact surface area,1.0925,um,Surface,,,,,0,
Contact surface area,2.3525,um,Surface,,,,,1,
Contact surface area,0.1825,um,Surface,,,,,2,
Contact surface area,1.885,um,Surface,,,,,3,
Contact surface area,0.03,um,Surface,,,,,4,
Contact surface area,6.4825,um,Surface,,,,,5,
Contact surface area,5.05,um,Surface,,,,,6,
Contact surface area,0.0525,um,Surface,,,,,7,
Contact surface area,0.095,um,Surface,,,,,8,
Distance from Origin,86.666,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,86.8675,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,136.091,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,146.513,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,135.635,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,106.331,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,123.602,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,105.149,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,99.9808,um,Surface,,Distance from Origin,,1,8,
Distance to Image Border XY,20.1524,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,20.3092,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,53.375,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,45.8324,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,53.2002,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,65.4247,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,62.8843,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,63.3849,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,60.3108,um,Surface,,,Image 1,1,8,
Ellipticity (oblate),0.435693,,Surface,,,,1,0,
Ellipticity (oblate),0.766258,,Surface,,,,1,1,
Ellipticity (oblate),0.670556,,Surface,,,,1,2,
Ellipticity (oblate),0.26178,,Surface,,,,1,3,
Ellipticity (oblate),0.711713,,Surface,,,,1,4,
Ellipticity (oblate),0.710884,,Surface,,,,1,5,
Ellipticity (oblate),0.39093,,Surface,,,,1,6,
Ellipticity (oblate),0.636835,,Surface,,,,1,7,
Ellipticity (oblate),0.350959,,Surface,,,,1,8,
Ellipticity (prolate),0.409304,,Surface,,,,1,0,
Ellipticity (prolate),0.145645,,Surface,,,,1,1,
Ellipticity (prolate),0.110301,,Surface,,,,1,2,
Ellipticity (prolate),0.709134,,Surface,,,,1,3,
Ellipticity (prolate),0.177507,,Surface,,,,1,4,
Ellipticity (prolate),0.103771,,Surface,,,,1,5,
Ellipticity (prolate),0.272979,,Surface,,,,1,6,
Ellipticity (prolate),0.0970514,,Surface,,,,1,7,
Ellipticity (prolate),0.426773,,Surface,,,,1,8,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,4,
Generation,0,,Surface,,,,1,5,
Generation,0,,Surface,,,,1,6,
Generation,0,,Surface,,,,1,7,
Generation,0,,Surface,,,,1,8,
Intensity Max,8,,Surface,1,,Image 1,1,0,
Intensity Max,73,,Surface,2,,Image 1,1,0,
Intensity Max,0,,Surface,3,,Image 1,1,0,
Intensity Max,7,,Surface,4,,Image 1,1,0,
Intensity Max,4,,Surface,1,,Image 1,1,1,
Intensity Max,69,,Surface,2,,Image 1,1,1,
Intensity Max,7,,Surface,3,,Image 1,1,1,
Intensity Max,11,,Surface,4,,Image 1,1,1,
Intensity Max,2,,Surface,1,,Image 1,1,2,
Intensity Max,23,,Surface,2,,Image 1,1,2,
Intensity Max,2,,Surface,3,,Image 1,1,2,
Intensity Max,1,,Surface,4,,Image 1,1,2,
Intensity Max,19,,Surface,1,,Image 1,1,3,
Intensity Max,87,,Surface,2,,Image 1,1,3,
Intensity Max,7,,Surface,3,,Image 1,1,3,
Intensity Max,82,,Surface,4,,Image 1,1,3,
Intensity Max,12,,Surface,1,,Image 1,1,4,
Intensity Max,68,,Surface,2,,Image 1,1,4,
Intensity Max,7,,Surface,3,,Image 1,1,4,
Intensity Max,48,,Surface,4,,Image 1,1,4,
Intensity Max,7,,Surface,1,,Image 1,1,5,
Intensity Max,41,,Surface,2,,Image 1,1,5,
Intensity Max,2,,Surface,3,,Image 1,1,5,
Intensity Max,18,,Surface,4,,Image 1,1,5,
Intensity Max,15,,Surface,1,,Image 1,1,6,
Intensity Max,77,,Surface,2,,Image 1,1,6,
Intensity Max,4,,Surface,3,,Image 1,1,6,
Intensity Max,34,,Surface,4,,Image 1,1,6,
Intensity Max,19,,Surface,1,,Image 1,1,7,
Intensity Max,83,,Surface,2,,Image 1,1,7,
Intensity Max,8,,Surface,3,,Image 1,1,7,
Intensity Max,12,,Surface,4,,Image 1,1,7,
Intensity Max,26,,Surface,1,,Image 1,1,8,
Intensity Max,87,,Surface,2,,Image 1,1,8,
Intensity Max,4,,Surface,3,,Image 1,1,8,
Intensity Max,13,,Surface,4,,Image 1,1,8,
Intensity Mean,4.57143,,Surface,1,,Image 1,1,0,
Intensity Mean,54.7143,,Surface,2,,Image 1,1,0,
Intensity Mean,0,,Surface,3,,Image 1,1,0,
Intensity Mean,3.80952,,Surface,4,,Image 1,1,0,
Intensity Mean,2.34211,,Surface,1,,Image 1,1,1,
Intensity Mean,48.2895,,Surface,2,,Image 1,1,1,
Intensity Mean,1.18421,,Surface,3,,Image 1,1,1,
Intensity Mean,6.13158,,Surface,4,,Image 1,1,1,
Intensity Mean,0.916667,,Surface,1,,Image 1,1,2,
Intensity Mean,19.0833,,Surface,2,,Image 1,1,2,
Intensity Mean,0.833333,,Surface,3,,Image 1,1,2,
Intensity Mean,0.416667,,Surface,4,,Image 1,1,2,
Intensity Mean,5.14703,,Surface,1,,Image 1,1,3,
Intensity Mean,40.2941,,Surface,2,,Image 1,1,3,
Intensity Mean,0.279208,,Surface,3,,Image 1,1,3,
Intensity Mean,28.9842,,Surface,4,,Image 1,1,3,
Intensity Mean,5.06402,,Surface,1,,Image 1,1,4,
Intensity Mean,31.3128,,Surface,2,,Image 1,1,4,
Intensity Mean,0.361358,,Surface,3,,Image 1,1,4,
Intensity Mean,12.6182,,Surface,4,,Image 1,1,4,
Intensity Mean,2.31507,,Surface,1,,Image 1,1,5,
Intensity Mean,25.5616,,Surface,2,,Image 1,1,5,
Intensity Mean,0.671233,,Surface,3,,Image 1,1,5,
Intensity Mean,5.53425,,Surface,4,,Image 1,1,5,
Intensity Mean,4.93236,,Surface,1,,Image 1,1,6,
Intensity Mean,43.4297,,Surface,2,,Image 1,1,6,
Intensity Mean,0.287798,,Surface,3,,Image 1,1,6,
Intensity Mean,6.19363,,Surface,4,,Image 1,1,6,
Intensity Mean,3.85355,,Surface,1,,Image 1,1,7,
Intensity Mean,33.6407,,Surface,2,,Image 1,1,7,
Intensity Mean,0.519451,,Surface,3,,Image 1,1,7,
Intensity Mean,1.30435,,Surface,4,,Image 1,1,7,
Intensity Mean,5.2763,,Surface,1,,Image 1,1,8,
Intensity Mean,32.6833,,Surface,2,,Image 1,1,8,
Intensity Mean,0.260361,,Surface,3,,Image 1,1,8,
Intensity Mean,3.36451,,Surface,4,,Image 1,1,8,
Intensity Median,4.996,,Surface,1,,Image 1,1,0,
Intensity Median,56.998,,Surface,2,,Image 1,1,0,
Intensity Median,0,,Surface,3,,Image 1,1,0,
Intensity Median,3.998,,Surface,4,,Image 1,1,0,
Intensity Median,2.0005,,Surface,1,,Image 1,1,1,
Intensity Median,47.008,,Surface,2,,Image 1,1,1,
Intensity Median,0.002,,Surface,3,,Image 1,1,1,
Intensity Median,5.998,,Surface,4,,Image 1,1,1,
Intensity Median,0.9995,,Surface,1,,Image 1,1,2,
Intensity Median,18.5,,Surface,2,,Image 1,1,2,
Intensity Median,0.9995,,Surface,3,,Image 1,1,2,
Intensity Median,0.00025,,Surface,4,,Image 1,1,2,
Intensity Median,5.016,,Surface,1,,Image 1,1,3,
Intensity Median,39.024,,Surface,2,,Image 1,1,3,
Intensity Median,0.002,,Surface,3,,Image 1,1,3,
Intensity Median,28.016,,Surface,4,,Image 1,1,3,
Intensity Median,5,,Surface,1,,Image 1,1,4,
Intensity Median,31.04,,Surface,2,,Image 1,1,4,
Intensity Median,0.002,,Surface,3,,Image 1,1,4,
Intensity Median,11.976,,Surface,4,,Image 1,1,4,
Intensity Median,1.998,,Surface,1,,Image 1,1,5,
Intensity Median,22.996,,Surface,2,,Image 1,1,5,
Intensity Median,0.0005,,Surface,3,,Image 1,1,5,
Intensity Median,4,,Surface,4,,Image 1,1,5,
Intensity Median,4.992,,Surface,1,,Image 1,1,6,
Intensity Median,42,,Surface,2,,Image 1,1,6,
Intensity Median,0,,Surface,3,,Image 1,1,6,
Intensity Median,5.004,,Surface,4,,Image 1,1,6,
Intensity Median,2.992,,Surface,1,,Image 1,1,7,
Intensity Median,33.024,,Surface,2,,Image 1,1,7,
