
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0717905,um^2,Surface,,,,1,20,
Area,1.73384,um^2,Surface,,,,1,22,
Area,4.77115,um^2,Surface,,,,1,23,
Area,10.0447,um^2,Surface,,,,1,24,
Area,261.506,um^2,Surface,,,,1,25,
Area,11.8717,um^2,Surface,,,,1,32,
Area,16.324,um^2,Surface,,,,1,33,
Area,2.89041,um^2,Surface,,,,1,34,
Area,4.38419,um^2,Surface,,,,1,36,
Area,8.43117,um^2,Surface,,,,1,37,
Distance from Origin,117.88,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,127.346,um,Surface,,Distance from Origin,,1,22,
Distance from Origin,127.957,um,Surface,,Distance from Origin,,1,23,
Distance from Origin,129.884,um,Surface,,Distance from Origin,,1,24,
Distance from Origin,132.178,um,Surface,,Distance from Origin,,1,25,
Distance from Origin,122.298,um,Surface,,Distance from Origin,,1,32,
Distance from Origin,122.028,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,123.692,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,117.818,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,120.162,um,Surface,,Distance from Origin,,1,37,
Distance to Image Border XY,7.47467,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,20.2703,um,Surface,,,Image 1,1,22,
Distance to Image Border XY,20.4538,um,Surface,,,Image 1,1,23,
Distance to Image Border XY,17.5905,um,Surface,,,Image 1,1,24,
Distance to Image Border XY,11.8028,um,Surface,,,Image 1,1,25,
Distance to Image Border XY,21.4945,um,Surface,,,Image 1,1,32,
Distance to Image Border XY,20.7453,um,Surface,,,Image 1,1,33,
Distance to Image Border XY,22.675,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,18.6082,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,21.9608,um,Surface,,,Image 1,1,37,
Ellipticity (oblate),0.525643,,Surface,,,,1,20,
Ellipticity (oblate),0.307148,,Surface,,,,1,22,
Ellipticity (oblate),0.46207,,Surface,,,,1,23,
Ellipticity (oblate),0.200655,,Surface,,,,1,24,
Ellipticity (oblate),0.0504001,,Surface,,,,1,25,
Ellipticity (oblate),0.474457,,Surface,,,,1,32,
Ellipticity (oblate),0.361425,,Surface,,,,1,33,
Ellipticity (oblate),0.352802,,Surface,,,,1,34,
Ellipticity (oblate),0.203022,,Surface,,,,1,36,
Ellipticity (oblate),0.466512,,Surface,,,,1,37,
Ellipticity (prolate),0.303717,,Surface,,,,1,20,
Ellipticity (prolate),0.567266,,Surface,,,,1,22,
Ellipticity (prolate),0.401517,,Surface,,,,1,23,
Ellipticity (prolate),0.575292,,Surface,,,,1,24,
Ellipticity (prolate),0.747788,,Surface,,,,1,25,
Ellipticity (prolate),0.371703,,Surface,,,,1,32,
Ellipticity (prolate),0.531443,,Surface,,,,1,33,
Ellipticity (prolate),0.434481,,Surface,,,,1,34,
Ellipticity (prolate),0.591294,,Surface,,,,1,36,
Ellipticity (prolate),0.286524,,Surface,,,,1,37,
Generation,0,,Surface,,,,1,20,
Generation,0,,Surface,,,,1,22,
Generation,0,,Surface,,,,1,23,
Generation,0,,Surface,,,,1,24,
Generation,0,,Surface,,,,1,25,
Generation,0,,Surface,,,,1,32,
Generation,0,,Surface,,,,1,33,
Generation,0,,Surface,,,,1,34,
Generation,0,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,37,
Intensity Max,0,,Surface,1,,Image 1,1,20,
