
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,91.1461,um^2,Surface,,,,1,500,
Area,72.4331,um^2,Surface,,,,1,502,
Area,1265.68,um^2,Surface,,,,1,509,
Distance from Origin,130.613,um,Surface,,Distance from Origin,,1,500,
Distance from Origin,138.284,um,Surface,,Distance from Origin,,1,502,
Distance from Origin,125.274,um,Surface,,Distance from Origin,,1,509,
Distance to Image Border XY,10.1854,um,Surface,,,Image 1,1,500,
Distance to Image Border XY,0.38401,um,Surface,,,Image 1,1,502,
Distance to Image Border XY,9.65547,um,Surface,,,Image 1,1,509,
Ellipticity (oblate),0.082062,,Surface,,,,1,500,
Ellipticity (oblate),0.0866947,,Surface,,,,1,502,
Ellipticity (oblate),0.347508,,Surface,,,,1,509,
Ellipticity (prolate),0.913009,,Surface,,,,1,500,
Ellipticity (prolate),0.759282,,Surface,,,,1,502,
Ellipticity (prolate),0.496568,,Surface,,,,1,509,
Generation,0,,Surface,,,,1,500,
Generation,0,,Surface,,,,1,502,
Generation,0,,Surface,,,,1,509,
Intensity Max,11,,Surface,1,,Image 1,1,500,
Intensity Max,7,,Surface,2,,Image 1,1,500,
Intensity Max,12,,Surface,3,,Image 1,1,500,
Intensity Max,11,,Surface,4,,Image 1,1,500,
Intensity Max,11,,Surface,5,,Image 1,1,500,
Intensity Max,16,,Surface,1,,Image 1,1,502,
Intensity Max,5,,Surface,2,,Image 1,1,502,
Intensity Max,5,,Surface,3,,Image 1,1,502,
Intensity Max,12,,Surface,4,,Image 1,1,502,
Intensity Max,16,,Surface,5,,Image 1,1,502,
Intensity Max,113,,Surface,1,,Image 1,1,509,
Intensity Max,120,,Surface,2,,Image 1,1,509,
Intensity Max,140,,Surface,3,,Image 1,1,509,
Intensity Max,45,,Surface,4,,Image 1,1,509,
Intensity Max,113,,Surface,5,,Image 1,1,509,
Intensity Mean,0.00551307,,Surface,1,,Image 1,1,500,
Intensity Mean,0.0365838,,Surface,2,,Image 1,1,500,
Intensity Mean,0.160453,,Surface,3,,Image 1,1,500,
Intensity Mean,1.10497,,Surface,4,,Image 1,1,500,
Intensity Mean,0.00551307,,Surface,5,,Image 1,1,500,
Intensity Mean,0.285467,,Surface,1,,Image 1,1,502,
Intensity Mean,0.074269,,Surface,2,,Image 1,1,502,
Intensity Mean,0.006166,,Surface,3,,Image 1,1,502,
Intensity Mean,1.23676,,Surface,4,,Image 1,1,502,
Intensity Mean,0.285467,,Surface,5,,Image 1,1,502,
Intensity Mean,0.65572,,Surface,1,,Image 1,1,509,
Intensity Mean,3.49174,,Surface,2,,Image 1,1,509,
Intensity Mean,5.65446,,Surface,3,,Image 1,1,509,
Intensity Mean,3.83586,,Surface,4,,Image 1,1,509,
Intensity Mean,0.65572,,Surface,5,,Image 1,1,509,
Intensity Median,0.004,,Surface,1,,Image 1,1,500,
Intensity Median,0.002,,Surface,2,,Image 1,1,500,
Intensity Median,0.004,,Surface,3,,Image 1,1,500,
Intensity Median,0.996,,Surface,4,,Image 1,1,500,
Intensity Median,0.004,,Surface,5,,Image 1,1,500,
Intensity Median,0.004,,Surface,1,,Image 1,1,502,
Intensity Median,0.002,,Surface,2,,Image 1,1,502,
Intensity Median,0.002,,Surface,3,,Image 1,1,502,
Intensity Median,0.996,,Surface,4,,Image 1,1,502,
Intensity Median,0.004,,Surface,5,,Image 1,1,502,
Intensity Median,0.032,,Surface,1,,Image 1,1,509,
Intensity Median,0.032,,Surface,2,,Image 1,1,509,
Intensity Median,0.064,,Surface,3,,Image 1,1,509,
Intensity Median,2.992,,Surface,4,,Image 1,1,509,
Intensity Median,0.032,,Surface,5,,Image 1,1,509,
Intensity Min,0,,Surface,1,,Image 1,1,500,
Intensity Min,0,,Surface,2,,Image 1,1,500,
Intensity Min,0,,Surface,3,,Image 1,1,500,
Intensity Min,0,,Surface,4,,Image 1,1,500,
Intensity Min,0,,Surface,5,,Image 1,1,500,
Intensity Min,0,,Surface,1,,Image 1,1,502,
Intensity Min,0,,Surface,2,,Image 1,1,502,
Intensity Min,0,,Surface,3,,Image 1,1,502,
Intensity Min,0,,Surface,4,,Image 1,1,502,
Intensity Min,0,,Surface,5,,Image 1,1,502,
Intensity Min,0,,Surface,1,,Image 1,1,509,
Intensity Min,0,,Surface,2,,Image 1,1,509,
Intensity Min,0,,Surface,3,,Image 1,1,509,
Intensity Min,0,,Surface,4,,Image 1,1,509,
Intensity Min,0,,Surface,5,,Image 1,1,509,
Intensity StdDev,0.132235,,Surface,1,,Image 1,1,500,
Intensity StdDev,0.251657,,Surface,2,,Image 1,1,500,
Intensity StdDev,0.551408,,Surface,3,,Image 1,1,500,
Intensity StdDev,1.27491,,Surface,4,,Image 1,1,500,
Intensity StdDev,0.132235,,Surface,5,,Image 1,1,500,
Intensity StdDev,1.00515,,Surface,1,,Image 1,1,502,
Intensity StdDev,0.331572,,Surface,2,,Image 1,1,502,
Intensity StdDev,0.0955967,,Surface,3,,Image 1,1,502,
Intensity StdDev,1.49552,,Surface,4,,Image 1,1,502,
Intensity StdDev,1.00515,,Surface,5,,Image 1,1,502,
Intensity StdDev,3.41143,,Surface,1,,Image 1,1,509,
Intensity StdDev,7.2826,,Surface,2,,Image 1,1,509,
Intensity StdDev,12.163,,Surface,3,,Image 1,1,509,
Intensity StdDev,3.76287,,Surface,4,,Image 1,1,509,
Intensity StdDev,3.41143,,Surface,5,,Image 1,1,509,
Intensity Sum,519,,Surface,1,,Image 1,1,500,
Intensity Sum,3444,,Surface,2,,Image 1,1,500,
Intensity Sum,15105,,Surface,3,,Image 1,1,500,
Intensity Sum,104022,,Surface,4,,Image 1,1,500,
Intensity Sum,519,,Surface,5,,Image 1,1,500,
Intensity Sum,23704,,Surface,1,,Image 1,1,502,
Intensity Sum,6167,,Surface,2,,Image 1,1,502,
Intensity Sum,512,,Surface,3,,Image 1,1,502,
Intensity Sum,102696,,Surface,4,,Image 1,1,502,
Intensity Sum,23704,,Surface,5,,Image 1,1,502,
Intensity Sum,1.14319e+06,,Surface,1,,Image 1,1,509,
Intensity Sum,6.08752e+06,,Surface,2,,Image 1,1,509,
Intensity Sum,9.85803e+06,,Surface,3,,Image 1,1,509,
Intensity Sum,6.68748e+06,,Surface,4,,Image 1,1,509,
Intensity Sum,1.14319e+06,,Surface,5,,Image 1,1,509,
Number of Disconnected Components,1,,Surface,,,,1,500,
Number of Disconnected Components,1,,Surface,,,,1,502,
Number of Disconnected Components,1,,Surface,,,,1,509,
Position X,89.3045,um,Surface,,Position,,1,500,
Position X,93.7539,um,Surface,,Position,,1,502,
Position X,93.3807,um,Surface,,Position,,1,509,
Position Y,91.5619,um,Surface,,Position,,1,500,
Position Y,100.012,um,Surface,,Position,,1,502,
Position Y,83.0257,um,Surface,,Position,,1,509,
Position Z,26.4735,um,Surface,,Position,,1,500,
Position Z,18.1741,um,Surface,,Position,,1,502,
Position Z,8.96055,um,Surface,,Position,,1,509,
Sphericity,0.574365,,Surface,,,,1,500,
Sphericity,0.665185,,Surface,,,,1,502,
Sphericity,0.293068,,Surface,,,,1,509,
Time,0,s,Surface,,,,1,500,
Time,0,s,Surface,,,,1,502,
Time,0,s,Surface,,,,1,509,
Time Index,1,,Surface,,,,1,500,
Time Index,1,,Surface,,,,1,502,
Time Index,1,,Surface,,,,1,509,
Volume,35.6175,um^3,Surface,,,,1,500,
Volume,31.448,um^3,Surface,,,,1,502,
