
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,5.49429,um^2,Surface,,,,1,50,
Area,4.51375,um^2,Surface,,,,1,52,
Area,1.83784,um^2,Surface,,,,1,53,
Area,1.09307,um^2,Surface,,,,1,56,
Area,2.31647,um^2,Surface,,,,1,57,
Area,21.6494,um^2,Surface,,,,1,59,
Area,23.0212,um^2,Surface,,,,1,60,
Area,4.1078,um^2,Surface,,,,1,61,
Area,7.90768,um^2,Surface,,,,1,64,
Area,2.64902,um^2,Surface,,,,1,68,
Area,4.53369,um^2,Surface,,,,1,71,
Area,2.80278,um^2,Surface,,,,1,74,
Area,6.2469,um^2,Surface,,,,1,77,
Area,4.27753,um^2,Surface,,,,1,80,
Area,9.45688,um^2,Surface,,,,1,82,
Area,2.08601,um^2,Surface,,,,1,86,
Area,2.30511,um^2,Surface,,,,1,88,
Area,0.0260185,um^2,Surface,,,,1,91,
Area,0.00478054,um^2,Surface,,,,1,94,
Area,4.69273,um^2,Surface,,,,1,95,
Area,3.46357,um^2,Surface,,,,1,96,
Area,3.53923,um^2,Surface,,,,1,99,
Area,3.02765,um^2,Surface,,,,1,100,
Area,12.0232,um^2,Surface,,,,1,101,
Area,2.97108,um^2,Surface,,,,1,103,
Area,6.97988,um^2,Surface,,,,1,104,
Area,4.36968,um^2,Surface,,,,1,105,
Area,10.0961,um^2,Surface,,,,1,106,
Area,3.72039,um^2,Surface,,,,1,107,
Distance from Origin,135.097,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,138.161,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,138.666,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,139.661,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,139.459,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,134.071,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,132.985,um,Surface,,Distance from Origin,,1,60,
Distance from Origin,131.051,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,131.772,um,Surface,,Distance from Origin,,1,64,
Distance from Origin,127.814,um,Surface,,Distance from Origin,,1,68,
Distance from Origin,125.68,um,Surface,,Distance from Origin,,1,71,
Distance from Origin,122.576,um,Surface,,Distance from Origin,,1,74,
Distance from Origin,118.647,um,Surface,,Distance from Origin,,1,77,
Distance from Origin,117.136,um,Surface,,Distance from Origin,,1,80,
Distance from Origin,127.54,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,129.551,um,Surface,,Distance from Origin,,1,86,
Distance from Origin,128.196,um,Surface,,Distance from Origin,,1,88,
Distance from Origin,122.078,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,121.658,um,Surface,,Distance from Origin,,1,94,
Distance from Origin,120.712,um,Surface,,Distance from Origin,,1,95,
Distance from Origin,119.935,um,Surface,,Distance from Origin,,1,96,
Distance from Origin,121.497,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,122.467,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,121.335,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,122.785,um,Surface,,Distance from Origin,,1,103,
Distance from Origin,122.75,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,120.828,um,Surface,,Distance from Origin,,1,105,
Distance from Origin,116.573,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,115.58,um,Surface,,Distance from Origin,,1,107,
Distance to Image Border XY,14.4351,um,Surface,,,Image 1,1,50,
Distance to Image Border XY,4.87653,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,3.8602,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,13.4702,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,13.674,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,13.5628,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,15.525,um,Surface,,,Image 1,1,60,
Distance to Image Border XY,17.7047,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,16.9406,um,Surface,,,Image 1,1,64,
Distance to Image Border XY,20.126,um,Surface,,,Image 1,1,68,
Distance to Image Border XY,20.8202,um,Surface,,,Image 1,1,71,
Distance to Image Border XY,21.3154,um,Surface,,,Image 1,1,74,
Distance to Image Border XY,20.5573,um,Surface,,,Image 1,1,77,
Distance to Image Border XY,19.0034,um,Surface,,,Image 1,1,80,
Distance to Image Border XY,18.4866,um,Surface,,,Image 1,1,82,
Distance to Image Border XY,18.0573,um,Surface,,,Image 1,1,86,
Distance to Image Border XY,19.6736,um,Surface,,,Image 1,1,88,
Distance to Image Border XY,21.5354,um,Surface,,,Image 1,1,91,
Distance to Image Border XY,22.1232,um,Surface,,,Image 1,1,94,
Distance to Image Border XY,21.4137,um,Surface,,,Image 1,1,95,
Distance to Image Border XY,20.5572,um,Surface,,,Image 1,1,96,
Distance to Image Border XY,22.5077,um,Surface,,,Image 1,1,99,
Distance to Image Border XY,20.7037,um,Surface,,,Image 1,1,100,
Distance to Image Border XY,19.2805,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,21.5312,um,Surface,,,Image 1,1,103,
Distance to Image Border XY,20.9794,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,21.5969,um,Surface,,,Image 1,1,105,
Distance to Image Border XY,17.7247,um,Surface,,,Image 1,1,106,
Distance to Image Border XY,17.8502,um,Surface,,,Image 1,1,107,
Ellipticity (oblate),0.600775,,Surface,,,,1,50,
Ellipticity (oblate),0.128946,,Surface,,,,1,52,
Ellipticity (oblate),0.303746,,Surface,,,,1,53,
Ellipticity (oblate),0.129702,,Surface,,,,1,56,
Ellipticity (oblate),0.141172,,Surface,,,,1,57,
Ellipticity (oblate),0.557617,,Surface,,,,1,59,
Ellipticity (oblate),0.462746,,Surface,,,,1,60,
Ellipticity (oblate),0.156607,,Surface,,,,1,61,
Ellipticity (oblate),0.0592731,,Surface,,,,1,64,
Ellipticity (oblate),0.362229,,Surface,,,,1,68,
Ellipticity (oblate),0.314121,,Surface,,,,1,71,
Ellipticity (oblate),0.330981,,Surface,,,,1,74,
Ellipticity (oblate),0.232727,,Surface,,,,1,77,
Ellipticity (oblate),0.332855,,Surface,,,,1,80,
Ellipticity (oblate),0.129058,,Surface,,,,1,82,
Ellipticity (oblate),0.261273,,Surface,,,,1,86,
Ellipticity (oblate),0.33587,,Surface,,,,1,88,
Ellipticity (oblate),0.159636,,Surface,,,,1,91,
Ellipticity (oblate),0.413189,,Surface,,,,1,94,
Ellipticity (oblate),0.4325,,Surface,,,,1,95,
Ellipticity (oblate),0.264785,,Surface,,,,1,96,
Ellipticity (oblate),0.289424,,Surface,,,,1,99,
Ellipticity (oblate),0.308594,,Surface,,,,1,100,
Ellipticity (oblate),0.353173,,Surface,,,,1,101,
Ellipticity (oblate),0.289199,,Surface,,,,1,103,
Ellipticity (oblate),0.21728,,Surface,,,,1,104,
Ellipticity (oblate),0.174954,,Surface,,,,1,105,
Ellipticity (oblate),0.129649,,Surface,,,,1,106,
Ellipticity (oblate),0.451101,,Surface,,,,1,107,
Ellipticity (prolate),0.201663,,Surface,,,,1,50,
Ellipticity (prolate),0.883137,,Surface,,,,1,52,
Ellipticity (prolate),0.629152,,Surface,,,,1,53,
Ellipticity (prolate),0.742972,,Surface,,,,1,56,
Ellipticity (prolate),0.750136,,Surface,,,,1,57,
Ellipticity (prolate),0.223786,,Surface,,,,1,59,
Ellipticity (prolate),0.378997,,Surface,,,,1,60,
Ellipticity (prolate),0.735286,,Surface,,,,1,61,
Ellipticity (prolate),0.666593,,Surface,,,,1,64,
Ellipticity (prolate),0.498112,,Surface,,,,1,68,
Ellipticity (prolate),0.598805,,Surface,,,,1,71,
Ellipticity (prolate),0.568499,,Surface,,,,1,74,
Ellipticity (prolate),0.431753,,Surface,,,,1,77,
