
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,1.62288,um^2,Surface,,,,1,0,
Area,2.59458,um^2,Surface,,,,1,1,
Area,0.0292619,um^2,Surface,,,,1,2,
Area,47.4208,um^2,Surface,,,,1,3,
Area,2.30512,um^2,Surface,,,,1,4,
Area,0.0553044,um^2,Surface,,,,1,5,
Area,0.0928682,um^2,Surface,,,,1,6,
Area,0.107438,um^2,Surface,,,,1,7,
Area,0.00999815,um^2,Surface,,,,1,8,
Area,17.2749,um^2,Surface,,,,1,9,
Area,0.009999,um^2,Surface,,,,1,10,
Area,8.27038,um^2,Surface,,,,1,11,
Area,1.65736,um^2,Surface,,,,1,12,
Area,4.28475,um^2,Surface,,,,1,13,
Area,9.7041,um^2,Surface,,,,1,14,
Area,2.86871,um^2,Surface,,,,1,15,
Area,5.99889,um^2,Surface,,,,1,16,
Area,6.50272,um^2,Surface,,,,1,17,
Area,4.35472,um^2,Surface,,,,1,18,
Area,8.66048,um^2,Surface,,,,1,19,
Area,0.0442035,um^2,Surface,,,,1,20,
Area,0.0616079,um^2,Surface,,,,1,21,
Area,11.3835,um^2,Surface,,,,1,22,
Area,3.82686,um^2,Surface,,,,1,23,
Area,0.729915,um^2,Surface,,,,1,24,
Area,1.27882,um^2,Surface,,,,1,25,
Area,5.89517,um^2,Surface,,,,1,26,
Contact surface area,0.4475,um,Surface,,,,,0,
Contact surface area,0.02,um,Surface,,,,,1,
Contact surface area,0.7675,um,Surface,,,,,2,
Contact surface area,3.5475,um,Surface,,,,,3,
Contact surface area,2.68,um,Surface,,,,,4,
Contact surface area,5.275,um,Surface,,,,,5,
Contact surface area,0.03,um,Surface,,,,,6,
Contact surface area,6.945,um,Surface,,,,,7,
Contact surface area,2.315,um,Surface,,,,,8,
Contact surface area,3.7075,um,Surface,,,,,9,
Contact surface area,3.92,um,Surface,,,,,10,
Contact surface area,1.0025,um,Surface,,,,,11,
Contact surface area,2.595,um,Surface,,,,,12,
Contact surface area,1.685,um,Surface,,,,,13,
Contact surface area,0.005,um,Surface,,,,,14,
Contact surface area,0.005,um,Surface,,,,,15,
Contact surface area,5.01,um,Surface,,,,,16,
Contact surface area,5.915,um,Surface,,,,,17,
Contact surface area,0.0125,um,Surface,,,,,18,
Contact surface area,28.97,um,Surface,,,,,19,
Contact surface area,1.3875,um,Surface,,,,,20,
Contact surface area,0.0325,um,Surface,,,,,21,
Contact surface area,0.055,um,Surface,,,,,22,
Contact surface area,0.06,um,Surface,,,,,23,
Contact surface area,10.4625,um,Surface,,,,,24,
Contact surface area,1.525,um,Surface,,,,,25,
Contact surface area,0.94,um,Surface,,,,,26,
Distance from Origin,139.593,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,139.665,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,133.8,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,134.362,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,133.063,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,132.55,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,132.064,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,132.645,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,132.837,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,132.645,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,131.625,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,131.075,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,129.804,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,128.289,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,131.347,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,128.404,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,127.798,um,Surface,,Distance from Origin,,1,16,
Distance from Origin,126.679,um,Surface,,Distance from Origin,,1,17,
Distance from Origin,126,um,Surface,,Distance from Origin,,1,18,
Distance from Origin,122.495,um,Surface,,Distance from Origin,,1,19,
Distance from Origin,120.738,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,121.377,um,Surface,,Distance from Origin,,1,21,
Distance from Origin,121.764,um,Surface,,Distance from Origin,,1,22,
Distance from Origin,122.397,um,Surface,,Distance from Origin,,1,23,
