
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,1.97379,um^2,Dendrite,,0,,1,,1,,100000000,510000000001,
Dendrite Area,12.9613,um^2,Dendrite,,1,,1,,1,,100000000,510000000003,
Dendrite Area,8.64318,um^2,Dendrite,,2,,1,,1,,100000000,510000000013,
Dendrite Area,11.5753,um^2,Dendrite,,3,,1,,1,,100000000,510000000021,
Dendrite Area,3.54252,um^2,Dendrite,,4,,1,,1,,100000000,510000000039,
Dendrite Area,4.81713,um^2,Dendrite,,5,,1,,1,,100000000,510000000046,
Dendrite Area,10.9558,um^2,Dendrite,,6,,2,,1,,100000000,510000000057,
Dendrite Area,3.08452,um^2,Dendrite,,7,,2,,1,,100000000,510000000083,
Dendrite Area,11.2141,um^2,Dendrite,,1,,2,,1,,100000000,510000000092,
Dendrite Area,21.1395,um^2,Dendrite,,2,,3,,1,,100000000,510000000101,
Dendrite Area,5.10975,um^2,Dendrite,,3,,4,,1,,100000000,510000000129,
Dendrite Area,13.4738,um^2,Dendrite,,4,,4,,1,,100000000,510000000141,
Dendrite Area,8.27442,um^2,Dendrite,,3,,3,,1,,100000000,510000000169,
Dendrite Area,15.1642,um^2,Dendrite,,4,,2,,1,,100000000,510000000184,
Dendrite Area,8.7333,um^2,Dendrite,,5,,2,,1,,100000000,510000000224,
Dendrite Area,47.2604,um^2,Dendrite,,2,,2,,1,,100000000,510000000246,
Dendrite Area,35.704,um^2,Dendrite,,3,,3,,1,,100000000,510000000327,
Dendrite Area,2.131,um^2,Dendrite,,4,,4,,1,,100000000,510000000400,
Dendrite Area,23.0777,um^2,Dendrite,,3,,2,,1,,100000000,510000000404,
Dendrite Area,7.76589,um^2,Dendrite,,4,,3,,1,,100000000,510000000451,
Dendrite Area,0.593886,um^2,Dendrite,,5,,4,,1,,100000000,510000000471,
Dendrite Area,22.6128,um^2,Dendrite,,6,,5,,1,,100000000,510000000473,
Dendrite Area,10.6822,um^2,Dendrite,,7,,3,,1,,100000000,510000000576,
Dendrite Area,56.1525,um^2,Dendrite,,3,,2,,1,,100000000,510000000721,
Dendrite Area,20.8269,um^2,Dendrite,,6,,4,,1,,100000000,510000000822,
Dendrite Area,7.84698,um^2,Dendrite,,4,,2,,1,,100000000,510000000899,
Dendrite Area,11.6504,um^2,Dendrite,,4,,3,,1,,100000000,510000000962,
Dendrite Area,18.6114,um^2,Dendrite,,5,,3,,1,,100000000,510000000988,
Dendrite Area,7.10729,um^2,Dendrite,,4,,5,,1,,100000000,510000001087,
Dendrite Area,19.5906,um^2,Dendrite,,2,,2,,1,,100000000,510000001104,
Dendrite Area,3.95493,um^2,Dendrite,,3,,2,,1,,100000000,510000001131,
Dendrite Area,5.49606,um^2,Dendrite,,4,,2,,1,,100000000,510000001138,
Dendrite Area,11.5702,um^2,Dendrite,,5,,3,,1,,100000000,510000001147,
Dendrite Area,11.0394,um^2,Dendrite,,3,,3,,1,,100000000,510000001178,
Dendrite Area,11.2695,um^2,Dendrite,,4,,3,,1,,100000000,510000001243,
Dendrite Area,8.16623,um^2,Dendrite,,6,,1,,1,,100000000,510000001272,
Dendrite Area,7.44997,um^2,Dendrite,,5,,2,,1,,100000000,510000001314,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000000,510000000001,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000003,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000000013,
Dendrite Branch Depth,3,,Dendrite,,3,,1,,1,,100000000,510000000021,
Dendrite Branch Depth,4,,Dendrite,,4,,1,,1,,100000000,510000000039,
Dendrite Branch Depth,5,,Dendrite,,5,,1,,1,,100000000,510000000046,
