
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,10.3573,um^2,Surface,,,,1,118,
Area,7.09826,um^2,Surface,,,,1,123,
Area,2.51606,um^2,Surface,,,,1,124,
Area,11.9749,um^2,Surface,,,,1,125,
Area,39.837,um^2,Surface,,,,1,126,
Area,9.81325,um^2,Surface,,,,1,127,
Area,4.43675,um^2,Surface,,,,1,132,
Area,6.00472,um^2,Surface,,,,1,134,
Area,5.23485,um^2,Surface,,,,1,137,
Area,4.35988,um^2,Surface,,,,1,138,
Area,0.769624,um^2,Surface,,,,1,139,
Area,8.85381,um^2,Surface,,,,1,142,
Area,8.02538,um^2,Surface,,,,1,146,
Area,7.10011,um^2,Surface,,,,1,147,
Area,7.67506,um^2,Surface,,,,1,148,
Area,2.83907,um^2,Surface,,,,1,149,
Area,5.77114,um^2,Surface,,,,1,150,
Area,8.10869,um^2,Surface,,,,1,151,
Area,5.14537,um^2,Surface,,,,1,152,
Area,9.56484,um^2,Surface,,,,1,155,
Area,4.67489,um^2,Surface,,,,1,156,
Area,5.80142,um^2,Surface,,,,1,157,
Area,10.9465,um^2,Surface,,,,1,158,
Area,20.4889,um^2,Surface,,,,1,165,
Area,3.6111,um^2,Surface,,,,1,167,
Area,12.181,um^2,Surface,,,,1,169,
Area,7.29121,um^2,Surface,,,,1,175,
Area,12.686,um^2,Surface,,,,1,177,
Area,7.19564,um^2,Surface,,,,1,183,
Area,8.15816,um^2,Surface,,,,1,188,
Area,6.37078,um^2,Surface,,,,1,190,
Area,5.56129,um^2,Surface,,,,1,192,
Area,25.7569,um^2,Surface,,,,1,194,
Area,7.06173,um^2,Surface,,,,1,198,
Area,5.53998,um^2,Surface,,,,1,199,
Area,12.2606,um^2,Surface,,,,1,201,
Area,8.88596,um^2,Surface,,,,1,202,
Area,33.5434,um^2,Surface,,,,1,204,
Area,21.1819,um^2,Surface,,,,1,206,
Area,12.9106,um^2,Surface,,,,1,212,
Area,0.0342764,um^2,Surface,,,,1,230,
Area,0.0167615,um^2,Surface,,,,1,231,
Area,0.00760317,um^2,Surface,,,,1,232,
Area,8.19547,um^2,Surface,,,,1,233,
Area,6.53238,um^2,Surface,,,,1,234,
Area,6.29475,um^2,Surface,,,,1,235,
Area,11.7579,um^2,Surface,,,,1,236,
Area,0.354888,um^2,Surface,,,,1,241,
Area,6.79795,um^2,Surface,,,,1,242,
Area,28.9863,um^2,Surface,,,,1,243,
Area,76.4712,um^2,Surface,,,,1,244,
Area,9.69903,um^2,Surface,,,,1,246,
Area,0.00421207,um^2,Surface,,,,1,247,
Area,0.0131043,um^2,Surface,,,,1,249,
Area,21.2933,um^2,Surface,,,,1,250,
Area,19.1298,um^2,Surface,,,,1,251,
Area,0.538397,um^2,Surface,,,,1,252,
Area,0.0610508,um^2,Surface,,,,1,253,
Area,21.1425,um^2,Surface,,,,1,254,
Distance from Origin,148.796,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,165.305,um,Surface,,Distance from Origin,,1,123,
Distance from Origin,123.223,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,125.899,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,137.069,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,165.031,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,118.628,um,Surface,,Distance from Origin,,1,132,
Distance from Origin,129.161,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,132.689,um,Surface,,Distance from Origin,,1,137,
Distance from Origin,137.278,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,131.135,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,146.052,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,152.587,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,157.124,um,Surface,,Distance from Origin,,1,147,
Distance from Origin,157.401,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,158.379,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,160.258,um,Surface,,Distance from Origin,,1,150,
Distance from Origin,166.248,um,Surface,,Distance from Origin,,1,151,
Distance from Origin,161.35,um,Surface,,Distance from Origin,,1,152,
Distance from Origin,160.168,um,Surface,,Distance from Origin,,1,155,
Distance from Origin,160.329,um,Surface,,Distance from Origin,,1,156,
Distance from Origin,136.072,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,136.521,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,159.132,um,Surface,,Distance from Origin,,1,165,
