
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,9.60377,um^2,Surface,,,,1,98,
Area,17.7404,um^2,Surface,,,,1,100,
Area,13.7397,um^2,Surface,,,,1,101,
Area,158.248,um^2,Surface,,,,1,117,
Area,206.629,um^2,Surface,,,,1,118,
Area,63.0757,um^2,Surface,,,,1,119,
Area,1313.47,um^2,Surface,,,,1,157,
Distance from Origin,129.448,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,165.8,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,164.57,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,174.477,um,Surface,,Distance from Origin,,1,117,
Distance from Origin,137.071,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,160.633,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,159.291,um,Surface,,Distance from Origin,,1,157,
Distance to Image Border XY,5.73924,um,Surface,,,Image 1,1,98,
Distance to Image Border XY,17.7374,um,Surface,,,Image 1,1,100,
Distance to Image Border XY,19.5347,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,21.0856,um,Surface,,,Image 1,1,117,
Distance to Image Border XY,7.92968,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,12.7746,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,7.58047,um,Surface,,,Image 1,1,157,
Ellipticity (oblate),0.491881,,Surface,,,,1,98,
Ellipticity (oblate),0.139368,,Surface,,,,1,100,
Ellipticity (oblate),0.505165,,Surface,,,,1,101,
Ellipticity (oblate),0.10532,,Surface,,,,1,117,
Ellipticity (oblate),0.138181,,Surface,,,,1,118,
Ellipticity (oblate),0.144187,,Surface,,,,1,119,
Ellipticity (oblate),0.228951,,Surface,,,,1,157,
Ellipticity (prolate),0.33236,,Surface,,,,1,98,
Ellipticity (prolate),0.831396,,Surface,,,,1,100,
Ellipticity (prolate),0.35277,,Surface,,,,1,101,
Ellipticity (prolate),0.501681,,Surface,,,,1,117,
Ellipticity (prolate),0.244901,,Surface,,,,1,118,
Ellipticity (prolate),0.300591,,Surface,,,,1,119,
Ellipticity (prolate),0.168214,,Surface,,,,1,157,
Generation,0,,Surface,,,,1,98,
Generation,0,,Surface,,,,1,100,
Generation,0,,Surface,,,,1,101,
Generation,0,,Surface,,,,1,117,
Generation,0,,Surface,,,,1,118,
Generation,0,,Surface,,,,1,119,
Generation,0,,Surface,,,,1,157,
Intensity Max,2,,Surface,1,,Image 1,1,98,
Intensity Max,85,,Surface,2,,Image 1,1,98,
Intensity Max,35,,Surface,3,,Image 1,1,98,
Intensity Max,17,,Surface,4,,Image 1,1,98,
Intensity Max,2,,Surface,5,,Image 1,1,98,
Intensity Max,85,,Surface,6,,Image 1,1,98,
Intensity Max,3,,Surface,1,,Image 1,1,100,
Intensity Max,4,,Surface,2,,Image 1,1,100,
Intensity Max,17,,Surface,3,,Image 1,1,100,
Intensity Max,75,,Surface,4,,Image 1,1,100,
Intensity Max,3,,Surface,5,,Image 1,1,100,
Intensity Max,4,,Surface,6,,Image 1,1,100,
Intensity Max,15,,Surface,1,,Image 1,1,101,
Intensity Max,13,,Surface,2,,Image 1,1,101,
Intensity Max,14,,Surface,3,,Image 1,1,101,
Intensity Max,40,,Surface,4,,Image 1,1,101,
Intensity Max,15,,Surface,5,,Image 1,1,101,
Intensity Max,13,,Surface,6,,Image 1,1,101,
Intensity Max,22,,Surface,1,,Image 1,1,117,
Intensity Max,14,,Surface,2,,Image 1,1,117,
Intensity Max,45,,Surface,3,,Image 1,1,117,
Intensity Max,80,,Surface,4,,Image 1,1,117,
Intensity Max,22,,Surface,5,,Image 1,1,117,
Intensity Max,14,,Surface,6,,Image 1,1,117,
Intensity Max,21,,Surface,1,,Image 1,1,118,
Intensity Max,43,,Surface,2,,Image 1,1,118,
Intensity Max,30,,Surface,3,,Image 1,1,118,
Intensity Max,78,,Surface,4,,Image 1,1,118,
Intensity Max,21,,Surface,5,,Image 1,1,118,
Intensity Max,43,,Surface,6,,Image 1,1,118,
Intensity Max,19,,Surface,1,,Image 1,1,119,
Intensity Max,20,,Surface,2,,Image 1,1,119,
Intensity Max,31,,Surface,3,,Image 1,1,119,
Intensity Max,77,,Surface,4,,Image 1,1,119,
Intensity Max,19,,Surface,5,,Image 1,1,119,
Intensity Max,20,,Surface,6,,Image 1,1,119,
Intensity Max,30,,Surface,1,,Image 1,1,157,
Intensity Max,167,,Surface,2,,Image 1,1,157,
Intensity Max,121,,Surface,3,,Image 1,1,157,
Intensity Max,111,,Surface,4,,Image 1,1,157,
Intensity Max,30,,Surface,5,,Image 1,1,157,
Intensity Max,167,,Surface,6,,Image 1,1,157,
Intensity Mean,0.0877732,,Surface,1,,Image 1,1,98,
Intensity Mean,24.0253,,Surface,2,,Image 1,1,98,
Intensity Mean,2.85946,,Surface,3,,Image 1,1,98,
Intensity Mean,5.41325,,Surface,4,,Image 1,1,98,
Intensity Mean,0.0877732,,Surface,5,,Image 1,1,98,
Intensity Mean,24.0253,,Surface,6,,Image 1,1,98,
Intensity Mean,0.00428779,,Surface,1,,Image 1,1,100,
Intensity Mean,0.0735465,,Surface,2,,Image 1,1,100,
Intensity Mean,0.597602,,Surface,3,,Image 1,1,100,
Intensity Mean,7.15138,,Surface,4,,Image 1,1,100,
Intensity Mean,0.00428779,,Surface,5,,Image 1,1,100,
Intensity Mean,0.0735465,,Surface,6,,Image 1,1,100,
Intensity Mean,1.36701,,Surface,1,,Image 1,1,101,
Intensity Mean,0.890537,,Surface,2,,Image 1,1,101,
Intensity Mean,0.504916,,Surface,3,,Image 1,1,101,
Intensity Mean,7.49605,,Surface,4,,Image 1,1,101,
Intensity Mean,1.36701,,Surface,5,,Image 1,1,101,
Intensity Mean,0.890537,,Surface,6,,Image 1,1,101,
Intensity Mean,0.229106,,Surface,1,,Image 1,1,117,
Intensity Mean,0.522924,,Surface,2,,Image 1,1,117,
Intensity Mean,1.01321,,Surface,3,,Image 1,1,117,
Intensity Mean,10.3049,,Surface,4,,Image 1,1,117,
Intensity Mean,0.229106,,Surface,5,,Image 1,1,117,
Intensity Mean,0.522924,,Surface,6,,Image 1,1,117,
Intensity Mean,0.280004,,Surface,1,,Image 1,1,118,
Intensity Mean,2.10466,,Surface,2,,Image 1,1,118,
Intensity Mean,0.862776,,Surface,3,,Image 1,1,118,
Intensity Mean,12.5865,,Surface,4,,Image 1,1,118,
Intensity Mean,0.280004,,Surface,5,,Image 1,1,118,
Intensity Mean,2.10466,,Surface,6,,Image 1,1,118,
Intensity Mean,0.199367,,Surface,1,,Image 1,1,119,
Intensity Mean,0.808784,,Surface,2,,Image 1,1,119,
Intensity Mean,0.923564,,Surface,3,,Image 1,1,119,
Intensity Mean,8.44834,,Surface,4,,Image 1,1,119,
Intensity Mean,0.199367,,Surface,5,,Image 1,1,119,
Intensity Mean,0.808784,,Surface,6,,Image 1,1,119,
Intensity Mean,0.365615,,Surface,1,,Image 1,1,157,
Intensity Mean,6.08874,,Surface,2,,Image 1,1,157,
Intensity Mean,4.29895,,Surface,3,,Image 1,1,157,
Intensity Mean,14.8787,,Surface,4,,Image 1,1,157,
Intensity Mean,0.365615,,Surface,5,,Image 1,1,157,
Intensity Mean,6.08874,,Surface,6,,Image 1,1,157,
Intensity Median,0.0005,,Surface,1,,Image 1,1,98,
Intensity Median,19.024,,Surface,2,,Image 1,1,98,
Intensity Median,1.984,,Surface,3,,Image 1,1,98,
Intensity Median,5,,Surface,4,,Image 1,1,98,
Intensity Median,0.0005,,Surface,5,,Image 1,1,98,
Intensity Median,19.024,,Surface,6,,Image 1,1,98,
Intensity Median,0.001,,Surface,1,,Image 1,1,100,
Intensity Median,0.001,,Surface,2,,Image 1,1,100,
Intensity Median,0.008,,Surface,3,,Image 1,1,100,
Intensity Median,2.976,,Surface,4,,Image 1,1,100,
Intensity Median,0.001,,Surface,5,,Image 1,1,100,
Intensity Median,0.001,,Surface,6,,Image 1,1,100,
Intensity Median,0.004,,Surface,1,,Image 1,1,101,
Intensity Median,0.004,,Surface,2,,Image 1,1,101,
Intensity Median,0.004,,Surface,3,,Image 1,1,101,
Intensity Median,5.008,,Surface,4,,Image 1,1,101,
Intensity Median,0.004,,Surface,5,,Image 1,1,101,
Intensity Median,0.004,,Surface,6,,Image 1,1,101,
Intensity Median,0.008,,Surface,1,,Image 1,1,117,
Intensity Median,0.004,,Surface,2,,Image 1,1,117,
Intensity Median,0.016,,Surface,3,,Image 1,1,117,
Intensity Median,7.984,,Surface,4,,Image 1,1,117,
Intensity Median,0.008,,Surface,5,,Image 1,1,117,
Intensity Median,0.004,,Surface,6,,Image 1,1,117,
Intensity Median,0.008,,Surface,1,,Image 1,1,118,
Intensity Median,1.008,,Surface,2,,Image 1,1,118,
Intensity Median,0.008,,Surface,3,,Image 1,1,118,
Intensity Median,9.968,,Surface,4,,Image 1,1,118,
Intensity Median,0.008,,Surface,5,,Image 1,1,118,
Intensity Median,1.008,,Surface,6,,Image 1,1,118,
Intensity Median,0.008,,Surface,1,,Image 1,1,119,
Intensity Median,0.008,,Surface,2,,Image 1,1,119,
Intensity Median,0.008,,Surface,3,,Image 1,1,119,
Intensity Median,6.02,,Surface,4,,Image 1,1,119,
Intensity Median,0.008,,Surface,5,,Image 1,1,119,
Intensity Median,0.008,,Surface,6,,Image 1,1,119,
Intensity Median,0.008,,Surface,1,,Image 1,1,157,
Intensity Median,0.064,,Surface,2,,Image 1,1,157,
Intensity Median,0.992,,Surface,3,,Image 1,1,157,
Intensity Median,13.016,,Surface,4,,Image 1,1,157,
Intensity Median,0.008,,Surface,5,,Image 1,1,157,
Intensity Median,0.064,,Surface,6,,Image 1,1,157,
Intensity Min,0,,Surface,1,,Image 1,1,98,
Intensity Min,3,,Surface,2,,Image 1,1,98,
Intensity Min,0,,Surface,3,,Image 1,1,98,
Intensity Min,0,,Surface,4,,Image 1,1,98,
Intensity Min,0,,Surface,5,,Image 1,1,98,
Intensity Min,3,,Surface,6,,Image 1,1,98,
Intensity Min,0,,Surface,1,,Image 1,1,100,
Intensity Min,0,,Surface,2,,Image 1,1,100,
Intensity Min,0,,Surface,3,,Image 1,1,100,
Intensity Min,0,,Surface,4,,Image 1,1,100,
Intensity Min,0,,Surface,5,,Image 1,1,100,
Intensity Min,0,,Surface,6,,Image 1,1,100,
Intensity Min,0,,Surface,1,,Image 1,1,101,
Intensity Min,0,,Surface,2,,Image 1,1,101,
Intensity Min,0,,Surface,3,,Image 1,1,101,
Intensity Min,0,,Surface,4,,Image 1,1,101,
