
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,4.25773,um^2,Surface,,,,1,59,
Area,6.22444,um^2,Surface,,,,1,81,
Area,533.17,um^2,Surface,,,,1,82,
Area,25.8844,um^2,Surface,,,,1,83,
Area,10.9589,um^2,Surface,,,,1,84,
Area,18.1036,um^2,Surface,,,,1,91,
Area,25.2535,um^2,Surface,,,,1,92,
Distance from Origin,133.577,um,Surface,,Distance from Origin,,1,59,
Distance from Origin,137.829,um,Surface,,Distance from Origin,,1,81,
Distance from Origin,143.608,um,Surface,,Distance from Origin,,1,82,
Distance from Origin,132.162,um,Surface,,Distance from Origin,,1,83,
Distance from Origin,136.088,um,Surface,,Distance from Origin,,1,84,
Distance from Origin,152.006,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,136.26,um,Surface,,Distance from Origin,,1,92,
Distance to Image Border XY,39.1184,um,Surface,,,Image 1,1,59,
Distance to Image Border XY,27.0628,um,Surface,,,Image 1,1,81,
Distance to Image Border XY,29.1229,um,Surface,,,Image 1,1,82,
Distance to Image Border XY,39.4917,um,Surface,,,Image 1,1,83,
Distance to Image Border XY,39.0843,um,Surface,,,Image 1,1,84,
Distance to Image Border XY,35.7074,um,Surface,,,Image 1,1,91,
Distance to Image Border XY,36.0893,um,Surface,,,Image 1,1,92,
Ellipticity (oblate),0.259819,,Surface,,,,1,59,
Ellipticity (oblate),0.303704,,Surface,,,,1,81,
Ellipticity (oblate),0.460363,,Surface,,,,1,82,
Ellipticity (oblate),0.642305,,Surface,,,,1,83,
Ellipticity (oblate),0.565815,,Surface,,,,1,84,
Ellipticity (oblate),0.186392,,Surface,,,,1,91,
Ellipticity (oblate),0.114454,,Surface,,,,1,92,
Ellipticity (prolate),0.693515,,Surface,,,,1,59,
Ellipticity (prolate),0.46882,,Surface,,,,1,81,
Ellipticity (prolate),0.313423,,Surface,,,,1,82,
Ellipticity (prolate),0.234546,,Surface,,,,1,83,
Ellipticity (prolate),0.296237,,Surface,,,,1,84,
Ellipticity (prolate),0.763482,,Surface,,,,1,91,
Ellipticity (prolate),0.729896,,Surface,,,,1,92,
Generation,0,,Surface,,,,1,59,
Generation,0,,Surface,,,,1,81,
Generation,0,,Surface,,,,1,82,
Generation,0,,Surface,,,,1,83,
Generation,0,,Surface,,,,1,84,
Generation,0,,Surface,,,,1,91,
Generation,0,,Surface,,,,1,92,
Intensity Max,63,,Surface,1,,Image 1,1,59,
Intensity Max,39,,Surface,2,,Image 1,1,59,
Intensity Max,28,,Surface,3,,Image 1,1,59,
Intensity Max,84,,Surface,4,,Image 1,1,59,
Intensity Max,63,,Surface,5,,Image 1,1,59,
Intensity Max,11,,Surface,1,,Image 1,1,81,
Intensity Max,38,,Surface,2,,Image 1,1,81,
Intensity Max,53,,Surface,3,,Image 1,1,81,
Intensity Max,48,,Surface,4,,Image 1,1,81,
Intensity Max,11,,Surface,5,,Image 1,1,81,
Intensity Max,233,,Surface,1,,Image 1,1,82,
Intensity Max,196,,Surface,2,,Image 1,1,82,
Intensity Max,100,,Surface,3,,Image 1,1,82,
