
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.00269504,um^2,Surface,,,,1,0,
Area,0.0526929,um^2,Surface,,,,1,1,
Area,0.0660351,um^2,Surface,,,,1,2,
Area,0.0548662,um^2,Surface,,,,1,3,
Area,2.69389,um^2,Surface,,,,1,4,
Area,0.111685,um^2,Surface,,,,1,5,
Area,3.01015,um^2,Surface,,,,1,6,
Area,0.202362,um^2,Surface,,,,1,7,
Area,0.571089,um^2,Surface,,,,1,8,
Area,9.06196,um^2,Surface,,,,1,9,
Area,3.23466,um^2,Surface,,,,1,10,
Area,0.468148,um^2,Surface,,,,1,11,
Area,0.0956924,um^2,Surface,,,,1,12,
Area,0.0506359,um^2,Surface,,,,1,13,
Area,0.0546365,um^2,Surface,,,,1,14,
Area,0.163883,um^2,Surface,,,,1,15,
Area,0.0506343,um^2,Surface,,,,1,16,
Area,0.054864,um^2,Surface,,,,1,17,
Area,0.0115023,um^2,Surface,,,,1,18,
Area,0.162136,um^2,Surface,,,,1,19,
Area,1.20966,um^2,Surface,,,,1,20,
Area,1.88373,um^2,Surface,,,,1,21,
Area,0.0956895,um^2,Surface,,,,1,22,
Area,12.7597,um^2,Surface,,,,1,23,
Area,17.4553,um^2,Surface,,,,1,24,
Area,0.0113915,um^2,Surface,,,,1,25,
Area,0.091692,um^2,Surface,,,,1,26,
Area,0.548625,um^2,Surface,,,,1,27,
Area,1.2198,um^2,Surface,,,,1,28,
Area,0.961282,um^2,Surface,,,,1,29,
Area,30.7382,um^2,Surface,,,,1,30,
Area,49.6353,um^2,Surface,,,,1,31,
Area,0.0506343,um^2,Surface,,,,1,32,
Area,7.80164,um^2,Surface,,,,1,33,
Area,29.4299,um^2,Surface,,,,1,34,
Area,19.1171,um^2,Surface,,,,1,35,
Area,0.00269505,um^2,Surface,,,,1,36,
Area,2.15987,um^2,Surface,,,,1,37,
Area,1.07131,um^2,Surface,,,,1,38,
Area,64.6858,um^2,Surface,,,,1,39,
Area,14.6548,um^2,Surface,,,,1,40,
Contact surface area,0.005,um,Surface,,,,,0,
Contact surface area,1.27,um,Surface,,,,,1,
Contact surface area,0.5925,um,Surface,,,,,2,
Contact surface area,36.655,um,Surface,,,,,3,
Contact surface area,8.23,um,Surface,,,,,4,
Contact surface area,0.3,um,Surface,,,,,5,
Contact surface area,0.025,um,Surface,,,,,6,
Contact surface area,4.36,um,Surface,,,,,7,
Contact surface area,0.045,um,Surface,,,,,8,
Contact surface area,0.525,um,Surface,,,,,9,
Contact surface area,0.015,um,Surface,,,,,10,
Contact surface area,0.6975,um,Surface,,,,,11,
Contact surface area,16.735,um,Surface,,,,,12,
Contact surface area,0.0475,um,Surface,,,,,13,
