
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,42.6393,um^2,Dendrite,,2,,2,,1,,100000024,510000011248,
Dendrite Area,6.0178,um^2,Dendrite,,3,,2,,1,,100000024,510000011309,
Dendrite Area,9.95645,um^2,Dendrite,,4,,2,,1,,100000024,510000011319,
Dendrite Area,8.09902,um^2,Dendrite,,5,,2,,1,,100000024,510000011344,
Dendrite Area,26.4514,um^2,Dendrite,,2,,1,,1,,100000024,510000011493,
Dendrite Area,188.773,um^2,Dendrite,,3,,2,,1,,100000024,510000011520,
Dendrite Area,3.66726,um^2,Dendrite,,4,,2,,1,,100000024,510000011855,
Dendrite Area,17.7844,um^2,Dendrite,,4,,3,,1,,100000024,510000012822,
Dendrite Area,35.7171,um^2,Dendrite,,,,,,1,,100000005,510000014511,
Dendrite Area,36.1713,um^2,Dendrite,,,,,,1,,100000005,510000014513,
Dendrite Area,12.333,um^2,Dendrite,,4,,3,,1,,100000024,510000017787,
Dendrite Area,4.65658,um^2,Dendrite,,5,,3,,1,,100000024,510000017818,
Dendrite Area,19.7234,um^2,Dendrite,,5,,4,,1,,100000024,510000018225,
Dendrite Area,8.90763,um^2,Dendrite,,,,,,1,,100000005,510000018362,
Dendrite Area,20.5622,um^2,Dendrite,,5,,3,,1,,100000024,510000018818,
Dendrite Area,8.76213,um^2,Dendrite,,3,,3,,1,,100000024,510000018882,
Dendrite Area,15.29,um^2,Dendrite,,4,,4,,1,,100000024,510000018902,
Dendrite Area,28.8136,um^2,Dendrite,,4,,3,,1,,100000024,510000018998,
Dendrite Area,19.6806,um^2,Dendrite,,3,,1,,1,,100000024,510000019123,
Dendrite Area,16.3582,um^2,Dendrite,,4,,2,,1,,100000024,510000019144,
Dendrite Area,9.77098,um^2,Dendrite,,4,,1,,1,,100000024,510000019689,
Dendrite Area,25.2866,um^2,Dendrite,,1,,1,,1,,100000024,510000020949,
Dendrite Area,43.7637,um^2,Dendrite,,2,,1,,1,,100000024,510000021008,
Dendrite Area,11.515,um^2,Dendrite,,2,,2,,1,,100000024,510000021089,
Dendrite Area,20.3455,um^2,Dendrite,,3,,3,,1,,100000024,510000021112,
Dendrite Area,11.4449,um^2,Dendrite,,2,,2,,1,,100000024,510000021148,
Dendrite Area,7.84578,um^2,Dendrite,,3,,2,,1,,100000024,510000021175,
Dendrite Area,19.5874,um^2,Dendrite,,1,,1,,1,,100000024,510000021342,
Dendrite Area,20.6266,um^2,Dendrite,,2,,1,,1,,100000024,510000021376,
Dendrite Area,3.58633,um^2,Dendrite,,3,,1,,1,,100000024,510000021404,
Dendrite Area,18.2145,um^2,Dendrite,,4,,1,,1,,100000024,510000021408,
Dendrite Area,21.6315,um^2,Dendrite,,5,,1,,1,,100000024,510000021431,
Dendrite Area,23.2743,um^2,Dendrite,,7,,2,,1,,100000024,510000021458,
Dendrite Area,19.2907,um^2,Dendrite,,8,,2,,1,,100000024,510000021511,
Dendrite Area,9.21675,um^2,Dendrite,,7,,1,,1,,100000024,510000021551,
Dendrite Area,12.065,um^2,Dendrite,,8,,1,,1,,100000024,510000021559,
Dendrite Area,12.0256,um^2,Dendrite,,9,,2,,1,,100000024,510000021578,
Dendrite Area,3.47978,um^2,Dendrite,,10,,2,,1,,100000024,510000021609,
Dendrite Area,57.4268,um^2,Dendrite,,8,,2,,1,,100000024,510000021616,
Dendrite Area,16.076,um^2,Dendrite,,9,,3,,1,,100000024,510000021714,
Dendrite Area,34.9622,um^2,Dendrite,,10,,3,,1,,100000024,510000021733,
Dendrite Area,56.3243,um^2,Dendrite,,9,,1,,1,,100000024,510000021813,
Dendrite Area,25.3762,um^2,Dendrite,,10,,4,,1,,100000024,510000021947,
Dendrite Area,24.8782,um^2,Dendrite,,5,,2,,1,,100000024,510000022010,
Dendrite Area,56.499,um^2,Dendrite,,6,,2,,1,,100000024,510000022070,
Dendrite Area,19.0983,um^2,Dendrite,,10,,3,,1,,100000024,510000022191,
Dendrite Area,22.7184,um^2,Dendrite,,6,,3,,1,,100000024,510000022231,
Dendrite Area,9.61602,um^2,Dendrite,,8,,3,,1,,100000024,510000022278,
Dendrite Area,19.1417,um^2,Dendrite,,9,,2,,1,,100000024,510000022302,
Dendrite Area,32.1869,um^2,Dendrite,,2,,2,,1,,100000024,510000022315,
Dendrite Area,24.5981,um^2,Dendrite,,6,,2,,1,,100000024,510000022387,
Dendrite Area,18.0949,um^2,Dendrite,,4,,2,,1,,100000024,510000022412,
Dendrite Area,17.2501,um^2,Dendrite,,3,,2,,1,,100000024,510000022437,
Dendrite Area,1.44114,um^2,Dendrite,,1,,1,,1,,100000024,510000022742,
Dendrite Area,1.25217,um^2,Dendrite,,6,,1,,1,,100000024,510000022743,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000024,510000011248,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000024,510000011309,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000024,510000011319,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000024,510000011344,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000024,510000011493,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000024,510000011520,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000024,510000011855,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000024,510000012822,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000024,510000017787,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000024,510000017818,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000024,510000018225,
