
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3797.44,um^2,Surface,,,,1,743,
Distance from Origin,142.756,um,Surface,,Distance from Origin,,1,743,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,743,
Ellipticity (oblate),0.531607,,Surface,,,,1,743,
Ellipticity (prolate),0.0498051,,Surface,,,,1,743,
Generation,0,,Surface,,,,1,743,
Intensity Max,98,,Surface,1,,Image 1,1,743,
Intensity Max,134,,Surface,2,,Image 1,1,743,
Intensity Max,78,,Surface,3,,Image 1,1,743,
Intensity Max,64,,Surface,4,,Image 1,1,743,
Intensity Max,98,,Surface,5,,Image 1,1,743,
Intensity Mean,1.31984,,Surface,1,,Image 1,1,743,
Intensity Mean,1.40123,,Surface,2,,Image 1,1,743,
Intensity Mean,1.24657,,Surface,3,,Image 1,1,743,
Intensity Mean,4.77457,,Surface,4,,Image 1,1,743,
Intensity Mean,1.31984,,Surface,5,,Image 1,1,743,
Intensity Median,0.032,,Surface,1,,Image 1,1,743,
Intensity Median,0.96,,Surface,2,,Image 1,1,743,
Intensity Median,0.032,,Surface,3,,Image 1,1,743,
Intensity Median,2.992,,Surface,4,,Image 1,1,743,
Intensity Median,0.032,,Surface,5,,Image 1,1,743,
Intensity Min,0,,Surface,1,,Image 1,1,743,
Intensity Min,0,,Surface,2,,Image 1,1,743,
Intensity Min,0,,Surface,3,,Image 1,1,743,
Intensity Min,0,,Surface,4,,Image 1,1,743,
Intensity Min,0,,Surface,5,,Image 1,1,743,
Intensity StdDev,5.96096,,Surface,1,,Image 1,1,743,
Intensity StdDev,4.33005,,Surface,2,,Image 1,1,743,
Intensity StdDev,4.0751,,Surface,3,,Image 1,1,743,
Intensity StdDev,5.47335,,Surface,4,,Image 1,1,743,
Intensity StdDev,5.96096,,Surface,5,,Image 1,1,743,
Intensity Sum,3.9977e+06,,Surface,1,,Image 1,1,743,
Intensity Sum,4.24422e+06,,Surface,2,,Image 1,1,743,
Intensity Sum,3.77577e+06,,Surface,3,,Image 1,1,743,
Intensity Sum,1.44618e+07,,Surface,4,,Image 1,1,743,
Intensity Sum,3.9977e+06,,Surface,5,,Image 1,1,743,
Number of Disconnected Components,70,,Surface,,,,1,743,
Position X,113.321,um,Surface,,Position,,1,743,
Position Y,86.1605,um,Surface,,Position,,1,743,
Position Z,10.674,um,Surface,,Position,,1,743,
Sphericity,0.140654,,Surface,,,,1,743,
Time,0,s,Surface,,,,1,743,
Time Index,1,,Surface,,,,1,743,
Volume,1160.75,um^3,Surface,,,,1,743,
