
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,4.58579,um^2,Surface,,,,1,84,
Area,7.1922,um^2,Surface,,,,1,85,
Area,3.53778,um^2,Surface,,,,1,87,
Area,6.95476,um^2,Surface,,,,1,88,
Area,12.4835,um^2,Surface,,,,1,89,
Area,6.30253,um^2,Surface,,,,1,90,
Area,8.83614,um^2,Surface,,,,1,91,
Area,14.1929,um^2,Surface,,,,1,92,
Area,10.3408,um^2,Surface,,,,1,93,
Area,4.79196,um^2,Surface,,,,1,94,
Area,3.93301,um^2,Surface,,,,1,95,
Area,10.1948,um^2,Surface,,,,1,97,
Area,10.2949,um^2,Surface,,,,1,98,
Area,6.35612,um^2,Surface,,,,1,99,
Area,6.17112,um^2,Surface,,,,1,100,
Area,5.46106,um^2,Surface,,,,1,101,
Area,3.43682,um^2,Surface,,,,1,102,
Area,8.22152,um^2,Surface,,,,1,103,
Area,37.6838,um^2,Surface,,,,1,104,
Area,3.46291,um^2,Surface,,,,1,105,
Area,11.7179,um^2,Surface,,,,1,106,
Area,13.7752,um^2,Surface,,,,1,109,
Area,4.04537,um^2,Surface,,,,1,110,
Area,7.12486,um^2,Surface,,,,1,111,
Area,6.53722,um^2,Surface,,,,1,112,
Area,5.86697,um^2,Surface,,,,1,114,
Area,7.59507,um^2,Surface,,,,1,118,
Area,6.85651,um^2,Surface,,,,1,120,
Area,37.3421,um^2,Surface,,,,1,121,
Area,17.5727,um^2,Surface,,,,1,122,
Area,4.31502,um^2,Surface,,,,1,124,
Area,22.7893,um^2,Surface,,,,1,125,
Area,65.2606,um^2,Surface,,,,1,126,
Area,27.1507,um^2,Surface,,,,1,127,
Area,16.907,um^2,Surface,,,,1,128,
Distance from Origin,170.931,um,Surface,,Distance from Origin,,1,84,
Distance from Origin,172.775,um,Surface,,Distance from Origin,,1,85,
Distance from Origin,155.443,um,Surface,,Distance from Origin,,1,87,
Distance from Origin,174.951,um,Surface,,Distance from Origin,,1,88,
Distance from Origin,171.251,um,Surface,,Distance from Origin,,1,89,
Distance from Origin,148.554,um,Surface,,Distance from Origin,,1,90,
Distance from Origin,163.567,um,Surface,,Distance from Origin,,1,91,
Distance from Origin,160.552,um,Surface,,Distance from Origin,,1,92,
Distance from Origin,168.709,um,Surface,,Distance from Origin,,1,93,
Distance from Origin,157.517,um,Surface,,Distance from Origin,,1,94,
Distance from Origin,143.721,um,Surface,,Distance from Origin,,1,95,
Distance from Origin,155.152,um,Surface,,Distance from Origin,,1,97,
Distance from Origin,149.683,um,Surface,,Distance from Origin,,1,98,
Distance from Origin,120.808,um,Surface,,Distance from Origin,,1,99,
Distance from Origin,175.521,um,Surface,,Distance from Origin,,1,100,
Distance from Origin,168.618,um,Surface,,Distance from Origin,,1,101,
Distance from Origin,166.598,um,Surface,,Distance from Origin,,1,102,
Distance from Origin,140.331,um,Surface,,Distance from Origin,,1,103,
Distance from Origin,163.47,um,Surface,,Distance from Origin,,1,104,
Distance from Origin,142.788,um,Surface,,Distance from Origin,,1,105,
Distance from Origin,144.505,um,Surface,,Distance from Origin,,1,106,
Distance from Origin,118.997,um,Surface,,Distance from Origin,,1,109,
Distance from Origin,117.521,um,Surface,,Distance from Origin,,1,110,
Distance from Origin,117.265,um,Surface,,Distance from Origin,,1,111,
Distance from Origin,118.312,um,Surface,,Distance from Origin,,1,112,
Distance from Origin,115.527,um,Surface,,Distance from Origin,,1,114,
Distance from Origin,110.481,um,Surface,,Distance from Origin,,1,118,
Distance from Origin,143.127,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,122.571,um,Surface,,Distance from Origin,,1,121,
Distance from Origin,154.833,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,151.554,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,148.005,um,Surface,,Distance from Origin,,1,125,
Distance from Origin,137.28,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,141.169,um,Surface,,Distance from Origin,,1,127,
Distance from Origin,130.043,um,Surface,,Distance from Origin,,1,128,
Distance to Image Border XY,7.08449,um,Surface,,,Image 1,1,84,
Distance to Image Border XY,9.87027,um,Surface,,,Image 1,1,85,
Distance to Image Border XY,35.1725,um,Surface,,,Image 1,1,87,
Distance to Image Border XY,22.9706,um,Surface,,,Image 1,1,88,
Distance to Image Border XY,25.3961,um,Surface,,,Image 1,1,89,
Distance to Image Border XY,48.6425,um,Surface,,,Image 1,1,90,
Distance to Image Border XY,34.9307,um,Surface,,,Image 1,1,91,
Distance to Image Border XY,28.0593,um,Surface,,,Image 1,1,92,
Distance to Image Border XY,27.0664,um,Surface,,,Image 1,1,93,
Distance to Image Border XY,35.7431,um,Surface,,,Image 1,1,94,
Distance to Image Border XY,50.3693,um,Surface,,,Image 1,1,95,
Distance to Image Border XY,44.4331,um,Surface,,,Image 1,1,97,
Distance to Image Border XY,49.25,um,Surface,,,Image 1,1,98,
Distance to Image Border XY,39.6844,um,Surface,,,Image 1,1,99,
Distance to Image Border XY,28.6114,um,Surface,,,Image 1,1,100,
Distance to Image Border XY,18.5902,um,Surface,,,Image 1,1,101,
Distance to Image Border XY,36.5488,um,Surface,,,Image 1,1,102,
Distance to Image Border XY,37.0502,um,Surface,,,Image 1,1,103,
Distance to Image Border XY,32.3339,um,Surface,,,Image 1,1,104,
Distance to Image Border XY,50.3,um,Surface,,,Image 1,1,105,
Distance to Image Border XY,46.8425,um,Surface,,,Image 1,1,106,
Distance to Image Border XY,31.3469,um,Surface,,,Image 1,1,109,
Distance to Image Border XY,27.5488,um,Surface,,,Image 1,1,110,
Distance to Image Border XY,33.9064,um,Surface,,,Image 1,1,111,
Distance to Image Border XY,40.2952,um,Surface,,,Image 1,1,112,
Distance to Image Border XY,24.7476,um,Surface,,,Image 1,1,114,
Distance to Image Border XY,23.2346,um,Surface,,,Image 1,1,118,
Distance to Image Border XY,44.1087,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,41.2571,um,Surface,,,Image 1,1,121,
Distance to Image Border XY,35.2342,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,38.3173,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,41.9724,um,Surface,,,Image 1,1,125,
Distance to Image Border XY,45.5196,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,49.5856,um,Surface,,,Image 1,1,127,
Distance to Image Border XY,48.3016,um,Surface,,,Image 1,1,128,
Ellipticity (oblate),0.392516,,Surface,,,,1,84,
Ellipticity (oblate),0.229399,,Surface,,,,1,85,
Ellipticity (oblate),0.288611,,Surface,,,,1,87,
Ellipticity (oblate),0.558571,,Surface,,,,1,88,
Ellipticity (oblate),0.312394,,Surface,,,,1,89,
Ellipticity (oblate),0.298215,,Surface,,,,1,90,
Ellipticity (oblate),0.41645,,Surface,,,,1,91,
Ellipticity (oblate),0.0643432,,Surface,,,,1,92,
Ellipticity (oblate),0.0912957,,Surface,,,,1,93,
Ellipticity (oblate),0.510099,,Surface,,,,1,94,
Ellipticity (oblate),0.495148,,Surface,,,,1,95,
Ellipticity (oblate),0.126613,,Surface,,,,1,97,
Ellipticity (oblate),0.486264,,Surface,,,,1,98,
Ellipticity (oblate),0.457664,,Surface,,,,1,99,
Ellipticity (oblate),0.288084,,Surface,,,,1,100,
Ellipticity (oblate),0.357914,,Surface,,,,1,101,
Ellipticity (oblate),0.435452,,Surface,,,,1,102,
Ellipticity (oblate),0.148514,,Surface,,,,1,103,
Ellipticity (oblate),0.244152,,Surface,,,,1,104,
Ellipticity (oblate),0.353299,,Surface,,,,1,105,
Ellipticity (oblate),0.302231,,Surface,,,,1,106,
Ellipticity (oblate),0.0860679,,Surface,,,,1,109,
Ellipticity (oblate),0.419202,,Surface,,,,1,110,
Ellipticity (oblate),0.242891,,Surface,,,,1,111,
Ellipticity (oblate),0.470254,,Surface,,,,1,112,
Ellipticity (oblate),0.313617,,Surface,,,,1,114,
Ellipticity (oblate),0.19848,,Surface,,,,1,118,
Ellipticity (oblate),0.231913,,Surface,,,,1,120,
Ellipticity (oblate),0.0251047,,Surface,,,,1,121,
Ellipticity (oblate),0.074374,,Surface,,,,1,122,
Ellipticity (oblate),0.426144,,Surface,,,,1,124,
Ellipticity (oblate),0.136244,,Surface,,,,1,125,
Ellipticity (oblate),0.362458,,Surface,,,,1,126,
Ellipticity (oblate),0.321616,,Surface,,,,1,127,
Ellipticity (oblate),0.0622301,,Surface,,,,1,128,
Ellipticity (prolate),0.464936,,Surface,,,,1,84,
Ellipticity (prolate),0.303579,,Surface,,,,1,85,
Ellipticity (prolate),0.604415,,Surface,,,,1,87,
Ellipticity (prolate),0.268745,,Surface,,,,1,88,
Ellipticity (prolate),0.519077,,Surface,,,,1,89,
Ellipticity (prolate),0.554069,,Surface,,,,1,90,
Ellipticity (prolate),0.452875,,Surface,,,,1,91,
Ellipticity (prolate),0.711721,,Surface,,,,1,92,
Ellipticity (prolate),0.577995,,Surface,,,,1,93,
Ellipticity (prolate),0.349241,,Surface,,,,1,94,
Ellipticity (prolate),0.362929,,Surface,,,,1,95,
Ellipticity (prolate),0.664784,,Surface,,,,1,97,
Ellipticity (prolate),0.351277,,Surface,,,,1,98,
Ellipticity (prolate),0.366435,,Surface,,,,1,99,
Ellipticity (prolate),0.542598,,Surface,,,,1,100,
Ellipticity (prolate),0.53879,,Surface,,,,1,101,
Ellipticity (prolate),0.336633,,Surface,,,,1,102,
Ellipticity (prolate),0.673698,,Surface,,,,1,103,
Ellipticity (prolate),0.140585,,Surface,,,,1,104,
Ellipticity (prolate),0.543755,,Surface,,,,1,105,
Ellipticity (prolate),0.522386,,Surface,,,,1,106,
Ellipticity (prolate),0.765678,,Surface,,,,1,109,
Ellipticity (prolate),0.437784,,Surface,,,,1,110,
Ellipticity (prolate),0.670055,,Surface,,,,1,111,
Ellipticity (prolate),0.384993,,Surface,,,,1,112,
Ellipticity (prolate),0.452787,,Surface,,,,1,114,
Ellipticity (prolate),0.746788,,Surface,,,,1,118,
Ellipticity (prolate),0.662056,,Surface,,,,1,120,
Ellipticity (prolate),0.903507,,Surface,,,,1,121,
Ellipticity (prolate),0.497023,,Surface,,,,1,122,
Ellipticity (prolate),0.426553,,Surface,,,,1,124,
Ellipticity (prolate),0.53073,,Surface,,,,1,125,
Ellipticity (prolate),0.505908,,Surface,,,,1,126,
Ellipticity (prolate),0.143146,,Surface,,,,1,127,
Ellipticity (prolate),0.838887,,Surface,,,,1,128,
Generation,0,,Surface,,,,1,84,
Generation,0,,Surface,,,,1,85,
