
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.0706566,um^2,Surface,,,,1,0,
Area,0.68731,um^2,Surface,,,,1,1,
Area,7.8954,um^2,Surface,,,,1,2,
Area,0.190776,um^2,Surface,,,,1,3,
Area,0.200786,um^2,Surface,,,,1,4,
Area,2.40022,um^2,Surface,,,,1,5,
Area,2.32775,um^2,Surface,,,,1,6,
Area,14.3492,um^2,Surface,,,,1,7,
Area,3.52328,um^2,Surface,,,,1,8,
Area,0.445294,um^2,Surface,,,,1,9,
Area,5.64922,um^2,Surface,,,,1,10,
Area,1.1222,um^2,Surface,,,,1,11,
Area,11.5616,um^2,Surface,,,,1,12,
Area,0.16657,um^2,Surface,,,,1,13,
Area,2.5937,um^2,Surface,,,,1,14,
Area,0.154659,um^2,Surface,,,,1,15,
Area,0.0956749,um^2,Surface,,,,1,16,
Area,2.00142,um^2,Surface,,,,1,17,
Contact surface area,0.075,um,Surface,,,,,0,
Contact surface area,0.0475,um,Surface,,,,,1,
Contact surface area,1.0575,um,Surface,,,,,2,
Contact surface area,1.3775,um,Surface,,,,,3,
Contact surface area,0.0875,um,Surface,,,,,4,
Contact surface area,0.235,um,Surface,,,,,5,
Contact surface area,0.58,um,Surface,,,,,6,
Contact surface area,6.2525,um,Surface,,,,,7,
Contact surface area,3.0875,um,Surface,,,,,8,
Contact surface area,1.305,um,Surface,,,,,9,
Contact surface area,0.3525,um,Surface,,,,,10,
Contact surface area,4.3225,um,Surface,,,,,11,
Contact surface area,0.095,um,Surface,,,,,12,
Contact surface area,0.1,um,Surface,,,,,13,
Contact surface area,1.3025,um,Surface,,,,,14,
Contact surface area,1.89,um,Surface,,,,,15,
Contact surface area,0.035,um,Surface,,,,,16,
Contact surface area,7.88,um,Surface,,,,,17,
Distance from Origin,156.201,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,150.554,um,Surface,,Distance from Origin,,1,1,
