
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,6.88893,um^2,Dendrite,,1,,1,,1,,100000005,510000000002,
Dendrite Area,12.325,um^2,Dendrite,,3,,3,,1,,100000005,510000000010,
Dendrite Area,8.98408,um^2,Dendrite,,4,,3,,1,,100000005,510000000028,
Dendrite Area,10.2373,um^2,Dendrite,,5,,3,,1,,100000005,510000000052,
Dendrite Area,13.8609,um^2,Dendrite,,6,,3,,1,,100000005,510000000079,
Dendrite Area,6.755,um^2,Dendrite,,7,,3,,1,,100000005,510000000117,
Dendrite Area,9.27466,um^2,Dendrite,,8,,3,,1,,100000005,510000000132,
Dendrite Area,41.0752,um^2,Dendrite,,9,,3,,1,,100000005,510000000152,
Dendrite Area,6.87639,um^2,Dendrite,,2,,1,,1,,100000005,510000000259,
Dendrite Area,16.7517,um^2,Dendrite,,3,,2,,1,,100000005,510000000264,
Dendrite Area,26.3069,um^2,Dendrite,,4,,3,,1,,100000005,510000000307,
Dendrite Area,5.76462,um^2,Dendrite,,3,,2,,1,,100000005,510000000380,
Dendrite Area,2.8872,um^2,Dendrite,,4,,2,,1,,100000005,510000000384,
Dendrite Area,19.6137,um^2,Dendrite,,5,,2,,1,,100000005,510000000386,
Dendrite Area,8.84933,um^2,Dendrite,,6,,2,,1,,100000005,510000000418,
Dendrite Area,17.5045,um^2,Dendrite,,7,,2,,1,,100000005,510000000436,
Dendrite Area,10.2734,um^2,Dendrite,,9,,2,,1,,100000005,510000000464,
Dendrite Area,9.39862,um^2,Dendrite,,10,,2,,1,,100000005,510000000484,
Dendrite Area,12.3216,um^2,Dendrite,,11,,3,,1,,100000005,510000000503,
Dendrite Area,9.69697,um^2,Dendrite,,12,,3,,1,,100000005,510000000539,
Dendrite Area,24.6771,um^2,Dendrite,,13,,3,,1,,100000005,510000000566,
Dendrite Area,7.53937,um^2,Dendrite,,1,,2,,1,,100000005,510000000710,
Dendrite Area,8.54192,um^2,Dendrite,,2,,2,,1,,100000005,510000000724,
Dendrite Area,32.7279,um^2,Dendrite,,3,,2,,1,,100000005,510000000736,
Dendrite Area,25.3722,um^2,Dendrite,,4,,2,,1,,100000005,510000000800,
Dendrite Area,9.45264,um^2,Dendrite,,5,,2,,1,,100000005,510000000859,
Dendrite Area,9.41101,um^2,Dendrite,,6,,2,,1,,100000005,510000000884,
Dendrite Area,8.65271,um^2,Dendrite,,7,,2,,1,,100000005,510000000910,
Dendrite Area,1.7371,um^2,Dendrite,,8,,2,,1,,100000005,510000000934,
Dendrite Area,6.97151,um^2,Dendrite,,9,,2,,1,,100000005,510000000939,
Dendrite Area,25.5266,um^2,Dendrite,,10,,3,,1,,100000005,510000000957,
Dendrite Area,0.906254,um^2,Dendrite,,11,,4,,1,,100000005,510000001029,
Dendrite Area,5.21081,um^2,Dendrite,,3,,3,,1,,100000005,510000001032,
Dendrite Area,13.2622,um^2,Dendrite,,4,,4,,1,,100000005,510000001046,
Dendrite Area,16.1971,um^2,Dendrite,,5,,4,,1,,100000005,510000001078,
Dendrite Area,1.09165,um^2,Dendrite,,6,,4,,1,,100000005,510000001114,
Dendrite Area,6.01246,um^2,Dendrite,,7,,4,,1,,100000005,510000001117,
Dendrite Area,7.29235,um^2,Dendrite,,8,,4,,1,,100000005,510000001127,
Dendrite Area,3.93358,um^2,Dendrite,,9,,4,,1,,100000005,510000001141,
Dendrite Area,24.848,um^2,Dendrite,,10,,5,,1,,100000005,510000001151,
Dendrite Area,27.0227,um^2,Dendrite,,11,,5,,1,,100000005,510000001210,
Dendrite Area,17.2109,um^2,Dendrite,,12,,6,,1,,100000005,510000001285,
Dendrite Area,24.5581,um^2,Dendrite,,13,,7,,1,,100000005,510000001335,
Dendrite Area,25.4368,um^2,Dendrite,,2,,2,,1,,100000005,510000001479,
Dendrite Area,1.42152,um^2,Dendrite,,3,,2,,1,,100000005,510000001534,
Dendrite Area,53.0041,um^2,Dendrite,,4,,2,,1,,100000005,510000001537,
Dendrite Area,61.5248,um^2,Dendrite,,4,,2,,1,,100000005,510000001794,
Dendrite Area,5.87587,um^2,Dendrite,,5,,2,,1,,100000005,510000001940,
Dendrite Area,24.5847,um^2,Dendrite,,7,,5,,1,,100000005,510000001958,
Dendrite Area,13.2508,um^2,Dendrite,,8,,6,,1,,100000005,510000002009,
Dendrite Area,36.8446,um^2,Dendrite,,9,,7,,1,,100000005,510000002042,
Dendrite Area,12.8709,um^2,Dendrite,,11,,2,,1,,100000005,510000002229,
Dendrite Area,31.0424,um^2,Dendrite,,12,,3,,1,,100000005,510000002260,
Dendrite Area,11.424,um^2,Dendrite,,13,,3,,1,,100000005,510000002345,
Dendrite Area,37.2847,um^2,Dendrite,,7,,4,,1,,100000005,510000002372,
Dendrite Area,12.6628,um^2,Dendrite,,8,,5,,1,,100000005,510000002470,
Dendrite Area,0.939744,um^2,Dendrite,,14,,4,,1,,100000005,510000002559,
Dendrite Area,65.9884,um^2,Dendrite,,4,,3,,1,,100000005,510000002562,
Dendrite Area,54.461,um^2,Dendrite,,5,,3,,1,,100000005,510000002715,
Dendrite Area,20.7931,um^2,Dendrite,,9,,3,,1,,100000005,510000002815,
Dendrite Area,15.4147,um^2,Dendrite,,10,,4,,1,,100000005,510000002866,
Dendrite Area,22.9396,um^2,Dendrite,,8,,3,,1,,100000005,510000002904,
Dendrite Area,24.4435,um^2,Dendrite,,14,,3,,1,,100000005,510000002993,
Dendrite Area,7.69754,um^2,Dendrite,,5,,3,,1,,100000005,510000003237,
Dendrite Area,7.10804,um^2,Dendrite,,13,,6,,1,,100000005,510000003409,
Dendrite Area,14.9188,um^2,Dendrite,,11,,3,,1,,100000005,510000003512,
Dendrite Area,5.44897,um^2,Dendrite,,12,,3,,1,,100000005,510000003553,
Dendrite Area,3.25677,um^2,Dendrite,,12,,5,,1,,100000005,510000003567,
Dendrite Area,18.1601,um^2,Dendrite,,13,,5,,1,,100000005,510000003576,
Dendrite Area,26.2504,um^2,Dendrite,,6,,3,,1,,100000005,510000003625,
Dendrite Area,19.4513,um^2,Dendrite,,7,,3,,1,,100000005,510000003698,
Dendrite Area,12.6705,um^2,Dendrite,,7,,4,,1,,100000005,510000003752,
Dendrite Area,2.70742,um^2,Dendrite,,3,,1,,1,,100000005,510000003789,
Dendrite Area,23.3268,um^2,Dendrite,,4,,1,,1,,100000005,510000003791,
Dendrite Area,15.8834,um^2,Dendrite,,5,,2,,1,,100000005,510000003857,
Dendrite Area,23.2773,um^2,Dendrite,,9,,3,,1,,100000005,510000003899,
Dendrite Area,11.3887,um^2,Dendrite,,13,,6,,1,,100000005,510000003962,
Dendrite Area,16.7669,um^2,Dendrite,,8,,3,,1,,100000005,510000004000,
Dendrite Area,42.1303,um^2,Dendrite,,8,,5,,1,,100000005,510000004046,
Dendrite Area,7.86743,um^2,Dendrite,,9,,6,,1,,100000005,510000004161,
Dendrite Area,6.59414,um^2,Dendrite,,8,,4,,1,,100000005,510000004232,
Dendrite Area,38.2913,um^2,Dendrite,,8,,5,,1,,100000005,510000004251,
Dendrite Area,5.71421,um^2,Dendrite,,12,,2,,1,,100000005,510000004342,
Dendrite Area,6.09091,um^2,Dendrite,,4,,3,,1,,100000005,510000004360,
Dendrite Area,7.77852,um^2,Dendrite,,12,,4,,1,,100000005,510000004379,
Dendrite Area,13.8753,um^2,Dendrite,,10,,2,,1,,100000005,510000004399,
Dendrite Area,8.81385,um^2,Dendrite,,9,,5,,1,,100000005,510000004514,
Dendrite Area,18.48,um^2,Dendrite,,7,,3,,1,,100000005,510000004539,
Dendrite Area,9.48057,um^2,Dendrite,,13,,4,,1,,100000005,510000004589,
Dendrite Area,1.4317,um^2,Dendrite,,12,,4,,1,,100000005,510000004615,
Dendrite Area,18.8101,um^2,Dendrite,,13,,4,,1,,100000005,510000004618,
Dendrite Area,19.454,um^2,Dendrite,,11,,6,,1,,100000005,510000004675,
Dendrite Area,16.6375,um^2,Dendrite,,5,,1,,1,,100000005,510000004769,
Dendrite Area,7.88886,um^2,Dendrite,,13,,4,,1,,100000005,510000004819,
Dendrite Area,19.8103,um^2,Dendrite,,9,,5,,1,,100000005,510000004842,
Dendrite Area,36.4778,um^2,Dendrite,,4,,3,,1,,100000005,510000004897,
Dendrite Area,6.24526,um^2,Dendrite,,9,,6,,1,,100000005,510000004984,
Dendrite Area,8.33922,um^2,Dendrite,,5,,4,,1,,100000005,510000005001,
Dendrite Area,6.68746,um^2,Dendrite,,13,,5,,1,,100000005,510000005023,
Dendrite Area,6.87486,um^2,Dendrite,,5,,3,,1,,100000005,510000005039,
Dendrite Area,32.0605,um^2,Dendrite,,10,,3,,1,,100000005,510000005057,
Dendrite Area,20.1209,um^2,Dendrite,,9,,4,,1,,100000005,510000005126,
Dendrite Area,17.6317,um^2,Dendrite,,5,,5,,1,,100000005,510000005179,
Dendrite Area,9.09136,um^2,Dendrite,,10,,4,,1,,100000005,510000005233,
Dendrite Area,20.0987,um^2,Dendrite,,4,,2,,1,,100000005,510000005250,
Dendrite Area,6.9995,um^2,Dendrite,,8,,4,,1,,100000005,510000005310,
Dendrite Area,12.2799,um^2,Dendrite,,6,,4,,1,,100000005,510000005328,
Dendrite Area,21.6058,um^2,Dendrite,,2,,3,,1,,100000005,510000005362,
Dendrite Area,10.9845,um^2,Dendrite,,6,,5,,1,,100000005,510000005418,
Dendrite Area,9.85023,um^2,Dendrite,,10,,3,,1,,100000005,510000005481,
Dendrite Area,5.37002,um^2,Dendrite,,4,,3,,1,,100000005,510000005510,
Dendrite Area,15.2835,um^2,Dendrite,,5,,5,,1,,100000005,510000005544,
Dendrite Area,3.34022,um^2,Dendrite,,8,,3,,1,,100000005,510000005588,
Dendrite Area,10.5422,um^2,Dendrite,,9,,4,,1,,100000005,510000005592,
Dendrite Area,21.5703,um^2,Dendrite,,5,,3,,1,,100000005,510000005622,
Dendrite Area,44.204,um^2,Dendrite,,5,,4,,1,,100000005,510000005671,
Dendrite Area,17.4606,um^2,Dendrite,,9,,3,,1,,100000005,510000005771,
Dendrite Area,9.64442,um^2,Dendrite,,5,,4,,1,,100000005,510000005819,
Dendrite Area,14.6122,um^2,Dendrite,,7,,3,,1,,100000005,510000005847,
Dendrite Area,7.55558,um^2,Dendrite,,3,,3,,1,,100000005,510000005888,
Dendrite Area,11.7592,um^2,Dendrite,,6,,3,,1,,100000005,510000005907,
