
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,43.9046,um^2,Surface,,,,1,383,
Area,20.8213,um^2,Surface,,,,1,384,
Area,65.6858,um^2,Surface,,,,1,386,
Area,25.479,um^2,Surface,,,,1,387,
Area,20.2128,um^2,Surface,,,,1,388,
Area,198.564,um^2,Surface,,,,1,389,
Area,407.165,um^2,Surface,,,,1,391,
Area,288.923,um^2,Surface,,,,1,394,
Area,1392.53,um^2,Surface,,,,1,397,
Area,0.206666,um^2,Surface,,,,1,398,
Area,0.267945,um^2,Surface,,,,1,403,
Area,0.143076,um^2,Surface,,,,1,404,
Area,0.104941,um^2,Surface,,,,1,405,
Area,0.289691,um^2,Surface,,,,1,406,
Area,0.125428,um^2,Surface,,,,1,407,
Area,0.297229,um^2,Surface,,,,1,408,
Area,0.14977,um^2,Surface,,,,1,409,
Distance from Origin,142.504,um,Surface,,Distance from Origin,,1,383,
Distance from Origin,142.369,um,Surface,,Distance from Origin,,1,384,
Distance from Origin,133.707,um,Surface,,Distance from Origin,,1,386,
Distance from Origin,136.769,um,Surface,,Distance from Origin,,1,387,
Distance from Origin,162.993,um,Surface,,Distance from Origin,,1,388,
Distance from Origin,149.175,um,Surface,,Distance from Origin,,1,389,
Distance from Origin,158.102,um,Surface,,Distance from Origin,,1,391,
Distance from Origin,149.199,um,Surface,,Distance from Origin,,1,394,
Distance from Origin,144.93,um,Surface,,Distance from Origin,,1,397,
Distance from Origin,141.456,um,Surface,,Distance from Origin,,1,398,
Distance from Origin,148.712,um,Surface,,Distance from Origin,,1,403,
Distance from Origin,148.387,um,Surface,,Distance from Origin,,1,404,
Distance from Origin,148.075,um,Surface,,Distance from Origin,,1,405,
Distance from Origin,148.272,um,Surface,,Distance from Origin,,1,406,
Distance from Origin,148.114,um,Surface,,Distance from Origin,,1,407,
Distance from Origin,148.142,um,Surface,,Distance from Origin,,1,408,
Distance from Origin,148.033,um,Surface,,Distance from Origin,,1,409,
Distance to Image Border XY,12.4057,um,Surface,,,Image 1,1,383,
Distance to Image Border XY,19.0861,um,Surface,,,Image 1,1,384,
Distance to Image Border XY,19.62,um,Surface,,,Image 1,1,386,
Distance to Image Border XY,26.3876,um,Surface,,,Image 1,1,387,
Distance to Image Border XY,8.90404,um,Surface,,,Image 1,1,388,
Distance to Image Border XY,10.0787,um,Surface,,,Image 1,1,389,
Distance to Image Border XY,17.5798,um,Surface,,,Image 1,1,391,
Distance to Image Border XY,13.7968,um,Surface,,,Image 1,1,394,
Distance to Image Border XY,10.6752,um,Surface,,,Image 1,1,397,
Distance to Image Border XY,23.6365,um,Surface,,,Image 1,1,398,
Distance to Image Border XY,33.2228,um,Surface,,,Image 1,1,403,
Distance to Image Border XY,33.856,um,Surface,,,Image 1,1,404,
Distance to Image Border XY,34.5881,um,Surface,,,Image 1,1,405,
Distance to Image Border XY,34.0306,um,Surface,,,Image 1,1,406,
Distance to Image Border XY,34.4045,um,Surface,,,Image 1,1,407,
Distance to Image Border XY,34.23,um,Surface,,,Image 1,1,408,
Distance to Image Border XY,34.3887,um,Surface,,,Image 1,1,409,
Ellipticity (oblate),0.397026,,Surface,,,,1,383,
Ellipticity (oblate),0.630746,,Surface,,,,1,384,
Ellipticity (oblate),0.21086,,Surface,,,,1,386,
Ellipticity (oblate),0.513835,,Surface,,,,1,387,
Ellipticity (oblate),0.115901,,Surface,,,,1,388,
Ellipticity (oblate),0.472549,,Surface,,,,1,389,
Ellipticity (oblate),0.674787,,Surface,,,,1,391,
Ellipticity (oblate),0.273901,,Surface,,,,1,394,
Ellipticity (oblate),0.288384,,Surface,,,,1,397,
Ellipticity (oblate),0.477844,,Surface,,,,1,398,
Ellipticity (oblate),0.703708,,Surface,,,,1,403,
Ellipticity (oblate),0.539232,,Surface,,,,1,404,
Ellipticity (oblate),0.448629,,Surface,,,,1,405,
Ellipticity (oblate),0.552818,,Surface,,,,1,406,
Ellipticity (oblate),0.539248,,Surface,,,,1,407,
Ellipticity (oblate),0.552833,,Surface,,,,1,408,
Ellipticity (oblate),0.448645,,Surface,,,,1,409,
Ellipticity (prolate),0.470063,,Surface,,,,1,383,
Ellipticity (prolate),0.242246,,Surface,,,,1,384,
Ellipticity (prolate),0.413725,,Surface,,,,1,386,
Ellipticity (prolate),0.344395,,Surface,,,,1,387,
Ellipticity (prolate),0.866508,,Surface,,,,1,388,
Ellipticity (prolate),0.140729,,Surface,,,,1,389,
Ellipticity (prolate),0.170088,,Surface,,,,1,391,
Ellipticity (prolate),0.28862,,Surface,,,,1,394,
Ellipticity (prolate),0.150837,,Surface,,,,1,397,
Ellipticity (prolate),0.368681,,Surface,,,,1,398,
Ellipticity (prolate),0.183476,,Surface,,,,1,403,
Ellipticity (prolate),0.257121,,Surface,,,,1,404,
Ellipticity (prolate),0.371254,,Surface,,,,1,405,
Ellipticity (prolate),0.215792,,Surface,,,,1,406,
Ellipticity (prolate),0.257082,,Surface,,,,1,407,
Ellipticity (prolate),0.215786,,Surface,,,,1,408,
Ellipticity (prolate),0.371253,,Surface,,,,1,409,
Generation,0,,Surface,,,,1,383,
Generation,0,,Surface,,,,1,384,
Generation,0,,Surface,,,,1,386,
Generation,0,,Surface,,,,1,387,
Generation,0,,Surface,,,,1,388,
Generation,0,,Surface,,,,1,389,
Generation,0,,Surface,,,,1,391,
Generation,0,,Surface,,,,1,394,
Generation,0,,Surface,,,,1,397,
Generation,0,,Surface,,,,1,398,
Generation,0,,Surface,,,,1,403,
Generation,0,,Surface,,,,1,404,
Generation,0,,Surface,,,,1,405,
Generation,0,,Surface,,,,1,406,
Generation,0,,Surface,,,,1,407,
Generation,0,,Surface,,,,1,408,
Generation,0,,Surface,,,,1,409,
Intensity Max,12,,Surface,1,,Image 1,1,383,
Intensity Max,7,,Surface,2,,Image 1,1,383,
Intensity Max,55,,Surface,3,,Image 1,1,383,
Intensity Max,120,,Surface,4,,Image 1,1,383,
Intensity Max,12,,Surface,5,,Image 1,1,383,
Intensity Max,13,,Surface,1,,Image 1,1,384,
Intensity Max,7,,Surface,2,,Image 1,1,384,
Intensity Max,52,,Surface,3,,Image 1,1,384,
Intensity Max,63,,Surface,4,,Image 1,1,384,
Intensity Max,13,,Surface,5,,Image 1,1,384,
Intensity Max,33,,Surface,1,,Image 1,1,386,
Intensity Max,9,,Surface,2,,Image 1,1,386,
Intensity Max,47,,Surface,3,,Image 1,1,386,
Intensity Max,77,,Surface,4,,Image 1,1,386,
