
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.02871,um^2,Surface,,,,1,119,
Area,45.7761,um^2,Surface,,,,1,120,
Area,18.9859,um^2,Surface,,,,1,122,
Area,3.28198,um^2,Surface,,,,1,124,
Area,2.80269,um^2,Surface,,,,1,126,
Area,3.90381,um^2,Surface,,,,1,128,
Area,1.56635,um^2,Surface,,,,1,129,
Area,6.65546,um^2,Surface,,,,1,130,
Area,3.06846,um^2,Surface,,,,1,134,
Area,4.68049,um^2,Surface,,,,1,136,
Area,5.89589,um^2,Surface,,,,1,138,
Area,15.0872,um^2,Surface,,,,1,139,
Area,1.88981,um^2,Surface,,,,1,140,
Area,7.07115,um^2,Surface,,,,1,142,
Area,5.63257,um^2,Surface,,,,1,143,
Area,9.96587,um^2,Surface,,,,1,146,
Area,3.53265,um^2,Surface,,,,1,148,
Area,4.50513,um^2,Surface,,,,1,149,
Area,2.01345,um^2,Surface,,,,1,151,
Area,2.09682,um^2,Surface,,,,1,157,
Area,6.64631,um^2,Surface,,,,1,158,
Area,6.03953,um^2,Surface,,,,1,160,
Area,7.53333,um^2,Surface,,,,1,163,
Area,8.88286,um^2,Surface,,,,1,164,
Area,2.86758,um^2,Surface,,,,1,168,
Area,6.13194,um^2,Surface,,,,1,169,
Area,7.77164,um^2,Surface,,,,1,171,
Area,7.31425,um^2,Surface,,,,1,173,
Area,6.16284,um^2,Surface,,,,1,174,
Area,4.71552,um^2,Surface,,,,1,175,
Area,1.92053,um^2,Surface,,,,1,177,
Area,3.52552,um^2,Surface,,,,1,178,
Area,1.94505,um^2,Surface,,,,1,179,
Area,5.86628,um^2,Surface,,,,1,181,
Area,2.31469,um^2,Surface,,,,1,182,
Area,1.14041,um^2,Surface,,,,1,185,
Area,1.32166,um^2,Surface,,,,1,186,
Area,2.20052,um^2,Surface,,,,1,193,
Area,2.827,um^2,Surface,,,,1,194,
Area,4.61311,um^2,Surface,,,,1,195,
Area,2.16296,um^2,Surface,,,,1,196,
Area,4.92818,um^2,Surface,,,,1,197,
Area,3.52283,um^2,Surface,,,,1,201,
Area,3.58928,um^2,Surface,,,,1,202,
Area,2.04211,um^2,Surface,,,,1,204,
Area,8.6801,um^2,Surface,,,,1,205,
Area,3.68776,um^2,Surface,,,,1,206,
Area,4.84742,um^2,Surface,,,,1,208,
Area,2.92291,um^2,Surface,,,,1,211,
Area,4.90297,um^2,Surface,,,,1,212,
Distance from Origin,157.045,um,Surface,,Distance from Origin,,1,119,
Distance from Origin,148.617,um,Surface,,Distance from Origin,,1,120,
Distance from Origin,146.533,um,Surface,,Distance from Origin,,1,122,
Distance from Origin,160.35,um,Surface,,Distance from Origin,,1,124,
Distance from Origin,156.489,um,Surface,,Distance from Origin,,1,126,
Distance from Origin,152.871,um,Surface,,Distance from Origin,,1,128,
Distance from Origin,149.689,um,Surface,,Distance from Origin,,1,129,
Distance from Origin,152.336,um,Surface,,Distance from Origin,,1,130,
Distance from Origin,150.397,um,Surface,,Distance from Origin,,1,134,
Distance from Origin,150.327,um,Surface,,Distance from Origin,,1,136,
Distance from Origin,145.436,um,Surface,,Distance from Origin,,1,138,
Distance from Origin,148.249,um,Surface,,Distance from Origin,,1,139,
Distance from Origin,146.654,um,Surface,,Distance from Origin,,1,140,
Distance from Origin,148.766,um,Surface,,Distance from Origin,,1,142,
Distance from Origin,148.96,um,Surface,,Distance from Origin,,1,143,
Distance from Origin,138.086,um,Surface,,Distance from Origin,,1,146,
Distance from Origin,144.033,um,Surface,,Distance from Origin,,1,148,
Distance from Origin,144.024,um,Surface,,Distance from Origin,,1,149,
Distance from Origin,149.014,um,Surface,,Distance from Origin,,1,151,
Distance from Origin,146.721,um,Surface,,Distance from Origin,,1,157,
Distance from Origin,148.204,um,Surface,,Distance from Origin,,1,158,
Distance from Origin,148.278,um,Surface,,Distance from Origin,,1,160,
Distance from Origin,136.165,um,Surface,,Distance from Origin,,1,163,
Distance from Origin,148.733,um,Surface,,Distance from Origin,,1,164,
Distance from Origin,147.21,um,Surface,,Distance from Origin,,1,168,
Distance from Origin,136.26,um,Surface,,Distance from Origin,,1,169,
Distance from Origin,137.794,um,Surface,,Distance from Origin,,1,171,
Distance from Origin,147.088,um,Surface,,Distance from Origin,,1,173,
Distance from Origin,155.312,um,Surface,,Distance from Origin,,1,174,
Distance from Origin,157.273,um,Surface,,Distance from Origin,,1,175,
Distance from Origin,149.439,um,Surface,,Distance from Origin,,1,177,
Distance from Origin,153.083,um,Surface,,Distance from Origin,,1,178,
Distance from Origin,151.34,um,Surface,,Distance from Origin,,1,179,
Distance from Origin,151.304,um,Surface,,Distance from Origin,,1,181,
Distance from Origin,150.762,um,Surface,,Distance from Origin,,1,182,
Distance from Origin,147.82,um,Surface,,Distance from Origin,,1,185,
Distance from Origin,148.783,um,Surface,,Distance from Origin,,1,186,
Distance from Origin,146.736,um,Surface,,Distance from Origin,,1,193,
Distance from Origin,147.14,um,Surface,,Distance from Origin,,1,194,
Distance from Origin,146.764,um,Surface,,Distance from Origin,,1,195,
Distance from Origin,150.681,um,Surface,,Distance from Origin,,1,196,
Distance from Origin,151.075,um,Surface,,Distance from Origin,,1,197,
Distance from Origin,143.217,um,Surface,,Distance from Origin,,1,201,
Distance from Origin,144.98,um,Surface,,Distance from Origin,,1,202,
Distance from Origin,150.692,um,Surface,,Distance from Origin,,1,204,
Distance from Origin,146.151,um,Surface,,Distance from Origin,,1,205,
Distance from Origin,151.108,um,Surface,,Distance from Origin,,1,206,
Distance from Origin,151.016,um,Surface,,Distance from Origin,,1,208,
Distance from Origin,144.472,um,Surface,,Distance from Origin,,1,211,
Distance from Origin,147.406,um,Surface,,Distance from Origin,,1,212,
Distance to Image Border XY,15.6636,um,Surface,,,Image 1,1,119,
Distance to Image Border XY,30.321,um,Surface,,,Image 1,1,120,
Distance to Image Border XY,18.7354,um,Surface,,,Image 1,1,122,
Distance to Image Border XY,21.2657,um,Surface,,,Image 1,1,124,
Distance to Image Border XY,15.6318,um,Surface,,,Image 1,1,126,
Distance to Image Border XY,29.6285,um,Surface,,,Image 1,1,128,
Distance to Image Border XY,32.6121,um,Surface,,,Image 1,1,129,
Distance to Image Border XY,31.6205,um,Surface,,,Image 1,1,130,
Distance to Image Border XY,34.4634,um,Surface,,,Image 1,1,134,
Distance to Image Border XY,35.3549,um,Surface,,,Image 1,1,136,
Distance to Image Border XY,26.2491,um,Surface,,,Image 1,1,138,
Distance to Image Border XY,30.3977,um,Surface,,,Image 1,1,139,
