
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.77585,um^2,Surface,,,,1,0,
Area,1.17525,um^2,Surface,,,,1,1,
Area,0.0070428,um^2,Surface,,,,1,2,
Area,0.845681,um^2,Surface,,,,1,3,
Area,1.88679,um^2,Surface,,,,1,4,
Area,0.0330918,um^2,Surface,,,,1,5,
Area,0.0994301,um^2,Surface,,,,1,6,
Area,0.0166094,um^2,Surface,,,,1,7,
Area,7.34655,um^2,Surface,,,,1,8,
Area,5.53826,um^2,Surface,,,,1,9,
Area,19.7956,um^2,Surface,,,,1,10,
Area,5.90202,um^2,Surface,,,,1,11,
Area,2.31905,um^2,Surface,,,,1,12,
Area,11.8377,um^2,Surface,,,,1,13,
Area,18.7094,um^2,Surface,,,,1,14,
Area,2.57302,um^2,Surface,,,,1,15,
Area,7.65079,um^2,Surface,,,,1,16,
Area,3.48584,um^2,Surface,,,,1,17,
Area,5.2586,um^2,Surface,,,,1,18,
Area,8.66128,um^2,Surface,,,,1,19,
Area,20.99,um^2,Surface,,,,1,20,
Area,0.292355,um^2,Surface,,,,1,21,
Area,0.0675454,um^2,Surface,,,,1,22,
Area,3.11049,um^2,Surface,,,,1,23,
Area,11.6354,um^2,Surface,,,,1,24,
Area,20.4436,um^2,Surface,,,,1,25,
Area,1.82345,um^2,Surface,,,,1,26,
Area,2.56695,um^2,Surface,,,,1,27,
Area,5.16516,um^2,Surface,,,,1,28,
Area,5.8794,um^2,Surface,,,,1,29,
Area,8.19819,um^2,Surface,,,,1,30,
Area,0.0495763,um^2,Surface,,,,1,31,
Area,70.1317,um^2,Surface,,,,1,32,
Contact surface area,0.03,um,Surface,,,,,0,
Contact surface area,0.0225,um,Surface,,,,,1,
Contact surface area,2.9825,um,Surface,,,,,2,
Contact surface area,1.33,um,Surface,,,,,3,
Contact surface area,2.0725,um,Surface,,,,,4,
Contact surface area,4.955,um,Surface,,,,,5,
Contact surface area,0.15,um,Surface,,,,,6,
Contact surface area,1.7425,um,Surface,,,,,7,
Contact surface area,6.6725,um,Surface,,,,,8,
Contact surface area,11.9625,um,Surface,,,,,9,
Contact surface area,1.0075,um,Surface,,,,,10,
Contact surface area,1.3975,um,Surface,,,,,11,
Contact surface area,2.8975,um,Surface,,,,,12,
Contact surface area,3.4,um,Surface,,,,,13,
Contact surface area,4.825,um,Surface,,,,,14,
Contact surface area,40.7175,um,Surface,,,,,15,
Contact surface area,0.05,um,Surface,,,,,16,
Contact surface area,0.015,um,Surface,,,,,17,
Contact surface area,3.3125,um,Surface,,,,,18,
Contact surface area,1.47,um,Surface,,,,,19,
Contact surface area,4.385,um,Surface,,,,,20,
Contact surface area,12.35,um,Surface,,,,,21,
Contact surface area,0.0075,um,Surface,,,,,22,
Contact surface area,11.3625,um,Surface,,,,,23,
Contact surface area,4.2125,um,Surface,,,,,24,
Contact surface area,3.25,um,Surface,,,,,25,
Contact surface area,6.765,um,Surface,,,,,26,
Contact surface area,10.6875,um,Surface,,,,,27,
Contact surface area,0.01,um,Surface,,,,,28,
Contact surface area,0.4625,um,Surface,,,,,29,
Contact surface area,1.0225,um,Surface,,,,,30,
Contact surface area,0.6475,um,Surface,,,,,31,
Contact surface area,2.085,um,Surface,,,,,32,
Distance from Origin,156.936,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,156.641,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,147.992,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,148.83,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,148.305,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,149.316,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,147.896,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,146.074,um,Surface,,Distance from Origin,,1,7,
Distance from Origin,150.372,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,146.652,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,138.267,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,148.676,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,149.675,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,145.533,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,144.063,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,146.821,um,Surface,,Distance from Origin,,1,15,
Distance from Origin,147.203,um,Surface,,Distance from Origin,,1,16,
Distance from Origin,147.825,um,Surface,,Distance from Origin,,1,17,
Distance from Origin,146.221,um,Surface,,Distance from Origin,,1,18,
Distance from Origin,151.046,um,Surface,,Distance from Origin,,1,19,
Distance from Origin,148.138,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,155.738,um,Surface,,Distance from Origin,,1,21,
Distance from Origin,151.233,um,Surface,,Distance from Origin,,1,22,
Distance from Origin,155.389,um,Surface,,Distance from Origin,,1,23,
Distance from Origin,151.055,um,Surface,,Distance from Origin,,1,24,
Distance from Origin,146.921,um,Surface,,Distance from Origin,,1,25,
Distance from Origin,151.113,um,Surface,,Distance from Origin,,1,26,
Distance from Origin,143.473,um,Surface,,Distance from Origin,,1,27,
Distance from Origin,144.859,um,Surface,,Distance from Origin,,1,28,
Distance from Origin,146.741,um,Surface,,Distance from Origin,,1,29,
Distance from Origin,144.451,um,Surface,,Distance from Origin,,1,30,
Distance from Origin,147.471,um,Surface,,Distance from Origin,,1,31,
Distance from Origin,148.294,um,Surface,,Distance from Origin,,1,32,
Distance to Image Border XY,15.6574,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,15.8332,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,31.375,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,33.8055,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,30.8318,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,34.375,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,36.175,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,22.825,um,Surface,,,Image 1,1,7,
Distance to Image Border XY,34.4173,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,30.1515,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,19.1165,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,34.2755,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,32.6705,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,26.3568,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,26.5313,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,27.6946,um,Surface,,,Image 1,1,15,
Distance to Image Border XY,28.5432,um,Surface,,,Image 1,1,16,
Distance to Image Border XY,29.349,um,Surface,,,Image 1,1,17,
Distance to Image Border XY,22.5766,um,Surface,,,Image 1,1,18,
Distance to Image Border XY,35.4664,um,Surface,,,Image 1,1,19,
Distance to Image Border XY,28.4953,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,29.575,um,Surface,,,Image 1,1,21,
Distance to Image Border XY,34.325,um,Surface,,,Image 1,1,22,
Distance to Image Border XY,29.321,um,Surface,,,Image 1,1,23,
Distance to Image Border XY,33.562,um,Surface,,,Image 1,1,24,
Distance to Image Border XY,27.4117,um,Surface,,,Image 1,1,25,
Distance to Image Border XY,36.2957,um,Surface,,,Image 1,1,26,
Distance to Image Border XY,25.9228,um,Surface,,,Image 1,1,27,
Distance to Image Border XY,28.1189,um,Surface,,,Image 1,1,28,
Distance to Image Border XY,29.2311,um,Surface,,,Image 1,1,29,
Distance to Image Border XY,26.6083,um,Surface,,,Image 1,1,30,
Distance to Image Border XY,30.675,um,Surface,,,Image 1,1,31,
Distance to Image Border XY,30.0071,um,Surface,,,Image 1,1,32,
Ellipticity (oblate),0.390792,,Surface,,,,1,0,
Ellipticity (oblate),0.281211,,Surface,,,,1,1,
Ellipticity (oblate),0.0826684,,Surface,,,,1,2,
Ellipticity (oblate),0.491488,,Surface,,,,1,3,
Ellipticity (oblate),0.296106,,Surface,,,,1,4,
Ellipticity (oblate),0.527976,,Surface,,,,1,5,
Ellipticity (oblate),0.824171,,Surface,,,,1,6,
Ellipticity (oblate),0.132996,,Surface,,,,1,7,
Ellipticity (oblate),0.305866,,Surface,,,,1,8,
Ellipticity (oblate),0.162036,,Surface,,,,1,9,
Ellipticity (oblate),0.433868,,Surface,,,,1,10,
Ellipticity (oblate),0.677196,,Surface,,,,1,11,
Ellipticity (oblate),0.278717,,Surface,,,,1,12,
Ellipticity (oblate),0.284791,,Surface,,,,1,13,
Ellipticity (oblate),0.72232,,Surface,,,,1,14,
Ellipticity (oblate),0.205613,,Surface,,,,1,15,
Ellipticity (oblate),0.303107,,Surface,,,,1,16,
Ellipticity (oblate),0.291975,,Surface,,,,1,17,
Ellipticity (oblate),0.431921,,Surface,,,,1,18,
Ellipticity (oblate),0.536383,,Surface,,,,1,19,
Ellipticity (oblate),0.314474,,Surface,,,,1,20,
Ellipticity (oblate),0.178934,,Surface,,,,1,21,
Ellipticity (oblate),0.182659,,Surface,,,,1,22,
Ellipticity (oblate),0.422147,,Surface,,,,1,23,
Ellipticity (oblate),0.729252,,Surface,,,,1,24,
Ellipticity (oblate),0.609978,,Surface,,,,1,25,
Ellipticity (oblate),0.185177,,Surface,,,,1,26,
Ellipticity (oblate),0.251219,,Surface,,,,1,27,
Ellipticity (oblate),0.359941,,Surface,,,,1,28,
Ellipticity (oblate),0.216108,,Surface,,,,1,29,
Ellipticity (oblate),0.368753,,Surface,,,,1,30,
